1605 çëç€êŒñ˚äJî≠íÈêŒ,,,,,
"date","open","hight","low","close","power","End","date_position"
"2006-04-04","2775","2825","2700","2725","10727600","2725","4451"
"2006-04-05","2725","2750","2675","2675","2850000","2675","4452"
"2006-04-06","2700","2825","2700","2825","4797600","2825","4453"
"2006-04-07","2850","2900","2825","2900","5519200","2900","4454"
"2006-04-10","3000","3100","2975","3075","11566400","3075","4455"
"2006-04-11","3125","3175","3100","3150","7015200","3150","4456"
"2006-04-12","3100","3100","3050","3075","3432800","3075","4457"
"2006-04-13","3075","3100","3025","3075","2618000","3075","4458"
"2006-04-14","3125","3150","3100","3125","3721600","3125","4459"
"2006-04-17","3100","3125","3025","3050","2840000","3050","4460"
"2006-04-18","3050","3100","3050","3100","2595600","3100","4461"
"2006-04-19","3150","3175","3050","3050","4598000","3050","4462"
"2006-04-20","3075","3100","3025","3075","2550000","3075","4463"
"2006-04-21","3075","3075","2950","3000","3192800","3000","4464"
"2006-04-24","2975","3000","2750","2800","6010800","2800","4465"
"2006-04-25","2750","2850","2725","2825","5334000","2825","4466"
"2006-04-26","2825","2825","2675","2775","4213600","2775","4467"
"2006-04-27","2725","2750","2675","2725","3118000","2725","4468"
"2006-04-28","2675","2700","2600","2600","4580000","2600","4469"
"2006-05-01","2650","2700","2625","2675","2406000","2675","4470"
"2006-05-02","2725","2800","2700","2800","2630800","2800","4471"
"2006-05-08","2775","2800","2725","2725","2294000","2725","4475"
"2006-05-09","2700","2725","2675","2700","1838000","2700","4476"
"2006-05-10","2725","2775","2675","2725","3333600","2725","4477"
"2006-05-11","2725","2750","2625","2625","2058400","2625","4478"
"2006-05-12","2675","2700","2625","2650","2744800","2650","4479"
"2006-05-15","2625","2625","2600","2600","1537200","2600","4480"
"2006-05-16","2550","2575","2475","2500","4376399","2500","4481"
"2006-05-17","2525","2550","2445","2525","2144800","2525","4482"
"2006-05-18","2475","2500","2425","2455","4338399","2455","4483"
"2006-05-19","2450","2525","2433","2500","2127600","2500","4484"
"2006-05-22","2500","2525","2348","2368","5849600","2368","4485"
"2006-05-23","2318","2328","2230","2280","4318800","2280","4486"
"2006-05-24","2355","2438","2335","2435","3881600","2435","4487"
"2006-05-25","2360","2398","2315","2330","2692800","2330","4488"
"2006-05-26","2375","2415","2363","2410","1955599","2410","4489"
"2006-05-29","2460","2525","2443","2490","3352400","2490","4490"
"2006-05-30","2525","2550","2470","2525","2882400","2525","4491"
"2006-05-31","2475","2525","2445","2490","4059199","2490","4492"
"2006-06-01","2440","2458","2385","2425","2449600","2425","4493"
"2006-06-02","2400","2410","2300","2373","2465199","2373","4494"
"2006-06-05","2385","2450","2385","2425","2032000","2425","4495"
"2006-06-06","2400","2410","2358","2368","1530000","2368","4496"
"2006-06-07","2338","2345","2250","2268","2506800","2268","4497"
"2006-06-08","2193","2238","2153","2220","3636400","2220","4498"
"2006-06-09","2195","2220","2098","2170","4800399","2170","4499"
"2006-06-12","2185","2230","2150","2215","2121600","2215","4500"
"2006-06-13","2185","2185","2125","2125","1503200","2125","4501"
"2006-06-14","2000","2098","1990","2098","3433600","2098","4502"
"2006-06-15","2150","2183","2130","2168","2004400","2168","4503"
"2006-06-16","2268","2303","2255","2298","2698800","2298","4504"
"2006-06-19","2280","2308","2270","2295","1318000","2295","4505"
"2006-06-20","2253","2280","2213","2225","1680000","2225","4506"
"2006-06-21","2250","2285","2240","2278","2232800","2278","4507"
"2006-06-22","2350","2370","2315","2370","2412000","2370","4508"
"2006-06-23","2345","2350","2265","2295","2459600","2295","4509"
"2006-06-26","2270","2365","2270","2350","1523599","2350","4510"
"2006-06-27","2360","2360","2320","2343","1300000","2343","4511"
"2006-06-28","2293","2313","2278","2285","2116800","2285","4512"
"2006-06-29","2290","2373","2290","2365","5565200","2365","4513"
"2006-06-30","2443","2525","2430","2525","6026399","2525","4514"
"2006-07-03","2525","2550","2490","2500","2505600","2500","4515"
"2006-07-04","2525","2525","2500","2500","1731599","2500","4516"
"2006-07-05","2495","2625","2475","2575","3860000","2575","4517"
"2006-07-06","2625","2650","2575","2575","4025199","2575","4518"
"2006-07-07","2600","2625","2525","2575","2326000","2575","4519"
"2006-07-10","2500","2575","2500","2575","1582400","2575","4520"
"2006-07-11","2550","2550","2500","2500","975600","2500","4521"
"2006-07-12","2525","2575","2525","2525","1497599","2525","4522"
"2006-07-13","2575","2675","2550","2650","4173600","2650","4523"
"2006-07-14","2700","2750","2625","2625","4491200","2625","4524"
"2006-07-18","2600","2625","2550","2575","2101600","2575","4526"
"2006-07-19","2550","2600","2500","2575","2204800","2575","4527"
"2006-07-20","2600","2675","2550","2675","2270800","2675","4528"
"2006-07-21","2625","2675","2600","2625","1158400","2625","4529"
"2006-07-24","2600","2700","2575","2700","1925599","2700","4530"
"2006-07-25","2675","2725","2625","2625","2223199","2625","4531"
"2006-07-26","2625","2650","2575","2650","2095600","2650","4532"
"2006-07-27","2625","2700","2625","2675","1721599","2675","4533"
"2006-07-28","2675","2700","2625","2675","1609200","2675","4534"
"2006-07-31","2700","2700","2650","2700","1089200","2700","4535"
"2006-08-01","2700","2725","2675","2700","1792400","2700","4536"
"2006-08-02","2700","2750","2675","2750","2141600","2750","4537"
"2006-08-03","2775","2825","2750","2800","3988400","2800","4538"
"2006-08-04","2800","2800","2750","2775","1453599","2775","4539"
"2006-08-07","2750","2775","2725","2750","1506000","2750","4540"
"2006-08-08","2800","2825","2775","2825","3478800","2825","4541"
"2006-08-09","2800","2850","2775","2850","1760000","2850","4542"
"2006-08-10","2850","2850","2775","2800","1631200","2800","4543"
"2006-08-11","2750","2775","2700","2725","3636400","2725","4544"
"2006-08-14","2675","2700","2625","2650","2314000","2650","4545"
"2006-08-15","2625","2650","2575","2575","3100800","2575","4546"
"2006-08-16","2575","2650","2550","2650","3203199","2650","4547"
"2006-08-17","2600","2625","2550","2625","3036400","2625","4548"
"2006-08-18","2575","2600","2575","2600","2064000","2600","4549"
"2006-08-21","2600","2625","2575","2600","2196400","2600","4550"
"2006-08-22","2625","2675","2625","2650","4234000","2650","4551"
"2006-08-23","2675","2675","2625","2625","2138000","2625","4552"
"2006-08-24","2625","2650","2625","2625","718799","2625","4553"
"2006-08-25","2650","2650","2600","2625","1273599","2625","4554"
"2006-08-28","2625","2650","2600","2625","815200","2625","4555"
"2006-08-29","2600","2650","2575","2650","2538000","2650","4556"
"2006-08-30","2625","2650","2575","2600","3481600","2600","4557"
"2006-08-31","2600","2650","2575","2600","3604800","2600","4558"
"2006-09-01","2600","2675","2600","2625","1695200","2625","4559"
"2006-09-04","2675","2675","2575","2600","2170400","2600","4560"
"2006-09-05","2600","2600","2550","2550","1803200","2550","4561"
"2006-09-06","2550","2550","2483","2500","4508399","2500","4562"
"2006-09-07","2470","2473","2393","2423","7317600","2423","4563"
"2006-09-08","2398","2488","2398","2458","4675200","2458","4564"
"2006-09-11","2433","2433","2375","2375","4216000","2375","4565"
"2006-09-12","2378","2408","2313","2323","3972800","2323","4566"
"2006-09-13","2300","2388","2280","2300","4303600","2300","4567"
"2006-09-14","2343","2370","2330","2360","2214000","2360","4568"
"2006-09-15","2310","2343","2300","2335","1645200","2335","4569"
"2006-09-19","2360","2408","2323","2338","2067199","2338","4571"
"2006-09-20","2288","2320","2265","2278","2208000","2278","4572"
"2006-09-21","2258","2270","2193","2220","3450800","2220","4573"
"2006-09-22","2245","2283","2173","2228","4602399","2228","4574"
"2006-09-25","2188","2235","2168","2220","2218000","2220","4575"
"2006-09-26","2250","2293","2248","2268","1987599","2268","4576"
"2006-09-27","2260","2323","2258","2303","2474400","2303","4577"
"2006-09-28","2378","2380","2328","2343","2641600","2343","4578"
"2006-09-29","2360","2368","2343","2345","1513599","2345","4579"
"2006-10-02","2348","2348","2270","2318","1963599","2318","4580"
"2006-10-03","2275","2280","2213","2230","4006000","2230","4581"
"2006-10-04","2183","2198","2168","2183","4889200","2183","4582"
"2006-10-05","2185","2203","2138","2180","4469200","2180","4583"
"2006-10-06","2170","2228","2163","2220","2709600","2220","4584"
"2006-10-10","2245","2270","2233","2253","2821600","2253","4586"
"2006-10-11","2243","2250","2195","2195","2021599","2195","4587"
"2006-10-12","2158","2220","2140","2203","1827200","2203","4588"
"2006-10-13","2240","2295","2238","2283","3208400","2283","4589"
"2006-10-16","2320","2345","2315","2343","1602400","2343","4590"
"2006-10-17","2368","2425","2345","2370","4453200","2370","4591"
"2006-10-18","2403","2413","2310","2338","4615200","2338","4592"
"2006-10-19","2303","2340","2300","2315","2339199","2315","4593"
"2006-10-20","2363","2383","2355","2358","1788000","2358","4594"
"2006-10-23","2310","2353","2293","2345","2309199","2345","4595"
"2006-10-24","2323","2333","2305","2310","1953599","2310","4596"
"2006-10-25","2333","2348","2325","2335","1304400","2335","4597"
"2006-10-26","2400","2455","2393","2450","6245600","2450","4598"
"2006-10-27","2450","2493","2438","2465","4723600","2465","4599"
"2006-10-30","2463","2463","2428","2428","2130400","2428","4600"
"2006-10-31","2395","2415","2365","2390","2108400","2390","4601"
"2006-11-01","2408","2435","2405","2420","1729200","2420","4602"
"2006-11-02","2408","2435","2405","2435","1356400","2435","4603"
"2006-11-06","2460","2468","2423","2430","2110400","2430","4605"
"2006-11-07","2448","2455","2428","2428","907200","2428","4606"
"2006-11-08","2413","2413","2360","2360","1452800","2360","4607"
"2006-11-09","2385","2408","2373","2390","1052000","2390","4608"
"2006-11-10","2463","2475","2433","2448","2918800","2448","4609"
"2006-11-13","2423","2425","2378","2390","1268400","2390","4610"
"2006-11-14","2388","2420","2365","2408","1194000","2408","4611"
"2006-11-15","2425","2430","2358","2375","1862400","2375","4612"
"2006-11-16","2400","2438","2400","2420","1866400","2420","4613"
"2006-11-17","2348","2365","2335","2335","2484800","2335","4614"
"2006-11-20","2260","2278","2238","2255","2691600","2255","4615"
"2006-11-21","2250","2263","2210","2240","2269199","2240","4616"
"2006-11-22","2315","2353","2290","2343","2479199","2343","4617"
"2006-11-24","2310","2328","2265","2313","1845200","2313","4619"
"2006-11-27","2338","2368","2325","2355","1622400","2355","4620"
"2006-11-28","2380","2420","2358","2363","1900400","2363","4621"
"2006-11-29","2403","2465","2400","2453","3246400","2453","4622"
"2006-11-30","2500","2525","2463","2493","5442000","2493","4623"
"2006-12-01","2500","2525","2498","2525","2637600","2525","4624"
"2006-12-04","2550","2575","2500","2575","1852000","2575","4625"
"2006-12-05","2500","2525","2468","2488","4545600","2488","4626"
"2006-12-06","2500","2550","2493","2500","1762400","2500","4627"
"2006-12-07","2500","2550","2488","2525","2002400","2525","4628"
"2006-12-08","2500","2525","2488","2500","2306000","2500","4629"
"2006-12-11","2500","2525","2463","2475","1770800","2475","4630"
"2006-12-12","2450","2458","2438","2450","2668800","2450","4631"
"2006-12-13","2443","2465","2433","2460","1702400","2460","4632"
"2006-12-14","2463","2480","2443","2473","1275599","2473","4633"
"2006-12-15","2500","2550","2500","2525","2722000","2525","4634"
"2006-12-18","2550","2550","2493","2500","2324400","2500","4635"
"2006-12-19","2425","2490","2413","2465","2618400","2465","4636"
"2006-12-20","2498","2525","2483","2500","2329600","2500","4637"
"2006-12-21","2500","2525","2480","2495","1434800","2495","4638"
"2006-12-22","2485","2485","2455","2470","2150400","2470","4639"
"2006-12-25","2445","2450","2425","2438","1399599","2438","4640"
"2006-12-26","2450","2478","2440","2455","1397200","2455","4641"
"2006-12-27","2438","2480","2438","2463","876000","2463","4642"
"2006-12-28","2463","2465","2445","2458","791600","2458","4643"
"2006-12-29","2450","2453","2435","2445","371200","2445","4644"
"2007-01-04","2433","2433","2358","2358","4099600","2358","4647"
"2007-01-05","2313","2315","2285","2298","5110000","2298","4648"
"2007-01-09","2285","2340","2283","2320","3103600","2320","4650"
"2007-01-10","2300","2305","2268","2273","3658800","2273","4651"
"2007-01-11","2253","2318","2253","2285","3081600","2285","4652"
"2007-01-12","2288","2298","2270","2298","2324000","2298","4653"
"2007-01-15","2318","2338","2308","2328","2808000","2328","4654"
