1721 ÉRÉÄÉVÉXHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2003-09-30","688","693","680","681","1494000","681","3798"
"2003-10-01","666","681","665","679","854000","679","3799"
"2003-10-02","697","698","685","697","1223000","697","3800"
"2003-10-03","700","744","699","744","1998000","744","3801"
"2003-10-06","744","754","730","736","1443000","736","3802"
"2003-10-07","726","745","710","720","1220000","720","3803"
"2003-10-08","712","718","689","702","1034000","702","3804"
"2003-10-09","692","702","686","693","373000","693","3805"
"2003-10-10","686","730","685","691","892000","691","3806"
"2003-10-14","702","710","695","710","381000","710","3808"
"2003-10-15","711","711","691","702","652000","702","3809"
"2003-10-16","703","704","687","704","499000","704","3810"
"2003-10-17","694","705","665","671","916000","671","3811"
"2003-10-20","671","695","648","682","643000","682","3812"
"2003-10-21","676","688","666","677","506000","677","3813"
"2003-10-22","674","678","655","670","578000","670","3814"
"2003-10-23","647","649","610","616","678000","616","3815"
"2003-10-24","620","642","610","623","591000","623","3816"
"2003-10-27","633","639","612","636","348000","636","3817"
"2003-10-28","650","664","643","652","330000","652","3818"
"2003-10-29","672","698","662","680","850000","680","3819"
"2003-10-30","678","678","664","665","201000","665","3820"
"2003-10-31","685","694","678","687","886000","687","3821"
"2003-11-04","693","698","689","696","689000","696","3823"
"2003-11-05","695","695","675","690","513000","690","3824"
"2003-11-06","680","685","652","658","425000","658","3825"
"2003-11-07","660","665","646","648","769000","648","3826"
"2003-11-10","645","662","643","657","241000","657","3827"
"2003-11-11","647","660","629","645","284000","645","3828"
"2003-11-12","626","631","581","610","897000","610","3829"
"2003-11-13","620","620","597","597","450000","597","3830"
"2003-11-14","587","593","557","560","1750000","560","3831"
"2003-11-17","563","563","527","530","845000","530","3832"
"2003-11-18","516","524","509","522","894000","522","3833"
"2003-11-19","516","530","512","521","755000","521","3834"
"2003-11-20","525","541","505","514","1237000","514","3835"
"2003-11-21","504","532","504","527","975000","527","3836"
"2003-11-25","547","551","533","547","471000","547","3838"
"2003-11-26","550","575","550","570","631000","570","3839"
"2003-11-27","553","566","553","562","345000","562","3840"
"2003-11-28","556","581","554","567","413000","567","3841"
"2003-12-01","563","582","545","578","483000","578","3842"
"2003-12-02","582","605","580","587","483000","587","3843"
"2003-12-03","579","598","576","586","388000","586","3844"
"2003-12-04","576","598","575","581","387000","581","3845"
"2003-12-05","576","587","570","574","166000","574","3846"
"2003-12-08","564","573","549","550","343000","550","3847"
"2003-12-09","570","580","560","580","420000","580","3848"
"2003-12-10","581","600","573","598","817000","598","3849"
"2003-12-11","608","639","608","639","1154000","639","3850"
"2003-12-12","640","650","611","639","1878000","639","3851"
"2003-12-15","649","655","639","650","594000","650","3852"
"2003-12-16","640","640","627","633","289000","633","3853"
"2003-12-17","645","646","628","643","462000","643","3854"
"2003-12-18","649","652","638","643","519000","643","3855"
"2003-12-19","654","672","648","662","599000","662","3856"
"2003-12-22","652","665","652","658","544000","658","3857"
"2003-12-24","668","669","660","667","263000","667","3859"
"2003-12-25","660","667","652","666","177000","666","3860"
"2003-12-26","670","673","659","666","191000","666","3861"
"2003-12-29","670","698","670","685","253000","685","3862"
"2003-12-30","696","698","686","686","173000","686","3863"
"2004-01-05","693","697","690","690","202000","690","3866"
"2004-01-06","697","697","681","685","432000","685","3867"
"2004-01-07","686","686","669","670","453000","670","3868"
"2004-01-08","660","694","652","687","853000","687","3869"
"2004-01-09","695","695","682","686","519000","686","3870"
"2004-01-13","675","686","662","662","384000","662","3872"
"2004-01-14","653","660","650","660","532000","660","3873"
"2004-01-15","652","659","625","626","913000","626","3874"
"2004-01-16","630","650","625","644","673000","644","3875"
"2004-01-19","658","669","636","651","499000","651","3876"
"2004-01-20","651","685","650","675","436000","675","3877"
"2004-01-21","666","683","666","668","320000","668","3878"
"2004-01-22","677","690","672","682","593000","682","3879"
"2004-01-23","687","695","681","695","390000","695","3880"
"2004-01-26","696","710","692","705","481000","705","3881"
"2004-01-27","710","715","708","708","611000","708","3882"
"2004-01-28","707","708","698","700","441000","700","3883"
"2004-01-29","699","699","675","678","933000","678","3884"
"2004-01-30","688","695","679","683","866000","683","3885"
"2004-02-02","684","694","681","688","636000","688","3886"
"2004-02-03","688","688","650","675","591000","675","3887"
"2004-02-04","665","673","662","668","513000","668","3888"
