1802 ‘å—Ñ‘g,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1560","1630","1550","1560","20468000","1560","1"
"1989-02-20","1560","1610","1550","1610","12450000","1610","2"
"1989-02-21","1610","1620","1550","1550","9218000","1550","3"
"1989-02-22","1540","1620","1530","1590","11924000","1590","4"
"1989-02-23","1580","1600","1540","1550","11450000","1550","5"
"1989-02-27","1540","1570","1510","1510","3172000","1510","7"
"1989-02-28","1480","1520","1470","1470","4491000","1470","8"
"1989-03-01","1480","1490","1410","1440","3045000","1440","9"
"1989-03-02","1430","1490","1420","1490","3200000","1490","10"
"1989-03-03","1540","1560","1500","1510","8862000","1510","11"
"1989-03-06","1540","1540","1490","1520","2120000","1520","12"
"1989-03-07","1490","1590","1490","1590","8259000","1590","13"
"1989-03-08","1620","1620","1570","1590","7074000","1590","14"
"1989-03-09","1580","1580","1520","1550","2376000","1550","15"
"1989-03-10","1540","1560","1530","1540","3059000","1540","16"
"1989-03-13","1540","1560","1530","1540","1383000","1540","17"
"1989-03-14","1530","1630","1530","1630","6381000","1630","18"
"1989-03-15","1640","1670","1620","1660","17379000","1660","19"
"1989-03-16","1680","1750","1670","1700","20011000","1700","20"
"1989-03-17","1700","1740","1700","1720","9163000","1720","21"
"1989-03-20","1700","1800","1700","1800","13173000","1800","22"
"1989-03-22","1790","1840","1780","1780","11084000","1780","24"
"1989-03-23","1800","1810","1760","1770","8149000","1770","25"
"1989-03-24","1770","1780","1680","1730","6673000","1730","26"
"1989-03-27","1740","1800","1730","1760","5805000","1760","27"
"1989-03-28","1790","1800","1750","1790","12559000","1790","28"
"1989-03-29","1800","1910","1790","1900","23593000","1900","29"
"1989-03-30","1920","1920","1850","1890","9789000","1890","30"
"1989-03-31","1860","1940","1860","1890","13652000","1890","31"
"1989-04-03","1880","1890","1850","1850","6115000","1850","32"
"1989-04-04","1820","1900","1820","1860","10065000","1860","33"
"1989-04-05","1860","1880","1820","1830","5277000","1830","34"
"1989-04-06","1800","1840","1800","1820","6134000","1820","35"
"1989-04-07","1790","1840","1780","1830","4286000","1830","36"
"1989-04-10","1800","1820","1780","1790","1666000","1790","37"
"1989-04-11","1770","1840","1760","1800","2967000","1800","38"
"1989-04-12","1800","1840","1790","1810","4377000","1810","39"
"1989-04-13","1820","1850","1780","1810","10629000","1810","40"
"1989-04-14","1800","1820","1780","1800","2824000","1800","41"
"1989-04-17","1820","1820","1770","1780","2617000","1780","42"
"1989-04-18","1750","1770","1730","1750","2163000","1750","43"
"1989-04-19","1750","1760","1730","1730","1694000","1730","44"
"1989-04-20","1720","1750","1700","1710","2944000","1710","45"
"1989-04-21","1690","1770","1680","1760","3753000","1760","46"
