1803 ê¥êÖåöê›,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2040","2120","2000","2100","45391000","2100","1"
"1989-02-20","2120","2210","2110","2180","38941000","2180","2"
"1989-02-21","2190","2230","2130","2160","18919000","2160","3"
"1989-02-22","2160","2270","2150","2230","33185000","2230","4"
"1989-02-23","2230","2260","2210","2210","25075000","2210","5"
"1989-02-27","2170","2210","2150","2150","5975000","2150","7"
"1989-02-28","2110","2200","2110","2160","7380000","2160","8"
"1989-03-01","2180","2190","2080","2120","5351000","2120","9"
"1989-03-02","2090","2190","2070","2170","8989000","2170","10"
"1989-03-03","2250","2330","2210","2300","47977000","2300","11"
"1989-03-06","2310","2330","2260","2300","11037000","2300","12"
"1989-03-07","2270","2380","2260","2360","31728000","2360","13"
"1989-03-08","2380","2380","2240","2290","13098000","2290","14"
"1989-03-09","2250","2280","2230","2230","3837000","2230","15"
"1989-03-10","2240","2250","2200","2250","3621000","2250","16"
"1989-03-13","2230","2240","2200","2210","2719000","2210","17"
"1989-03-14","2220","2310","2210","2300","11284000","2300","18"
"1989-03-15","2330","2350","2270","2320","10961000","2320","19"
"1989-03-16","2310","2370","2290","2300","14668000","2300","20"
"1989-03-17","2330","2340","2290","2320","6763000","2320","21"
"1989-03-20","2310","2400","2270","2360","14998000","2360","22"
"1989-03-22","2390","2400","2300","2310","11998000","2310","24"
"1989-03-23","2300","2320","2260","2290","3134000","2290","25"
"1989-03-24","2250","2290","2240","2250","3120000","2250","26"
"1989-03-27","2210","2290","2210","2240","3195000","2240","27"
"1989-03-28","2280","2370","2220","2370","14485000","2370","28"
"1989-03-29","2370","2430","2340","2400","28301000","2400","29"
"1989-03-30","2420","2420","2310","2310","5241000","2310","30"
"1989-03-31","2350","2400","2300","2330","5507000","2330","31"
"1989-04-03","2290","2310","2270","2280","4463000","2280","32"
"1989-04-04","2250","2350","2250","2290","5482000","2290","33"
"1989-04-05","2250","2270","2220","2250","2713000","2250","34"
"1989-04-06","2210","2240","2170","2190","3035000","2190","35"
"1989-04-07","2150","2220","2140","2170","2633000","2170","36"
"1989-04-10","2170","2180","2110","2130","1346000","2130","37"
"1989-04-11","2090","2140","2080","2120","2484000","2120","38"
"1989-04-12","2150","2170","2120","2140","4552000","2140","39"
"1989-04-13","2220","2270","2150","2210","4827000","2210","40"
"1989-04-14","2200","2240","2160","2170","2688000","2170","41"
"1989-04-17","2210","2220","2170","2200","1404000","2200","42"
"1989-04-18","2160","2200","2140","2140","1407000","2140","43"
