1812 Ž­“‡,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2300","2370","2270","2300","6663000","2300","1"
"1989-02-20","2260","2390","2260","2390","12759000","2390","2"
"1989-02-21","2400","2410","2290","2310","10920000","2310","3"
"1989-02-22","2310","2400","2300","2350","10660000","2350","4"
"1989-02-23","2380","2380","2320","2320","4556000","2320","5"
"1989-02-27","2300","2320","2230","2230","2853000","2230","7"
"1989-02-28","2210","2280","2190","2220","2555000","2220","8"
"1989-03-01","2250","2250","2130","2170","3162000","2170","9"
"1989-03-02","2150","2210","2120","2200","3082000","2200","10"
"1989-03-03","2280","2290","2230","2270","5888000","2270","11"
"1989-03-06","2280","2300","2240","2300","2274000","2300","12"
"1989-03-07","2270","2350","2250","2330","5955000","2330","13"
"1989-03-08","2350","2370","2300","2320","3756000","2320","14"
"1989-03-09","2280","2300","2250","2270","1437000","2270","15"
"1989-03-10","2250","2280","2220","2280","1057000","2280","16"
"1989-03-13","2240","2250","2210","2250","662000","2250","17"
"1989-03-14","2230","2280","2210","2260","2556000","2260","18"
"1989-03-15","2320","2320","2260","2280","4843000","2280","19"
"1989-03-16","2300","2390","2280","2350","5932000","2350","20"
"1989-03-17","2390","2400","2340","2400","9662000","2400","21"
"1989-03-20","2380","2540","2350","2510","21400000","2510","22"
"1989-03-22","2510","2600","2500","2540","21592000","2540","24"
"1989-03-23","2530","2550","2470","2480","6453000","2480","25"
"1989-03-24","2480","2480","2390","2420","4831000","2420","26"
"1989-03-27","2420","2470","2400","2430","5066000","2430","27"
"1989-03-28","2430","2590","2390","2580","34532000","2580","28"
"1989-03-29","2580","2670","2550","2620","26211000","2620","29"
"1989-03-30","2620","2620","2550","2550","4673000","2550","30"
"1989-03-31","2520","2630","2480","2520","7562000","2520","31"
"1989-04-03","2500","2540","2480","2490","4011000","2490","32"
"1989-04-04","2460","2550","2460","2490","4047000","2490","33"
"1989-04-05","2490","2490","2430","2430","2137000","2430","34"
"1989-04-06","2400","2430","2380","2400","1925000","2400","35"
"1989-04-07","2360","2430","2360","2410","2111000","2410","36"
"1989-04-10","2400","2400","2360","2400","1257000","2400","37"
"1989-04-11","2360","2410","2350","2390","1663000","2390","38"
"1989-04-12","2360","2430","2360","2400","1004000","2400","39"
"1989-04-13","2440","2460","2380","2400","3163000","2400","40"
"1989-04-14","2440","2440","2380","2440","1488000","2440","41"
"1989-04-17","2460","2460","2440","2440","1143000","2440","42"
"1989-04-18","2400","2420","2350","2380","1515000","2380","43"
"1989-04-19","2380","2400","2350","2350","1690000","2350","44"
"1989-04-20","2340","2350","2300","2330","1337000","2330","45"
"1989-04-21","2250","2320","2250","2290","2969000","2290","46"
"1989-04-24","2330","2330","2300","2320","873000","2320","47"
"1989-04-25","2320","2390","2320","2380","1976000","2380","48"
"1989-04-26","2380","2380","2300","2330","2381000","2330","49"
"1989-04-27","2370","2370","2330","2350","936000","2350","50"
"1989-04-28","2310","2340","2300","2310","1549000","2310","51"
"1989-05-01","2300","2340","2300","2320","1385000","2320","52"
"1989-05-02","2300","2320","2290","2300","1919000","2300","53"
"1989-05-08","2300","2300","2250","2280","1770000","2280","57"
"1989-05-09","2270","2280","2240","2280","1637000","2280","58"
"1989-05-10","2270","2310","2260","2290","2365000","2290","59"
"1989-05-11","2310","2320","2270","2320","2045000","2320","60"
"1989-05-12","2310","2320","2260","2280","1894000","2280","61"
"1989-05-15","2290","2290","2260","2280","911000","2280","62"
"1989-05-16","2280","2290","2220","2220","1125000","2220","63"
"1989-05-17","2240","2260","2220","2250","1491000","2250","64"
"1989-05-18","2210","2220","2180","2180","2578000","2180","65"
"1989-05-19","2170","2190","2140","2150","3240000","2150","66"
"1989-05-22","2150","2170","2100","2100","1323000","2100","67"
"1989-05-23","2060","2080","2060","2080","1612000","2080","68"
"1989-05-24","2090","2140","2090","2130","2211000","2130","69"
"1989-05-25","2140","2150","2130","2150","968000","2150","70"
"1989-05-26","2150","2240","2150","2220","1573000","2220","71"
"1989-05-29","2230","2250","2210","2210","1217000","2210","72"
"1989-05-30","2240","2240","2200","2210","656000","2210","73"
"1989-05-31","2200","2210","2160","2160","824000","2160","74"
"1989-06-01","2150","2160","2090","2100","1495000","2100","75"
"1989-06-02","2070","2090","2040","2080","1959000","2080","76"
"1989-06-05","2050","2080","2050","2050","962000","2050","77"
"1989-06-06","2050","2120","2030","2080","1183000","2080","78"
"1989-06-07","2120","2130","2080","2100","1048000","2100","79"
"1989-06-08","2100","2170","2100","2150","2699000","2150","80"
"1989-06-09","2150","2150","2110","2140","908000","2140","81"
"1989-06-12","2120","2120","2080","2100","680000","2100","82"
"1989-06-13","2090","2100","2050","2050","671000","2050","83"
"1989-06-14","2060","2090","2040","2040","579000","2040","84"
"1989-06-15","2070","2070","1910","1940","1255000","1940","85"
"1989-06-16","1990","2000","1940","1970","1616000","1970","86"
"1989-06-19","1980","2010","1970","2000","936000","2000","87"
"1989-06-20","1980","2020","1980","1980","1658000","1980","88"
"1989-06-21","2000","2010","1990","2000","442000","2000","89"
"1989-06-22","2050","2100","2030","2030","1219000","2030","90"
"1989-06-23","2080","2120","2060","2100","1958000","2100","91"
"1989-06-26","2100","2140","2090","2140","1568000","2140","92"
"1989-06-27","2130","2130","2100","2100","934000","2100","93"
"1989-06-28","2060","2070","2000","2040","1203000","2040","94"
"1989-06-29","2020","2040","1990","2000","631000","2000","95"
"1989-06-30","1980","1980","1950","1980","885000","1980","96"
"1989-07-03","1980","2000","1950","1990","676000","1990","97"
"1989-07-04","2000","2010","1970","1980","731000","1980","98"
"1989-07-05","2000","2000","1980","1990","356000","1990","99"
"1989-07-06","2020","2020","2000","2000","442000","2000","100"
"1989-07-07","2020","2060","2010","2050","1103000","2050","101"
"1989-07-10","2090","2100","2070","2100","682000","2100","102"
"1989-07-11","2120","2120","2080","2110","628000","2110","103"
"1989-07-12","2120","2160","2100","2160","1405000","2160","104"
"1989-07-13","2150","2170","2140","2140","774000","2140","105"
"1989-07-14","2150","2160","2130","2150","700000","2150","106"
"1989-07-17","2120","2140","2120","2120","539000","2120","107"
"1989-07-18","2110","2110","2080","2100","1225000","2100","108"
"1989-07-19","2110","2130","2080","2130","521000","2130","109"
"1989-07-20","2130","2150","2120","2150","783000","2150","110"
"1989-07-21","2140","2160","2130","2160","1488000","2160","111"
"1989-07-24","2180","2200","2130","2200","986000","2200","112"
"1989-07-25","2220","2250","2210","2250","2252000","2250","113"
"1989-07-26","2270","2280","2260","2280","2055000","2280","114"
"1989-07-27","2280","2360","2270","2350","4399000","2350","115"
"1989-07-28","2390","2390","2310","2330","4515000","2330","116"
"1989-07-31","2360","2360","2300","2330","892000","2330","117"
"1989-08-01","2330","2330","2280","2300","2802000","2300","118"
"1989-08-02","2280","2340","2280","2280","1498000","2280","119"
"1989-08-03","2240","2260","2170","2230","1015000","2230","120"
"1989-08-04","2230","2230","2210","2230","277000","2230","121"
"1989-08-07","2210","2220","2190","2220","283000","2220","122"
"1989-08-08","2180","2250","2180","2220","1289000","2220","123"
"1989-08-09","2200","2240","2200","2220","710000","2220","124"
"1989-08-10","2210","2220","2150","2160","987000","2160","125"
"1989-08-11","2150","2180","2130","2180","1260000","2180","126"
"1989-08-14","2170","2200","2170","2200","1112000","2200","127"
"1989-08-15","2180","2210","2160","2180","493000","2180","128"
"1989-08-16","2200","2200","2160","2160","678000","2160","129"
"1989-08-17","2200","2220","2160","2180","667000","2180","130"
"1989-08-18","2180","2180","2150","2180","594000","2180","131"
"1989-08-21","2140","2170","2140","2160","511000","2160","132"
"1989-08-22","2150","2160","2140","2140","718000","2140","133"
"1989-08-23","2150","2160","2120","2120","541000","2120","134"
"1989-08-24","2120","2120","2100","2120","738000","2120","135"
"1989-08-25","2100","2120","2080","2120","1058000","2120","136"
"1989-08-28","2100","2120","2080","2090","338000","2090","137"
"1989-08-29","2120","2120","2070","2100","473000","2100","138"
"1989-08-30","2110","2110","2050","2050","886000","2050","139"
"1989-08-31","2060","2060","1990","2050","1180000","2050","140"
"1989-09-01","2010","2050","2010","2050","686000","2050","141"
"1989-09-04","2040","2100","2030","2070","967000","2070","142"
"1989-09-05","2100","2110","2050","2080","714000","2080","143"
"1989-09-06","2080","2080","2050","2050","570000","2050","144"
"1989-09-07","2050","2050","2020","2030","468000","2030","145"
"1989-09-08","2010","2050","2010","2040","1005000","2040","146"
"1989-09-11","2040","2090","2040","2060","550000","2060","147"
"1989-09-12","2070","2100","2050","2070","646000","2070","148"
"1989-09-13","2070","2080","2060","2070","682000","2070","149"
"1989-09-14","2040","2100","2030","2100","2123000","2100","150"
"1989-09-18","2090","2130","2080","2120","1728000","2120","152"
"1989-09-19","2110","2130","2080","2100","2626000","2100","153"
"1989-09-20","2100","2100","2080","2080","1023000","2080","154"
"1989-09-21","2100","2100","2060","2070","873000","2070","155"
"1989-09-22","2090","2090","2040","2040","989000","2040","156"
"1989-09-25","2050","2100","2030","2080","914000","2080","157"
"1989-09-26","2040","2100","2040","2090","1200000","2090","158"
"1989-09-27","2080","2120","2080","2100","1501000","2100","159"
"1989-09-28","2120","2170","2080","2170","2415000","2170","160"
"1989-09-29","2130","2200","2130","2190","3183000","2190","161"
"1989-10-02","2200","2200","2120","2150","1389000","2150","162"
"1989-10-03","2140","2170","2120","2120","1287000","2120","163"
"1989-10-04","2130","2130","2050","2060","848000","2060","164"
"1989-10-05","2050","2080","2040","2060","681000","2060","165"
"1989-10-06","2040","2060","2010","2020","633000","2020","166"
"1989-10-09","2030","2050","2000","2020","1212000","2020","167"
"1989-10-11","2000","2000","1950","2000","1077000","2000","169"
"1989-10-12","1960","1960","1900","1900","1146000","1900","170"
"1989-10-13","1910","1980","1910","1930","1063000","1930","171"
"1989-10-16","1950","1970","1900","1950","746000","1950","172"
"1989-10-17","2010","2080","1980","2060","1453000","2060","173"
"1989-10-18","2060","2060","2020","2060","799000","2060","174"
"1989-10-19","2060","2140","2060","2080","2245000","2080","175"
"1989-10-20","2090","2130","2060","2120","1936000","2120","176"
"1989-10-23","2120","2140","2100","2120","1055000","2120","177"
"1989-10-24","2120","2160","2110","2160","1697000","2160","178"
"1989-10-25","2200","2330","2200","2300","20518000","2300","179"
"1989-10-26","2300","2420","2290","2420","33818000","2420","180"
"1989-10-27","2440","2460","2310","2320","31847000","2320","181"
"1989-10-30","2320","2340","2280","2300","3506000","2300","182"
"1989-10-31","2320","2370","2270","2290","3431000","2290","183"
"1989-11-01","2270","2300","2210","2240","1734000","2240","184"
"1989-11-02","2200","2220","2180","2180","1439000","2180","185"
"1989-11-06","2170","2210","2150","2170","852000","2170","187"
"1989-11-07","2170","2180","2130","2140","2959000","2140","188"
"1989-11-08","2220","2290","2170","2290","3342000","2290","189"
"1989-11-09","2280","2300","2210","2240","2058000","2240","190"
"1989-11-10","2240","2310","2210","2280","2871000","2280","191"
"1989-11-13","2290","2350","2260","2330","3447000","2330","192"
"1989-11-14","2350","2360","2290","2290","2835000","2290","193"
"1989-11-15","2300","2380","2280","2360","8111000","2360","194"
"1989-11-16","2390","2400","2320","2350","6935000","2350","195"
"1989-11-17","2350","2350","2300","2300","2706000","2300","196"
"1989-11-20","2310","2320","2260","2280","3460000","2280","197"
"1989-11-21","2270","2300","2260","2280","892000","2280","198"
"1989-11-22","2280","2310","2280","2280","1262000","2280","199"
"1989-11-24","2300","2340","2250","2310","1190000","2310","200"
"1989-11-27","2290","2350","2290","2350","1272000","2350","201"
"1989-11-28","2350","2420","2330","2420","7793000","2420","202"
"1989-11-29","2420","2440","2380","2400","9461000","2400","203"
"1989-11-30","2390","2400","2360","2360","2299000","2360","204"
"1989-12-01","2370","2410","2360","2390","3206000","2390","205"
"1989-12-04","2390","2430","2380","2430","5295000","2430","206"
"1989-12-05","2440","2460","2360","2400","4943000","2400","207"
"1989-12-06","2400","2420","2360","2380","948000","2380","208"
"1989-12-07","2350","2380","2310","2330","1730000","2330","209"
"1989-12-08","2290","2330","2260","2320","2347000","2320","210"
"1989-12-11","2280","2330","2280","2320","2947000","2320","211"
"1989-12-12","2320","2330","2290","2300","1711000","2300","212"
