1925 ‘å˜aƒnƒEƒX,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2060","2060","2020","2030","1052000","2030","1"
"1989-02-20","2070","2070","2020","2030","675000","2030","2"
"1989-02-21","2050","2060","2010","2010","422000","2010","3"
"1989-02-22","2040","2040","1950","1960","867000","1960","4"
"1989-02-23","1970","2000","1960","2000","768000","2000","5"
"1989-02-27","2000","2010","1960","1970","735000","1970","7"
"1989-02-28","1990","1990","1930","1980","864000","1980","8"
"1989-03-01","2010","2010","1940","1960","4063000","1960","9"
"1989-03-02","1960","1980","1960","1960","649000","1960","10"
"1989-03-03","1990","1990","1960","1960","472000","1960","11"
"1989-03-06","1990","1990","1950","1970","467000","1970","12"
"1989-03-07","1980","1990","1950","1960","536000","1960","13"
"1989-03-08","1990","1990","1930","1950","479000","1950","14"
"1989-03-09","1960","1970","1950","1960","381000","1960","15"
"1989-03-10","1950","1980","1940","1980","492000","1980","16"
"1989-03-13","2010","2010","1970","1980","339000","1980","17"
"1989-03-14","1980","2020","1970","2020","706000","2020","18"
"1989-03-15","2030","2040","1990","2010","726000","2010","19"
"1989-03-16","2040","2050","1990","1990","655000","1990","20"
"1989-03-17","2000","2000","1960","1990","702000","1990","21"
"1989-03-20","1970","2000","1960","1970","785000","1970","22"
"1989-03-22","1990","1990","1950","1950","768000","1950","24"
"1989-03-23","1980","1980","1940","1970","988000","1970","25"
"1989-03-24","1990","2060","1980","2010","2718000","2010","26"
"1989-03-27","2010","2030","1950","2000","894000","2000","27"
"1989-03-28","2040","2040","1970","2000","880000","2000","28"
"1989-03-29","2020","2020","1990","2020","772000","2020","29"
"1989-03-30","2010","2020","1990","2010","384000","2010","30"
"1989-03-31","2000","2000","1980","2000","458000","2000","31"
"1989-04-03","1980","1980","1930","1960","301000","1960","32"
"1989-04-04","1990","2000","1960","1990","840000","1990","33"
"1989-04-05","2000","2000","1960","1980","588000","1980","34"
"1989-04-06","1980","1990","1960","1960","544000","1960","35"
"1989-04-07","1970","1980","1950","1950","646000","1950","36"
"1989-04-10","1980","1990","1950","1950","429000","1950","37"
"1989-04-11","1980","2000","1980","2000","1075000","2000","38"
"1989-04-12","2040","2040","2000","2020","759000","2020","39"
"1989-04-13","2020","2020","1990","2010","355000","2010","40"
"1989-04-14","2020","2020","1970","2010","539000","2010","41"
"1989-04-17","2030","2030","1990","2010","397000","2010","42"
"1989-04-18","2020","2020","1990","2000","549000","2000","43"
"1989-04-19","1980","2000","1980","1980","451000","1980","44"
"1989-04-20","2010","2010","1980","2000","689000","2000","45"
"1989-04-21","1990","2010","1970","1990","1025000","1990","46"
"1989-04-24","2010","2010","1960","1980","444000","1980","47"
"1989-04-25","2020","2020","1980","2000","464000","2000","48"
"1989-04-26","2000","2020","1980","2020","814000","2020","49"
"1989-04-27","2030","2090","2010","2040","1970000","2040","50"
"1989-04-28","2040","2050","2030","2050","1331000","2050","51"
"1989-05-01","2050","2060","2040","2050","749000","2050","52"
"1989-05-02","2050","2140","2050","2140","5471000","2140","53"
"1989-05-08","2140","2140","2110","2110","1053000","2110","57"
"1989-05-09","2120","2120","2090","2100","577000","2100","58"
"1989-05-10","2110","2120","2100","2110","917000","2110","59"
"1989-05-11","2110","2110","2090","2090","946000","2090","60"
"1989-05-12","2100","2100","2070","2090","517000","2090","61"
"1989-05-15","2090","2100","2070","2100","453000","2100","62"
"1989-05-16","2120","2120","2100","2120","885000","2120","63"
"1989-05-17","2120","2130","2100","2120","1323000","2120","64"
"1989-05-18","2130","2130","2080","2130","1421000","2130","65"
"1989-05-19","2160","2190","2140","2160","4608000","2160","66"
"1989-05-22","2180","2190","2170","2190","2462000","2190","67"
"1989-05-23","2170","2170","2140","2160","1322000","2160","68"
"1989-05-24","2160","2200","2160","2200","4008000","2200","69"
"1989-05-25","2180","2200","2180","2190","1547000","2190","70"
"1989-05-26","2190","2200","2160","2160","1075000","2160","71"
"1989-05-29","2200","2200","2150","2150","1202000","2150","72"
"1989-05-30","2180","2180","2150","2150","424000","2150","73"
"1989-05-31","2160","2190","2150","2190","1249000","2190","74"
"1989-06-01","2190","2190","2170","2190","1033000","2190","75"
"1989-06-02","2160","2190","2150","2150","651000","2150","76"
"1989-06-05","2130","2160","2120","2130","427000","2130","77"
"1989-06-06","2090","2150","2090","2150","596000","2150","78"
"1989-06-07","2150","2160","2120","2140","781000","2140","79"
"1989-06-08","2140","2160","2140","2150","649000","2150","80"
"1989-06-09","2150","2160","2130","2130","370000","2130","81"
"1989-06-12","2090","2130","2090","2130","437000","2130","82"
"1989-06-13","2140","2140","2100","2100","728000","2100","83"
"1989-06-14","2120","2120","2080","2110","700000","2110","84"
"1989-06-15","2100","2100","2020","2050","593000","2050","85"
"1989-06-16","2070","2070","1970","1990","699000","1990","86"
"1989-06-19","1960","1960","1910","1940","394000","1940","87"
"1989-06-20","1940","1980","1930","1970","824000","1970","88"
"1989-06-21","1990","1990","1960","1980","481000","1980","89"
"1989-06-22","1990","1990","1960","1990","426000","1990","90"
"1989-06-23","2020","2080","2000","2010","826000","2010","91"
"1989-06-26","2030","2070","2020","2060","555000","2060","92"
"1989-06-27","2070","2070","2030","2070","595000","2070","93"
"1989-06-28","2030","2060","1950","2060","613000","2060","94"
"1989-06-29","2020","2050","1990","2030","262000","2030","95"
"1989-06-30","1990","2020","1960","2020","588000","2020","96"
"1989-07-03","2020","2050","2000","2040","470000","2040","97"
"1989-07-04","2040","2040","2020","2040","199000","2040","98"
"1989-07-05","2040","2040","2000","2040","586000","2040","99"
"1989-07-06","2080","2080","2040","2070","534000","2070","100"
"1989-07-07","2070","2090","2050","2090","677000","2090","101"
"1989-07-10","2110","2110","2090","2100","492000","2100","102"
"1989-07-11","2140","2150","2110","2130","979000","2130","103"
"1989-07-12","2130","2140","2120","2140","755000","2140","104"
"1989-07-13","2140","2160","2130","2150","996000","2150","105"
"1989-07-14","2150","2150","2130","2140","609000","2140","106"
"1989-07-17","2130","2130","2100","2100","551000","2100","107"
"1989-07-18","2080","2120","2080","2110","1458000","2110","108"
"1989-07-19","2140","2210","2140","2210","7673000","2210","109"
"1989-07-20","2260","2290","2240","2270","13078000","2270","110"
"1989-07-21","2270","2300","2260","2290","9027000","2290","111"
"1989-07-24","2290","2500","2290","2470","32636000","2470","112"
"1989-07-25","2470","2600","2450","2540","32694000","2540","113"
"1989-07-26","2540","2640","2520","2600","31377000","2600","114"
