1928 êœêÖÉnÉEÉX,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1970","1970","1900","1950","801000","1950","1"
"1989-02-20","1980","1980","1930","1940","463000","1940","2"
"1989-02-21","1970","1980","1930","1940","1064000","1940","3"
"1989-02-22","1960","1960","1900","1940","573000","1940","4"
"1989-02-23","1940","1940","1890","1900","828000","1900","5"
"1989-02-27","1900","1910","1780","1830","1028000","1830","7"
"1989-02-28","1840","1840","1800","1800","773000","1800","8"
"1989-03-01","1860","1860","1810","1840","874000","1840","9"
"1989-03-02","1850","1850","1800","1830","633000","1830","10"
"1989-03-03","1830","1850","1790","1820","813000","1820","11"
"1989-03-06","1840","1840","1800","1840","342000","1840","12"
"1989-03-07","1810","1810","1790","1800","307000","1800","13"
"1989-03-08","1830","1830","1810","1830","390000","1830","14"
"1989-03-09","1820","1840","1810","1820","375000","1820","15"
"1989-03-10","1820","1830","1790","1790","513000","1790","16"
"1989-03-13","1810","1810","1780","1800","280000","1800","17"
"1989-03-14","1790","1800","1740","1740","610000","1740","18"
"1989-03-15","1820","1830","1780","1820","867000","1820","19"
"1989-03-16","1810","1850","1800","1840","522000","1840","20"
"1989-03-17","1840","1840","1810","1810","319000","1810","21"
"1989-03-20","1810","1860","1800","1850","572000","1850","22"
"1989-03-22","1840","1840","1800","1830","576000","1830","24"
"1989-03-23","1820","1820","1780","1820","787000","1820","25"
"1989-03-24","1800","1830","1780","1830","421000","1830","26"
"1989-03-27","1860","1860","1780","1790","371000","1790","27"
"1989-03-28","1820","1850","1790","1800","394000","1800","28"
"1989-03-29","1830","1850","1810","1850","323000","1850","29"
"1989-03-30","1860","1860","1830","1840","321000","1840","30"
"1989-03-31","1820","1840","1780","1780","431000","1780","31"
"1989-04-03","1800","1820","1800","1800","421000","1800","32"
"1989-04-04","0","0","0","0","0","0","33"
"1989-04-05","1800","1830","1790","1810","464000","1810","34"
"1989-04-06","1810","1830","1770","1770","1199000","1770","35"
"1989-04-07","1750","1770","1750","1750","835000","1750","36"
"1989-04-10","1750","1760","1750","1750","918000","1750","37"
"1989-04-11","1750","1770","1750","1770","677000","1770","38"
"1989-04-12","1770","1780","1760","1770","1370000","1770","39"
"1989-04-13","1770","1770","1760","1770","419000","1770","40"
"1989-04-14","1770","1780","1750","1770","416000","1770","41"
"1989-04-17","1770","1790","1770","1790","517000","1790","42"
"1989-04-18","1780","1790","1770","1790","516000","1790","43"
"1989-04-19","1780","1790","1750","1760","784000","1760","44"
"1989-04-20","1760","1760","1740","1760","933000","1760","45"
"1989-04-21","1750","1760","1740","1750","824000","1750","46"
"1989-04-24","1760","1760","1740","1760","649000","1760","47"
"1989-04-25","1750","1760","1740","1760","779000","1760","48"
"1989-04-26","1760","1760","1740","1760","977000","1760","49"
"1989-04-27","1760","1760","1750","1760","704000","1760","50"
"1989-04-28","1780","1780","1750","1750","1436000","1750","51"
"1989-05-01","1770","1780","1760","1770","848000","1770","52"
"1989-05-02","1770","1860","1770","1860","7017000","1860","53"
"1989-05-08","1880","1890","1850","1870","3530000","1870","57"
"1989-05-09","1870","1870","1830","1830","1223000","1830","58"
"1989-05-10","1850","1860","1830","1840","1487000","1840","59"
"1989-05-11","1850","1850","1830","1850","788000","1850","60"
"1989-05-12","1850","1860","1830","1840","1404000","1840","61"
"1989-05-15","1850","1850","1830","1840","842000","1840","62"
"1989-05-16","1840","1860","1840","1840","1318000","1840","63"
"1989-05-17","1850","1880","1850","1860","2933000","1860","64"
"1989-05-18","1870","1880","1850","1880","1262000","1880","65"
"1989-05-19","1900","1960","1890","1930","8674000","1930","66"
"1989-05-22","1940","1950","1930","1950","4450000","1950","67"
"1989-05-23","1940","1950","1920","1950","2197000","1950","68"
"1989-05-24","1960","2030","1960","2030","12930000","2030","69"
"1989-05-25","2030","2040","2000","2020","4270000","2020","70"
"1989-05-26","2010","2020","2000","2000","2761000","2000","71"
"1989-05-29","2020","2030","2000","2020","4814000","2020","72"
"1989-05-30","2030","2050","2000","2010","9655000","2010","73"
"1989-05-31","2010","2100","1980","2070","19914000","2070","74"
"1989-06-01","2090","2100","2050","2070","7905000","2070","75"
"1989-06-02","2070","2070","1990","2010","2254000","2010","76"
"1989-06-05","1980","2000","1960","1990","928000","1990","77"
"1989-06-06","1960","2020","1950","1970","2780000","1970","78"
"1989-06-07","2000","2030","1990","2000","2762000","2000","79"
"1989-06-08","2040","2040","2000","2020","1810000","2020","80"
