2269 –¾Ž¡HD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2009-04-02","3440","3540","3270","3300","841200","3300","5230"
"2009-04-03","3370","3440","3070","3100","609600","3100","5231"
"2009-04-06","3130","3150","3010","3030","381100","3030","5232"
"2009-04-07","3030","3060","2980","3030","465600","3030","5233"
"2009-04-08","2960","2985","2880","2915","514700","2915","5234"
"2009-04-09","2985","2985","2875","2915","359700","2915","5235"
"2009-04-10","2955","2955","2835","2870","383000","2870","5236"
"2009-04-13","2865","2900","2830","2835","195400","2835","5237"
"2009-04-14","2830","2885","2760","2875","520200","2875","5238"
"2009-04-15","2855","2875","2800","2875","497200","2875","5239"
"2009-04-16","2910","3020","2905","2975","599500","2975","5240"
"2009-04-17","2975","2985","2900","2920","240900","2920","5241"
"2009-04-20","2880","2900","2835","2845","203100","2845","5242"
"2009-04-21","2820","2860","2810","2850","262600","2850","5243"
"2009-04-22","2870","2930","2865","2905","356700","2905","5244"
"2009-04-23","2900","2955","2850","2945","299800","2945","5245"
"2009-04-24","2985","3020","2970","3020","404399","3020","5246"
"2009-04-27","3120","3120","3050","3060","301899","3060","5247"
"2009-04-28","3110","3110","3020","3040","260800","3040","5248"
"2009-04-30","3070","3090","2990","3010","247000","3010","5250"
"2009-05-01","3070","3080","2975","3010","241500","3010","5251"
"2009-05-07","3030","3040","2935","2970","308100","2970","5255"
"2009-05-08","2965","3000","2935","2945","251699","2945","5256"
"2009-05-11","2975","2980","2940","2960","162900","2960","5257"
"2009-05-12","2940","2965","2930","2940","136600","2940","5258"
"2009-05-13","2940","3010","2930","2995","209100","2995","5259"
"2009-05-14","2960","3030","2950","3010","249300","3010","5260"
"2009-05-15","3040","3070","3020","3070","205699","3070","5261"
"2009-05-18","3180","3240","3140","3160","471399","3160","5262"
"2009-05-19","3190","3200","3080","3110","264700","3110","5263"
"2009-05-20","3110","3150","3050","3070","242199","3070","5264"
"2009-05-21","3030","3060","3010","3040","117900","3040","5265"
"2009-05-22","3020","3110","3020","3100","113000","3100","5266"
"2009-05-25","3120","3150","3110","3110","130199","3110","5267"
"2009-05-26","3110","3110","3070","3100","98500","3100","5268"
