2282 “ú–{ƒnƒ€,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1980","2000","1980","1990","48000","1990","1"
"1989-02-20","2000","2000","1980","2000","205000","2000","2"
"1989-02-21","1980","2000","1980","1980","42000","1980","3"
"1989-02-22","1980","1980","1940","1960","163000","1960","4"
"1989-02-23","1960","1960","1940","1960","159000","1960","5"
"1989-02-27","1930","1940","1880","1900","149000","1900","7"
"1989-02-28","1900","1900","1880","1890","158000","1890","8"
"1989-03-01","1890","1920","1860","1920","284000","1920","9"
"1989-03-02","1910","1920","1910","1910","149000","1910","10"
"1989-03-03","1910","1910","1850","1870","120000","1870","11"
"1989-03-06","1860","1860","1850","1850","111000","1850","12"
"1989-03-07","1850","1900","1850","1850","249000","1850","13"
"1989-03-08","1880","1880","1850","1850","68000","1850","14"
"1989-03-09","1850","1870","1840","1850","99000","1850","15"
"1989-03-10","1840","1840","1810","1820","175000","1820","16"
"1989-03-13","1820","1820","1800","1800","181000","1800","17"
"1989-03-14","1830","1830","1800","1820","216000","1820","18"
"1989-03-15","1850","1860","1800","1820","257000","1820","19"
"1989-03-16","1850","1860","1840","1840","235000","1840","20"
"1989-03-17","1860","1860","1800","1800","234000","1800","21"
"1989-03-20","1810","1860","1800","1860","190000","1860","22"
"1989-03-22","1850","1850","1820","1820","193000","1820","24"
"1989-03-23","1850","1880","1830","1870","191000","1870","25"
"1989-03-24","1850","1900","1850","1880","129000","1880","26"
"1989-03-27","1900","1910","1860","1870","160000","1870","27"
"1989-03-28","1900","1900","1860","1880","113000","1880","28"
"1989-03-29","1880","1950","1880","1950","197000","1950","29"
"1989-03-30","1950","1950","1930","1930","29000","1930","30"
"1989-03-31","1940","1940","1930","1930","223000","1930","31"
"1989-04-03","1900","1950","1900","1910","218000","1910","32"
"1989-04-04","1930","1950","1890","1890","201000","1890","33"
"1989-04-05","1900","1910","1900","1910","177000","1910","34"
"1989-04-06","1910","1940","1910","1920","135000","1920","35"
"1989-04-07","1950","1980","1940","1950","358000","1950","36"
"1989-04-10","1950","1970","1950","1970","398000","1970","37"
"1989-04-11","2000","2000","1950","1950","146000","1950","38"
"1989-04-12","1970","2000","1960","2000","88000","2000","39"
"1989-04-13","1990","2020","1990","1990","201000","1990","40"
"1989-04-14","1990","2000","1990","1990","82000","1990","41"
"1989-04-17","1990","2020","1990","1990","170000","1990","42"
"1989-04-18","1960","1990","1960","1970","116000","1970","43"
"1989-04-19","1940","1990","1940","1990","114000","1990","44"
"1989-04-20","2000","2050","2000","2000","294000","2000","45"
"1989-04-21","1980","2000","1980","2000","95000","2000","46"
"1989-04-24","2020","2020","1980","2000","224000","2000","47"
"1989-04-25","2040","2040","1990","1990","93000","1990","48"
"1989-04-26","1990","2000","1950","1950","213000","1950","49"
"1989-04-27","1980","2050","1960","2000","304000","2000","50"
"1989-04-28","2020","2050","2000","2020","240000","2020","51"
