2413 ÉGÉÄÉXÉäÅ[,,,,,
"date","open","hight","low","close","power","End","date_position"
"2004-09-17","6650","6750","5750","5850","1133000","5850","4050"
"2004-09-21","6050","6200","5350","5400","361800","5400","4052"
"2004-09-22","5650","6250","5300","6150","758200","6150","4053"
"2004-09-24","5950","6200","5750","5950","185800","5950","4055"
"2004-09-27","5900","5900","5500","5550","113599","5550","4056"
"2004-09-28","5350","5700","5200","5200","185199","5200","4057"
"2004-09-29","5400","5450","4850","4930","219800","4930","4058"
"2004-09-30","5050","5450","4980","5450","301000","5450","4059"
"2004-10-01","5400","5650","5200","5250","269800","5250","4060"
"2004-10-04","5450","5650","5200","5350","184800","5350","4061"
"2004-10-05","5250","5300","5050","5150","65400","5150","4062"
"2004-10-06","5200","5450","5100","5450","102599","5450","4063"
"2004-10-07","5500","6400","5350","6050","679400","6050","4064"
"2004-10-08","5850","6050","5650","5700","232000","5700","4065"
"2004-10-12","5600","5900","5400","5600","109200","5600","4067"
"2004-10-13","5650","6000","5550","5650","222000","5650","4068"
"2004-10-14","5600","5700","5450","5550","76400","5550","4069"
"2004-10-15","5350","5650","5350","5550","109400","5550","4070"
"2004-10-18","5650","5950","5450","5600","260000","5600","4071"
"2004-10-19","5700","5850","5450","5550","147199","5550","4072"
"2004-10-20","5500","5500","5250","5300","86000","5300","4073"
"2004-10-21","5350","5400","4975","5100","73000","5100","4074"
"2004-10-22","5100","5100","4880","4955","43000","4955","4075"
"2004-10-25","4705","4850","4650","4755","34799","4755","4076"
"2004-10-26","4755","5100","4755","4870","44600","4870","4077"
"2004-10-27","4955","5000","4425","4435","91000","4435","4078"
"2004-10-28","4500","4565","4040","4050","96200","4050","4079"
"2004-10-29","4055","4100","3775","3850","68400","3850","4080"
"2004-11-01","3755","3755","3490","3545","49000","3545","4081"
"2004-11-02","3500","3800","3500","3695","62400","3695","4082"
"2004-11-04","3845","3865","3615","3640","45400","3640","4084"
"2004-11-05","3740","3900","3700","3900","29600","3900","4085"
"2004-11-08","4050","4125","3875","3980","46600","3980","4086"
"2004-11-09","3930","3980","3850","3900","16200","3900","4087"
"2004-11-10","3850","4305","3800","4305","70000","4305","4088"
"2004-11-11","4355","4450","4150","4155","43000","4155","4089"
"2004-11-12","4175","4275","4150","4180","22399","4180","4090"
"2004-11-15","4250","4290","4150","4175","20000","4175","4091"
"2004-11-16","4225","4245","4050","4065","17800","4065","4092"
"2004-11-17","3965","4065","3900","4040","18600","4040","4093"
"2004-11-18","4090","4120","4050","4100","20800","4100","4094"
"2004-11-19","4115","4115","3980","4045","19600","4045","4095"
