2432 ディー・エヌ・エー,,,,,
"date","open","hight","low","close","power","End","date_position"
"2005-02-17","2273","2433","2117","2430","8740799","2430","4159"
"2005-02-18","2497","2720","2260","2280","12247200","2280","4160"
"2005-02-21","2333","2453","2147","2273","5058899","2273","4161"
"2005-02-22","2250","2293","2153","2177","1775400","2177","4162"
"2005-02-23","2143","2380","2143","2357","3327000","2357","4163"
"2005-02-24","2383","2437","2287","2293","3764100","2293","4164"
"2005-02-25","2343","2450","2307","2450","1407900","2450","4165"
"2005-02-28","2483","2783","2447","2783","5523000","2783","4166"
"2005-03-01","2780","2923","2687","2727","9162900","2727","4167"
"2005-03-02","2793","3030","2767","3030","6645600","3030","4168"
"2005-03-03","2997","3100","2960","2997","6019800","2997","4169"
"2005-03-04","3007","3033","2843","2857","2574000","2857","4170"
"2005-03-07","2883","2900","2637","2677","1928400","2677","4171"
"2005-03-08","2697","2890","2640","2867","2644199","2867","4172"
"2005-03-09","2833","2927","2780","2787","2390100","2787","4173"
"2005-03-10","2793","2847","2723","2740","1036800","2740","4174"
"2005-03-11","2740","2873","2737","2820","1738800","2820","4175"
"2005-03-14","2853","2870","2773","2797","806100","2797","4176"
"2005-03-15","2810","2823","2610","2653","1204200","2653","4177"
"2005-03-16","2620","2720","2540","2553","885000","2553","4178"
"2005-03-17","2547","2663","2487","2600","969900","2600","4179"
"2005-03-18","2630","2663","2557","2570","540900","2570","4180"
"2005-03-22","2590","2607","2507","2517","282000","2517","4182"
"2005-03-23","2500","2537","2407","2513","606900","2513","4183"
"2005-03-24","2530","2683","2517","2630","929100","2630","4184"
"2005-03-25","2650","2677","2517","2533","485399","2533","4185"
"2005-03-28","2537","2603","2503","2503","330899","2503","4186"
"2005-03-29","2537","2553","2433","2477","271800","2477","4187"
"2005-03-30","2443","2463","2373","2373","340200","2373","4188"
"2005-03-31","2403","2433","2373","2373","193500","2373","4189"
"2005-04-01","2400","2547","2337","2487","640799","2487","4190"
"2005-04-04","2510","2630","2480","2603","774600","2603","4191"
"2005-04-05","2650","2793","2627","2760","2549400","2760","4192"
"2005-04-06","2783","2790","2610","2613","798299","2613","4193"
"2005-04-07","2643","2773","2623","2767","709799","2767","4194"
"2005-04-08","2780","2837","2727","2793","1310099","2793","4195"
"2005-04-11","2750","2753","2660","2670","567600","2670","4196"
"2005-04-12","2640","2657","2563","2567","466500","2567","4197"
"2005-04-13","2597","2637","2523","2537","282000","2537","4198"
"2005-04-14","2547","2660","2507","2660","340500","2660","4199"
"2005-04-15","2627","2650","2600","2607","229199","2607","4200"
"2005-04-18","2507","2563","2507","2540","165600","2540","4201"
"2005-04-19","2643","2680","2600","2647","477600","2647","4202"
"2005-04-20","2713","2720","2650","2653","395100","2653","4203"
"2005-04-21","2597","2683","2567","2677","275100","2677","4204"
"2005-04-22","2743","2750","2683","2687","499200","2687","4205"
"2005-04-25","2747","2813","2723","2750","1048200","2750","4206"
"2005-04-26","2833","2853","2697","2730","1514700","2730","4207"
"2005-04-27","2747","2890","2700","2890","1407599","2890","4208"
"2005-04-28","2880","2910","2810","2827","1854599","2827","4209"
"2005-05-02","2893","3117","2873","3100","6202500","3100","4211"
"2005-05-06","3100","3163","3017","3023","3562199","3023","4215"
"2005-05-09","3050","3197","2950","3160","4665600","3160","4216"
"2005-05-10","3127","3143","3017","3073","2101199","3073","4217"
"2005-05-11","3033","3123","3010","3083","1193700","3083","4218"
"2005-05-12","3090","3333","3077","3260","6577200","3260","4219"
"2005-05-13","3233","3600","3197","3600","7638000","3600","4220"
"2005-05-16","3667","3867","3240","3330","8173500","3330","4221"
"2005-05-17","3433","3467","2997","2997","5002500","2997","4222"
"2005-05-18","3050","3193","2977","3193","4652700","3193","4223"
"2005-05-19","3227","3367","3143","3153","5305200","3153","4224"
"2005-05-20","3220","3243","3100","3127","1324200","3127","4225"
"2005-05-23","3133","3200","3067","3107","905700","3107","4226"
"2005-05-24","3110","3153","3017","3060","581100","3060","4227"
"2005-05-25","3053","3133","3023","3090","1031700","3090","4228"
"2005-05-26","3057","3173","3040","3163","1142099","3163","4229"
