2503 ƒLƒŠƒ“HD(êi—Ù”žŽð),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1950","1960","1930","1930","1005000","1930","1"
"1989-02-20","1940","1940","1910","1910","959000","1910","2"
"1989-02-21","1900","1920","1890","1900","891000","1900","3"
"1989-02-22","1890","1890","1850","1850","1327000","1850","4"
"1989-02-23","1880","1900","1860","1890","1586000","1890","5"
"1989-02-27","1860","1880","1860","1860","865000","1860","7"
"1989-02-28","1860","1880","1850","1860","999000","1860","8"
"1989-03-01","1870","1880","1840","1870","719000","1870","9"
"1989-03-02","1860","1880","1850","1880","656000","1880","10"
"1989-03-03","1870","1880","1850","1870","916000","1870","11"
"1989-03-06","1860","1880","1850","1880","533000","1880","12"
"1989-03-07","1880","1880","1860","1870","382000","1870","13"
"1989-03-08","1870","1870","1840","1860","741000","1860","14"
"1989-03-09","1840","1850","1820","1840","638000","1840","15"
"1989-03-10","1830","1840","1810","1830","556000","1830","16"
"1989-03-13","1830","1840","1810","1820","407000","1820","17"
"1989-03-14","1820","1820","1810","1820","570000","1820","18"
"1989-03-15","1840","1840","1810","1810","634000","1810","19"
"1989-03-16","1820","1830","1810","1810","593000","1810","20"
"1989-03-17","1810","1820","1800","1810","888000","1810","21"
"1989-03-20","1800","1810","1780","1800","829000","1800","22"
"1989-03-22","1770","1800","1750","1790","914000","1790","24"
"1989-03-23","1800","1800","1780","1790","774000","1790","25"
"1989-03-24","1790","1790","1770","1770","852000","1770","26"
"1989-03-27","1780","1800","1760","1790","981000","1790","27"
"1989-03-28","1800","1800","1760","1780","748000","1780","28"
"1989-03-29","1800","1820","1790","1800","901000","1800","29"
"1989-03-30","1810","1820","1800","1800","882000","1800","30"
"1989-03-31","1810","1820","1780","1810","1159000","1810","31"
"1989-04-03","1800","1830","1790","1830","1055000","1830","32"
"1989-04-04","1840","1860","1830","1840","2018000","1840","33"
"1989-04-05","1850","1860","1830","1850","1078000","1850","34"
"1989-04-06","1860","1890","1860","1870","1087000","1870","35"
"1989-04-07","1890","1900","1870","1890","1226000","1890","36"
"1989-04-10","1910","1940","1910","1920","1699000","1920","37"
"1989-04-11","1920","1940","1920","1930","1088000","1930","38"
"1989-04-12","1930","1960","1930","1950","2144000","1950","39"
"1989-04-13","1960","1970","1930","1940","1265000","1940","40"
"1989-04-14","1920","1940","1920","1920","442000","1920","41"
"1989-04-17","1950","1950","1920","1950","835000","1950","42"
"1989-04-18","1950","1950","1920","1940","1502000","1940","43"
"1989-04-19","1950","1950","1930","1950","555000","1950","44"
"1989-04-20","1920","1940","1920","1940","514000","1940","45"
"1989-04-21","1910","1940","1900","1900","810000","1900","46"
"1989-04-24","1930","1930","1890","1910","872000","1910","47"
"1989-04-25","1940","1940","1910","1930","530000","1930","48"
"1989-04-26","1940","1960","1930","1960","1173000","1960","49"
"1989-04-27","2060","2100","2050","2080","7861000","2080","50"
"1989-04-28","2080","2080","2050","2050","3102000","2050","51"
"1989-05-01","2050","2060","2040","2050","1297000","2050","52"
"1989-05-02","2050","2060","2030","2030","918000","2030","53"
"1989-05-08","2050","2060","2040","2040","984000","2040","57"
"1989-05-09","2050","2050","2020","2030","923000","2030","58"
"1989-05-10","2030","2030","2000","2020","877000","2020","59"
"1989-05-11","2020","2020","1990","1990","765000","1990","60"
"1989-05-12","1990","2000","1970","1990","869000","1990","61"
"1989-05-15","1990","2000","1980","1980","371000","1980","62"
"1989-05-16","2000","2000","1970","1990","358000","1990","63"
"1989-05-17","1990","2000","1980","2000","398000","2000","64"
"1989-05-18","1990","2000","1970","1980","297000","1980","65"
"1989-05-19","1980","2000","1980","1980","569000","1980","66"
"1989-05-22","2000","2020","1990","2000","645000","2000","67"
"1989-05-23","2020","2020","1990","1990","660000","1990","68"
"1989-05-24","2000","2000","1970","1970","703000","1970","69"
"1989-05-25","1980","1990","1920","1970","1070000","1970","70"
"1989-05-26","2000","2010","1960","1990","872000","1990","71"
"1989-05-29","2010","2020","1970","1970","623000","1970","72"
"1989-05-30","1980","1990","1950","1950","677000","1950","73"
"1989-05-31","1960","1970","1950","1950","815000","1950","74"
"1989-06-01","1960","1970","1950","1960","470000","1960","75"
"1989-06-02","1960","1970","1930","1930","341000","1930","76"
"1989-06-05","1930","1950","1930","1950","358000","1950","77"
"1989-06-06","1940","1960","1920","1950","722000","1950","78"
"1989-06-07","1940","1950","1940","1950","632000","1950","79"
"1989-06-08","1950","1950","1930","1950","557000","1950","80"
"1989-06-09","1950","1950","1910","1910","295000","1910","81"
"1989-06-12","1910","1920","1880","1900","382000","1900","82"
"1989-06-13","1910","1910","1880","1900","534000","1900","83"
"1989-06-14","1910","1910","1890","1890","532000","1890","84"
"1989-06-15","1910","1920","1890","1890","600000","1890","85"
"1989-06-16","1910","1910","1870","1900","395000","1900","86"
"1989-06-19","1850","1870","1830","1840","428000","1840","87"
"1989-06-20","1830","1860","1820","1840","517000","1840","88"
"1989-06-21","1830","1840","1820","1840","681000","1840","89"
"1989-06-22","1820","1850","1810","1850","858000","1850","90"
"1989-06-23","1880","1910","1860","1870","640000","1870","91"
"1989-06-26","1880","1910","1870","1900","557000","1900","92"
"1989-06-27","1900","1900","1880","1880","224000","1880","93"
"1989-06-28","1850","1870","1830","1860","389000","1860","94"
"1989-06-29","1850","1880","1830","1830","340000","1830","95"
"1989-06-30","1820","1850","1810","1850","464000","1850","96"
"1989-07-03","1840","1870","1830","1870","355000","1870","97"
"1989-07-04","1870","1870","1850","1850","316000","1850","98"
"1989-07-05","1850","1890","1850","1870","1126000","1870","99"
"1989-07-06","1900","1900","1870","1890","405000","1890","100"
"1989-07-07","1900","1950","1890","1950","955000","1950","101"
"1989-07-10","1940","1940","1920","1920","354000","1920","102"
"1989-07-11","1920","1930","1920","1920","676000","1920","103"
"1989-07-12","1920","1920","1900","1910","672000","1910","104"
"1989-07-13","1910","1910","1890","1890","526000","1890","105"
"1989-07-14","1890","1900","1880","1890","596000","1890","106"
"1989-07-17","1890","1900","1890","1900","780000","1900","107"
"1989-07-18","1890","1900","1890","1900","378000","1900","108"
"1989-07-19","1890","1900","1880","1880","650000","1880","109"
"1989-07-20","1880","1900","1880","1880","681000","1880","110"
"1989-07-21","1880","1920","1880","1910","977000","1910","111"
"1989-07-24","1910","1920","1890","1900","505000","1900","112"
"1989-07-25","1910","1920","1900","1910","651000","1910","113"
"1989-07-26","1920","1950","1920","1930","2145000","1930","114"
"1989-07-27","1950","1990","1950","1990","2074000","1990","115"
"1989-07-28","2020","2020","1990","2020","3364000","2020","116"
"1989-07-31","2010","2010","1990","2000","621000","2000","117"
"1989-08-01","2000","2000","1980","1980","893000","1980","118"
"1989-08-02","1980","1990","1970","1970","714000","1970","119"
"1989-08-03","1970","1970","1950","1960","792000","1960","120"
"1989-08-04","1950","1950","1940","1950","461000","1950","121"
"1989-08-07","1940","1960","1930","1960","784000","1960","122"
"1989-08-08","1950","1980","1950","1980","1012000","1980","123"
"1989-08-09","1950","1960","1930","1950","746000","1950","124"
"1989-08-10","1930","1950","1920","1940","1316000","1940","125"
"1989-08-11","1940","1980","1940","1940","833000","1940","126"
"1989-08-14","1930","1960","1930","1960","756000","1960","127"
"1989-08-15","1930","1950","1930","1950","406000","1950","128"
"1989-08-16","1940","1950","1930","1940","738000","1940","129"
"1989-08-17","1950","1960","1940","1950","548000","1950","130"
"1989-08-18","1950","1960","1940","1940","941000","1940","131"
"1989-08-21","1970","1980","1950","1980","820000","1980","132"
"1989-08-22","1960","1980","1950","1970","673000","1970","133"
"1989-08-23","1970","1980","1960","1980","822000","1980","134"
"1989-08-24","1960","1970","1950","1970","442000","1970","135"
"1989-08-25","1950","1960","1940","1950","385000","1950","136"
"1989-08-28","1950","1960","1930","1960","409000","1960","137"
"1989-08-29","1940","1960","1930","1960","543000","1960","138"
"1989-08-30","1960","1960","1930","1930","452000","1930","139"
"1989-08-31","1930","1950","1880","1920","802000","1920","140"
"1989-09-01","1920","1950","1900","1950","445000","1950","141"
"1989-09-04","1940","1950","1930","1950","215000","1950","142"
"1989-09-05","1950","1950","1930","1950","388000","1950","143"
"1989-09-06","1940","1970","1940","1950","858000","1950","144"
