2801 キッコーマン(野田醤油),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1160","1160","1140","1150","222000","1150","1"
"1989-02-20","1150","1180","1140","1180","85000","1180","2"
"1989-02-21","1170","1180","1160","1160","81000","1160","3"
"1989-02-22","1170","1170","1150","1160","101000","1160","4"
"1989-02-23","1180","1180","1150","1160","219000","1160","5"
"1989-02-27","1150","1190","1150","1160","115000","1160","7"
"1989-02-28","1180","1180","1160","1170","94000","1170","8"
"1989-03-01","1170","1180","1160","1180","70000","1180","9"
"1989-03-02","1200","1200","1170","1200","73000","1200","10"
"1989-03-03","1190","1220","1180","1220","372000","1220","11"
"1989-03-06","1220","1230","1200","1230","370000","1230","12"
"1989-03-07","1230","1230","1220","1220","218000","1220","13"
"1989-03-08","1230","1230","1200","1200","321000","1200","14"
"1989-03-09","1220","1220","1190","1200","144000","1200","15"
"1989-03-10","1200","1200","1160","1170","75000","1170","16"
"1989-03-13","1170","1200","1170","1200","30000","1200","17"
"1989-03-14","1220","1220","1190","1220","152000","1220","18"
"1989-03-15","1220","1230","1200","1200","176000","1200","19"
"1989-03-16","1200","1210","1190","1200","103000","1200","20"
"1989-03-17","1220","1220","1180","1190","160000","1190","21"
"1989-03-20","1200","1220","1170","1210","121000","1210","22"
"1989-03-22","1170","1210","1170","1170","133000","1170","24"
"1989-03-23","1190","1210","1190","1200","155000","1200","25"
"1989-03-24","1210","1210","1150","1180","93000","1180","26"
"1989-03-27","1200","1200","1140","1140","181000","1140","27"
"1989-03-28","1180","1180","1140","1150","42000","1150","28"
"1989-03-29","1180","1180","1140","1140","50000","1140","29"
"1989-03-30","1180","1180","1140","1140","126000","1140","30"
"1989-03-31","1150","1160","1140","1150","114000","1150","31"
"1989-04-03","1160","1160","1140","1160","156000","1160","32"
"1989-04-04","1200","1200","1180","1200","165000","1200","33"
"1989-04-05","1200","1210","1150","1150","104000","1150","34"
"1989-04-06","1190","1190","1160","1170","48000","1170","35"
"1989-04-07","1190","1190","1150","1190","56000","1190","36"
"1989-04-10","1180","1190","1160","1160","51000","1160","37"
"1989-04-11","1200","1230","1200","1230","459000","1230","38"
"1989-04-12","1230","1230","1200","1220","129000","1220","39"
"1989-04-13","1220","1220","1190","1210","52000","1210","40"
"1989-04-14","1200","1230","1200","1220","96000","1220","41"
"1989-04-17","1200","1230","1200","1230","74000","1230","42"
"1989-04-18","1230","1240","1220","1240","225000","1240","43"
"1989-04-19","1250","1250","1220","1250","278000","1250","44"
"1989-04-20","1250","1250","1220","1240","344000","1240","45"
"1989-04-21","1230","1240","1220","1240","249000","1240","46"
"1989-04-24","1250","1250","1220","1250","89000","1250","47"
"1989-04-25","1250","1270","1240","1270","543000","1270","48"
"1989-04-26","1270","1270","1260","1260","214000","1260","49"
"1989-04-27","1260","1290","1260","1270","394000","1270","50"
"1989-04-28","1290","1300","1270","1300","337000","1300","51"
"1989-05-01","1290","1290","1280","1280","165000","1280","52"
"1989-05-02","1300","1320","1300","1320","623000","1320","53"
"1989-05-08","1300","1330","1300","1310","321000","1310","57"
"1989-05-09","1310","1320","1300","1320","446000","1320","58"
"1989-05-10","1320","1320","1300","1300","211000","1300","59"
"1989-05-11","1300","1310","1290","1290","187000","1290","60"
"1989-05-12","1310","1310","1270","1300","103000","1300","61"
"1989-05-15","1300","1300","1260","1300","143000","1300","62"
"1989-05-16","1280","1300","1260","1300","58000","1300","63"
"1989-05-17","1290","1300","1280","1280","83000","1280","64"
"1989-05-18","1260","1290","1250","1290","67000","1290","65"
"1989-05-19","1280","1300","1280","1290","69000","1290","66"
"1989-05-22","1300","1300","1290","1300","136000","1300","67"
"1989-05-23","1300","1300","1270","1270","259000","1270","68"
"1989-05-24","1280","1280","1250","1270","98000","1270","69"
"1989-05-25","1270","1290","1250","1290","80000","1290","70"
"1989-05-26","1300","1300","1260","1280","139000","1280","71"
"1989-05-29","1280","1300","1250","1250","75000","1250","72"
"1989-05-30","1240","1270","1230","1260","105000","1260","73"
"1989-05-31","1250","1290","1240","1280","115000","1280","74"
"1989-06-01","1250","1280","1250","1280","82000","1280","75"
"1989-06-02","1250","1270","1240","1270","77000","1270","76"
"1989-06-05","1260","1260","1230","1260","65000","1260","77"
"1989-06-06","1250","1260","1240","1250","104000","1250","78"
"1989-06-07","1230","1260","1230","1260","130000","1260","79"
"1989-06-08","1260","1280","1230","1230","69000","1230","80"
"1989-06-09","1250","1250","1230","1230","63000","1230","81"
"1989-06-12","1250","1260","1230","1260","156000","1260","82"
"1989-06-13","1270","1280","1260","1260","195000","1260","83"
"1989-06-14","1280","1280","1230","1280","136000","1280","84"
"1989-06-15","1260","1280","1260","1260","339000","1260","85"
"1989-06-16","1280","1280","1240","1260","153000","1260","86"
"1989-06-19","1220","1250","1200","1250","48000","1250","87"
"1989-06-20","1230","1240","1190","1240","54000","1240","88"
"1989-06-21","1200","1240","1200","1230","84000","1230","89"
"1989-06-22","1250","1250","1220","1240","26000","1240","90"
"1989-06-23","1250","1250","1210","1210","136000","1210","91"
"1989-06-26","1250","1250","1220","1220","47000","1220","92"
"1989-06-27","1220","1220","1190","1190","76000","1190","93"
"1989-06-28","1200","1200","1160","1190","123000","1190","94"
"1989-06-29","1160","1170","1160","1170","80000","1170","95"
"1989-06-30","1180","1180","1150","1180","125000","1180","96"
"1989-07-03","1190","1190","1170","1190","102000","1190","97"
"1989-07-04","1150","1170","1150","1170","46000","1170","98"
"1989-07-05","1190","1190","1170","1170","36000","1170","99"
"1989-07-06","1180","1180","1170","1170","36000","1170","100"
"1989-07-07","1190","1190","1170","1190","100000","1190","101"
"1989-07-10","1190","1220","1190","1200","81000","1200","102"
"1989-07-11","1210","1240","1200","1240","60000","1240","103"
"1989-07-12","1240","1250","1220","1220","124000","1220","104"
"1989-07-13","1230","1250","1210","1210","205000","1210","105"
"1989-07-14","1220","1230","1200","1220","69000","1220","106"
"1989-07-17","1220","1220","1210","1220","145000","1220","107"
"1989-07-18","1210","1220","1190","1190","69000","1190","108"
