2802 –¡‚Ì‘f,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2850","2850","2790","2820","612000","2820","1"
"1989-02-20","2860","2860","2760","2780","612000","2780","2"
"1989-02-21","2780","2780","2710","2740","370000","2740","3"
"1989-02-22","2700","2720","2680","2700","941000","2700","4"
"1989-02-23","2720","2720","2680","2700","874000","2700","5"
"1989-02-27","2750","2790","2700","2700","640000","2700","7"
"1989-02-28","2700","2700","2680","2680","557000","2680","8"
"1989-03-01","2690","2700","2660","2680","922000","2680","9"
"1989-03-02","2730","2750","2690","2700","255000","2700","10"
"1989-03-03","2740","2740","2690","2700","379000","2700","11"
"1989-03-06","2730","2730","2690","2720","308000","2720","12"
"1989-03-07","2720","2730","2680","2680","190000","2680","13"
"1989-03-08","2680","2680","2640","2640","407000","2640","14"
"1989-03-09","2640","2640","2610","2610","361000","2610","15"
"1989-03-10","2610","2610","2580","2600","284000","2600","16"
"1989-03-13","2620","2620","2580","2590","322000","2590","17"
"1989-03-14","2610","2610","2580","2580","493000","2580","18"
"1989-03-15","2570","2590","2570","2590","686000","2590","19"
"1989-03-16","2640","2640","2580","2590","605000","2590","20"
"1989-03-17","2630","2640","2580","2610","669000","2610","21"
"1989-03-20","2570","2610","2550","2610","363000","2610","22"
"1989-03-22","2650","2650","2570","2630","634000","2630","24"
"1989-03-23","2670","2670","2630","2660","589000","2660","25"
"1989-03-24","2690","2700","2610","2610","906000","2610","26"
"1989-03-27","2620","2670","2580","2590","551000","2590","27"
"1989-03-28","2640","2700","2590","2700","451000","2700","28"
"1989-03-29","2700","2840","2660","2840","972000","2840","29"
"1989-03-30","2870","2890","2700","2800","879000","2800","30"
"1989-03-31","2830","2830","2760","2830","884000","2830","31"
"1989-04-03","2830","2830","2760","2800","549000","2800","32"
"1989-04-04","2800","2830","2750","2790","790000","2790","33"
"1989-04-05","2750","2800","2730","2750","437000","2750","34"
"1989-04-06","2720","2750","2710","2710","346000","2710","35"
"1989-04-07","2700","2700","2690","2700","482000","2700","36"
"1989-04-10","2700","2700","2610","2680","425000","2680","37"
"1989-04-11","2700","2700","2670","2680","253000","2680","38"
