2914 JT,,,,,
"date","open","hight","low","close","power","End","date_position"
"1994-10-28","5300","5500","5250","5300","36668000","5300","1481"
"1994-10-31","5400","5450","5300","5400","10404000","5400","1482"
"1994-11-01","5450","5550","5400","5550","9642000","5550","1483"
"1994-11-02","5500","5550","5350","5400","8500000","5400","1484"
"1994-11-04","5450","5500","5350","5450","2774000","5450","1486"
"1994-11-07","5350","5400","5250","5250","4714000","5250","1487"
"1994-11-08","5250","5250","5050","5050","9436000","5050","1488"
"1994-11-09","5000","5050","4955","4970","13328000","4970","1489"
"1994-11-10","4965","4975","4800","4835","13650000","4835","1490"
"1994-11-11","4785","4850","4780","4810","9450000","4810","1491"
"1994-11-14","4800","4815","4790","4805","4426000","4805","1492"
"1994-11-15","4820","4990","4820","4955","6590000","4955","1493"
"1994-11-16","4955","4990","4900","4980","3496000","4980","1494"
"1994-11-17","4960","5050","4960","5050","3212000","5050","1495"
"1994-11-18","5000","5050","4975","5000","2502000","5000","1496"
"1994-11-21","4995","5050","4950","4950","1256000","4950","1497"
"1994-11-22","4900","4935","4865","4915","2478000","4915","1498"
"1994-11-24","4830","4870","4820","4825","3878000","4825","1500"
"1994-11-25","4835","4845","4795","4800","4538000","4800","1501"
"1994-11-28","4800","4810","4795","4805","2174000","4805","1502"
"1994-11-29","4825","4860","4810","4820","3824000","4820","1503"
"1994-11-30","4820","4860","4815","4815","2920000","4815","1504"
"1994-12-01","4825","4825","4800","4800","2382000","4800","1505"
"1994-12-02","4800","4810","4775","4775","2768000","4775","1506"
"1994-12-05","4790","4825","4790","4800","1762000","4800","1507"
"1994-12-06","4800","4810","4775","4775","1396000","4775","1508"
"1994-12-07","4775","4780","4765","4780","2636000","4780","1509"
"1994-12-08","4770","4775","4750","4750","2836000","4750","1510"
"1994-12-09","4750","4765","4700","4700","4052000","4700","1511"
"1994-12-12","4690","4700","4600","4600","4836000","4600","1512"
"1994-12-13","4600","4600","4505","4530","4686000","4530","1513"
"1994-12-14","4540","4570","4535","4535","2444000","4535","1514"
"1994-12-15","4570","4575","4545","4570","1528000","4570","1515"
"1994-12-16","4560","4570","4535","4540","2228000","4540","1516"
"1994-12-19","4535","4570","4535","4550","1352000","4550","1517"
"1994-12-20","4560","4625","4550","4620","2658000","4620","1518"
"1994-12-21","4615","4715","4615","4680","3398000","4680","1519"
"1994-12-22","4780","4900","4755","4870","4896000","4870","1520"
"1994-12-26","4890","4960","4890","4950","3898000","4950","1522"
"1994-12-27","4945","4950","4900","4910","4542000","4910","1523"
"1994-12-28","4875","4895","4845","4845","860000","4845","1524"
"1994-12-29","4895","4895","4830","4875","1576000","4875","1525"
"1994-12-30","4885","4960","4885","4930","2446000","4930","1526"
"1995-01-04","4935","4935","4860","4875","542000","4875","1528"
"1995-01-05","4925","4925","4875","4880","1394000","4880","1529"
"1995-01-06","4855","4875","4830","4830","744000","4830","1530"
"1995-01-09","4830","4870","4830","4845","1242000","4845","1531"
"1995-01-10","4850","4880","4845","4845","2392000","4845","1532"
"1995-01-11","4845","4860","4820","4845","1474000","4845","1533"
"1995-01-12","4845","4845","4770","4770","1458000","4770","1534"
"1995-01-13","4770","4775","4745","4760","1494000","4760","1535"
"1995-01-17","4710","4745","4710","4735","792000","4735","1537"
