3099 éOâzà…ê®íOHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2008-04-02","1205","1215","1118","1168","9041100","1168","4970"
"2008-04-03","1168","1169","1136","1150","2513900","1150","4971"
"2008-04-04","1095","1096","1061","1083","4611600","1083","4972"
"2008-04-07","1093","1115","1069","1097","1786200","1097","4973"
"2008-04-08","1117","1119","1083","1095","1246300","1095","4974"
"2008-04-09","1115","1119","1069","1089","1741300","1089","4975"
"2008-04-10","1090","1098","1060","1064","2039099","1064","4976"
"2008-04-11","1084","1107","1070","1093","3138500","1093","4977"
"2008-04-14","1054","1090","1048","1078","1336500","1078","4978"
"2008-04-15","1075","1107","1074","1101","1534599","1101","4979"
"2008-04-16","1117","1141","1110","1134","2206000","1134","4980"
"2008-04-17","1162","1162","1134","1141","1441800","1141","4981"
"2008-04-18","1147","1157","1136","1157","908299","1157","4982"
"2008-04-21","1170","1170","1097","1107","2100300","1107","4983"
"2008-04-22","1070","1106","1070","1101","1649599","1101","4984"
"2008-04-23","1081","1099","1067","1070","1867400","1070","4985"
"2008-04-24","1071","1088","1061","1065","1252099","1065","4986"
"2008-04-25","1076","1125","1073","1120","2269100","1120","4987"
"2008-04-28","1121","1140","1099","1126","2669600","1126","4988"
"2008-04-30","1140","1143","1087","1093","1978500","1093","4990"
"2008-05-01","1096","1125","1096","1117","3552199","1117","4991"
"2008-05-02","1177","1178","1149","1150","4394800","1150","4992"
"2008-05-07","1166","1199","1158","1188","2772699","1188","4995"
"2008-05-08","1161","1199","1161","1191","1624700","1191","4996"
"2008-05-09","1211","1244","1195","1200","3552800","1200","4997"
"2008-05-12","1201","1239","1188","1217","1229200","1217","4998"
"2008-05-13","1234","1235","1187","1203","1867400","1203","4999"
"2008-05-14","1230","1265","1202","1261","1830700","1261","5000"
"2008-05-15","1300","1303","1281","1291","1553400","1291","5001"
"2008-05-16","1273","1290","1263","1267","957200","1267","5002"
"2008-05-19","1270","1277","1235","1242","1057400","1242","5003"
"2008-05-20","1222","1238","1183","1195","1936900","1195","5004"
"2008-05-21","1179","1215","1178","1188","1494900","1188","5005"
"2008-05-22","1208","1239","1186","1230","2806699","1230","5006"
"2008-05-23","1254","1284","1248","1264","3013199","1264","5007"
"2008-05-26","1224","1247","1220","1229","1813400","1229","5008"
"2008-05-27","1223","1255","1219","1233","1171599","1233","5009"
"2008-05-28","1234","1238","1216","1229","1869700","1229","5010"
"2008-05-29","1230","1290","1229","1271","1370700","1271","5011"
"2008-05-30","1272","1282","1245","1266","2389600","1266","5012"
"2008-06-02","1299","1313","1284","1303","2676199","1303","5013"
"2008-06-03","1301","1308","1275","1293","1443800","1293","5014"
"2008-06-04","1294","1304","1278","1287","2118300","1287","5015"
"2008-06-05","1285","1310","1269","1305","1773599","1305","5016"
"2008-06-06","1335","1346","1320","1340","2264800","1340","5017"
"2008-06-09","1293","1316","1283","1309","1275500","1309","5018"
"2008-06-10","1330","1334","1290","1299","1029099","1299","5019"
"2008-06-11","1324","1345","1311","1339","1987000","1339","5020"
"2008-06-12","1299","1314","1290","1307","1626200","1307","5021"
"2008-06-13","1347","1348","1314","1327","6055000","1327","5022"
"2008-06-16","1347","1381","1340","1378","2162800","1378","5023"
"2008-06-17","1360","1367","1342","1345","1552700","1345","5024"
"2008-06-18","1346","1364","1324","1339","1220800","1339","5025"
"2008-06-19","1340","1352","1305","1315","1624300","1315","5026"
"2008-06-20","1295","1300","1259","1267","1791900","1267","5027"
"2008-06-23","1249","1258","1230","1240","1272700","1240","5028"
"2008-06-24","1241","1243","1210","1221","1612900","1221","5029"
"2008-06-25","1261","1261","1199","1220","2419900","1220","5030"
"2008-06-26","1224","1229","1193","1213","2067500","1213","5031"
"2008-06-27","1183","1204","1165","1204","2105900","1204","5032"
"2008-06-30","1205","1205","1121","1137","3721300","1137","5033"
"2008-07-01","1137","1150","1121","1128","996900","1128","5034"
"2008-07-02","1127","1130","1092","1099","2599100","1099","5035"
"2008-07-03","1097","1137","1095","1124","2708500","1124","5036"
"2008-07-04","1116","1122","1095","1104","1348599","1104","5037"
"2008-07-07","1105","1154","1104","1148","2216500","1148","5038"
"2008-07-08","1143","1143","1099","1112","1609700","1112","5039"
"2008-07-09","1130","1136","1108","1121","1199700","1121","5040"
"2008-07-10","1129","1183","1121","1171","2399699","1171","5041"
"2008-07-11","1184","1184","1135","1164","2821699","1164","5042"
"2008-07-14","1165","1189","1148","1150","1019200","1150","5043"
"2008-07-15","1163","1163","1141","1153","1118599","1153","5044"
"2008-07-16","1150","1158","1136","1147","833400","1147","5045"
"2008-07-17","1167","1183","1150","1181","1182599","1181","5046"
"2008-07-18","1201","1202","1165","1172","1219500","1172","5047"
"2008-07-22","1210","1220","1200","1213","1936099","1213","5049"
"2008-07-23","1212","1257","1210","1254","1743700","1254","5050"
"2008-07-24","1260","1273","1248","1270","1268800","1270","5051"
"2008-07-25","1254","1272","1245","1260","875400","1260","5052"
"2008-07-28","1280","1289","1246","1248","1446500","1248","5053"
"2008-07-29","1248","1248","1214","1227","1247900","1227","5054"
"2008-07-30","1240","1274","1240","1262","1206000","1262","5055"
"2008-07-31","1279","1280","1240","1244","1850599","1244","5056"
"2008-08-01","1224","1248","1215","1226","1091300","1226","5057"
"2008-08-04","1227","1248","1200","1208","1540300","1208","5058"
"2008-08-05","1209","1237","1208","1223","1005400","1223","5059"
