3289 “Œ‹}•s“®ŽYHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2013-10-02","1040","1057","1014","1018","7012000","1018","6402"
"2013-10-03","1012","1024","986","993","5295100","993","6403"
"2013-10-04","950","993","933","963","7789700","963","6404"
"2013-10-07","955","966","938","941","3039500","941","6405"
"2013-10-08","911","943","907","940","3815900","940","6406"
"2013-10-09","935","958","930","956","4753500","956","6407"
"2013-10-10","989","989","955","957","4295100","957","6408"
"2013-10-11","960","971","955","961","4078500","961","6409"
"2013-10-15","970","978","950","951","2370199","951","6411"
"2013-10-16","953","976","953","976","3258600","976","6412"
"2013-10-17","990","1024","988","1003","4916000","1003","6413"
"2013-10-18","1003","1033","999","1028","3567800","1028","6414"
"2013-10-21","1033","1063","1028","1056","4101100","1056","6415"
"2013-10-22","1047","1050","1026","1042","2736800","1042","6416"
"2013-10-23","1043","1049","1015","1025","3630699","1025","6417"
"2013-10-24","1010","1023","1003","1018","1697599","1018","6418"
"2013-10-25","1020","1020","986","986","2586000","986","6419"
"2013-10-28","995","1008","980","1004","1742599","1004","6420"
"2013-10-29","981","1000","981","991","1118700","991","6421"
"2013-10-30","996","1007","981","981","2953199","981","6422"
"2013-10-31","981","986","961","966","2250900","966","6423"
"2013-11-01","966","978","941","947","2388800","947","6424"
"2013-11-05","960","960","941","951","1603500","951","6426"
"2013-11-06","941","957","940","954","1587500","954","6427"
"2013-11-07","950","965","943","943","1505200","943","6428"
"2013-11-08","928","943","927","933","1442700","933","6429"
"2013-11-11","944","945","916","927","1627400","927","6430"
"2013-11-12","912","937","912","937","3030199","937","6431"
"2013-11-13","943","969","942","948","3837500","948","6432"
"2013-11-14","948","974","943","966","4048199","966","6433"
"2013-11-15","980","999","976","994","3594500","994","6434"
"2013-11-18","1000","1023","995","1005","4217200","1005","6435"
"2013-11-19","999","1010","991","999","2159100","999","6436"
"2013-11-20","1003","1010","990","999","2455800","999","6437"
"2013-11-21","1004","1005","988","995","2202100","995","6438"
"2013-11-22","1002","1012","982","989","4337300","989","6439"
"2013-11-25","997","997","967","972","2640500","972","6440"
"2013-11-26","963","977","950","977","2632000","977","6441"
"2013-11-27","963","976","949","951","4089699","951","6442"
"2013-11-28","954","968","939","949","4831100","949","6443"
"2013-11-29","932","944","930","938","3586300","938","6444"
"2013-12-02","945","949","930","934","1624300","934","6445"
"2013-12-03","946","968","936","965","5271300","965","6446"
"2013-12-04","950","958","931","937","2345300","937","6447"
"2013-12-05","932","940","911","915","3252699","915","6448"
"2013-12-06","912","922","910","911","2916600","911","6449"
"2013-12-09","925","926","912","916","1834099","916","6450"
