3402 “ŒƒŒ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","958","962","945","945","7377000","945","1"
"1989-02-20","955","959","940","948","2899000","948","2"
"1989-02-21","950","965","941","948","5360000","948","3"
"1989-02-22","947","960","940","960","3319000","960","4"
"1989-02-23","950","955","940","950","4231000","950","5"
"1989-02-27","945","949","940","940","3508000","940","7"
"1989-02-28","936","944","936","936","2990000","936","8"
"1989-03-01","941","954","927","940","3747000","940","9"
"1989-03-02","935","948","935","940","1918000","940","10"
"1989-03-03","945","945","930","936","3005000","936","11"
"1989-03-06","936","936","928","936","2167000","936","12"
"1989-03-07","935","936","930","935","1754000","935","13"
"1989-03-08","940","940","933","940","2415000","940","14"
"1989-03-09","931","938","928","933","2495000","933","15"
"1989-03-10","926","930","917","926","2338000","926","16"
"1989-03-13","928","928","912","913","1245000","913","17"
"1989-03-14","923","923","911","923","1462000","923","18"
"1989-03-15","920","923","916","923","1766000","923","19"
"1989-03-16","924","928","917","918","3701000","918","20"
"1989-03-17","919","927","918","920","2856000","920","21"
"1989-03-20","918","919","911","911","2669000","911","22"
"1989-03-22","911","920","860","885","3170000","885","24"
"1989-03-23","880","900","880","886","1776000","886","25"
"1989-03-24","890","890","886","890","1831000","890","26"
"1989-03-27","890","890","882","882","2440000","882","27"
"1989-03-28","881","915","880","914","2479000","914","28"
"1989-03-29","921","950","921","937","3716000","937","29"
"1989-03-30","949","990","949","989","29835000","989","30"
"1989-03-31","999","1010","971","980","20809000","980","31"
"1989-04-03","976","1020","976","1020","31321000","1020","32"
"1989-04-04","1030","1040","1010","1010","29194000","1010","33"
"1989-04-05","1030","1030","1000","1030","13114000","1030","34"
"1989-04-06","1010","1020","987","1000","5837000","1000","35"
"1989-04-07","1000","1010","990","990","5411000","990","36"
"1989-04-10","1000","1010","980","990","5686000","990","37"
"1989-04-11","999","1020","991","1020","8648000","1020","38"
"1989-04-12","1030","1040","1000","1000","9558000","1000","39"
"1989-04-13","1000","1010","985","985","3797000","985","40"
"1989-04-14","995","997","978","978","3277000","978","41"
"1989-04-17","998","1000","985","987","3002000","987","42"
"1989-04-18","995","1010","990","990","3694000","990","43"
"1989-04-19","1010","1050","1000","1040","29340000","1040","44"
"1989-04-20","1050","1050","1020","1030","13641000","1030","45"
"1989-04-21","1010","1020","1000","1010","5528000","1010","46"
"1989-04-24","1020","1020","993","1010","3823000","1010","47"
"1989-04-25","995","1010","995","1010","5298000","1010","48"
"1989-04-26","1000","1030","1000","1020","7304000","1020","49"
"1989-04-27","1030","1040","1020","1040","7485000","1040","50"
"1989-04-28","1040","1060","1030","1050","20403000","1050","51"
"1989-05-01","1050","1050","1040","1040","3834000","1040","52"
"1989-05-02","1040","1060","1030","1060","14160000","1060","53"
"1989-05-08","1060","1090","1050","1070","20267000","1070","57"
"1989-05-09","1080","1080","1050","1060","6862000","1060","58"
"1989-05-10","1060","1060","1040","1050","3312000","1050","59"
"1989-05-11","1050","1060","1040","1060","3240000","1060","60"
"1989-05-12","1040","1050","1040","1050","4347000","1050","61"
"1989-05-15","1040","1050","1030","1050","2744000","1050","62"
"1989-05-16","1050","1090","1040","1080","20845000","1080","63"
"1989-05-17","1090","1090","1060","1080","9858000","1080","64"
"1989-05-18","1070","1080","1050","1070","4566000","1070","65"
"1989-05-19","1060","1070","1050","1050","3676000","1050","66"
"1989-05-22","1060","1060","1040","1040","3210000","1040","67"
"1989-05-23","1040","1040","1020","1020","3571000","1020","68"
"1989-05-24","1030","1030","1020","1020","1853000","1020","69"
"1989-05-25","1030","1050","1020","1030","2965000","1030","70"
"1989-05-26","1050","1050","1040","1040","2332000","1040","71"
"1989-05-29","1050","1060","1020","1040","4027000","1040","72"
"1989-05-30","1030","1040","1020","1020","2244000","1020","73"
"1989-05-31","1030","1030","1020","1030","2121000","1030","74"
"1989-06-01","1040","1040","1000","1000","3686000","1000","75"
"1989-06-02","1020","1020","994","994","3149000","994","76"
"1989-06-05","1000","1020","998","1000","1439000","1000","77"
"1989-06-06","999","999","985","988","3057000","988","78"
"1989-06-07","991","1010","991","994","1639000","994","79"
"1989-06-08","1010","1010","995","1000","1602000","1000","80"
"1989-06-09","1000","1010","990","995","1712000","995","81"
"1989-06-12","995","995","980","983","2084000","983","82"
"1989-06-13","990","990","980","982","1519000","982","83"
"1989-06-14","972","980","966","979","1894000","979","84"
"1989-06-15","989","989","961","962","1354000","962","85"
"1989-06-16","963","969","950","960","2295000","960","86"
"1989-06-19","960","960","945","952","832000","952","87"
"1989-06-20","960","960","950","954","1269000","954","88"
"1989-06-21","960","960","954","958","2019000","958","89"
"1989-06-22","965","980","965","966","1591000","966","90"
"1989-06-23","985","990","976","984","2416000","984","91"
"1989-06-26","990","999","978","980","2145000","980","92"
"1989-06-27","970","980","970","980","2033000","980","93"
"1989-06-28","965","975","960","970","3395000","970","94"
"1989-06-29","962","970","959","960","1568000","960","95"
"1989-06-30","951","962","947","962","2117000","962","96"
"1989-07-03","962","969","948","960","998000","960","97"
"1989-07-04","965","970","956","963","1375000","963","98"
"1989-07-05","968","970","960","963","1869000","963","99"
"1989-07-06","983","983","967","979","2308000","979","100"
"1989-07-07","987","987","975","980","1457000","980","101"
"1989-07-10","985","990","983","990","1268000","990","102"
"1989-07-11","990","998","980","987","1429000","987","103"
"1989-07-12","990","990","971","977","1298000","977","104"
"1989-07-13","980","980","970","970","2084000","970","105"
"1989-07-14","980","985","975","981","1381000","981","106"
