3405 ƒNƒ‰ƒŒ,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","1300","1310","1300","1310","567000","1310"
"1989-02-20","1300","1340","1300","1310","246000","1310"
"1989-02-21","1340","1340","1300","1320","296000","1320"
"1989-02-22","1320","1330","1290","1300","499000","1300"
"1989-02-23","1300","1300","1270","1270","281000","1270"
"1989-02-27","1250","1280","1230","1240","312000","1240"
"1989-02-28","1240","1250","1230","1250","173000","1250"
"1989-03-01","1250","1280","1240","1260","573000","1260"
"1989-03-02","1320","1330","1300","1300","565000","1300"
"1989-03-03","1310","1310","1250","1250","221000","1250"
"1989-03-06","1250","1270","1230","1260","330000","1260"
"1989-03-07","1250","1270","1240","1270","207000","1270"
"1989-03-08","1260","1260","1240","1240","199000","1240"
"1989-03-09","1240","1250","1220","1230","292000","1230"
"1989-03-10","1220","1230","1200","1210","188000","1210"
"1989-03-13","1210","1240","1200","1240","215000","1240"
"1989-03-14","1230","1240","1210","1240","226000","1240"
"1989-03-15","1250","1250","1230","1230","269000","1230"
"1989-03-16","1240","1250","1230","1230","214000","1230"
"1989-03-17","1230","1230","1170","1180","916000","1180"
"1989-03-20","1180","1180","1150","1150","496000","1150"
"1989-03-22","1160","1170","1150","1160","464000","1160"
"1989-03-23","1170","1210","1170","1210","428000","1210"
"1989-03-24","1200","1210","1180","1200","260000","1200"
"1989-03-27","1190","1200","1170","1170","287000","1170"
"1989-03-28","1210","1210","1180","1200","170000","1200"
"1989-03-29","1220","1230","1200","1230","112000","1230"
"1989-03-30","1210","1230","1200","1230","414000","1230"
"1989-03-31","1290","1310","1260","1260","715000","1260"
"1989-04-03","1270","1350","1270","1320","947000","1320"
"1989-04-04","1340","1350","1320","1320","609000","1320"
"1989-04-05","1340","1340","1300","1300","347000","1300"
"1989-04-06","1310","1310","1260","1260","193000","1260"
"1989-04-07","1260","1280","1240","1270","561000","1270"
"1989-04-10","1290","1290","1260","1260","227000","1260"
"1989-04-11","1280","1400","1280","1330","2127000","1330"
"1989-04-12","1360","1370","1320","1350","1264000","1350"
"1989-04-13","1360","1360","1310","1320","361000","1320"
"1989-04-14","1340","1340","1320","1340","276000","1340"
"1989-04-17","1340","1350","1330","1340","267000","1340"
"1989-04-18","1340","1400","1320","1400","1636000","1400"
"1989-04-19","1420","1430","1390","1430","2857000","1430"
"1989-04-20","1430","1430","1390","1400","1316000","1400"
"1989-04-21","1360","1390","1350","1350","388000","1350"
"1989-04-24","1350","1370","1330","1350","287000","1350"
"1989-04-25","1390","1390","1350","1350","402000","1350"
"1989-04-26","1360","1360","1310","1320","428000","1320"
"1989-04-27","1360","1360","1330","1330","246000","1330"
"1989-04-28","1360","1360","1330","1350","505000","1350"
"1989-05-01","1340","1380","1340","1380","275000","1380"
"1989-05-02","1380","1390","1350","1390","333000","1390"
"1989-05-08","1390","1390","1360","1370","425000","1370"
"1989-05-09","1390","1390","1360","1360","375000","1360"
"1989-05-10","1380","1380","1360","1370","141000","1370"
"1989-05-11","1370","1380","1370","1370","295000","1370"
"1989-05-12","1370","1380","1340","1340","403000","1340"
"1989-05-15","1350","1350","1320","1320","247000","1320"
"1989-05-16","1340","1340","1310","1310","241000","1310"
"1989-05-17","1340","1340","1320","1340","174000","1340"
"1989-05-18","1340","1370","1330","1360","163000","1360"
"1989-05-19","1380","1380","1360","1380","307000","1380"
"1989-05-22","1380","1390","1370","1380","263000","1380"
"1989-05-23","1380","1380","1330","1360","373000","1360"
"1989-05-24","1370","1370","1340","1360","714000","1360"
"1989-05-25","1360","1380","1350","1360","468000","1360"
"1989-05-26","1360","1360","1330","1340","326000","1340"
"1989-05-29","1360","1360","1330","1330","139000","1330"
"1989-05-30","1330","1360","1330","1330","123000","1330"
"1989-05-31","1350","1370","1340","1340","195000","1340"
"1989-06-01","1360","1370","1340","1350","388000","1350"
"1989-06-02","1350","1370","1340","1340","282000","1340"
"1989-06-05","1340","1360","1330","1340","131000","1340"
"1989-06-06","1320","1350","1310","1340","176000","1340"
"1989-06-07","1340","1350","1330","1350","224000","1350"
"1989-06-08","1340","1350","1330","1340","121000","1340"
"1989-06-09","1350","1350","1330","1330","219000","1330"
"1989-06-12","1330","1340","1320","1320","186000","1320"
"1989-06-13","1340","1340","1330","1340","277000","1340"
"1989-06-14","1340","1340","1310","1340","308000","1340"
"1989-06-15","1350","1360","1330","1350","698000","1350"
"1989-06-16","1350","1350","1310","1330","308000","1330"
"1989-06-19","1310","1320","1300","1310","125000","1310"
"1989-06-20","1290","1340","1290","1340","183000","1340"
"1989-06-21","1330","1360","1330","1360","820000","1360"
"1989-06-22","1380","1470","1380","1450","5650000","1450"
"1989-06-23","1470","1480","1420","1440","3462000","1440"
"1989-06-26","1440","1440","1400","1400","710000","1400"
"1989-06-27","1420","1420","1390","1410","493000","1410"
"1989-06-28","1420","1440","1400","1440","1341000","1440"
"1989-06-29","1460","1480","1420","1440","2116000","1440"
"1989-06-30","1420","1430","1400","1410","671000","1410"
"1989-07-03","1390","1430","1390","1430","308000","1430"
"1989-07-04","1420","1450","1400","1420","786000","1420"
"1989-07-05","1430","1460","1430","1440","1134000","1440"
"1989-07-06","1460","1460","1430","1430","955000","1430"
"1989-07-07","1440","1460","1430","1450","1057000","1450"
"1989-07-10","1460","1510","1450","1500","4173000","1500"
"1989-07-11","1500","1520","1470","1490","2730000","1490"
"1989-07-12","1490","1490","1470","1470","906000","1470"
"1989-07-13","1480","1490","1470","1480","706000","1480"
"1989-07-14","1490","1490","1470","1480","438000","1480"
"1989-07-17","1460","1480","1460","1460","67000","1460"
"1989-07-18","1450","1460","1440","1440","253000","1440"
"1989-07-19","1460","1470","1450","1460","187000","1460"
"1989-07-20","1460","1470","1450","1460","279000","1460"
"1989-07-21","1460","1490","1460","1470","912000","1470"
"1989-07-24","1480","1500","1480","1490","575000","1490"
"1989-07-25","1490","1490","1470","1490","813000","1490"
"1989-07-26","1500","1500","1470","1480","619000","1480"
"1989-07-27","1470","1500","1470","1490","608000","1490"
"1989-07-28","1500","1500","1480","1490","728000","1490"
"1989-07-31","1500","1500","1490","1500","355000","1500"
"1989-08-01","1500","1520","1480","1520","1126000","1520"
"1989-08-02","1530","1570","1530","1570","2720000","1570"
"1989-08-03","1570","1600","1560","1570","2000000","1570"
"1989-08-04","1580","1580","1560","1580","667000","1580"
"1989-08-07","1580","1580","1550","1550","248000","1550"
"1989-08-08","1550","1560","1530","1560","329000","1560"
"1989-08-09","1540","1560","1540","1560","321000","1560"
"1989-08-10","1540","1550","1530","1550","270000","1550"
"1989-08-11","1550","1570","1550","1570","334000","1570"
"1989-08-14","1570","1570","1560","1570","270000","1570"
"1989-08-15","1570","1570","1540","1550","204000","1550"
"1989-08-16","1550","1560","1540","1560","379000","1560"
"1989-08-17","1560","1560","1550","1560","375000","1560"
"1989-08-18","1550","1570","1540","1560","344000","1560"
"1989-08-21","1530","1560","1530","1530","513000","1530"
"1989-08-22","1520","1520","1500","1520","510000","1520"
"1989-08-23","1510","1520","1500","1520","386000","1520"
"1989-08-24","1520","1540","1510","1530","653000","1530"
"1989-08-25","1530","1540","1520","1540","490000","1540"
"1989-08-28","1540","1540","1520","1520","260000","1520"
"1989-08-29","1530","1530","1500","1520","315000","1520"
"1989-08-30","1540","1550","1510","1530","829000","1530"
"1989-08-31","1520","1520","1480","1490","403000","1490"
"1989-09-01","1490","1500","1480","1500","845000","1500"
"1989-09-04","1490","1500","1470","1490","463000","1490"
"1989-09-05","1500","1500","1470","1490","709000","1490"
"1989-09-06","1490","1500","1480","1490","334000","1490"
"1989-09-07","1490","1500","1480","1500","572000","1500"
"1989-09-08","1500","1530","1500","1520","1750000","1520"
"1989-09-11","1520","1520","1490","1490","568000","1490"
"1989-09-12","1510","1520","1500","1510","573000","1510"
"1989-09-13","1510","1520","1500","1510","602000","1510"
"1989-09-14","1520","1520","1510","1520","680000","1520"
"1989-09-18","1520","1520","1510","1510","758000","1510"
"1989-09-19","1510","1510","1490","1490","524000","1490"
"1989-09-20","1490","1510","1490","1500","501000","1500"
"1989-09-21","1500","1510","1500","1500","794000","1500"
"1989-09-22","1510","1540","1510","1530","1980000","1530"
"1989-09-25","1540","1560","1540","1560","2179000","1560"
"1989-09-26","1650","1660","1600","1630","6024000","1630"
"1989-09-27","1630","1640","1590","1610","2056000","1610"
"1989-09-28","1610","1640","1600","1630","1724000","1630"
"1989-09-29","1630","1680","1630","1660","5899000","1660"
"1989-10-02","1660","1700","1650","1670","3099000","1670"
"1989-10-03","1680","1740","1680","1710","6419000","1710"
"1989-10-04","1710","1720","1690","1690","2094000","1690"
"1989-10-05","1690","1740","1690","1730","3077000","1730"
"1989-10-06","1720","1730","1680","1690","1741000","1690"
"1989-10-09","1690","1700","1680","1680","511000","1680"
"1989-10-11","1680","1680","1650","1670","1052000","1670"
"1989-10-12","1650","1660","1620","1620","666000","1620"
"1989-10-13","1650","1660","1630","1640","701000","1640"
"1989-10-16","1580","1620","1570","1600","694000","1600"
"1989-10-17","1610","1640","1610","1620","613000","1620"
"1989-10-18","1630","1670","1630","1670","1370000","1670"
"1989-10-19","1680","1680","1620","1630","1463000","1630"
