3436 SUMCO,,,,,
"date","open","hight","low","close","power","End","date_position"
"2005-11-18","4000","4250","3940","4240","12140200","4240","4355"
"2005-11-21","4290","4320","4080","4230","4556300","4230","4356"
"2005-11-22","4180","4260","4100","4160","2405699","4160","4357"
"2005-11-24","4130","4400","4130","4400","4464300","4400","4359"
"2005-11-25","4300","4470","4270","4400","2235199","4400","4360"
"2005-11-28","4500","4810","4470","4750","2882800","4750","4361"
"2005-11-29","4750","4760","4610","4720","1916599","4720","4362"
"2005-11-30","4680","4740","4460","4620","1191700","4620","4363"
"2005-12-01","4590","4780","4460","4660","2160699","4660","4364"
"2005-12-02","4760","4990","4670","4910","1786000","4910","4365"
"2005-12-05","4960","5390","4950","5320","2440300","5320","4366"
"2005-12-06","5100","5170","4960","4980","1475099","4980","4367"
"2005-12-07","5060","5130","4820","4990","976400","4990","4368"
"2005-12-08","4940","5040","4740","4920","877000","4920","4369"
"2005-12-09","4820","4890","4670","4870","1008900","4870","4370"
"2005-12-12","4990","5120","4880","5090","1282800","5090","4371"
"2005-12-13","5280","5300","5140","5300","1638099","5300","4372"
"2005-12-14","5200","5240","4990","5050","799799","5050","4373"
"2005-12-15","5090","5290","5050","5260","919400","5260","4374"
"2005-12-16","5250","5290","5100","5110","680500","5110","4375"
"2005-12-19","5200","5200","5040","5080","320000","5080","4376"
"2005-12-20","4980","5150","4950","5080","764000","5080","4377"
"2005-12-21","5080","5150","5050","5110","681900","5110","4378"
"2005-12-22","5110","5240","5080","5240","635100","5240","4379"
"2005-12-26","5300","5450","5240","5400","1403400","5400","4381"
"2005-12-27","5550","6040","5530","5800","3354300","5800","4382"
"2005-12-28","5800","6000","5790","5990","1373099","5990","4383"
"2005-12-29","6190","6530","6170","6320","4340500","6320","4384"
"2005-12-30","6380","6440","5960","6190","1071700","6190","4385"
"2006-01-04","6370","6380","6180","6230","514100","6230","4387"
"2006-01-05","6280","6380","6170","6320","1082300","6320","4388"
"2006-01-06","6350","6650","6320","6630","1025700","6630","4389"
"2006-01-10","6710","6790","6320","6500","963299","6500","4391"
"2006-01-11","6600","6610","6280","6420","1102200","6420","4392"
"2006-01-12","6490","6540","6170","6240","1260200","6240","4393"
"2006-01-13","6040","6370","6020","6260","1212500","6260","4394"
"2006-01-16","6400","6470","6310","6410","1035400","6410","4395"
"2006-01-17","6300","6530","6030","6190","681900","6190","4396"
"2006-01-18","6000","6050","5300","5890","1177700","5890","4397"
"2006-01-19","5790","6290","5760","6110","724600","6110","4398"
"2006-01-20","6310","6330","5910","6050","514600","6050","4399"
"2006-01-23","5850","6010","5820","5910","294800","5910","4400"
"2006-01-24","5920","6100","5920","6030","293600","6030","4401"
"2006-01-25","6030","6230","5950","6110","465100","6110","4402"
"2006-01-26","6260","6270","6090","6110","379000","6110","4403"
"2006-01-27","6290","6380","6250","6380","527900","6380","4404"
"2006-01-30","6500","6500","6360","6390","613799","6390","4405"
"2006-01-31","6400","6400","6300","6340","246699","6340","4406"
"2006-02-01","6240","6420","6240","6280","496899","6280","4407"
"2006-02-02","6360","6430","6310","6430","379399","6430","4408"
"2006-02-03","6600","6960","6570","6940","3091600","6940","4409"
"2006-02-06","6840","6900","6650","6890","808900","6890","4410"
"2006-02-07","6880","6890","6720","6750","395100","6750","4411"
"2006-02-08","6730","6740","6430","6470","513600","6470","4412"
"2006-02-09","6550","6570","6320","6360","557200","6360","4413"
"2006-02-10","6260","6530","6020","6270","607200","6270","4414"
"2006-02-13","6200","6250","5610","5630","789600","5630","4415"
"2006-02-14","6030","6340","5530","6000","1748500","6000","4416"
"2006-02-15","6090","6240","5820","5960","1082800","5960","4417"
"2006-02-16","5860","6040","5830","5930","448899","5930","4418"
"2006-02-17","6020","6060","5540","5650","758400","5650","4419"
"2006-02-20","5450","5470","5050","5160","1050500","5160","4420"
"2006-02-21","5360","5590","5340","5500","722299","5500","4421"
"2006-02-22","5700","5880","5540","5620","928600","5620","4422"
"2006-02-23","5790","5910","5750","5860","530700","5860","4423"
"2006-02-24","5830","6000","5780","5930","765100","5930","4424"
"2006-02-27","6000","6060","5840","6020","837299","6020","4425"
"2006-02-28","5980","6020","5680","5840","2731199","5840","4426"
"2006-03-01","5740","5740","5550","5570","788299","5570","4427"
"2006-03-02","5620","5650","5280","5500","1225500","5500","4428"
"2006-03-03","5410","5630","5350","5390","477500","5390","4429"
"2006-03-06","5430","5540","5240","5300","544299","5300","4430"
"2006-03-07","5270","5450","5250","5440","391800","5440","4431"
"2006-03-08","5440","5440","5290","5320","281700","5320","4432"
"2006-03-09","5350","5580","5350","5580","297800","5580","4433"
"2006-03-10","5680","5740","5560","5560","671100","5560","4434"
"2006-03-13","5710","5770","5660","5670","271300","5670","4435"
"2006-03-14","5600","5670","5500","5510","403100","5510","4436"
"2006-03-15","5540","5580","5490","5520","459600","5520","4437"
"2006-03-16","5400","5460","5260","5420","841200","5420","4438"
"2006-03-17","5590","5680","5460","5480","1020500","5480","4439"
"2006-03-20","5600","5920","5550","5850","1049099","5850","4440"
"2006-03-22","5900","6070","5880","6040","888700","6040","4442"
"2006-03-23","6070","6080","5780","5840","690000","5840","4443"
"2006-03-24","5850","5990","5840","5990","574700","5990","4444"
"2006-03-27","5990","6030","5880","5940","432200","5940","4445"
"2006-03-28","5960","5970","5880","5930","409100","5930","4446"
"2006-03-29","5980","6220","5950","6210","1309200","6210","4447"
"2006-03-30","6270","6320","6240","6290","645100","6290","4448"
"2006-03-31","6270","6350","6220","6320","354600","6320","4449"
"2006-04-03","6300","6380","6290","6350","480600","6350","4450"
"2006-04-04","6450","6520","6400","6450","1050200","6450","4451"
"2006-04-05","6550","6700","6500","6600","945400","6600","4452"
"2006-04-06","6650","6720","6640","6650","565799","6650","4453"
"2006-04-07","6660","6800","6520","6800","686700","6800","4454"
"2006-04-10","6770","6840","6700","6820","656900","6820","4455"
"2006-04-11","6840","7120","6720","7080","1465300","7080","4456"
"2006-04-12","6950","7030","6900","6990","1109200","6990","4457"
"2006-04-13","6980","6980","6740","6860","651000","6860","4458"
"2006-04-14","7080","7170","6870","7130","1637599","7130","4459"
"2006-04-17","7030","7090","6750","6860","881100","6860","4460"
"2006-04-18","6760","6930","6760","6920","303500","6920","4461"
"2006-04-19","7000","7080","6900","6910","364399","6910","4462"
"2006-04-20","6860","6900","6630","6720","1130900","6720","4463"
"2006-04-21","6710","6820","6580","6680","492600","6680","4464"
"2006-04-24","6510","6560","6390","6440","571600","6440","4465"
"2006-04-25","6440","6570","6430","6540","394200","6540","4466"
"2006-04-26","6530","6700","6430","6550","547200","6550","4467"
"2006-04-27","6740","7010","6670","6880","1356099","6880","4468"
"2006-04-28","6780","6870","6680","6810","346300","6810","4469"
"2006-05-01","6900","6950","6850","6880","244900","6880","4470"
"2006-05-02","6910","7040","6880","6980","641100","6980","4471"
"2006-05-08","7180","7180","7030","7080","775799","7080","4475"
"2006-05-09","7100","7110","7050","7090","345000","7090","4476"
"2006-05-10","7100","7100","6810","6850","432100","6850","4477"
"2006-05-11","6750","6840","6580","6680","514500","6680","4478"
"2006-05-12","6480","6650","6250","6570","743900","6570","4479"
"2006-05-15","6470","6580","6410","6530","391100","6530","4480"
"2006-05-16","6630","6680","6310","6450","284800","6450","4481"
"2006-05-17","6550","6680","6450","6680","317100","6680","4482"
"2006-05-18","6380","6600","6380","6500","326600","6500","4483"
"2006-05-19","6570","6800","6510","6780","417300","6780","4484"
"2006-05-22","6880","6880","6570","6630","330100","6630","4485"
"2006-05-23","6430","6440","6250","6300","624500","6300","4486"
"2006-05-24","6390","6600","6340","6600","445300","6600","4487"
"2006-05-25","6510","6520","6360","6430","380899","6430","4488"
"2006-05-26","6440","6500","6280","6320","523299","6320","4489"
"2006-05-29","6370","6450","6310","6430","388600","6430","4490"
"2006-05-30","6500","6660","6460","6630","410200","6630","4491"
"2006-05-31","6430","6620","6410","6620","744100","6620","4492"
"2006-06-01","6890","6950","6620","6630","1117700","6630","4493"
"2006-06-02","6680","6720","6330","6500","720000","6500","4494"
"2006-06-05","6500","6630","6490","6530","245100","6530","4495"
"2006-06-06","6380","6470","6370","6420","302500","6420","4496"
"2006-06-07","6460","6490","6180","6300","686000","6300","4497"
"2006-06-08","6200","6260","5850","5850","991000","5850","4498"
"2006-06-09","5930","6230","5840","6120","714000","6120","4499"
"2006-06-12","6120","6400","6070","6310","582600","6310","4500"
"2006-06-13","6260","6260","6100","6110","327100","6110","4501"
"2006-06-14","6120","6420","6050","6240","888100","6240","4502"
"2006-06-15","6600","6800","6490","6600","1548400","6600","4503"
"2006-06-16","6850","6850","6550","6590","754600","6590","4504"
"2006-06-19","6540","6600","6520","6580","381300","6580","4505"
"2006-06-20","6550","6630","6440","6490","493700","6490","4506"
"2006-06-21","6490","6490","6340","6420","463300","6420","4507"
"2006-06-22","6510","6650","6500","6620","418100","6620","4508"
"2006-06-23","6600","6790","6550","6780","300800","6780","4509"
"2006-06-26","6800","6830","6710","6800","259600","6800","4510"
"2006-06-27","6840","6840","6670","6780","392100","6780","4511"
"2006-06-28","6740","6750","6670","6730","229699","6730","4512"
"2006-06-29","6680","6680","6400","6570","994100","6570","4513"
"2006-06-30","6660","6710","6350","6520","1348000","6520","4514"
"2006-07-03","6460","6500","6380","6410","685900","6410","4515"
"2006-07-04","6500","6620","6480","6580","660400","6580","4516"
"2006-07-05","6480","6700","6460","6600","284300","6600","4517"
"2006-07-06","6600","6600","6420","6440","371899","6440","4518"
"2006-07-07","6460","6650","6360","6380","953600","6380","4519"
"2006-07-10","6350","6430","6250","6400","478600","6400","4520"
"2006-07-11","6360","6490","6320","6480","456100","6480","4521"
"2006-07-12","6450","6490","6320","6380","391600","6380","4522"
"2006-07-13","6380","6650","6380","6510","780900","6510","4523"
"2006-07-14","6450","6570","6380","6400","377000","6400","4524"
"2006-07-18","6410","6420","6160","6200","686000","6200","4526"
"2006-07-19","6270","6300","6200","6200","270000","6200","4527"
"2006-07-20","6510","6510","6280","6310","254199","6310","4528"
"2006-07-21","6230","6240","6180","6200","427200","6200","4529"
"2006-07-24","5900","6120","5890","6100","557200","6100","4530"
"2006-07-25","6250","6350","6200","6320","398500","6320","4531"
"2006-07-26","6400","6410","6220","6280","255600","6280","4532"
"2006-07-27","6230","6460","6230","6410","468800","6410","4533"
"2006-07-28","6530","6750","6500","6750","922900","6750","4534"
"2006-07-31","6800","6810","6640","6660","496399","6660","4535"
"2006-08-01","6960","7010","6740","6960","1109900","6960","4536"
"2006-08-02","6960","7070","6900","7060","748700","7060","4537"
"2006-08-03","7100","7130","7050","7080","573799","7080","4538"
"2006-08-04","7020","7040","6830","6900","445200","6900","4539"
"2006-08-07","6830","6930","6700","6720","365600","6720","4540"
"2006-08-08","6820","6930","6800","6880","378600","6880","4541"
"2006-08-09","6940","7150","6840","7100","492000","7100","4542"
"2006-08-10","7100","7120","6980","7080","333600","7080","4543"
"2006-08-11","7150","7220","7050","7160","624400","7160","4544"
"2006-08-14","7160","7270","7150","7240","346600","7240","4545"
"2006-08-15","7280","7420","7240","7350","462600","7350","4546"
"2006-08-16","7440","7530","7350","7400","442500","7400","4547"
"2006-08-17","7400","7450","7380","7410","458500","7410","4548"
"2006-08-18","7450","7830","7440","7800","1192000","7800","4549"
"2006-08-21","7700","7770","7600","7700","729500","7700","4550"
"2006-08-22","7600","7740","7490","7700","681600","7700","4551"
"2006-08-23","7700","7820","7640","7720","515799","7720","4552"
"2006-08-24","7610","7730","7570","7590","502899","7590","4553"
"2006-08-25","7490","7650","7440","7560","676700","7560","4554"
"2006-08-28","7500","7510","7300","7360","298100","7360","4555"
"2006-08-29","7450","7500","7370","7430","423399","7430","4556"
"2006-08-30","7440","7650","7430","7520","520299","7520","4557"
"2006-08-31","7550","7820","7540","7800","674000","7800","4558"
"2006-09-01","7780","8060","7700","8030","731900","8030","4559"
"2006-09-04","8040","8210","7930","8160","657000","8160","4560"
"2006-09-05","8190","8320","8120","8280","451000","8280","4561"
"2006-09-06","8300","8300","8030","8030","611200","8030","4562"
"2006-09-07","7930","7980","7790","7850","638200","7850","4563"
"2006-09-08","7750","7980","7720","7890","737000","7890","4564"
"2006-09-11","7990","8120","7960","8010","438500","8010","4565"
"2006-09-12","8110","8120","7910","7950","465100","7950","4566"
"2006-09-13","8250","8420","8230","8360","1844500","8360","4567"
"2006-09-14","8390","8560","8300","8330","729700","8330","4568"
"2006-09-15","8340","8800","8330","8790","1371099","8790","4569"
"2006-09-19","8820","8960","8560","8610","850799","8610","4571"
"2006-09-20","8380","8530","8150","8230","1444300","8230","4572"
"2006-09-21","8320","8390","8200","8240","973000","8240","4573"
"2006-09-22","8230","8230","8050","8100","541400","8100","4574"
"2006-09-25","8100","8190","8000","8150","476600","8150","4575"
"2006-09-26","8250","8290","8170","8200","312300","8200","4576"
"2006-09-27","8400","8640","8380","8620","1156700","8620","4577"
"2006-09-28","8720","8920","8650","8710","934299","8710","4578"
"2006-09-29","8780","8910","8650","8750","876000","8750","4579"
"2006-10-02","8800","9060","8760","9040","898400","9040","4580"
"2006-10-03","8990","9320","8890","9230","1123800","9230","4581"
