3861 â§éqêªéÜ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1880","1890","1840","1850","4061000","1850","1"
"1989-02-20","1860","1870","1830","1850","1587000","1850","2"
"1989-02-21","1850","1860","1800","1830","1306000","1830","3"
"1989-02-22","1850","1850","1820","1830","1095000","1830","4"
"1989-02-23","1860","1930","1840","1900","9262000","1900","5"
"1989-02-27","1890","1920","1880","1900","2464000","1900","7"
"1989-02-28","1880","1900","1820","1820","1194000","1820","8"
"1989-03-01","1880","1880","1820","1830","1600000","1830","9"
"1989-03-02","1830","1860","1810","1830","805000","1830","10"
"1989-03-03","1860","1860","1820","1830","745000","1830","11"
"1989-03-06","1810","1830","1810","1810","621000","1810","12"
"1989-03-07","1810","1840","1790","1820","921000","1820","13"
"1989-03-08","1800","1830","1800","1820","1045000","1820","14"
"1989-03-09","1810","1820","1800","1800","633000","1800","15"
"1989-03-10","1800","1810","1780","1800","749000","1800","16"
"1989-03-13","1800","1800","1760","1770","1089000","1770","17"
"1989-03-14","1770","1790","1750","1790","869000","1790","18"
"1989-03-15","1820","1850","1790","1850","2049000","1850","19"
"1989-03-16","1880","1880","1830","1870","1905000","1870","20"
"1989-03-17","1840","1860","1830","1850","1317000","1850","21"
"1989-03-20","1790","1820","1780","1780","970000","1780","22"
"1989-03-22","1790","1830","1780","1790","1149000","1790","24"
"1989-03-23","1790","1820","1780","1820","1266000","1820","25"
"1989-03-24","1820","1820","1780","1810","1203000","1810","26"
"1989-03-27","1810","1830","1800","1830","1238000","1830","27"
"1989-03-28","1890","1990","1860","1960","29240000","1960","28"
"1989-03-29","1970","2040","1940","2020","21983000","2020","29"
"1989-03-30","2020","2030","1970","2010","7234000","2010","30"
"1989-03-31","2010","2020","1950","1980","3861000","1980","31"
"1989-04-03","1980","2120","1960","2100","25042000","2100","32"
"1989-04-04","2090","2140","2060","2070","12398000","2070","33"
"1989-04-05","2110","2150","2060","2120","15460000","2120","34"
"1989-04-06","2110","2120","2020","2090","6718000","2090","35"
"1989-04-07","2080","2110","2060","2110","6079000","2110","36"
