3863 ì˙ñ{êªéÜ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1280","1290","1250","1250","4159000","1250","1"
"1989-02-20","1250","1260","1240","1240","1400000","1240","2"
"1989-02-21","1240","1260","1210","1240","1888000","1240","3"
"1989-02-22","1260","1260","1240","1260","1344000","1260","4"
"1989-02-23","1290","1350","1290","1340","15421000","1340","5"
"1989-02-27","1330","1370","1320","1340","5974000","1340","7"
"1989-02-28","1330","1340","1260","1280","1484000","1280","8"
"1989-03-01","1310","1320","1240","1280","2523000","1280","9"
"1989-03-02","1270","1300","1250","1290","1295000","1290","10"
"1989-03-03","1300","1310","1270","1290","912000","1290","11"
"1989-03-06","1270","1290","1260","1280","779000","1280","12"
"1989-03-07","1250","1270","1250","1250","1417000","1250","13"
"1989-03-08","1270","1280","1260","1270","1221000","1270","14"
"1989-03-09","1270","1270","1230","1230","832000","1230","15"
"1989-03-10","1230","1240","1210","1220","661000","1220","16"
"1989-03-13","1240","1240","1220","1220","737000","1220","17"
"1989-03-14","1220","1230","1210","1230","605000","1230","18"
"1989-03-15","1250","1270","1230","1250","1458000","1250","19"
"1989-03-16","1270","1270","1230","1250","1029000","1250","20"
"1989-03-17","1260","1270","1240","1240","1208000","1240","21"
"1989-03-20","1230","1250","1210","1250","914000","1250","22"
"1989-03-22","1240","1250","1220","1240","1047000","1240","24"
"1989-03-23","1240","1250","1220","1220","788000","1220","25"
"1989-03-24","1240","1240","1220","1220","945000","1220","26"
"1989-03-27","1240","1250","1220","1230","909000","1230","27"
"1989-03-28","1250","1320","1250","1280","3093000","1280","28"
"1989-03-29","1300","1330","1260","1310","3419000","1310","29"
"1989-03-30","1330","1330","1310","1330","1566000","1330","30"
"1989-03-31","1320","1330","1310","1310","1601000","1310","31"
"1989-04-03","1310","1390","1310","1370","5246000","1370","32"
"1989-04-04","1390","1390","1360","1390","3396000","1390","33"
"1989-04-05","1370","1400","1340","1380","5571000","1380","34"
"1989-04-06","1370","1380","1340","1370","1684000","1370","35"
"1989-04-07","1360","1370","1350","1370","1643000","1370","36"
"1989-04-10","1380","1380","1340","1360","1151000","1360","37"
"1989-04-11","1350","1400","1330","1390","3586000","1390","38"
"1989-04-12","1390","1390","1360","1370","1057000","1370","39"
"1989-04-13","1370","1370","1330","1350","855000","1350","40"
"1989-04-14","1330","1350","1320","1340","649000","1340","41"
"1989-04-17","1340","1350","1330","1330","663000","1330","42"
"1989-04-18","1350","1350","1310","1320","1383000","1320","43"
"1989-04-19","1320","1380","1320","1370","1461000","1370","44"
"1989-04-20","1380","1380","1350","1380","1859000","1380","45"
"1989-04-21","1350","1380","1340","1360","1351000","1360","46"
"1989-04-24","1370","1370","1330","1330","1188000","1330","47"
"1989-04-25","1330","1360","1320","1340","765000","1340","48"
"1989-04-26","1340","1370","1340","1370","1818000","1370","49"
"1989-04-27","1370","1420","1370","1420","6098000","1420","50"
"1989-04-28","1410","1430","1390","1410","3804000","1410","51"
"1989-05-01","1400","1410","1380","1400","890000","1400","52"
"1989-05-02","1380","1400","1380","1400","1486000","1400","53"
"1989-05-08","1400","1440","1390","1420","3784000","1420","57"
"1989-05-09","1400","1410","1390","1400","1493000","1400","58"
"1989-05-10","1400","1460","1390","1430","6945000","1430","59"
"1989-05-11","1420","1440","1380","1400","2657000","1400","60"
"1989-05-12","1400","1400","1380","1390","713000","1390","61"
"1989-05-15","1370","1390","1370","1380","733000","1380","62"
"1989-05-16","1380","1390","1370","1390","763000","1390","63"
"1989-05-17","1380","1420","1380","1380","3458000","1380","64"
"1989-05-18","1370","1380","1360","1360","1311000","1360","65"
"1989-05-19","1350","1370","1350","1350","651000","1350","66"
"1989-05-22","1350","1360","1330","1340","1281000","1340","67"
"1989-05-23","1310","1330","1290","1330","1060000","1330","68"
"1989-05-24","1300","1330","1300","1320","1060000","1320","69"
"1989-05-25","1310","1340","1310","1320","765000","1320","70"
"1989-05-26","1340","1340","1320","1330","773000","1330","71"
"1989-05-29","1340","1350","1320","1330","652000","1330","72"
"1989-05-30","1330","1350","1320","1350","620000","1350","73"
"1989-05-31","1330","1360","1330","1360","406000","1360","74"
"1989-06-01","1320","1330","1260","1280","2533000","1280","75"
"1989-06-02","1240","1260","1190","1190","1990000","1190","76"
"1989-06-05","1190","1220","1190","1210","1497000","1210","77"
"1989-06-06","1190","1220","1160","1220","1028000","1220","78"
"1989-06-07","1210","1220","1190","1200","819000","1200","79"
"1989-06-08","1200","1230","1200","1230","843000","1230","80"
"1989-06-09","1210","1230","1210","1230","484000","1230","81"
