4005 èZóFâªäw,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1010","1020","995","1010","8416000","1010","1"
"1989-02-20","1030","1040","1020","1030","10909000","1030","2"
"1989-02-21","1040","1070","1040","1040","20149000","1040","3"
"1989-02-22","1050","1060","1040","1040","4044000","1040","4"
"1989-02-23","1030","1040","1020","1040","7453000","1040","5"
"1989-02-27","1020","1040","1010","1020","4590000","1020","7"
"1989-02-28","1010","1020","989","1000","2930000","1000","8"
"1989-03-01","1000","1010","980","981","2584000","981","9"
"1989-03-02","988","1000","975","983","3618000","983","10"
"1989-03-03","1000","1010","985","985","2555000","985","11"
"1989-03-06","995","995","979","995","1334000","995","12"
"1989-03-07","985","995","977","981","2419000","981","13"
"1989-03-08","989","995","976","976","2656000","976","14"
"1989-03-09","976","980","971","971","2039000","971","15"
"1989-03-10","969","969","954","955","2174000","955","16"
"1989-03-13","960","960","947","952","1529000","952","17"
"1989-03-14","951","955","948","951","1390000","951","18"
"1989-03-15","952","959","952","955","2967000","955","19"
"1989-03-16","958","960","948","960","3654000","960","20"
"1989-03-17","970","978","960","969","4545000","969","21"
"1989-03-20","951","965","951","959","1963000","959","22"
"1989-03-22","958","958","921","930","1944000","930","24"
"1989-03-23","929","930","919","927","6837000","927","25"
"1989-03-24","923","924","918","923","6272000","923","26"
"1989-03-27","923","930","920","930","1926000","930","27"
"1989-03-28","935","968","922","959","3217000","959","28"
"1989-03-29","961","1000","961","993","5590000","993","29"
"1989-03-30","1040","1080","1030","1070","28121000","1070","30"
"1989-03-31","1090","1090","1070","1080","23914000","1080","31"
"1989-04-03","1090","1090","1070","1070","13944000","1070","32"
"1989-04-04","1070","1080","1040","1050","6559000","1050","33"
"1989-04-05","1050","1090","1050","1080","16192000","1080","34"
"1989-04-06","1060","1070","1030","1050","5195000","1050","35"
"1989-04-07","1040","1070","1030","1050","5801000","1050","36"
"1989-04-10","1050","1060","1040","1050","3762000","1050","37"
"1989-04-11","1050","1080","1040","1060","5642000","1060","38"
"1989-04-12","1060","1070","1040","1040","4925000","1040","39"
"1989-04-13","1030","1040","1000","1010","3385000","1010","40"
"1989-04-14","1000","1010","995","1000","2753000","1000","41"
"1989-04-17","1030","1040","1010","1010","1688000","1010","42"
"1989-04-18","1010","1030","1010","1030","1671000","1030","43"
"1989-04-19","1030","1060","1020","1040","3445000","1040","44"
"1989-04-20","1050","1060","1020","1030","4253000","1030","45"
"1989-04-21","1020","1040","1010","1030","2479000","1030","46"
"1989-04-24","1030","1040","1020","1020","2502000","1020","47"
"1989-04-25","1020","1030","1010","1020","1967000","1020","48"
"1989-04-26","1030","1040","1020","1020","2495000","1020","49"
"1989-04-27","1030","1050","1030","1030","3155000","1030","50"
"1989-04-28","1050","1060","1030","1040","2612000","1040","51"
"1989-05-01","1040","1050","1030","1030","1905000","1030","52"
"1989-05-02","1030","1040","1020","1040","3044000","1040","53"
"1989-05-08","1040","1050","1030","1030","2340000","1030","57"
"1989-05-09","1040","1040","1010","1010","2500000","1010","58"
"1989-05-10","1010","1020","1010","1020","1587000","1020","59"
"1989-05-11","1020","1020","1010","1020","1136000","1020","60"
"1989-05-12","1010","1020","1000","1000","2105000","1000","61"
"1989-05-15","1000","1020","999","1000","1159000","1000","62"
"1989-05-16","1000","1020","1000","1000","1087000","1000","63"
