4061 デンカ(電気化学),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","815","825","811","821","1615000","821","1"
"1989-02-20","830","839","822","835","2915000","835","2"
"1989-02-21","845","890","843","868","29626000","868","3"
"1989-02-22","884","898","873","890","16878000","890","4"
"1989-02-23","890","900","883","897","14429000","897","5"
"1989-02-27","887","894","879","880","3295000","880","7"
"1989-02-28","878","880","851","860","2168000","860","8"
"1989-03-01","861","875","843","850","2404000","850","9"
"1989-03-02","855","857","845","850","1582000","850","10"
"1989-03-03","860","880","860","875","3176000","875","11"
"1989-03-06","885","909","880","908","15681000","908","12"
"1989-03-07","898","941","898","935","27605000","935","13"
"1989-03-08","944","950","903","917","13759000","917","14"
"1989-03-09","914","917","895","900","3381000","900","15"
"1989-03-10","899","917","895","917","3305000","917","16"
"1989-03-13","907","912","895","908","1214000","908","17"
"1989-03-14","898","905","895","900","1739000","900","18"
"1989-03-15","905","907","880","880","2108000","880","19"
"1989-03-16","900","901","885","886","2038000","886","20"
"1989-03-17","890","900","887","887","1841000","887","21"
"1989-03-20","867","875","865","866","1133000","866","22"
"1989-03-22","867","878","865","866","2283000","866","24"
"1989-03-23","871","887","870","875","1638000","875","25"
"1989-03-24","885","890","880","885","2533000","885","26"
"1989-03-27","895","895","886","891","1871000","891","27"
"1989-03-28","909","939","901","935","11240000","935","28"
"1989-03-29","945","972","940","960","21626000","960","29"
"1989-03-30","980","1060","977","1050","36498000","1050","30"
"1989-03-31","1070","1090","1050","1080","26656000","1080","31"
"1989-04-03","1090","1090","1060","1060","12589000","1060","32"
"1989-04-04","1060","1070","1030","1030","5320000","1030","33"
"1989-04-05","1050","1110","1030","1080","15697000","1080","34"
"1989-04-06","1060","1080","1030","1050","4346000","1050","35"
"1989-04-07","1040","1080","1040","1080","5040000","1080","36"
"1989-04-10","1060","1070","1030","1040","3186000","1040","37"
"1989-04-11","1040","1080","1030","1040","4182000","1040","38"
"1989-04-12","1030","1050","1020","1040","2772000","1040","39"
"1989-04-13","1020","1030","1000","1000","1734000","1000","40"
"1989-04-14","1000","1030","1000","1020","1970000","1020","41"
"1989-04-17","1020","1030","1000","1000","1027000","1000","42"
"1989-04-18","1010","1040","1000","1010","1759000","1010","43"
"1989-04-19","1010","1070","1010","1070","7871000","1070","44"
"1989-04-20","1070","1070","1020","1020","3216000","1020","45"
"1989-04-21","1020","1030","1000","1010","1736000","1010","46"
"1989-04-24","1000","1040","991","1040","1557000","1040","47"
"1989-04-25","1020","1030","1010","1010","1822000","1010","48"
"1989-04-26","1010","1020","1000","1000","1872000","1000","49"
"1989-04-27","1010","1040","1000","1020","3062000","1020","50"
"1989-04-28","1020","1040","1010","1010","1576000","1010","51"
"1989-05-01","1010","1020","1000","1020","954000","1020","52"
"1989-05-02","1010","1020","1010","1010","1204000","1010","53"
"1989-05-08","1020","1020","1000","1000","1164000","1000","57"
"1989-05-09","1010","1010","980","980","1677000","980","58"
"1989-05-10","985","1000","985","995","1498000","995","59"
"1989-05-11","990","1010","990","1010","1476000","1010","60"
"1989-05-12","999","1000","986","994","1357000","994","61"
"1989-05-15","990","999","985","986","624000","986","62"
"1989-05-16","980","987","973","975","1196000","975","63"
"1989-05-17","995","1000","981","1000","832000","1000","64"
"1989-05-18","995","995","975","979","872000","979","65"
"1989-05-19","969","977","969","973","1002000","973","66"
"1989-05-22","975","980","963","967","917000","967","67"
"1989-05-23","960","965","942","944","937000","944","68"
"1989-05-24","947","960","945","959","836000","959","69"
"1989-05-25","964","964","950","959","529000","959","70"
"1989-05-26","969","969","952","968","890000","968","71"
"1989-05-29","970","975","956","960","798000","960","72"
"1989-05-30","951","960","940","949","659000","949","73"
"1989-05-31","940","945","935","938","1439000","938","74"
"1989-06-01","935","938","916","916","1471000","916","75"
"1989-06-02","916","925","897","901","1292000","901","76"
"1989-06-05","905","910","896","908","923000","908","77"
"1989-06-06","907","930","895","915","773000","915","78"
"1989-06-07","935","945","926","930","977000","930","79"
"1989-06-08","949","949","940","949","623000","949","80"
"1989-06-09","950","954","940","940","500000","940","81"
"1989-06-12","942","942","925","927","295000","927","82"
"1989-06-13","918","919","899","899","581000","899","83"
"1989-06-14","899","919","891","919","579000","919","84"
"1989-06-15","925","925","899","899","601000","899","85"
"1989-06-16","903","910","875","890","638000","890","86"
"1989-06-19","891","900","890","890","256000","890","87"
"1989-06-20","895","910","891","905","386000","905","88"
"1989-06-21","905","909","880","886","685000","886","89"
"1989-06-22","904","905","890","905","516000","905","90"
"1989-06-23","905","905","892","900","823000","900","91"
"1989-06-26","910","910","895","905","511000","905","92"
"1989-06-27","895","905","890","900","476000","900","93"
"1989-06-28","890","897","881","883","461000","883","94"
"1989-06-29","893","893","861","861","568000","861","95"
"1989-06-30","860","860","831","839","1126000","839","96"
"1989-07-03","849","870","840","870","578000","870","97"
"1989-07-04","879","879","860","860","323000","860","98"
"1989-07-05","860","870","852","860","475000","860","99"
"1989-07-06","880","890","865","890","1095000","890","100"
"1989-07-07","905","920","895","902","1402000","902","101"
"1989-07-10","910","919","901","901","203000","901","102"
"1989-07-11","902","910","900","900","247000","900","103"
"1989-07-12","902","915","901","905","296000","905","104"
"1989-07-13","905","912","900","900","265000","900","105"
"1989-07-14","910","910","900","900","271000","900","106"
"1989-07-17","910","910","891","891","284000","891","107"
"1989-07-18","900","900","891","891","214000","891","108"
"1989-07-19","889","889","882","882","222000","882","109"
"1989-07-20","888","900","885","888","334000","888","110"
"1989-07-21","890","899","881","882","539000","882","111"
"1989-07-24","892","902","888","902","373000","902","112"
"1989-07-25","906","930","904","916","859000","916","113"
"1989-07-26","926","950","921","937","1364000","937","114"
"1989-07-27","940","948","937","945","1583000","945","115"
"1989-07-28","950","951","940","950","1510000","950","116"
"1989-07-31","945","950","941","947","549000","947","117"
"1989-08-01","957","957","941","943","834000","943","118"
"1989-08-02","951","951","941","944","438000","944","119"
"1989-08-03","944","944","935","943","567000","943","120"
"1989-08-04","930","932","916","920","531000","920","121"
"1989-08-07","925","930","917","920","308000","920","122"
"1989-08-08","920","929","911","911","356000","911","123"
"1989-08-09","921","925","913","920","269000","920","124"
"1989-08-10","925","930","921","922","521000","922","125"
"1989-08-11","922","922","900","915","558000","915","126"
"1989-08-14","920","920","905","910","220000","910","127"
"1989-08-15","920","920","908","920","249000","920","128"
"1989-08-16","929","930","916","925","354000","925","129"
"1989-08-17","915","920","910","913","526000","913","130"
"1989-08-18","912","914","906","908","821000","908","131"
"1989-08-21","908","920","905","920","501000","920","132"
"1989-08-22","919","920","910","920","596000","920","133"
"1989-08-23","920","920","905","905","684000","905","134"
"1989-08-24","915","918","905","910","422000","910","135"
"1989-08-25","919","919","905","910","422000","910","136"
"1989-08-28","910","910","890","900","622000","900","137"
"1989-08-29","900","905","896","903","540000","903","138"
"1989-08-30","893","900","890","897","359000","897","139"
"1989-08-31","898","900","881","883","367000","883","140"
"1989-09-01","893","893","880","884","488000","884","141"
"1989-09-04","881","899","881","891","184000","891","142"
"1989-09-05","900","900","886","895","386000","895","143"
"1989-09-06","886","887","865","865","805000","865","144"
"1989-09-07","865","870","854","860","816000","860","145"
"1989-09-08","860","864","850","855","665000","855","146"
"1989-09-11","855","875","850","875","464000","875","147"
"1989-09-12","851","865","845","865","718000","865","148"
"1989-09-13","862","863","850","852","527000","852","149"
"1989-09-14","854","855","851","852","542000","852","150"
"1989-09-18","855","860","850","852","736000","852","152"
"1989-09-19","859","859","851","855","856000","855","153"
"1989-09-20","855","858","853","855","816000","855","154"
"1989-09-21","858","870","850","860","733000","860","155"
"1989-09-22","870","874","863","864","590000","864","156"
"1989-09-25","861","880","850","853","792000","853","157"
"1989-09-26","852","869","852","857","627000","857","158"
"1989-09-27","867","867","857","858","653000","858","159"
"1989-09-28","860","862","855","858","544000","858","160"
"1989-09-29","855","858","840","850","2145000","850","161"
"1989-10-02","855","865","855","865","755000","865","162"
"1989-10-03","865","869","850","855","1428000","855","163"
"1989-10-04","859","868","853","862","1346000","862","164"
"1989-10-05","863","876","863","874","1621000","874","165"
"1989-10-06","878","886","866","874","1269000","874","166"
"1989-10-09","880","882","870","870","574000","870","167"
"1989-10-11","880","882","846","846","1246000","846","169"
"1989-10-12","850","854","846","846","705000","846","170"
