4183 ŽOˆä‰»Šw,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1540","1540","1500","1500","2130000","1500","1"
"1989-02-20","1530","1530","1490","1490","1150000","1490","2"
"1989-02-21","1490","1540","1490","1510","1678000","1510","3"
"1989-02-22","1520","1550","1510","1550","2946000","1550","4"
"1989-02-23","1520","1540","1510","1530","3017000","1530","5"
"1989-02-27","1530","1530","1520","1530","749000","1530","7"
"1989-02-28","1520","1540","1500","1540","1221000","1540","8"
"1989-03-01","1540","1540","1500","1520","1305000","1520","9"
"1989-03-02","1530","1530","1500","1510","410000","1510","10"
"1989-03-03","1530","1530","1490","1490","694000","1490","11"
"1989-03-06","1490","1490","1450","1450","326000","1450","12"
"1989-03-07","1440","1500","1440","1500","1619000","1500","13"
"1989-03-08","1530","1540","1510","1510","2181000","1510","14"
"1989-03-09","1540","1540","1480","1490","1558000","1490","15"
"1989-03-10","1470","1480","1460","1480","664000","1480","16"
"1989-03-13","1480","1480","1450","1450","223000","1450","17"
"1989-03-14","1470","1480","1450","1460","478000","1460","18"
"1989-03-15","1470","1480","1460","1470","684000","1470","19"
"1989-03-16","1480","1490","1470","1480","585000","1480","20"
"1989-03-17","1480","1500","1470","1470","1125000","1470","21"
"1989-03-20","1450","1470","1430","1470","564000","1470","22"
"1989-03-22","1450","1460","1410","1410","804000","1410","24"
"1989-03-23","1470","1540","1450","1540","3946000","1540","25"
"1989-03-24","1530","1600","1510","1560","6707000","1560","26"
"1989-03-27","1580","1580","1530","1540","2461000","1540","27"
"1989-03-28","1600","1700","1580","1700","25919000","1700","28"
"1989-03-29","1740","1800","1720","1800","25070000","1800","29"
"1989-03-30","1920","2040","1860","1980","34406000","1980","30"
"1989-03-31","2010","2180","1980","2170","36307000","2170","31"
"1989-04-03","2210","2270","2180","2200","29414000","2200","32"
"1989-04-04","2200","2240","2160","2240","14451000","2240","33"
"1989-04-05","2250","2330","2220","2290","25350000","2290","34"
"1989-04-06","2250","2300","2220","2240","8439000","2240","35"
"1989-04-07","2220","2350","2220","2350","16718000","2350","36"
"1989-04-10","2340","2390","2310","2310","15510000","2310","37"
"1989-04-11","2310","2380","2290","2290","11517000","2290","38"
"1989-04-12","2290","2290","2210","2220","5206000","2220","39"
"1989-04-13","2180","2220","2130","2190","5150000","2190","40"
"1989-04-14","2180","2280","2170","2260","6549000","2260","41"
"1989-04-17","2280","2360","2260","2330","11012000","2330","42"
"1989-04-18","2350","2350","2260","2320","5577000","2320","43"
"1989-04-19","2330","2370","2260","2270","7764000","2270","44"
"1989-04-20","2240","2260","2150","2180","3691000","2180","45"
"1989-04-21","2140","2180","2090","2090","2689000","2090","46"
"1989-04-24","2120","2120","2010","2070","1334000","2070","47"
"1989-04-25","2090","2170","2070","2130","2491000","2130","48"
"1989-04-26","2130","2210","2110","2180","4670000","2180","49"
"1989-04-27","2140","2170","2110","2130","1013000","2130","50"
"1989-04-28","2120","2200","2120","2200","1975000","2200","51"
"1989-05-01","2170","2180","2150","2160","728000","2160","52"
"1989-05-02","2150","2190","2150","2180","1411000","2180","53"
"1989-05-08","2150","2180","2120","2160","408000","2160","57"
"1989-05-09","2130","2150","2100","2140","828000","2140","58"
"1989-05-10","2110","2170","2110","2160","1738000","2160","59"
"1989-05-11","2130","2180","2130","2180","1903000","2180","60"
"1989-05-12","2160","2160","2100","2110","1269000","2110","61"
"1989-05-15","2110","2120","2060","2090","943000","2090","62"
"1989-05-16","2070","2100","2060","2060","509000","2060","63"
"1989-05-17","2060","2080","2030","2060","1411000","2060","64"
"1989-05-18","2040","2060","1980","2050","1700000","2050","65"
"1989-05-19","2010","2020","1980","1990","629000","1990","66"
"1989-05-22","2000","2000","1880","1950","1829000","1950","67"
"1989-05-23","1920","1930","1860","1890","1035000","1890","68"
"1989-05-24","1890","1980","1880","1980","1229000","1980","69"
"1989-05-25","1950","1960","1920","1930","805000","1930","70"
"1989-05-26","1950","1990","1930","1990","925000","1990","71"
"1989-05-29","2010","2020","1930","1960","1695000","1960","72"
"1989-05-30","1910","1930","1870","1890","1553000","1890","73"
"1989-05-31","1870","1890","1850","1890","969000","1890","74"
"1989-06-01","1840","1870","1780","1780","1671000","1780","75"
"1989-06-02","1810","1810","1750","1770","1539000","1770","76"
"1989-06-05","1790","1810","1750","1750","641000","1750","77"
"1989-06-06","1760","1870","1750","1820","1747000","1820","78"
"1989-06-07","1850","1880","1830","1840","927000","1840","79"
"1989-06-08","1860","1880","1850","1880","733000","1880","80"
"1989-06-09","1880","1890","1840","1870","925000","1870","81"
"1989-06-12","1830","1840","1800","1810","516000","1810","82"
"1989-06-13","1820","1820","1770","1770","469000","1770","83"
"1989-06-14","1780","1870","1780","1870","651000","1870","84"
"1989-06-15","1840","1850","1790","1820","658000","1820","85"
"1989-06-16","1810","1820","1760","1790","454000","1790","86"
"1989-06-19","1790","1810","1770","1780","186000","1780","87"
"1989-06-20","1780","1790","1760","1780","667000","1780","88"
"1989-06-21","1770","1780","1750","1770","463000","1770","89"
"1989-06-22","1800","1840","1790","1800","518000","1800","90"
"1989-06-23","1840","1840","1800","1840","696000","1840","91"
"1989-06-26","1870","1870","1830","1830","261000","1830","92"
"1989-06-27","1860","1860","1840","1860","452000","1860","93"
"1989-06-28","1830","1830","1770","1800","748000","1800","94"
"1989-06-29","1850","1850","1800","1800","523000","1800","95"
"1989-06-30","1810","1850","1790","1850","375000","1850","96"
"1989-07-03","1820","1840","1800","1840","149000","1840","97"
"1989-07-04","1840","1840","1780","1790","358000","1790","98"
"1989-07-05","1800","1840","1800","1840","519000","1840","99"
"1989-07-06","1840","1870","1830","1860","837000","1860","100"
"1989-07-07","1880","1910","1850","1860","1517000","1860","101"
"1989-07-10","1880","1890","1860","1880","869000","1880","102"
"1989-07-11","1880","1880","1850","1850","428000","1850","103"
"1989-07-12","1850","1860","1820","1820","258000","1820","104"
"1989-07-13","1840","1850","1820","1830","469000","1830","105"
"1989-07-14","1830","1850","1820","1830","185000","1830","106"
"1989-07-17","1840","1880","1800","1860","508000","1860","107"
"1989-07-18","1860","1900","1850","1860","1346000","1860","108"
"1989-07-19","1860","1890","1860","1880","394000","1880","109"
"1989-07-20","1880","1890","1850","1860","311000","1860","110"
"1989-07-21","1830","1850","1800","1830","703000","1830","111"
"1989-07-24","1810","1840","1800","1800","524000","1800","112"
"1989-07-25","1830","1870","1800","1830","679000","1830","113"
"1989-07-26","1860","1910","1830","1900","2465000","1900","114"
"1989-07-27","1960","1990","1930","1990","5590000","1990","115"
"1989-07-28","2000","2020","1940","1990","2829000","1990","116"
"1989-07-31","1980","1980","1950","1970","708000","1970","117"
"1989-08-01","1970","1970","1920","1930","351000","1930","118"
"1989-08-02","1940","1940","1900","1920","357000","1920","119"
"1989-08-03","1920","1920","1870","1900","247000","1900","120"
"1989-08-04","1880","1880","1840","1850","205000","1850","121"
"1989-08-07","1860","1870","1840","1840","324000","1840","122"
"1989-08-08","1850","1850","1830","1840","400000","1840","123"
"1989-08-09","1840","1860","1830","1850","483000","1850","124"
"1989-08-10","1840","1850","1820","1830","344000","1830","125"
"1989-08-11","1830","1840","1810","1820","418000","1820","126"
"1989-08-14","1790","1810","1770","1770","840000","1770","127"
"1989-08-15","1780","1800","1780","1790","1079000","1790","128"
"1989-08-16","1800","1820","1790","1800","904000","1800","129"
"1989-08-17","1830","1840","1810","1840","735000","1840","130"
"1989-08-18","1830","1840","1820","1840","319000","1840","131"
"1989-08-21","1840","1840","1820","1830","423000","1830","132"
"1989-08-22","1830","1840","1820","1830","428000","1830","133"
"1989-08-23","1830","1850","1820","1830","439000","1830","134"
"1989-08-24","1830","1830","1810","1820","294000","1820","135"
"1989-08-25","1820","1820","1800","1820","702000","1820","136"
"1989-08-28","1820","1820","1780","1780","466000","1780","137"
"1989-08-29","1810","1820","1770","1820","656000","1820","138"
"1989-08-30","1810","1820","1770","1820","222000","1820","139"
"1989-08-31","1820","1840","1770","1840","834000","1840","140"
"1989-09-01","1850","1850","1800","1840","698000","1840","141"
"1989-09-04","1840","1840","1810","1830","507000","1830","142"
"1989-09-05","1820","1820","1760","1760","610000","1760","143"
"1989-09-06","1790","1800","1760","1780","627000","1780","144"
"1989-09-07","1780","1780","1760","1780","421000","1780","145"
"1989-09-08","1780","1780","1710","1740","553000","1740","146"
"1989-09-11","1710","1720","1680","1680","854000","1680","147"
"1989-09-12","1680","1690","1660","1670","664000","1670","148"
"1989-09-13","1680","1720","1670","1680","608000","1680","149"
"1989-09-14","1690","1710","1680","1710","531000","1710","150"
"1989-09-18","1720","1720","1700","1720","287000","1720","152"
"1989-09-19","1720","1720","1670","1670","633000","1670","153"
"1989-09-20","1680","1690","1650","1650","1240000","1650","154"
"1989-09-21","1660","1700","1650","1700","957000","1700","155"
"1989-09-22","1680","1700","1670","1680","980000","1680","156"
"1989-09-25","1710","1710","1630","1630","938000","1630","157"
"1989-09-26","1640","1680","1640","1660","573000","1660","158"
"1989-09-27","1690","1690","1640","1670","770000","1670","159"
"1989-09-28","1660","1670","1640","1670","867000","1670","160"
"1989-09-29","1670","1710","1660","1700","736000","1700","161"
"1989-10-02","1710","1720","1670","1670","711000","1670","162"
"1989-10-03","1680","1680","1660","1660","630000","1660","163"
"1989-10-04","1660","1660","1640","1640","929000","1640","164"
"1989-10-05","1640","1650","1630","1630","1390000","1630","165"
"1989-10-06","1610","1620","1580","1600","1291000","1600","166"
"1989-10-09","1660","1660","1590","1600","1240000","1600","167"
"1989-10-11","1600","1600","1580","1580","977000","1580","169"
"1989-10-12","1570","1570","1540","1550","932000","1550","170"
"1989-10-13","1550","1620","1540","1610","1224000","1610","171"
"1989-10-16","1570","1600","1560","1580","418000","1580","172"
