4188 三菱ケミカルHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2005-10-04","817","824","791","813","9375000","813","4322"
"2005-10-05","809","810","766","772","8195000","772","4323"
"2005-10-06","752","756","738","746","5248000","746","4324"
"2005-10-07","738","742","702","712","9435500","712","4325"
"2005-10-11","715","725","709","725","5915000","725","4327"
"2005-10-12","735","738","720","725","6107500","725","4328"
"2005-10-13","719","720","702","708","5376000","708","4329"
"2005-10-14","707","707","670","675","9899000","675","4330"
"2005-10-17","684","686","676","676","4295500","676","4331"
"2005-10-18","679","702","676","700","9835500","700","4332"
"2005-10-19","705","714","691","702","8570500","702","4333"
"2005-10-20","708","709","685","688","5030500","688","4334"
"2005-10-21","680","689","675","686","4086000","686","4335"
"2005-10-24","688","688","671","672","3483500","672","4336"
"2005-10-25","677","689","677","686","3637000","686","4337"
"2005-10-26","698","723","696","720","8463500","720","4338"
"2005-10-27","725","726","708","709","5484000","709","4339"
"2005-10-28","710","716","702","715","4996500","715","4340"
"2005-10-31","720","724","715","724","3021000","724","4341"
"2005-11-01","725","725","721","724","1824500","724","4342"
"2005-11-02","724","724","717","723","3515000","723","4343"
"2005-11-04","727","729","712","717","4188000","717","4345"
"2005-11-07","710","716","706","709","3367500","709","4346"
"2005-11-08","713","715","706","712","3050000","712","4347"
"2005-11-09","715","735","710","731","5845500","731","4348"
"2005-11-10","724","732","712","728","5409500","728","4349"
"2005-11-11","728","729","713","713","3933000","713","4350"
"2005-11-14","714","716","696","702","3926500","702","4351"
"2005-11-15","702","702","689","694","3922000","694","4352"
"2005-11-16","693","704","688","695","3951000","695","4353"
"2005-11-17","691","697","688","695","3430000","695","4354"
"2005-11-18","699","711","699","710","4690000","710","4355"
"2005-11-21","711","714","694","701","5141000","701","4356"
"2005-11-22","704","704","698","704","2407000","704","4357"
"2005-11-24","710","710","700","702","3502500","702","4359"
"2005-11-25","702","703","692","695","3529500","695","4360"
"2005-11-28","701","703","695","700","3934000","700","4361"
"2005-11-29","697","702","695","696","2897500","696","4362"
"2005-11-30","700","705","698","701","3702500","701","4363"
"2005-12-01","700","706","693","706","5559500","706","4364"
"2005-12-02","709","721","707","721","6221000","721","4365"
"2005-12-05","725","738","722","737","7126500","737","4366"
"2005-12-06","738","738","719","719","4579500","719","4367"
"2005-12-07","720","726","713","716","3199500","716","4368"
"2005-12-08","726","736","722","725","7418000","725","4369"
"2005-12-09","734","752","731","749","17230000","749","4370"
"2005-12-12","765","780","761","778","12294000","778","4371"
"2005-12-13","779","780","762","767","5930500","767","4372"
"2005-12-14","767","767","746","749","4516000","749","4373"
"2005-12-15","738","753","738","739","3490000","739","4374"
"2005-12-16","736","750","730","735","2878500","735","4375"
"2005-12-19","734","738","728","733","2441500","733","4376"
"2005-12-20","740","745","735","742","2812500","742","4377"
"2005-12-21","740","748","739","746","4141000","746","4378"
"2005-12-22","754","763","750","757","4798000","757","4379"
"2005-12-26","757","758","745","746","1877000","746","4381"
"2005-12-27","741","747","740","745","2866500","745","4382"
"2005-12-28","741","758","740","758","1855000","758","4383"
"2005-12-29","760","760","748","750","1908000","750","4384"
"2005-12-30","753","754","742","743","1317500","743","4385"
"2006-01-04","748","755","744","755","2133000","755","4387"
"2006-01-05","759","766","755","760","4712000","760","4388"
"2006-01-06","764","771","758","767","5405000","767","4389"
"2006-01-10","779","780","762","762","5225000","762","4391"
"2006-01-11","767","770","750","770","4318500","770","4392"
"2006-01-12","775","776","763","774","3228500","774","4393"
"2006-01-13","772","772","763","767","3907500","767","4394"
"2006-01-16","763","764","753","753","2673500","753","4395"
"2006-01-17","750","754","732","732","5172500","732","4396"
"2006-01-18","735","736","701","712","4202500","712","4397"
"2006-01-19","702","727","702","723","4916000","723","4398"
"2006-01-20","726","728","715","726","3940500","726","4399"
"2006-01-23","717","729","715","718","2779000","718","4400"
"2006-01-24","718","722","710","720","2834000","720","4401"
"2006-01-25","724","724","711","712","3333000","712","4402"
"2006-01-26","714","736","714","736","3844000","736","4403"
"2006-01-27","750","759","745","755","5052500","755","4404"
"2006-01-30","775","776","756","760","4898000","760","4405"
"2006-01-31","762","764","740","750","5613000","750","4406"
"2006-02-01","756","759","743","746","3877500","746","4407"
"2006-02-02","762","775","757","774","6413500","774","4408"
"2006-02-03","766","773","756","766","5366000","766","4409"
"2006-02-06","767","783","748","782","7059000","782","4410"
"2006-02-07","782","782","769","779","4759500","779","4411"
"2006-02-08","767","770","746","746","5349000","746","4412"
"2006-02-09","756","768","751","759","4853000","759","4413"
"2006-02-10","767","770","742","768","4816500","768","4414"
"2006-02-13","750","755","725","728","3896000","728","4415"
"2006-02-14","729","740","711","737","4290500","737","4416"
"2006-02-15","745","745","722","729","2630500","729","4417"
"2006-02-16","721","730","719","730","3357500","730","4418"
"2006-02-17","735","735","705","707","3864500","707","4419"
"2006-02-20","702","710","696","700","4886500","700","4420"
"2006-02-21","700","708","695","708","3825500","708","4421"
"2006-02-22","707","709","699","700","3588000","700","4422"
"2006-02-23","707","728","705","725","3364500","725","4423"
