4272 “ú–{‰»–ò,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","1250","1250","1200","1200","440000","1200"
"1989-02-20","1230","1240","1210","1240","187000","1240"
"1989-02-21","1220","1240","1210","1220","153000","1220"
"1989-02-22","1220","1220","1190","1190","373000","1190"
"1989-02-23","1190","1200","1160","1170","773000","1170"
"1989-02-27","1170","1180","1160","1170","233000","1170"
"1989-02-28","1150","1170","1150","1160","418000","1160"
"1989-03-01","1170","1220","1160","1220","454000","1220"
"1989-03-02","1240","1240","1190","1190","287000","1190"
"1989-03-03","1210","1220","1190","1200","312000","1200"
"1989-03-06","1210","1220","1170","1190","388000","1190"
"1989-03-07","1180","1200","1170","1170","359000","1170"
"1989-03-08","1200","1200","1170","1170","251000","1170"
"1989-03-09","1190","1200","1170","1180","234000","1180"
"1989-03-10","1190","1200","1180","1200","109000","1200"
"1989-03-13","1200","1210","1180","1200","194000","1200"
"1989-03-14","1200","1280","1190","1280","474000","1280"
"1989-03-15","1270","1270","1210","1230","497000","1230"
"1989-03-16","1230","1240","1210","1220","208000","1220"
"1989-03-17","1240","1240","1220","1240","341000","1240"
"1989-03-20","1230","1240","1190","1190","259000","1190"
"1989-03-22","1200","1230","1170","1180","394000","1180"
"1989-03-23","1200","1200","1180","1200","236000","1200"
"1989-03-24","1210","1220","1190","1190","277000","1190"
"1989-03-27","1190","1220","1190","1220","388000","1220"
"1989-03-28","1210","1220","1200","1220","164000","1220"
"1989-03-29","1220","1240","1210","1210","370000","1210"
"1989-03-30","1240","1300","1230","1300","1143000","1300"
"1989-03-31","1300","1300","1250","1250","1268000","1250"
"1989-04-03","1290","1370","1280","1370","5523000","1370"
"1989-04-04","1400","1410","1330","1330","4432000","1330"
"1989-04-05","1340","1430","1330","1390","10345000","1390"
"1989-04-06","1370","1420","1360","1380","4419000","1380"
"1989-04-07","1380","1400","1370","1400","4149000","1400"
"1989-04-10","1410","1410","1370","1370","1607000","1370"
"1989-04-11","1370","1420","1360","1410","2265000","1410"
"1989-04-12","1410","1450","1380","1450","7238000","1450"
"1989-04-13","1440","1520","1420","1470","13419000","1470"
"1989-04-14","1470","1500","1440","1440","3947000","1440"
"1989-04-17","1440","1470","1440","1440","1668000","1440"
"1989-04-18","1460","1520","1450","1500","8362000","1500"
"1989-04-19","1500","1530","1490","1500","10421000","1500"
"1989-04-20","1500","1500","1450","1460","1351000","1460"
"1989-04-21","1430","1450","1420","1420","1374000","1420"
"1989-04-24","1410","1420","1360","1370","498000","1370"
"1989-04-25","1390","1430","1390","1420","423000","1420"
"1989-04-26","1420","1420","1390","1400","213000","1400"
"1989-04-27","1390","1400","1390","1400","277000","1400"
"1989-04-28","1400","1400","1370","1390","620000","1390"
"1989-05-01","1400","1420","1390","1420","258000","1420"
"1989-05-02","1400","1420","1400","1410","369000","1410"
"1989-05-08","1420","1420","1380","1390","337000","1390"
"1989-05-09","1390","1390","1350","1360","293000","1360"
"1989-05-10","1360","1370","1350","1360","312000","1360"
"1989-05-11","1360","1360","1340","1340","348000","1340"
"1989-05-12","1340","1340","1300","1320","879000","1320"
"1989-05-15","1340","1370","1340","1370","571000","1370"
"1989-05-16","1350","1360","1350","1360","425000","1360"
"1989-05-17","1350","1380","1350","1380","414000","1380"
"1989-05-18","1370","1400","1370","1400","745000","1400"
"1989-05-19","1400","1460","1400","1440","2148000","1440"
"1989-05-22","1450","1460","1420","1420","707000","1420"
"1989-05-23","1380","1420","1380","1390","412000","1390"
"1989-05-24","1380","1390","1360","1370","254000","1370"
"1989-05-25","1360","1370","1340","1360","728000","1360"
"1989-05-26","1350","1390","1350","1370","337000","1370"
"1989-05-29","1390","1400","1380","1400","745000","1400"
