4324 “d’ÊG,,,,,
"date","open","hight","low","close","power","End","date_position"
"2001-12-03","5200","5200","5200","5200","395000","5200","3324"
"2001-12-04","5300","5550","5280","5500","10438600","5500","3325"
"2001-12-05","5570","5580","5320","5320","2148199","5320","3326"
"2001-12-06","5380","5430","5200","5380","1514300","5380","3327"
"2001-12-07","5300","5440","5280","5400","921200","5400","3328"
"2001-12-10","5430","5480","5380","5440","744500","5440","3329"
"2001-12-11","5490","5610","5460","5540","1927599","5540","3330"
"2001-12-12","5510","5570","5470","5520","558500","5520","3331"
"2001-12-13","5420","5520","5420","5460","466700","5460","3332"
"2001-12-14","5440","5440","5230","5430","452700","5430","3333"
"2001-12-17","5330","5370","5250","5310","545100","5310","3334"
"2001-12-18","5280","5310","5190","5200","534700","5200","3335"
"2001-12-19","5200","5200","5000","5130","511700","5130","3336"
"2001-12-20","5070","5460","5070","5450","821600","5450","3337"
"2001-12-21","5430","5500","5320","5500","846299","5500","3338"
"2001-12-25","5450","5540","5360","5540","593200","5540","3340"
"2001-12-26","5490","5820","5470","5780","1979700","5780","3341"
"2001-12-27","5840","5960","5820","5870","1563700","5870","3342"
"2001-12-28","5900","5980","5840","5870","733200","5870","3343"
"2002-01-04","5970","6020","5820","6010","3900900","6010","3347"
"2002-01-07","5960","6030","5950","5970","985799","5970","3348"
"2002-01-08","5900","5960","5890","5930","523000","5930","3349"
"2002-01-09","5920","5960","5860","5920","481500","5920","3350"
"2002-01-10","5920","5930","5850","5900","436399","5900","3351"
"2002-01-11","5850","5880","5620","5620","722600","5620","3352"
"2002-01-15","5500","5680","5450","5630","433899","5630","3354"
"2002-01-16","5690","5800","5620","5770","320300","5770","3355"
"2002-01-17","5850","5850","5720","5770","229400","5770","3356"
"2002-01-18","5820","5840","5650","5790","169500","5790","3357"
"2002-01-21","5760","5900","5760","5890","296000","5890","3358"
"2002-01-22","5880","5970","5860","5970","364399","5970","3359"
"2002-01-23","5770","5870","5720","5750","197000","5750","3360"
"2002-01-24","5730","5930","5730","5920","269000","5920","3361"
"2002-01-25","5820","5910","5790","5800","168500","5800","3362"
"2002-01-28","5740","5810","5730","5790","158500","5790","3363"
"2002-01-29","5800","5820","5750","5800","121300","5800","3364"
"2002-01-30","5700","5890","5690","5870","231800","5870","3365"
"2002-01-31","5900","5920","5800","5900","208100","5900","3366"
"2002-02-01","5850","5890","5760","5840","233699","5840","3367"
"2002-02-04","5800","5840","5580","5640","409399","5640","3368"
"2002-02-05","5540","5590","5370","5410","491899","5410","3369"
"2002-02-06","5370","5430","5360","5400","358700","5400","3370"
"2002-02-07","5290","5370","5230","5350","280300","5350","3371"
"2002-02-08","5250","5360","5230","5360","363500","5360","3372"
"2002-02-12","5500","5600","5450","5590","234800","5590","3374"
"2002-02-13","5510","5700","5510","5670","176600","5670","3375"
"2002-02-14","5670","5730","5600","5640","151400","5640","3376"
"2002-02-15","5660","5710","5560","5670","129000","5670","3377"
"2002-02-18","5600","5700","5560","5670","65099","5670","3378"
"2002-02-19","5630","5670","5560","5630","80400","5630","3379"
"2002-02-20","5570","5630","5490","5590","74200","5590","3380"
"2002-02-21","5700","5720","5640","5700","164500","5700","3381"
"2002-02-22","5690","5750","5650","5690","146100","5690","3382"
"2002-02-25","5670","5750","5670","5700","87500","5700","3383"
"2002-02-26","5740","5770","5710","5750","183500","5750","3384"
"2002-02-27","5730","5800","5710","5800","169100","5800","3385"
"2002-02-28","5800","5850","5770","5830","266300","5830","3386"
"2002-03-01","5850","5850","5750","5830","188900","5830","3387"
"2002-03-04","5900","5960","5850","5940","360200","5940","3388"
"2002-03-05","6140","6870","6060","6690","2247100","6690","3389"
"2002-03-06","6440","6620","6370","6510","782200","6510","3390"
"2002-03-07","6500","6740","6470","6620","687799","6620","3391"
"2002-03-08","6820","7040","6780","6890","1200800","6890","3392"
"2002-03-11","7190","7470","7000","7400","754200","7400","3393"
"2002-03-12","7200","7280","7020","7100","306399","7100","3394"
"2002-03-13","7030","7150","7000","7000","313899","7000","3395"
"2002-03-14","6950","7380","6850","7250","335399","7250","3396"
"2002-03-15","7350","7500","7270","7450","424399","7450","3397"
"2002-03-18","7600","7690","7430","7480","549700","7480","3398"
"2002-03-19","7600","7670","7410","7500","326700","7500","3399"
"2002-03-20","7490","7610","7410","7600","239800","7600","3400"
"2002-03-22","7590","7590","7280","7320","167699","7320","3402"
"2002-03-25","7180","7180","7000","7110","236699","7110","3403"
"2002-03-26","6980","7160","6960","7110","196100","7110","3404"
"2002-03-27","7200","7440","7190","7420","164900","7420","3405"
"2002-03-28","7480","7490","7210","7290","140500","7290","3406"
"2002-03-29","7390","7390","7190","7200","118300","7200","3407"
"2002-04-01","7200","7200","7000","7100","125400","7100","3408"
"2002-04-02","7200","7200","7090","7150","182100","7150","3409"
"2002-04-03","7100","7280","7090","7270","153100","7270","3410"
"2002-04-04","7380","7520","7340","7450","377500","7450","3411"
"2002-04-05","7440","7490","7370","7390","179900","7390","3412"
"2002-04-08","7290","7430","7170","7220","140600","7220","3413"
"2002-04-09","7290","7290","7110","7110","125000","7110","3414"
"2002-04-10","7100","7190","7070","7110","190800","7110","3415"
"2002-04-11","7200","7210","7070","7070","176500","7070","3416"
"2002-04-12","7090","7130","6950","7000","206300","7000","3417"
"2002-04-15","6930","7090","6920","7090","76599","7090","3418"
"2002-04-16","7170","7270","7130","7270","133199","7270","3419"
"2002-04-17","7350","7350","7260","7270","171699","7270","3420"
"2002-04-18","7210","7450","7210","7400","207300","7400","3421"
"2002-04-19","7300","7410","7300","7400","103200","7400","3422"
"2002-04-22","7490","7530","7430","7470","203300","7470","3423"
"2002-04-23","7460","7470","7430","7470","130199","7470","3424"
"2002-04-24","7420","7460","7400","7420","122000","7420","3425"
"2002-04-25","7390","7400","7260","7380","146100","7380","3426"
"2002-04-26","7280","7350","7150","7220","182699","7220","3427"
"2002-04-30","7150","7220","7140","7160","46700","7160","3429"
"2002-05-01","7150","7270","7150","7240","85900","7240","3430"
"2002-05-02","7280","7280","7190","7220","60000","7220","3431"
"2002-05-07","7150","7220","7110","7170","69700","7170","3434"
"2002-05-08","7160","7200","7060","7150","245300","7150","3435"
"2002-05-09","7200","7240","7140","7150","162100","7150","3436"
"2002-05-10","7150","7150","6990","7060","217800","7060","3437"
"2002-05-13","6990","6990","6780","6790","198000","6790","3438"
"2002-05-14","6750","6790","6400","6440","452700","6440","3439"
"2002-05-15","6500","6810","6410","6410","433800","6410","3440"
"2002-05-16","6490","6660","6320","6620","473600","6620","3441"
"2002-05-17","6710","6780","6590","6590","294899","6590","3442"
"2002-05-20","6690","6700","6520","6540","116900","6540","3443"
"2002-05-21","6740","6820","6650","6810","373000","6810","3444"
"2002-05-22","6810","7050","6810","6920","443600","6920","3445"
"2002-05-23","7000","7150","6970","7100","495899","7100","3446"
"2002-05-24","7200","7250","7110","7240","446200","7240","3447"
"2002-05-27","7210","7390","7200","7260","506500","7260","3448"
"2002-05-28","7320","7520","7280","7460","558600","7460","3449"
"2002-05-29","7500","7520","7300","7350","1347300","7350","3450"
"2002-05-30","7260","7320","7060","7090","556900","7090","3451"
"2002-05-31","7160","7160","7070","7080","314300","7080","3452"
"2002-06-03","6980","7060","6880","6940","212199","6940","3453"
"2002-06-04","6990","7080","6890","6920","212400","6920","3454"
"2002-06-05","6950","7010","6900","6950","263100","6950","3455"
"2002-06-06","6950","6950","6810","6850","250100","6850","3456"
"2002-06-07","6730","6820","6710","6790","185300","6790","3457"
"2002-06-10","6920","7010","6670","6780","327200","6780","3458"
"2002-06-11","6880","6960","6840","6920","337899","6920","3459"
"2002-06-12","6850","6870","6730","6810","148199","6810","3460"
"2002-06-13","6850","6940","6760","6930","162300","6930","3461"
"2002-06-14","6950","6950","6850","6870","470899","6870","3462"
"2002-06-17","6580","6700","6530","6700","238600","6700","3463"
"2002-06-18","6800","6850","6780","6850","177900","6850","3464"
"2002-06-19","6810","6810","6550","6550","129800","6550","3465"
"2002-06-20","6510","6690","6480","6660","210100","6660","3466"
"2002-06-21","6690","6690","6450","6450","134600","6450","3467"
"2002-06-24","6450","6870","6380","6860","232500","6860","3468"
"2002-06-25","6790","6870","6670","6700","166800","6700","3469"
"2002-06-26","6630","6630","6310","6310","184199","6310","3470"
"2002-06-27","6500","6510","6370","6390","99000","6390","3471"
"2002-06-28","6420","6680","6420","6610","145900","6610","3472"
"2002-07-01","6750","6770","6660","6740","150600","6740","3473"
"2002-07-02","6690","6720","6540","6700","115200","6700","3474"
"2002-07-03","6560","6650","6500","6630","340300","6630","3475"
"2002-07-04","6670","6710","6600","6650","132199","6650","3476"
"2002-07-05","6620","6650","6530","6620","114200","6620","3477"
"2002-07-08","6650","6680","6480","6500","150400","6500","3478"
"2002-07-09","6510","6520","6430","6490","189300","6490","3479"
