4452 ‰Ô‰¤,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","1660","1670","1600","1640","1851000","1640"
"1989-02-20","1630","1630","1580","1600","1534000","1600"
"1989-02-21","1600","1620","1580","1600","930000","1600"
"1989-02-22","1600","1600","1580","1580","1335000","1580"
"1989-02-23","1590","1600","1570","1590","1106000","1590"
"1989-02-27","1620","1620","1580","1590","903000","1590"
"1989-02-28","1600","1600","1580","1590","966000","1590"
"1989-03-01","1600","1630","1590","1600","611000","1600"
"1989-03-02","1610","1610","1590","1590","649000","1590"
"1989-03-03","1620","1620","1590","1610","510000","1610"
"1989-03-06","1610","1640","1590","1640","1034000","1640"
"1989-03-07","1640","1640","1610","1610","402000","1610"
"1989-03-08","1630","1630","1590","1590","689000","1590"
"1989-03-09","1590","1600","1580","1580","402000","1580"
"1989-03-10","1580","1590","1560","1590","783000","1590"
"1989-03-13","1590","1600","1570","1590","374000","1590"
"1989-03-14","1600","1600","1570","1580","371000","1580"
"1989-03-15","1610","1610","1580","1580","1005000","1580"
"1989-03-16","1600","1610","1570","1570","823000","1570"
"1989-03-17","1570","1600","1560","1560","689000","1560"
"1989-03-20","1560","1580","1550","1550","648000","1550"
"1989-03-22","1560","1580","1550","1570","696000","1570"
"1989-03-23","1570","1580","1560","1560","547000","1560"
"1989-03-24","1560","1570","1550","1560","859000","1560"
"1989-03-27","1560","1580","1550","1580","667000","1580"
"1989-03-28","1590","1610","1560","1570","577000","1570"
"1989-03-29","1570","1660","1570","1640","2105000","1640"
"1989-03-30","1660","1660","1630","1660","757000","1660"
"1989-03-31","1650","1690","1630","1690","1282000","1690"
"1989-04-03","1700","1720","1670","1700","1330000","1700"
"1989-04-04","1710","1720","1660","1660","1031000","1660"
"1989-04-05","1650","1660","1630","1660","541000","1660"
"1989-04-06","1630","1650","1610","1650","555000","1650"
"1989-04-07","1630","1640","1610","1620","797000","1620"
"1989-04-10","1630","1630","1590","1590","719000","1590"
"1989-04-11","1590","1630","1590","1610","1074000","1610"
"1989-04-12","1610","1630","1610","1620","586000","1620"
"1989-04-13","1620","1640","1600","1620","721000","1620"
"1989-04-14","1640","1640","1610","1620","851000","1620"
"1989-04-17","1620","1660","1620","1640","950000","1640"
"1989-04-18","1630","1640","1620","1630","667000","1630"
"1989-04-19","1610","1650","1610","1640","507000","1640"
"1989-04-20","1650","1690","1640","1650","1919000","1650"
"1989-04-21","1650","1660","1620","1620","3173000","1620"
"1989-04-24","1620","1640","1610","1610","849000","1610"
"1989-04-25","1610","1630","1610","1620","810000","1620"
"1989-04-26","1620","1640","1610","1640","662000","1640"
"1989-04-27","1650","1690","1650","1680","1573000","1680"
"1989-04-28","1690","1690","1650","1660","849000","1660"
"1989-05-01","1650","1690","1650","1680","704000","1680"
"1989-05-02","1680","1750","1670","1730","3474000","1730"
"1989-05-08","1740","1740","1710","1730","700000","1730"
"1989-05-09","1730","1730","1680","1700","751000","1700"
"1989-05-10","1710","1710","1680","1680","791000","1680"
"1989-05-11","1680","1700","1660","1660","1101000","1660"
"1989-05-12","1680","1680","1660","1660","361000","1660"
"1989-05-15","1660","1680","1650","1650","316000","1650"
"1989-05-16","1670","1680","1650","1680","339000","1680"
"1989-05-17","1680","1690","1670","1670","221000","1670"
"1989-05-18","1680","1680","1660","1660","359000","1660"
"1989-05-19","1660","1710","1650","1680","571000","1680"
"1989-05-22","1710","1710","1690","1700","243000","1700"
"1989-05-23","1700","1700","1680","1700","476000","1700"
"1989-05-24","1700","1700","1680","1680","508000","1680"
"1989-05-25","1680","1710","1660","1710","682000","1710"
"1989-05-26","1680","1710","1680","1710","575000","1710"
"1989-05-29","1700","1720","1680","1700","473000","1700"
"1989-05-30","1690","1700","1680","1690","373000","1690"
"1989-05-31","1690","1720","1680","1700","977000","1700"
"1989-06-01","1730","1740","1710","1740","1868000","1740"
"1989-06-02","1730","1740","1700","1730","931000","1730"
"1989-06-05","1720","1730","1700","1700","590000","1700"
"1989-06-06","1700","1710","1700","1700","525000","1700"
"1989-06-07","1700","1720","1680","1720","1316000","1720"
"1989-06-08","1730","1740","1710","1710","540000","1710"
"1989-06-09","1720","1720","1700","1710","430000","1710"
"1989-06-12","1690","1700","1690","1700","252000","1700"
"1989-06-13","1690","1700","1690","1700","247000","1700"
"1989-06-14","1690","1700","1670","1690","472000","1690"
"1989-06-15","1680","1690","1660","1660","650000","1660"
"1989-06-16","1670","1690","1660","1690","302000","1690"
"1989-06-19","1660","1670","1650","1670","275000","1670"
"1989-06-20","1660","1680","1650","1650","598000","1650"
"1989-06-21","1680","1680","1660","1670","361000","1670"
"1989-06-22","1660","1680","1650","1680","290000","1680"
"1989-06-23","1680","1710","1670","1680","576000","1680"
"1989-06-26","1690","1730","1680","1730","431000","1730"
"1989-06-27","1700","1710","1680","1700","512000","1700"
"1989-06-28","1690","1690","1660","1670","353000","1670"
"1989-06-29","1670","1690","1660","1670","419000","1670"
"1989-06-30","1660","1690","1650","1670","669000","1670"
"1989-07-03","1660","1700","1650","1700","705000","1700"
"1989-07-04","1710","1720","1700","1720","766000","1720"
"1989-07-05","1730","1780","1730","1750","2504000","1750"
"1989-07-06","1760","1760","1730","1750","1139000","1750"
"1989-07-07","1750","1750","1740","1740","579000","1740"
"1989-07-10","1750","1760","1720","1720","469000","1720"
"1989-07-11","1730","1740","1720","1740","246000","1740"
"1989-07-12","1740","1740","1720","1740","644000","1740"
"1989-07-13","1710","1730","1710","1710","406000","1710"
"1989-07-14","1710","1720","1700","1710","329000","1710"
"1989-07-17","1710","1710","1690","1690","487000","1690"
"1989-07-18","1690","1710","1690","1690","431000","1690"
"1989-07-19","1690","1710","1690","1700","185000","1700"
"1989-07-20","1720","1740","1710","1740","694000","1740"
"1989-07-21","1730","1740","1720","1740","684000","1740"
"1989-07-24","1730","1740","1720","1730","678000","1730"
"1989-07-25","1730","1810","1730","1810","4079000","1810"
"1989-07-26","1790","1810","1770","1800","2041000","1800"
"1989-07-27","1790","1820","1780","1800","2304000","1800"
"1989-07-28","1800","1820","1780","1810","1566000","1810"
"1989-07-31","1820","1820","1800","1820","1359000","1820"
"1989-08-01","1800","1810","1790","1800","779000","1800"
"1989-08-02","1790","1810","1780","1810","1092000","1810"
"1989-08-03","1820","1820","1790","1800","1788000","1800"
"1989-08-04","1810","1820","1790","1810","1272000","1810"
"1989-08-07","1820","1860","1800","1850","4350000","1850"
"1989-08-08","1840","1850","1830","1830","2461000","1830"
"1989-08-09","1840","1890","1830","1880","8721000","1880"
"1989-08-10","1910","1930","1880","1880","8236000","1880"
"1989-08-11","1890","1900","1860","1890","1704000","1890"
"1989-08-14","1880","1890","1860","1860","1113000","1860"
"1989-08-15","1860","1900","1860","1880","1536000","1880"
"1989-08-16","1880","1920","1880","1910","3747000","1910"
"1989-08-17","1900","1910","1880","1880","936000","1880"
"1989-08-18","1890","1900","1880","1900","1517000","1900"
"1989-08-21","1900","1900","1880","1900","993000","1900"
"1989-08-22","1900","1930","1900","1910","2319000","1910"
"1989-08-23","1910","1940","1900","1900","4733000","1900"
"1989-08-24","1900","1920","1880","1890","1444000","1890"
"1989-08-25","1900","1900","1890","1900","918000","1900"
"1989-08-28","1910","1910","1860","1880","489000","1880"
"1989-08-29","1880","1900","1870","1880","997000","1880"
"1989-08-30","1870","1890","1850","1860","900000","1860"
"1989-08-31","1850","1860","1820","1840","640000","1840"
"1989-09-01","1750","1780","1720","1740","3343000","1740"
"1989-09-04","1730","1750","1730","1750","1136000","1750"
"1989-09-05","1750","1760","1740","1760","932000","1760"
"1989-09-06","1780","1780","1730","1750","875000","1750"
"1989-09-07","1750","1750","1720","1720","726000","1720"
"1989-09-08","1720","1740","1700","1700","518000","1700"
"1989-09-11","1730","1730","1690","1720","496000","1720"
"1989-09-12","1730","1730","1710","1720","393000","1720"
"1989-09-13","1740","1750","1730","1740","476000","1740"
"1989-09-14","1740","1760","1730","1760","457000","1760"
"1989-09-18","1760","1770","1750","1760","513000","1760"
"1989-09-19","1750","1750","1720","1730","790000","1730"
"1989-09-20","1730","1740","1720","1720","920000","1720"
"1989-09-21","1720","1750","1710","1740","900000","1740"
"1989-09-22","1770","1770","1740","1770","611000","1770"
"1989-09-25","1770","1770","1720","1730","1061000","1730"
