4502 ïêìcñÚïi,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2370","2390","2360","2390","936000","2390","1"
"1989-02-20","2400","2410","2360","2370","959000","2370","2"
"1989-02-21","2360","2370","2350","2350","1427000","2350","3"
"1989-02-22","2350","2350","2320","2320","1235000","2320","4"
"1989-02-23","2300","2320","2290","2320","1776000","2320","5"
"1989-02-27","2320","2340","2300","2320","802000","2320","7"
"1989-02-28","2320","2320","2290","2300","968000","2300","8"
"1989-03-01","2320","2370","2310","2370","1400000","2370","9"
"1989-03-02","2440","2470","2370","2370","1441000","2370","10"
"1989-03-03","2390","2400","2370","2370","658000","2370","11"
"1989-03-06","2370","2370","2320","2340","630000","2340","12"
"1989-03-07","2380","2380","2340","2350","576000","2350","13"
"1989-03-08","2350","2370","2330","2340","537000","2340","14"
"1989-03-09","2320","2340","2300","2310","903000","2310","15"
"1989-03-10","2300","2320","2290","2310","1543000","2310","16"
"1989-03-13","2300","2310","2290","2300","482000","2300","17"
"1989-03-14","2310","2340","2290","2330","750000","2330","18"
"1989-03-15","2370","2370","2300","2300","694000","2300","19"
"1989-03-16","2310","2330","2310","2320","664000","2320","20"
"1989-03-17","2310","2310","2300","2310","819000","2310","21"
"1989-03-20","2290","2300","2280","2300","716000","2300","22"
"1989-03-22","2290","2300","2220","2260","875000","2260","24"
"1989-03-23","2220","2270","2220","2250","671000","2250","25"
"1989-03-24","2270","2270","2230","2260","873000","2260","26"
"1989-03-27","2270","2350","2250","2330","816000","2330","27"
"1989-03-28","2370","2370","2320","2330","506000","2330","28"
"1989-03-29","2350","2410","2330","2410","1379000","2410","29"
"1989-03-30","2410","2410","2380","2380","989000","2380","30"
"1989-03-31","2380","2450","2370","2450","2083000","2450","31"
"1989-04-03","2490","2550","2470","2530","3018000","2530","32"
"1989-04-04","2540","2560","2440","2440","2077000","2440","33"
"1989-04-05","2470","2470","2410","2440","779000","2440","34"
"1989-04-06","2420","2420","2370","2380","1021000","2380","35"
"1989-04-07","2400","2430","2360","2360","1175000","2360","36"
"1989-04-10","2340","2360","2320","2340","487000","2340","37"
"1989-04-11","2340","2380","2330","2370","342000","2370","38"
"1989-04-12","2370","2370","2340","2350","463000","2350","39"
"1989-04-13","2350","2360","2310","2340","772000","2340","40"
"1989-04-14","2310","2340","2310","2340","382000","2340","41"
"1989-04-17","2340","2360","2330","2360","606000","2360","42"
"1989-04-18","2350","2350","2300","2300","715000","2300","43"
"1989-04-19","2310","2340","2300","2320","425000","2320","44"
"1989-04-20","2300","2320","2290","2300","512000","2300","45"
"1989-04-21","2280","2340","2280","2300","654000","2300","46"
"1989-04-24","2300","2320","2280","2300","494000","2300","47"
"1989-04-25","2340","2340","2290","2330","462000","2330","48"
"1989-04-26","2300","2330","2280","2330","636000","2330","49"
"1989-04-27","2330","2350","2310","2350","579000","2350","50"
"1989-04-28","2360","2370","2320","2350","817000","2350","51"
"1989-05-01","2330","2380","2320","2360","449000","2360","52"
"1989-05-02","2400","2400","2370","2370","982000","2370","53"
"1989-05-08","2400","2440","2390","2420","926000","2420","57"
"1989-05-09","2470","2480","2430","2460","983000","2460","58"
"1989-05-10","2470","2490","2420","2420","761000","2420","59"
"1989-05-11","2440","2440","2420","2420","294000","2420","60"
"1989-05-12","2420","2420","2380","2400","543000","2400","61"
"1989-05-15","2390","2400","2350","2360","400000","2360","62"
"1989-05-16","2390","2400","2360","2400","306000","2400","63"
"1989-05-17","2430","2450","2410","2420","752000","2420","64"
"1989-05-18","2430","2460","2410","2430","1073000","2430","65"
"1989-05-19","2450","2520","2430","2510","2884000","2510","66"
"1989-05-22","2520","2540","2490","2500","1261000","2500","67"
"1989-05-23","2510","2510","2450","2490","768000","2490","68"
"1989-05-24","2490","2490","2440","2490","596000","2490","69"
"1989-05-25","2500","2500","2460","2480","387000","2480","70"
"1989-05-26","2500","2500","2460","2460","674000","2460","71"
"1989-05-29","2500","2500","2420","2460","727000","2460","72"
"1989-05-30","2430","2460","2420","2450","435000","2450","73"
"1989-05-31","2450","2460","2410","2430","472000","2430","74"
"1989-06-01","2410","2420","2360","2370","1037000","2370","75"
"1989-06-02","2360","2370","2320","2350","919000","2350","76"
"1989-06-05","2330","2360","2330","2330","353000","2330","77"
"1989-06-06","2370","2390","2330","2350","688000","2350","78"
"1989-06-07","2370","2370","2340","2360","549000","2360","79"
"1989-06-08","2380","2380","2340","2340","592000","2340","80"
"1989-06-09","2370","2370","2330","2340","339000","2340","81"
"1989-06-12","2320","2350","2310","2330","287000","2330","82"
"1989-06-13","2340","2360","2340","2340","699000","2340","83"
"1989-06-14","2330","2340","2310","2340","623000","2340","84"
"1989-06-15","2350","2350","2320","2320","582000","2320","85"
"1989-06-16","2350","2350","2300","2340","497000","2340","86"
"1989-06-19","2320","2340","2310","2310","242000","2310","87"
"1989-06-20","2310","2320","2310","2320","516000","2320","88"
"1989-06-21","2300","2330","2300","2320","588000","2320","89"
"1989-06-22","2310","2320","2300","2320","651000","2320","90"
"1989-06-23","2340","2350","2310","2340","845000","2340","91"
"1989-06-26","2350","2350","2300","2330","1003000","2330","92"
"1989-06-27","2330","2330","2300","2300","440000","2300","93"
"1989-06-28","2320","2320","2280","2290","761000","2290","94"
"1989-06-29","2290","2340","2290","2320","790000","2320","95"
"1989-06-30","2310","2340","2300","2340","420000","2340","96"
"1989-07-03","2310","2390","2310","2390","285000","2390","97"
