4503 アステラス製薬(山之内),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","3680","3690","3650","3670","405000","3670","1"
"1989-02-20","3630","3640","3610","3610","415000","3610","2"
"1989-02-21","3600","3610","3550","3600","622000","3600","3"
"1989-02-22","3590","3600","3530","3550","778000","3550","4"
"1989-02-23","3500","3530","3460","3500","800000","3500","5"
"1989-02-27","3510","3530","3500","3510","398000","3510","7"
"1989-02-28","3530","3560","3520","3530","484000","3530","8"
"1989-03-01","3600","3740","3570","3720","921000","3720","9"
"1989-03-02","3790","3800","3700","3740","526000","3740","10"
"1989-03-03","3790","3790","3720","3750","609000","3750","11"
"1989-03-06","3700","3740","3650","3740","192000","3740","12"
"1989-03-07","3700","3730","3660","3700","132000","3700","13"
"1989-03-08","3650","3690","3600","3600","309000","3600","14"
"1989-03-09","3600","3600","3510","3600","1588000","3600","15"
"1989-03-10","3570","3590","3520","3580","1421000","3580","16"
"1989-03-13","3570","3570","3500","3500","268000","3500","17"
"1989-03-14","3510","3570","3510","3570","449000","3570","18"
"1989-03-15","3560","3560","3500","3540","428000","3540","19"
"1989-03-16","3590","3590","3500","3500","296000","3500","20"
"1989-03-17","3510","3530","3490","3490","346000","3490","21"
"1989-03-20","3480","3480","3410","3460","395000","3460","22"
"1989-03-22","3400","3440","3330","3330","502000","3330","24"
"1989-03-23","3370","3450","3350","3400","545000","3400","25"
"1989-03-24","3390","3390","3370","3370","299000","3370","26"
"1989-03-27","3400","3460","3350","3450","453000","3450","27"
"1989-03-28","3500","3500","3390","3450","198000","3450","28"
"1989-03-29","3500","3540","3480","3540","538000","3540","29"
"1989-03-30","3570","3580","3540","3550","379000","3550","30"
"1989-03-31","3600","3640","3530","3590","731000","3590","31"
"1989-04-03","3630","3680","3610","3640","1507000","3640","32"
"1989-04-04","3660","3660","3570","3570","668000","3570","33"
"1989-04-05","3600","3600","3480","3520","272000","3520","34"
"1989-04-06","3500","3500","3450","3450","267000","3450","35"
"1989-04-07","3460","3550","3440","3470","535000","3470","36"
"1989-04-10","3470","3470","3440","3460","160000","3460","37"
"1989-04-11","3450","3450","3400","3420","243000","3420","38"
"1989-04-12","3420","3420","3390","3400","242000","3400","39"
"1989-04-13","3410","3410","3390","3410","198000","3410","40"
"1989-04-14","3370","3400","3350","3350","300000","3350","41"
"1989-04-17","3360","3390","3360","3370","315000","3370","42"
"1989-04-18","3370","3380","3340","3360","343000","3360","43"
"1989-04-19","3330","3360","3330","3350","266000","3350","44"
"1989-04-20","3340","3340","3310","3340","428000","3340","45"
"1989-04-21","3290","3380","3290","3330","319000","3330","46"
"1989-04-24","3350","3350","3290","3290","289000","3290","47"
"1989-04-25","3340","3380","3300","3330","334000","3330","48"
"1989-04-26","3330","3400","3330","3390","353000","3390","49"
"1989-04-27","3390","3430","3310","3390","547000","3390","50"
"1989-04-28","3400","3420","3330","3330","352000","3330","51"
"1989-05-01","3340","3360","3300","3300","868000","3300","52"
"1989-05-02","3350","3370","3310","3330","453000","3330","53"
"1989-05-08","3380","3470","3370","3440","625000","3440","57"
"1989-05-09","3450","3480","3430","3460","561000","3460","58"
"1989-05-10","3460","3460","3420","3430","351000","3430","59"
"1989-05-11","3430","3430","3390","3390","233000","3390","60"
"1989-05-12","3400","3460","3390","3400","371000","3400","61"
"1989-05-15","3390","3440","3390","3390","197000","3390","62"
"1989-05-16","3400","3460","3400","3460","204000","3460","63"
"1989-05-17","3470","3510","3450","3490","490000","3490","64"
"1989-05-18","3510","3560","3510","3540","445000","3540","65"
"1989-05-19","3540","3670","3500","3600","982000","3600","66"
"1989-05-22","3650","3670","3630","3650","776000","3650","67"
"1989-05-23","3650","3650","3580","3630","668000","3630","68"
"1989-05-24","3580","3630","3580","3590","378000","3590","69"
"1989-05-25","3620","3620","3580","3580","252000","3580","70"
"1989-05-26","3580","3580","3500","3540","321000","3540","71"
"1989-05-29","3510","3570","3510","3510","275000","3510","72"
"1989-05-30","3500","3520","3480","3520","174000","3520","73"
"1989-05-31","3570","3590","3510","3580","231000","3580","74"
"1989-06-01","3580","3580","3510","3520","210000","3520","75"
"1989-06-02","3530","3560","3480","3490","240000","3490","76"
"1989-06-05","3440","3570","3440","3490","275000","3490","77"
"1989-06-06","3540","3560","3490","3520","261000","3520","78"
"1989-06-07","3570","3580","3530","3530","216000","3530","79"
"1989-06-08","3540","3560","3530","3540","186000","3540","80"
"1989-06-09","3530","3540","3520","3540","208000","3540","81"
"1989-06-12","3540","3540","3490","3500","230000","3500","82"
"1989-06-13","3520","3550","3480","3530","404000","3530","83"
"1989-06-14","3580","3580","3500","3560","270000","3560","84"
"1989-06-15","3580","3580","3530","3530","353000","3530","85"
"1989-06-16","3590","3590","3460","3500","334000","3500","86"
"1989-06-19","3480","3530","3460","3530","152000","3530","87"
"1989-06-20","3500","3580","3500","3560","369000","3560","88"
"1989-06-21","3530","3550","3490","3550","425000","3550","89"
"1989-06-22","3550","3550","3500","3530","124000","3530","90"
"1989-06-23","3500","3600","3500","3520","471000","3520","91"
"1989-06-26","3550","3570","3480","3480","457000","3480","92"
"1989-06-27","3530","3550","3470","3500","289000","3500","93"
"1989-06-28","3470","3530","3450","3530","456000","3530","94"
"1989-06-29","3580","3640","3570","3590","1685000","3590","95"
"1989-06-30","3620","3720","3620","3680","2704000","3680","96"
"1989-07-03","3670","3720","3650","3700","798000","3700","97"
"1989-07-04","3720","3820","3710","3790","1895000","3790","98"
"1989-07-05","3850","3880","3770","3800","1885000","3800","99"
"1989-07-06","3780","3800","3730","3730","347000","3730","100"
"1989-07-07","3720","3750","3710","3750","625000","3750","101"
"1989-07-10","3750","3770","3670","3700","467000","3700","102"
"1989-07-11","3700","3750","3680","3680","250000","3680","103"
"1989-07-12","3680","3700","3620","3650","412000","3650","104"
"1989-07-13","3650","3650","3600","3600","170000","3600","105"
"1989-07-14","3600","3640","3600","3610","177000","3610","106"
"1989-07-17","3630","3630","3590","3590","487000","3590","107"
"1989-07-18","3570","3580","3550","3550","255000","3550","108"
"1989-07-19","3560","3600","3560","3600","398000","3600","109"
"1989-07-20","3620","3740","3610","3700","507000","3700","110"
"1989-07-21","3700","3750","3680","3720","629000","3720","111"
"1989-07-24","3690","3720","3690","3710","374000","3710","112"
"1989-07-25","3720","3790","3700","3750","809000","3750","113"
"1989-07-26","3720","3770","3720","3730","1410000","3730","114"
"1989-07-27","3740","3800","3730","3800","1943000","3800","115"
"1989-07-28","3770","3790","3760","3760","707000","3760","116"
"1989-07-31","3780","3790","3750","3760","409000","3760","117"
"1989-08-01","3770","3780","3750","3750","384000","3750","118"
"1989-08-02","3790","3820","3760","3790","542000","3790","119"
"1989-08-03","3770","3800","3730","3760","441000","3760","120"
"1989-08-04","3750","3790","3740","3780","228000","3780","121"
"1989-08-07","3790","3800","3780","3790","328000","3790","122"
"1989-08-08","3790","3800","3740","3790","432000","3790","123"
"1989-08-09","3770","3860","3770","3830","1222000","3830","124"
"1989-08-10","3840","3880","3800","3860","1242000","3860","125"
"1989-08-11","3880","3900","3820","3850","546000","3850","126"
"1989-08-14","3860","3870","3820","3850","196000","3850","127"
"1989-08-15","3850","3850","3800","3820","200000","3820","128"
"1989-08-16","3860","3880","3820","3850","415000","3850","129"
"1989-08-17","3880","3900","3850","3890","608000","3890","130"
"1989-08-18","3890","3900","3840","3840","337000","3840","131"
"1989-08-21","3890","3900","3850","3860","339000","3860","132"
"1989-08-22","3850","3890","3850","3850","172000","3850","133"
"1989-08-23","3850","3850","3800","3840","357000","3840","134"
"1989-08-24","3820","3820","3750","3760","296000","3760","135"
"1989-08-25","3740","3820","3740","3750","537000","3750","136"
"1989-08-28","3780","3780","3720","3720","244000","3720","137"
"1989-08-29","3800","3800","3750","3770","615000","3770","138"
"1989-08-30","3810","3850","3780","3780","365000","3780","139"
"1989-08-31","3780","3800","3730","3750","329000","3750","140"
"1989-09-01","3750","3830","3740","3830","258000","3830","141"
"1989-09-04","3780","3800","3770","3800","124000","3800","142"
"1989-09-05","3800","3850","3800","3850","439000","3850","143"
"1989-09-06","3850","3890","3800","3860","371000","3860","144"
"1989-09-07","3810","4000","3810","3950","2270000","3950","145"
"1989-09-08","4040","4040","3870","3880","1578000","3880","146"
"1989-09-11","3880","3890","3850","3890","382000","3890","147"
"1989-09-12","3860","3890","3860","3880","227000","3880","148"
"1989-09-13","3880","3880","3810","3850","285000","3850","149"
"1989-09-14","3850","3850","3810","3840","420000","3840","150"
"1989-09-18","3820","3830","3790","3810","293000","3810","152"
"1989-09-19","3790","3790","3720","3760","367000","3760","153"
"1989-09-20","3740","3750","3720","3730","390000","3730","154"
"1989-09-21","3730","3830","3720","3800","277000","3800","155"
"1989-09-22","3750","3790","3730","3760","446000","3760","156"
"1989-09-25","3780","3880","3760","3880","608000","3880","157"
"1989-09-26","3880","3930","3860","3900","932000","3900","158"
"1989-09-27","3930","3940","3820","3880","704000","3880","159"
"1989-09-28","3920","3920","3880","3890","765000","3890","160"
"1989-09-29","3910","3920","3830","3900","376000","3900","161"
"1989-10-02","3850","3970","3830","3900","1111000","3900","162"
"1989-10-03","3850","3870","3830","3830","698000","3830","163"
"1989-10-04","3830","3840","3830","3830","633000","3830","164"
"1989-10-05","3830","3850","3830","3830","723000","3830","165"
"1989-10-06","3830","3860","3830","3830","858000","3830","166"
"1989-10-09","3830","3850","3810","3830","497000","3830","167"
