4523 エーザイ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2000","2020","1990","2010","267000","2010","1"
"1989-02-20","2020","2040","1990","2000","198000","2000","2"
"1989-02-21","2020","2030","1990","2020","233000","2020","3"
"1989-02-22","1990","2000","1970","2000","449000","2000","4"
"1989-02-23","2000","2000","1950","1970","291000","1970","5"
"1989-02-27","2000","2000","1970","1970","118000","1970","7"
"1989-02-28","1970","2000","1960","2000","151000","2000","8"
"1989-03-01","1990","2050","1980","2050","240000","2050","9"
"1989-03-02","2090","2090","2050","2060","125000","2060","10"
"1989-03-03","2060","2060","2010","2010","239000","2010","11"
"1989-03-06","1990","2000","1990","2000","122000","2000","12"
"1989-03-07","1980","2000","1970","2000","207000","2000","13"
"1989-03-08","2000","2000","1980","1990","96000","1990","14"
"1989-03-09","1980","1990","1970","1980","308000","1980","15"
"1989-03-10","1970","1970","1930","1950","159000","1950","16"
"1989-03-13","1930","1940","1910","1910","127000","1910","17"
"1989-03-14","1900","1950","1900","1950","222000","1950","18"
"1989-03-15","1950","1950","1920","1950","262000","1950","19"
"1989-03-16","1950","1950","1930","1950","358000","1950","20"
"1989-03-17","1950","1950","1900","1900","447000","1900","21"
"1989-03-20","1890","1890","1870","1890","354000","1890","22"
"1989-03-22","1870","1880","1850","1850","381000","1850","24"
"1989-03-23","1850","1890","1840","1890","313000","1890","25"
"1989-03-24","1870","1880","1850","1850","266000","1850","26"
"1989-03-27","1850","1890","1850","1880","488000","1880","27"
"1989-03-28","1900","1930","1890","1900","137000","1900","28"
"1989-03-29","1960","1960","1930","1950","333000","1950","29"
"1989-03-30","1940","1940","1920","1940","193000","1940","30"
"1989-03-31","1940","2060","1910","1920","1006000","1920","31"
"1989-04-03","2000","2070","1980","2030","765000","2030","32"
"1989-04-04","2090","2090","2030","2030","586000","2030","33"
"1989-04-05","2010","2030","1980","2020","234000","2020","34"
"1989-04-06","2010","2010","1980","2010","279000","2010","35"
"1989-04-07","2020","2050","1990","2000","286000","2000","36"
"1989-04-10","2010","2010","1930","1980","139000","1980","37"
"1989-04-11","1960","1960","1950","1960","142000","1960","38"
"1989-04-12","1930","1960","1930","1950","201000","1950","39"
"1989-04-13","2000","2050","1950","1950","125000","1950","40"
"1989-04-14","1980","2000","1940","1950","119000","1950","41"
"1989-04-17","1980","1980","1970","1980","133000","1980","42"
"1989-04-18","1980","1980","1930","1940","162000","1940","43"
"1989-04-19","1970","1970","1920","1930","235000","1930","44"
"1989-04-20","1930","1970","1930","1970","228000","1970","45"
"1989-04-21","2000","2000","1930","1960","271000","1960","46"
"1989-04-24","1990","1990","1920","1920","159000","1920","47"
