4543 ƒeƒ‹ƒ‚,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1750","1760","1740","1740","125000","1740","1"
"1989-02-20","1740","1740","1710","1710","159000","1710","2"
"1989-02-21","1730","1730","1700","1700","160000","1700","3"
"1989-02-22","1700","1700","1670","1670","263000","1670","4"
"1989-02-23","1670","1690","1660","1680","261000","1680","5"
"1989-02-27","1670","1680","1660","1660","337000","1660","7"
"1989-02-28","1670","1750","1670","1720","1177000","1720","8"
"1989-03-01","1780","1790","1710","1790","895000","1790","9"
"1989-03-02","1810","1840","1770","1820","865000","1820","10"
"1989-03-03","1780","1800","1760","1800","328000","1800","11"
"1989-03-06","1770","1790","1720","1720","122000","1720","12"
"1989-03-07","1730","1760","1730","1740","157000","1740","13"
"1989-03-08","1750","1750","1700","1720","146000","1720","14"
"1989-03-09","1730","1730","1700","1700","91000","1700","15"
"1989-03-10","1690","1750","1690","1730","164000","1730","16"
"1989-03-13","1730","1730","1710","1730","118000","1730","17"
"1989-03-14","1750","1760","1710","1710","78000","1710","18"
"1989-03-15","1720","1740","1710","1730","98000","1730","19"
"1989-03-16","1730","1740","1710","1720","165000","1720","20"
"1989-03-17","1740","1750","1720","1740","126000","1740","21"
"1989-03-20","1720","1720","1690","1710","303000","1710","22"
"1989-03-22","1740","1740","1680","1680","1636000","1680","24"
"1989-03-23","1710","1710","1670","1670","318000","1670","25"
"1989-03-24","1690","1700","1670","1670","174000","1670","26"
"1989-03-27","1680","1700","1670","1700","331000","1700","27"
"1989-03-28","1720","1820","1700","1750","276000","1750","28"
"1989-03-29","1810","1870","1800","1800","846000","1800","29"
"1989-03-30","1830","1870","1800","1830","2123000","1830","30"
"1989-03-31","1840","1870","1820","1860","341000","1860","31"
"1989-04-03","1870","1880","1850","1870","331000","1870","32"
"1989-04-04","1890","1890","1840","1840","301000","1840","33"
"1989-04-05","1850","1850","1790","1830","189000","1830","34"
"1989-04-06","1830","1830","1800","1800","158000","1800","35"
"1989-04-07","1800","1810","1760","1810","156000","1810","36"
"1989-04-10","1790","1800","1770","1780","29000","1780","37"
"1989-04-11","1780","1800","1780","1780","75000","1780","38"
"1989-04-12","1780","1820","1770","1780","139000","1780","39"
"1989-04-13","1800","1800","1780","1780","64000","1780","40"
"1989-04-14","1790","1790","1780","1790","15000","1790","41"
"1989-04-17","1800","1830","1800","1800","201000","1800","42"
"1989-04-18","1820","1820","1800","1810","143000","1810","43"
"1989-04-19","1820","1820","1790","1800","224000","1800","44"
"1989-04-20","1790","1820","1790","1810","182000","1810","45"
"1989-04-21","1810","1830","1790","1830","347000","1830","46"
"1989-04-24","1840","1900","1830","1900","685000","1900","47"
"1989-04-25","1900","1920","1850","1860","1253000","1860","48"
"1989-04-26","1860","1890","1810","1840","492000","1840","49"
"1989-04-27","1830","1860","1820","1840","139000","1840","50"
"1989-04-28","1850","1850","1810","1810","140000","1810","51"
"1989-05-01","1870","1870","1840","1870","114000","1870","52"
"1989-05-02","1870","1870","1820","1830","129000","1830","53"
"1989-05-08","1860","1860","1840","1860","151000","1860","57"
"1989-05-09","1860","1860","1830","1840","126000","1840","58"
"1989-05-10","1840","1840","1820","1820","114000","1820","59"
"1989-05-11","1820","1830","1800","1810","121000","1810","60"
"1989-05-12","1810","1820","1800","1800","116000","1800","61"
"1989-05-15","1800","1820","1800","1810","81000","1810","62"
"1989-05-16","1820","1850","1810","1840","255000","1840","63"
"1989-05-17","1840","1840","1820","1820","174000","1820","64"
"1989-05-18","1850","1890","1850","1860","505000","1860","65"
"1989-05-19","1890","1960","1880","1930","2305000","1930","66"
"1989-05-22","1960","1970","1910","1940","750000","1940","67"
"1989-05-23","1950","1950","1910","1930","477000","1930","68"
"1989-05-24","1930","1950","1900","1950","681000","1950","69"
"1989-05-25","1950","1970","1930","1970","396000","1970","70"
"1989-05-26","1970","2060","1970","2000","1851000","2000","71"
"1989-05-29","2020","2020","1950","1950","330000","1950","72"
"1989-05-30","1920","1990","1920","1990","291000","1990","73"
"1989-05-31","1990","2000","1950","1960","580000","1960","74"
"1989-06-01","1960","2000","1960","2000","391000","2000","75"
"1989-06-02","1990","1990","1940","1950","359000","1950","76"
"1989-06-05","1920","1930","1900","1910","178000","1910","77"
"1989-06-06","1900","1920","1880","1880","223000","1880","78"
"1989-06-07","1940","1940","1850","1850","218000","1850","79"
"1989-06-08","1880","1900","1860","1900","100000","1900","80"
"1989-06-09","1930","1960","1900","1920","152000","1920","81"
"1989-06-12","1910","1920","1900","1900","152000","1900","82"
"1989-06-13","1900","1910","1880","1900","83000","1900","83"
"1989-06-14","1880","1900","1870","1880","113000","1880","84"
"1989-06-15","1910","1910","1870","1870","114000","1870","85"
"1989-06-16","1850","1870","1850","1850","107000","1850","86"
"1989-06-19","1870","1880","1850","1870","63000","1870","87"
"1989-06-20","1880","1960","1880","1910","407000","1910","88"
"1989-06-21","1910","1930","1850","1910","1285000","1910","89"
"1989-06-22","1910","1990","1900","1950","971000","1950","90"
"1989-06-23","1980","1980","1950","1960","351000","1960","91"
"1989-06-26","1950","1950","1920","1950","385000","1950","92"
"1989-06-27","1950","1950","1920","1930","178000","1930","93"
"1989-06-28","1940","1940","1900","1910","273000","1910","94"
"1989-06-29","1930","2120","1930","2100","4426000","2100","95"
"1989-06-30","2060","2090","2010","2050","1572000","2050","96"
"1989-07-03","2010","2080","2000","2080","912000","2080","97"
"1989-07-04","2040","2140","2040","2090","2205000","2090","98"
"1989-07-05","2120","2140","2050","2080","798000","2080","99"
"1989-07-06","2060","2090","2050","2070","389000","2070","100"
"1989-07-07","2050","2070","2040","2050","332000","2050","101"
"1989-07-10","2010","2050","2010","2030","315000","2030","102"
"1989-07-11","2030","2050","2020","2030","236000","2030","103"
"1989-07-12","2030","2030","2010","2030","182000","2030","104"
"1989-07-13","2030","2030","2010","2030","176000","2030","105"
"1989-07-14","2010","2030","2000","2030","152000","2030","106"
"1989-07-17","1990","2010","1980","1980","117000","1980","107"
"1989-07-18","2000","2000","1980","2000","103000","2000","108"
"1989-07-19","1990","2050","1990","2050","272000","2050","109"
"1989-07-20","2050","2070","2020","2070","663000","2070","110"
"1989-07-21","2030","2060","2020","2050","398000","2050","111"
"1989-07-24","2020","2040","2000","2030","147000","2030","112"
"1989-07-25","2030","2060","2010","2050","316000","2050","113"
"1989-07-26","2010","2170","2010","2140","2239000","2140","114"
"1989-07-27","2140","2170","2130","2140","2291000","2140","115"
"1989-07-28","2100","2140","2100","2140","375000","2140","116"
"1989-07-31","2130","2130","2110","2120","170000","2120","117"
"1989-08-01","2130","2130","2080","2100","371000","2100","118"
"1989-08-02","2090","2110","2070","2080","452000","2080","119"
"1989-08-03","2100","2120","2080","2110","458000","2110","120"
"1989-08-04","2110","2180","2100","2150","1528000","2150","121"
