4704 トレンドマイクロ,,,,,
"date","open","hight","low","close","power","End","date_position"
"2000-08-18","17890","17900","17250","17310","308500","17310","2990"
"2000-08-21","17310","17340","16910","17080","77000","17080","2991"
"2000-08-22","16900","16910","16110","16440","188500","16440","2992"
"2000-08-23","16630","17260","16630","17240","215500","17240","2993"
"2000-08-24","17240","17250","16900","17100","106000","17100","2994"
"2000-08-25","17250","17650","17000","17600","305000","17600","2995"
"2000-08-28","17800","17950","17560","17800","283000","17800","2996"
"2000-08-29","17950","17950","17500","17640","211500","17640","2997"
"2000-08-30","17240","17250","16800","17000","99000","17000","2998"
"2000-08-31","16500","16950","16350","16600","210500","16600","2999"
"2000-09-01","16990","17000","16210","16300","156500","16300","3000"
"2000-09-04","16300","16400","15800","15880","167500","15880","3001"
"2000-09-05","15880","15880","15500","15550","144000","15550","3002"
"2000-09-06","15300","15870","15300","15550","117500","15550","3003"
"2000-09-07","15600","16100","15500","16040","141000","16040","3004"
"2000-09-08","16240","16620","16100","16620","168500","16620","3005"
"2000-09-11","16300","16300","15200","15700","142000","15700","3006"
"2000-09-12","15420","15500","15100","15130","105000","15130","3007"
"2000-09-13","14530","15100","14500","14610","198500","14610","3008"
"2000-09-14","15010","15190","14950","15000","169500","15000","3009"
"2000-09-18","15200","15200","14210","14300","188500","14300","3011"
"2000-09-19","13500","13700","13210","13610","270500","13610","3012"
"2000-09-20","14300","15440","14290","15200","205500","15200","3013"
"2000-09-21","15000","15990","14800","15720","205000","15720","3014"
"2000-09-22","15280","15300","14500","14650","213500","14650","3015"
"2000-09-25","15290","15290","14660","14810","141000","14810","3016"
"2000-09-26","14820","15080","14450","14800","95500","14800","3017"
"2000-09-27","14300","14390","14290","14330","78000","14330","3018"
"2000-09-28","13810","14100","13720","13930","217500","13930","3019"
"2000-09-29","14530","14790","14400","14510","172500","14510","3020"
"2000-10-02","14500","15500","14400","15500","193000","15500","3021"
"2000-10-03","15550","15930","15400","15900","166000","15900","3022"
"2000-10-04","15600","16300","15300","16250","201000","16250","3023"
"2000-10-05","16250","16260","15860","15860","202500","15860","3024"
"2000-10-06","15660","16200","15400","16200","127500","16200","3025"
"2000-10-10","15620","16200","15530","16170","111000","16170","3027"
"2000-10-11","16000","16000","15320","15320","218000","15320","3028"
"2000-10-12","14320","14430","13450","13970","543500","13970","3029"
"2000-10-13","13170","13510","12910","13360","315000","13360","3030"
"2000-10-16","14060","14200","13360","13680","220500","13680","3031"
"2000-10-17","13680","13850","13000","13100","170500","13100","3032"
"2000-10-18","12600","12960","12000","12800","312500","12800","3033"
"2000-10-19","12800","13190","12100","12230","214500","12230","3034"
"2000-10-20","13030","13300","12730","12850","178500","12850","3035"
"2000-10-23","13010","13150","12540","12540","92500","12540","3036"
"2000-10-24","12500","13100","12490","12600","122000","12600","3037"
"2000-10-25","12900","12900","12200","12750","143500","12750","3038"
"2000-10-26","12500","12550","11950","12280","230000","12280","3039"
"2000-10-27","12250","12400","11900","11950","151500","11950","3040"
"2000-10-30","12150","12150","11000","11000","126500","11000","3041"
"2000-10-31","10800","10800","9900","10300","395500","10300","3042"
"2000-11-01","12100","12250","11710","11830","328500","11830","3043"
"2000-11-02","12030","13280","12000","13100","426500","13100","3044"
"2000-11-06","14000","15050","13900","14940","647500","14940","3046"
"2000-11-07","14540","14830","14400","14410","252000","14410","3047"
"2000-11-08","14310","14800","14100","14200","159500","14200","3048"
"2000-11-09","13690","14080","13610","13610","172500","13610","3049"
"2000-11-10","13610","13790","13260","13420","86500","13420","3050"
"2000-11-13","12820","12820","11880","12490","200000","12490","3051"
"2000-11-14","12490","13390","12490","13110","159500","13110","3052"
"2000-11-15","13990","13990","13520","13550","199500","13550","3053"
"2000-11-16","13500","13550","12900","13000","110000","13000","3054"
"2000-11-17","12600","13480","12600","13480","147000","13480","3055"
"2000-11-20","13100","13410","13000","13130","161500","13130","3056"
"2000-11-21","12700","12800","12250","12430","229000","12430","3057"
