4751 サイバーエージェント,,,,,
"date","open","hight","low","close","power","End","date_position"
"2000-04-04","12525","12525","12525","12525","12000","12525","2892"
"2000-04-05","10650","13375","10625","13375","33600","13375","2893"
"2000-04-06","12875","12875","10875","10875","16800","10875","2894"
"2000-04-07","10375","12125","10375","12125","16800","12125","2895"
"2000-04-10","13238","13375","13238","13375","8800","13375","2896"
"2000-04-11","12625","15125","12625","14613","15199","14613","2897"
"2000-04-12","14613","14613","13125","13375","8000","13375","2898"
"2000-04-13","12250","12250","10875","10875","16000","10875","2899"
"2000-04-14","10625","10625","9875","10013","15199","10013","2900"
"2000-04-17","8888","8888","8888","8888","0","8888","2901"
"2000-04-18","8750","8775","7638","7638","22399","7638","2902"
"2000-04-19","7650","8888","7638","8888","20000","8888","2903"
"2000-04-20","9250","10125","9250","10125","5599","10125","2904"
"2000-04-21","11375","11375","11375","11375","11199","11375","2905"
"2000-04-24","12625","12625","12500","12500","13600","12500","2906"
"2000-04-25","12613","14000","12225","13625","31200","13625","2907"
"2000-04-26","13750","13750","12250","12500","19200","12500","2908"
"2000-04-27","12500","12500","11875","11875","7200","11875","2909"
"2000-04-28","12375","12500","12250","12438","9600","12438","2910"
"2000-05-01","12875","13125","12863","13125","6400","13125","2911"
"2000-05-02","13750","14750","13750","14375","12800","14375","2912"
"2000-05-08","14625","15375","14375","15125","15199","15125","2916"
"2000-05-09","15375","15375","15000","15000","7200","15000","2917"
"2000-05-10","12250","12500","12250","12500","8000","12500","2918"
"2000-05-11","10050","10625","10050","10625","3200","10625","2919"
"2000-05-12","12500","12500","12500","12500","0","12500","2920"
"2000-05-15","10750","10750","10625","10625","7200","10625","2921"
"2000-05-16","11125","11250","11125","11250","3200","11250","2922"
"2000-05-17","12375","12375","11375","11375","8000","11375","2923"
"2000-05-18","11375","11375","10625","11000","10400","11000","2924"
"2000-05-19","10625","11000","10125","11000","13600","11000","2925"
"2000-05-22","10050","10050","9750","9750","5599","9750","2926"
"2000-05-23","8538","8675","8538","8538","8800","8538","2927"
"2000-05-24","8500","8500","8000","8125","8800","8125","2928"
"2000-05-25","8138","9250","8138","9250","6400","9250","2929"
"2000-05-26","9113","9113","8250","8288","3200","8288","2930"
"2000-05-29","8275","8275","7150","7313","10400","7313","2931"
"2000-05-30","7313","7313","6875","7000","14400","7000","2932"
"2000-05-31","7325","7513","7250","7250","7200","7250","2933"
"2000-06-01","7250","7375","7250","7375","8000","7375","2934"
"2000-06-02","7750","7750","7750","7750","800","7750","2935"
"2000-06-05","7750","7988","7750","7750","12000","7750","2936"
"2000-06-06","7750","7750","7500","7750","10400","7750","2937"
"2000-06-07","7750","8000","7500","8000","4800","8000","2938"
"2000-06-08","7988","7988","7625","7625","8800","7625","2939"
"2000-06-09","7625","7625","7500","7500","5599","7500","2940"
"2000-06-12","7500","7500","7500","7500","1600","7500","2941"
"2000-06-13","7500","7500","7500","7500","800","7500","2942"
"2000-06-14","7375","7375","6875","7113","4800","7113","2943"
"2000-06-15","7113","7113","6275","6500","4000","6500","2944"
"2000-06-16","6500","6500","6250","6250","3200","6250","2945"
"2000-06-19","6238","6238","5625","5763","10400","5763","2946"
"2000-06-20","5788","5788","5500","5750","4800","5750","2947"
"2000-06-21","5475","5875","5288","5875","11199","5875","2948"
"2000-06-22","5750","6000","5563","6000","5599","6000","2949"
"2000-06-23","6625","6625","6625","6625","7200","6625","2950"
"2000-06-26","7250","7375","7125","7250","9600","7250","2951"
"2000-06-27","7238","7238","6938","6938","4800","6938","2952"
"2000-06-28","6863","6863","6863","6863","800","6863","2953"
"2000-06-29","6363","6363","6000","6000","5599","6000","2954"
"2000-06-30","6063","6250","6000","6250","3200","6250","2955"
"2000-07-03","6750","6875","6750","6875","1600","6875","2956"
"2000-07-04","7063","7475","7063","7375","5599","7375","2957"
"2000-07-05","7500","7625","7375","7625","8800","7625","2958"
"2000-07-06","7613","7625","7613","7625","5599","7625","2959"
"2000-07-07","7625","7625","7500","7625","3200","7625","2960"
"2000-07-10","7500","7500","7250","7250","3200","7250","2961"
"2000-07-11","7250","7250","7000","7000","2400","7000","2962"
"2000-07-12","7000","7013","6875","6875","4000","6875","2963"
"2000-07-13","6875","6875","6875","6875","0","6875","2964"
"2000-07-14","6875","6875","6875","6875","0","6875","2965"
"2000-07-17","6875","6875","6625","6750","5599","6750","2966"
"2000-07-18","6763","6763","6625","6750","7200","6750","2967"
"2000-07-19","6375","6500","6250","6375","8800","6375","2968"
"2000-07-21","6625","6625","6125","6125","5599","6125","2970"
"2000-07-24","6250","6375","5813","5875","7200","5875","2971"
"2000-07-25","6113","6113","5875","5875","3200","5875","2972"
"2000-07-26","6800","6900","6550","6900","2600","6900","2973"
"2000-07-27","6900","6900","6450","6450","1600","6450","2974"
"2000-07-28","6450","6450","6300","6300","800","6300","2975"
"2000-07-31","6200","6200","5850","5850","2400","5850","2976"
"2000-08-01","5950","6000","5550","5550","1399","5550","2977"
"2000-08-02","5750","5950","5650","5650","1000","5650","2978"
"2000-08-03","5750","5750","5650","5650","800","5650","2979"
"2000-08-04","5650","5650","5500","5500","1200","5500","2980"
"2000-08-07","5500","5500","5050","5050","1200","5050","2981"
"2000-08-08","5350","5400","5250","5350","1399","5350","2982"
"2000-08-09","5500","5500","5000","5250","3200","5250","2983"
"2000-08-10","5350","5850","5250","5850","9000","5850","2984"
"2000-08-11","4850","4850","4850","4850","0","4850","2985"
"2000-08-14","4500","4775","4400","4775","7599","4775","2986"
"2000-08-15","4780","5100","4780","5000","3799","5000","2987"
