4755 Šy“V,,,,,
"date","open","hight","low","close","power","End","date_position"
"2013-12-04","1534","1575","1529","1552","10295200","1552","6447"
"2013-12-05","1552","1577","1543","1552","6106399","1552","6448"
"2013-12-06","1556","1565","1503","1519","7812100","1519","6449"
"2013-12-09","1550","1559","1528","1538","4114899","1538","6450"
"2013-12-10","1540","1548","1526","1533","3527300","1533","6451"
"2013-12-11","1523","1543","1520","1531","3818500","1531","6452"
"2013-12-12","1528","1538","1520","1530","3754199","1530","6453"
"2013-12-13","1520","1528","1488","1496","5821600","1496","6454"
"2013-12-16","1489","1494","1450","1468","5633600","1468","6455"
"2013-12-17","1480","1496","1475","1491","3005100","1491","6456"
"2013-12-18","1477","1523","1475","1523","4653100","1523","6457"
"2013-12-19","1520","1530","1483","1500","6808700","1500","6458"
"2013-12-20","1500","1510","1488","1494","3642199","1494","6459"
"2013-12-24","1498","1505","1480","1493","4811800","1493","6461"
"2013-12-25","1480","1522","1480","1507","5065500","1507","6462"
"2013-12-26","1515","1583","1513","1571","7215300","1571","6463"
"2013-12-27","1587","1589","1552","1568","4607700","1568","6464"
"2013-12-30","1579","1580","1561","1564","3855500","1564","6465"
"2014-01-06","1577","1596","1566","1586","4516700","1586","6469"
"2014-01-07","1589","1590","1556","1581","3472199","1581","6470"
"2014-01-08","1584","1647","1581","1638","10484700","1638","6471"
"2014-01-09","1635","1684","1623","1676","8868299","1676","6472"
"2014-01-10","1670","1754","1661","1741","9820000","1741","6473"
"2014-01-14","1703","1745","1677","1717","11012600","1717","6475"
"2014-01-15","1734","1749","1699","1735","11495400","1735","6476"
"2014-01-16","1751","1783","1743","1762","9435200","1762","6477"
"2014-01-17","1762","1807","1747","1798","8315600","1798","6478"
"2014-01-20","1802","1813","1772","1778","10108000","1778","6479"
"2014-01-21","1800","1843","1794","1800","11439900","1800","6480"
"2014-01-22","1810","1815","1762","1781","9752799","1781","6481"
"2014-01-23","1791","1801","1760","1779","7462800","1779","6482"
"2014-01-24","1754","1763","1739","1758","9073200","1758","6483"
"2014-01-27","1718","1757","1715","1732","6444399","1732","6484"
"2014-01-28","1740","1767","1720","1733","8673799","1733","6485"
"2014-01-29","1731","1819","1722","1810","14172000","1810","6486"
"2014-01-30","1785","1800","1683","1736","57340500","1736","6487"
"2014-01-31","1699","1739","1642","1684","28786500","1684","6488"
"2014-02-03","1644","1666","1620","1629","9856700","1629","6489"
"2014-02-04","1549","1587","1512","1517","13949799","1517","6490"
"2014-02-05","1547","1560","1488","1524","11796000","1524","6491"
"2014-02-06","1546","1573","1536","1558","5627500","1558","6492"
"2014-02-07","1595","1596","1533","1563","6806800","1563","6493"
"2014-02-10","1591","1618","1579","1592","8130399","1592","6494"
"2014-02-12","1630","1667","1624","1640","6737100","1640","6496"
"2014-02-13","1635","1653","1596","1637","6773399","1637","6497"
"2014-02-14","1660","1690","1643","1657","6698200","1657","6498"
"2014-02-17","1530","1543","1439","1499","24750300","1499","6499"
"2014-02-18","1520","1550","1472","1524","15285100","1524","6500"
"2014-02-19","1526","1542","1502","1540","8807799","1540","6501"
"2014-02-20","1522","1544","1456","1466","12689100","1466","6502"
"2014-02-21","1491","1512","1456","1463","11982400","1463","6503"
"2014-02-24","1490","1523","1467","1501","9316700","1501","6504"
"2014-02-25","1529","1544","1508","1534","10266600","1534","6505"
"2014-02-26","1516","1545","1513","1543","9264400","1543","6506"
"2014-02-27","1503","1514","1462","1475","13795100","1475","6507"
"2014-02-28","1479","1479","1444","1459","8107899","1459","6508"
"2014-03-03","1430","1442","1391","1419","9697600","1419","6509"
"2014-03-04","1401","1462","1396","1459","7574500","1459","6510"
"2014-03-05","1469","1483","1425","1432","6895100","1432","6511"
"2014-03-06","1417","1427","1395","1420","11646200","1420","6512"
"2014-03-07","1422","1426","1402","1419","6777100","1419","6513"
"2014-03-10","1400","1415","1396","1400","7486000","1400","6514"
"2014-03-11","1411","1414","1397","1402","7147700","1402","6515"
"2014-03-12","1390","1412","1373","1402","9862400","1402","6516"
"2014-03-13","1414","1414","1359","1365","6059899","1365","6517"
"2014-03-14","1321","1337","1304","1309","8401600","1309","6518"
"2014-03-17","1298","1311","1284","1291","8822200","1291","6519"
"2014-03-18","1321","1344","1314","1317","7280700","1317","6520"
"2014-03-19","1322","1334","1292","1316","9629400","1316","6521"
"2014-03-20","1300","1324","1276","1287","7234800","1287","6522"
"2014-03-24","1270","1343","1261","1314","10688200","1314","6524"
"2014-03-25","1330","1339","1303","1303","6147800","1303","6525"
"2014-03-26","1309","1336","1309","1318","4477500","1318","6526"
"2014-03-27","1304","1322","1262","1316","7387000","1316","6527"
"2014-03-28","1318","1358","1295","1340","9517600","1340","6528"
"2014-03-31","1386","1386","1341","1377","5818200","1377","6529"
"2014-04-01","1382","1402","1353","1386","8900700","1386","6530"
"2014-04-02","1394","1431","1388","1421","8677799","1421","6531"
"2014-04-03","1449","1455","1419","1433","8177500","1433","6532"
"2014-04-04","1436","1439","1415","1419","4677899","1419","6533"
"2014-04-07","1387","1387","1337","1349","9095799","1349","6534"
"2014-04-08","1330","1332","1304","1321","7471000","1321","6535"
"2014-04-09","1315","1347","1300","1300","6911399","1300","6536"
"2014-04-10","1318","1328","1296","1303","5468200","1303","6537"
"2014-04-11","1277","1288","1250","1274","7493399","1274","6538"
"2014-04-14","1257","1274","1218","1250","10113200","1250","6539"
"2014-04-15","1233","1241","1207","1213","10326700","1213","6540"
"2014-04-16","1238","1323","1233","1313","12144500","1313","6541"
"2014-04-17","1318","1349","1306","1308","9346500","1308","6542"
