4901 •xŽmƒtƒCƒ‹ƒ€HD,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","3280","3280","3240","3250","709000","3250"
"1989-02-20","3260","3260","3200","3200","769000","3200"
"1989-02-21","3220","3220","3200","3220","617000","3220"
"1989-02-22","3280","3320","3230","3260","637000","3260"
"1989-02-23","3280","3350","3260","3320","558000","3320"
"1989-02-27","3370","3370","3240","3240","464000","3240"
"1989-02-28","3240","3290","3240","3240","348000","3240"
"1989-03-01","3240","3250","3200","3250","733000","3250"
"1989-03-02","3300","3340","3260","3280","550000","3280"
"1989-03-03","3330","3330","3260","3260","577000","3260"
"1989-03-06","3300","3300","3250","3280","400000","3280"
"1989-03-07","3230","3260","3210","3210","341000","3210"
"1989-03-08","3260","3260","3190","3210","656000","3210"
"1989-03-09","3200","3240","3170","3170","393000","3170"
"1989-03-10","3150","3160","3100","3110","716000","3110"
"1989-03-13","3110","3110","3060","3110","670000","3110"
"1989-03-14","3130","3240","3110","3200","657000","3200"
"1989-03-15","3260","3290","3210","3240","719000","3240"
"1989-03-16","3300","3350","3260","3350","1111000","3350"
"1989-03-17","3370","3450","3370","3450","2224000","3450"
"1989-03-20","3390","3430","3380","3400","731000","3400"
"1989-03-22","3450","3520","3420","3460","1406000","3460"
"1989-03-23","3410","3470","3410","3460","864000","3460"
"1989-03-24","3490","3530","3430","3450","1218000","3450"
"1989-03-27","3490","3490","3420","3450","908000","3450"
"1989-03-28","3510","3530","3460","3500","935000","3500"
"1989-03-29","3520","3540","3500","3530","757000","3530"
"1989-03-30","3540","3540","3490","3520","499000","3520"
"1989-03-31","3510","3510","3430","3490","699000","3490"
"1989-04-03","3540","3550","3480","3550","1564000","3550"
"1989-04-04","3560","3580","3510","3570","1004000","3570"
"1989-04-05","3530","3540","3480","3510","680000","3510"
"1989-04-06","3460","3470","3400","3440","397000","3440"
"1989-04-07","3440","3440","3390","3400","503000","3400"
"1989-04-10","3390","3400","3330","3360","485000","3360"
"1989-04-11","3360","3440","3360","3380","296000","3380"
"1989-04-12","3450","3510","3410","3480","914000","3480"
"1989-04-13","3490","3540","3410","3470","708000","3470"
"1989-04-14","3370","3420","3360","3380","577000","3380"
"1989-04-17","3460","3480","3400","3430","359000","3430"
"1989-04-18","3420","3440","3360","3400","492000","3400"
"1989-04-19","3370","3390","3360","3360","287000","3360"
"1989-04-20","3360","3380","3350","3360","395000","3360"
"1989-04-21","3350","3440","3350","3430","382000","3430"
"1989-04-24","3410","3430","3360","3400","339000","3400"
"1989-04-25","3430","3460","3390","3450","300000","3450"
"1989-04-26","3430","3450","3370","3450","574000","3450"
"1989-04-27","3440","3450","3340","3390","724000","3390"
"1989-04-28","3440","3460","3400","3440","410000","3440"
"1989-05-01","3440","3480","3440","3440","519000","3440"
"1989-05-02","3470","3480","3420","3460","477000","3460"
"1989-05-08","3460","3540","3430","3500","906000","3500"
"1989-05-09","3520","3620","3500","3580","1898000","3580"
"1989-05-10","3610","3610","3540","3540","712000","3540"
"1989-05-11","3540","3540","3500","3520","489000","3520"
"1989-05-12","3480","3530","3450","3500","486000","3500"
"1989-05-15","3490","3520","3480","3500","267000","3500"
"1989-05-16","3550","3640","3500","3630","1713000","3630"
"1989-05-17","3630","3640","3560","3580","1234000","3580"
"1989-05-18","3610","3660","3590","3620","1383000","3620"
"1989-05-19","3600","3750","3580","3730","3488000","3730"
"1989-05-22","3790","3950","3760","3940","10320000","3940"
"1989-05-23","3940","4060","3900","4040","15545000","4040"
"1989-05-24","3990","4030","3920","3970","5524000","3970"
"1989-05-25","3920","4000","3890","4000","2698000","4000"
"1989-05-26","3960","3990","3850","3880","1747000","3880"
"1989-05-29","3900","3950","3880","3930","1594000","3930"
"1989-05-30","3900","4020","3900","3980","4296000","3980"
"1989-05-31","4010","4200","3980","4200","11163000","4200"
"1989-06-01","4180","4380","4150","4250","16944000","4250"
"1989-06-02","4250","4310","4110","4140","5588000","4140"
"1989-06-05","4120","4180","4010","4020","3792000","4020"
"1989-06-06","3980","4100","3970","4000","2419000","4000"
"1989-06-07","4100","4100","3990","4040","2768000","4040"
"1989-06-08","4020","4050","3990","4020","1110000","4020"
"1989-06-09","4020","4060","3950","3970","1467000","3970"
"1989-06-12","3950","4090","3920","4090","1196000","4090"
"1989-06-13","4100","4190","4000","4050","3188000","4050"
"1989-06-14","4070","4090","4010","4030","865000","4030"
"1989-06-15","4030","4150","3970","4000","1637000","4000"
"1989-06-16","4010","4050","3930","4040","1150000","4040"
"1989-06-19","4000","4140","4000","4130","1328000","4130"
"1989-06-20","4180","4240","4180","4220","6292000","4220"
"1989-06-21","4250","4260","4130","4130","3686000","4130"
"1989-06-22","4080","4130","4070","4090","1256000","4090"
"1989-06-23","4060","4120","4030","4120","1752000","4120"
"1989-06-26","4070","4100","4040","4090","926000","4090"
"1989-06-27","4090","4090","3980","4010","845000","4010"
"1989-06-28","4000","4030","3950","4010","955000","4010"
"1989-06-29","4000","4160","4000","4150","1886000","4150"
"1989-06-30","4100","4210","4100","4100","3623000","4100"
"1989-07-03","4100","4180","4080","4140","1711000","4140"
"1989-07-04","4150","4290","4120","4250","8510000","4250"
"1989-07-05","4350","4410","4330","4330","11221000","4330"
"1989-07-06","4280","4380","4280","4340","4052000","4340"
"1989-07-07","4340","4490","4330","4440","12605000","4440"
"1989-07-10","4440","4480","4400","4470","5739000","4470"
"1989-07-11","4490","4510","4360","4360","6015000","4360"
"1989-07-12","4380","4420","4330","4330","1834000","4330"
"1989-07-13","4330","4340","4270","4290","1495000","4290"
"1989-07-14","4280","4360","4260","4300","2470000","4300"
"1989-07-17","4300","4310","4270","4270","963000","4270"
"1989-07-18","4260","4290","4250","4270","763000","4270"
"1989-07-19","4270","4360","4270","4340","2328000","4340"
"1989-07-20","4390","4410","4360","4390","3494000","4390"
"1989-07-21","4370","4410","4360","4400","2318000","4400"
"1989-07-24","4380","4440","4360","4360","1566000","4360"
"1989-07-25","4360","4390","4260","4280","1410000","4280"
"1989-07-26","4270","4300","4250","4260","1528000","4260"
"1989-07-27","4250","4270","4200","4200","1479000","4200"
"1989-07-28","4150","4240","4150","4230","1716000","4230"
"1989-07-31","4180","4250","4180","4220","717000","4220"
"1989-08-01","4180","4200","4160","4200","687000","4200"
"1989-08-02","4190","4190","4160","4170","871000","4170"
"1989-08-03","4190","4220","4170","4220","569000","4220"
"1989-08-04","4220","4250","4180","4210","751000","4210"
"1989-08-07","4250","4260","4200","4230","416000","4230"
"1989-08-08","4270","4420","4260","4420","5462000","4420"
"1989-08-09","4450","4500","4350","4360","6867000","4360"
"1989-08-10","4380","4600","4340","4590","14410000","4590"
"1989-08-11","4610","4730","4560","4730","20345000","4730"
"1989-08-14","4730","4820","4690","4690","10655000","4690"
"1989-08-15","4710","4780","4690","4710","6181000","4710"
"1989-08-16","4740","4740","4630","4630","3716000","4630"
"1989-08-17","4630","4650","4550","4550","1570000","4550"
"1989-08-18","4560","4650","4520","4620","1844000","4620"
"1989-08-21","4700","4740","4630","4640","5079000","4640"
"1989-08-22","4620","4660","4580","4650","1760000","4650"
"1989-08-23","4670","4720","4600","4600","2777000","4600"
"1989-08-24","4570","4640","4530","4560","1547000","4560"
"1989-08-25","4600","4720","4590","4690","4586000","4690"
"1989-08-28","4670","4670","4580","4610","1553000","4610"
"1989-08-29","4620","4680","4540","4650","2468000","4650"
"1989-08-30","4650","4670","4550","4580","1429000","4580"
"1989-08-31","4570","4700","4520","4600","3947000","4600"
"1989-09-01","4600","4690","4570","4600","2179000","4600"
"1989-09-04","4550","4600","4530","4570","660000","4570"
"1989-09-05","4550","4660","4550","4600","1846000","4600"
"1989-09-06","4620","4640","4500","4590","1892000","4590"
"1989-09-07","4540","4640","4540","4540","1327000","4540"
"1989-09-08","4550","4560","4430","4440","1215000","4440"
"1989-09-11","4400","4400","4300","4300","1011000","4300"
"1989-09-12","4310","4380","4300","4380","1005000","4380"
