4902 コニカミノルタ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","988","993","981","985","538000","985","1"
"1989-02-20","990","990","985","985","346000","985","2"
"1989-02-21","985","989","980","985","615000","985","3"
"1989-02-22","985","990","983","990","907000","990","4"
"1989-02-23","994","1010","990","997","884000","997","5"
"1989-02-27","1000","1010","995","1000","845000","1000","7"
"1989-02-28","1010","1010","1000","1000","646000","1000","8"
"1989-03-01","1010","1010","1000","1010","841000","1010","9"
"1989-03-02","1010","1100","1000","1100","3437000","1100","10"
"1989-03-03","1100","1100","1040","1040","2920000","1040","11"
"1989-03-06","1060","1060","1040","1050","555000","1050","12"
"1989-03-07","1050","1060","1040","1050","437000","1050","13"
"1989-03-08","1070","1090","1060","1060","975000","1060","14"
"1989-03-09","1070","1070","1050","1050","474000","1050","15"
"1989-03-10","1050","1060","1040","1050","535000","1050","16"
"1989-03-13","1040","1050","1030","1050","607000","1050","17"
"1989-03-14","1050","1050","1040","1050","363000","1050","18"
"1989-03-15","1070","1070","1060","1070","693000","1070","19"
"1989-03-16","1070","1080","1050","1050","569000","1050","20"
"1989-03-17","1060","1070","1050","1050","454000","1050","21"
"1989-03-20","1040","1050","1030","1030","468000","1030","22"
"1989-03-22","1030","1050","1030","1030","451000","1030","24"
"1989-03-23","1030","1040","1010","1010","695000","1010","25"
"1989-03-24","1020","1040","1010","1010","421000","1010","26"
"1989-03-27","1030","1040","1010","1010","580000","1010","27"
"1989-03-28","1030","1050","1020","1040","401000","1040","28"
"1989-03-29","1050","1070","1040","1060","725000","1060","29"
"1989-03-30","1060","1070","1050","1070","555000","1070","30"
"1989-03-31","1060","1070","1050","1070","641000","1070","31"
"1989-04-03","1070","1140","1070","1130","4381000","1130","32"
"1989-04-04","1140","1180","1130","1140","6082000","1140","33"
"1989-04-05","1150","1160","1140","1160","3130000","1160","34"
"1989-04-06","1160","1200","1150","1180","4525000","1180","35"
"1989-04-07","1170","1180","1150","1170","1644000","1170","36"
"1989-04-10","1160","1170","1160","1160","799000","1160","37"
"1989-04-11","1160","1160","1140","1160","733000","1160","38"
"1989-04-12","1160","1170","1150","1170","731000","1170","39"
"1989-04-13","1170","1170","1150","1170","590000","1170","40"
"1989-04-14","1160","1170","1150","1170","719000","1170","41"
"1989-04-17","1170","1180","1160","1170","531000","1170","42"
"1989-04-18","1170","1180","1150","1160","927000","1160","43"
"1989-04-19","1160","1170","1140","1140","460000","1140","44"
"1989-04-20","1130","1140","1120","1130","337000","1130","45"
"1989-04-21","1130","1170","1130","1170","698000","1170","46"
"1989-04-24","1150","1160","1130","1140","559000","1140","47"
"1989-04-25","1160","1160","1120","1120","434000","1120","48"
"1989-04-26","1130","1150","1110","1140","617000","1140","49"
"1989-04-27","1150","1150","1130","1140","304000","1140","50"
"1989-04-28","1150","1150","1130","1130","579000","1130","51"
"1989-05-01","1150","1150","1130","1140","418000","1140","52"
"1989-05-02","1150","1150","1120","1130","435000","1130","53"
"1989-05-08","1150","1160","1140","1150","491000","1150","57"
"1989-05-09","1150","1160","1140","1150","962000","1150","58"
"1989-05-10","1150","1150","1130","1130","583000","1130","59"
"1989-05-11","1130","1140","1130","1140","339000","1140","60"
"1989-05-12","1140","1140","1130","1130","520000","1130","61"
"1989-05-15","1130","1150","1130","1140","359000","1140","62"
"1989-05-16","1150","1150","1140","1150","600000","1150","63"
"1989-05-17","1150","1160","1140","1140","624000","1140","64"
"1989-05-18","1160","1210","1160","1180","2813000","1180","65"
"1989-05-19","1170","1190","1160","1180","1112000","1180","66"
"1989-05-22","1200","1200","1180","1180","970000","1180","67"
"1989-05-23","1190","1190","1150","1180","653000","1180","68"
"1989-05-24","1180","1180","1160","1160","341000","1160","69"
"1989-05-25","1160","1170","1150","1170","335000","1170","70"
"1989-05-26","1180","1180","1160","1160","489000","1160","71"
"1989-05-29","1180","1180","1160","1160","530000","1160","72"
"1989-05-30","1160","1170","1140","1150","545000","1150","73"
"1989-05-31","1160","1170","1150","1170","435000","1170","74"
"1989-06-01","1160","1190","1150","1170","866000","1170","75"
"1989-06-02","1170","1190","1160","1170","601000","1170","76"
"1989-06-05","1150","1190","1150","1170","329000","1170","77"
"1989-06-06","1170","1180","1160","1170","458000","1170","78"
"1989-06-07","1170","1170","1150","1160","459000","1160","79"
"1989-06-08","1160","1170","1150","1170","393000","1170","80"
"1989-06-09","1150","1170","1150","1170","405000","1170","81"
"1989-06-12","1160","1170","1140","1150","312000","1150","82"
"1989-06-13","1140","1160","1140","1150","544000","1150","83"
"1989-06-14","1150","1160","1140","1140","551000","1140","84"
"1989-06-15","1150","1160","1140","1140","749000","1140","85"
"1989-06-16","1160","1160","1140","1160","417000","1160","86"
"1989-06-19","1160","1160","1140","1150","367000","1150","87"
"1989-06-20","1150","1170","1150","1160","875000","1160","88"
"1989-06-21","1200","1210","1180","1200","2116000","1200","89"
"1989-06-22","1220","1380","1220","1340","12850000","1340","90"
"1989-06-23","1330","1350","1280","1290","4488000","1290","91"
"1989-06-26","1290","1290","1270","1270","903000","1270","92"
"1989-06-27","1270","1280","1230","1280","1007000","1280","93"
"1989-06-28","1300","1350","1280","1320","3260000","1320","94"
"1989-06-29","1310","1330","1260","1270","1374000","1270","95"
