4911 éëê∂ì∞,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1710","1720","1670","1710","241000","1710","1"
"1989-02-20","1700","1700","1670","1700","234000","1700","2"
"1989-02-21","1700","1700","1680","1680","218000","1680","3"
"1989-02-22","1690","1710","1660","1690","263000","1690","4"
"1989-02-23","1680","1720","1660","1700","539000","1700","5"
"1989-02-27","1670","1720","1670","1680","293000","1680","7"
"1989-02-28","1700","1710","1670","1680","244000","1680","8"
"1989-03-01","1690","1700","1670","1700","162000","1700","9"
"1989-03-02","1700","1700","1680","1700","117000","1700","10"
"1989-03-03","1700","1700","1690","1700","113000","1700","11"
"1989-03-06","1700","1700","1680","1700","194000","1700","12"
"1989-03-07","1700","1700","1680","1680","137000","1680","13"
"1989-03-08","1690","1700","1680","1680","233000","1680","14"
"1989-03-09","1680","1690","1670","1670","124000","1670","15"
"1989-03-10","1660","1660","1620","1660","269000","1660","16"
"1989-03-13","1650","1660","1640","1660","182000","1660","17"
"1989-03-14","1660","1660","1640","1660","165000","1660","18"
"1989-03-15","1650","1660","1640","1660","169000","1660","19"
"1989-03-16","1660","1660","1640","1650","101000","1650","20"
"1989-03-17","1660","1670","1650","1650","170000","1650","21"
"1989-03-20","1640","1640","1620","1640","97000","1640","22"
"1989-03-22","1630","1640","1590","1610","192000","1610","24"
"1989-03-23","1630","1650","1610","1650","424000","1650","25"
"1989-03-24","1660","1700","1640","1700","1121000","1700","26"
"1989-03-27","1720","1730","1600","1620","273000","1620","27"
"1989-03-28","1680","1680","1590","1650","237000","1650","28"
"1989-03-29","1620","1650","1610","1620","122000","1620","29"
"1989-03-30","1610","1700","1610","1650","268000","1650","30"
"1989-03-31","1650","1690","1650","1690","231000","1690","31"
"1989-04-03","1690","1700","1660","1680","158000","1680","32"
"1989-04-04","1670","1670","1650","1650","166000","1650","33"
"1989-04-05","1650","1700","1640","1700","140000","1700","34"
"1989-04-06","1690","1700","1670","1670","132000","1670","35"
"1989-04-07","1680","1700","1680","1690","149000","1690","36"
"1989-04-10","1700","1700","1680","1700","187000","1700","37"
"1989-04-11","1700","1710","1680","1680","241000","1680","38"
"1989-04-12","1700","1700","1680","1680","186000","1680","39"
"1989-04-13","1710","1710","1680","1700","196000","1700","40"
"1989-04-14","1690","1710","1690","1710","207000","1710","41"
"1989-04-17","1680","1710","1670","1680","536000","1680","42"
"1989-04-18","1680","1690","1670","1670","599000","1670","43"
"1989-04-19","1670","1700","1660","1680","528000","1680","44"
"1989-04-20","1690","1820","1690","1700","2802000","1700","45"
"1989-04-21","1700","1730","1700","1720","472000","1720","46"
"1989-04-24","1730","1730","1700","1720","244000","1720","47"
"1989-04-25","1730","1730","1680","1700","259000","1700","48"
"1989-04-26","1710","1750","1700","1730","405000","1730","49"
"1989-04-27","1760","1760","1730","1730","650000","1730","50"
"1989-04-28","1760","1760","1700","1740","328000","1740","51"
"1989-05-01","1750","1750","1740","1750","272000","1750","52"
"1989-05-02","1750","1750","1710","1720","163000","1720","53"
"1989-05-08","1720","1720","1680","1680","310000","1680","57"
"1989-05-09","1710","1710","1680","1700","142000","1700","58"
"1989-05-10","1730","1730","1680","1680","296000","1680","59"
"1989-05-11","1710","1710","1700","1710","190000","1710","60"
"1989-05-12","1710","1710","1690","1690","231000","1690","61"
"1989-05-15","1720","1720","1690","1690","127000","1690","62"
"1989-05-16","1700","1710","1690","1690","182000","1690","63"
"1989-05-17","1690","1710","1690","1710","163000","1710","64"
"1989-05-18","1740","1750","1710","1720","422000","1720","65"
"1989-05-19","1720","1750","1690","1690","1025000","1690","66"
"1989-05-22","1750","1750","1730","1750","303000","1750","67"
"1989-05-23","1740","1750","1710","1750","973000","1750","68"
"1989-05-24","1750","1750","1710","1710","224000","1710","69"
"1989-05-25","1720","1740","1720","1720","52000","1720","70"
"1989-05-26","1740","1740","1720","1730","165000","1730","71"
"1989-05-29","1740","1740","1710","1730","226000","1730","72"
"1989-05-30","1740","1740","1720","1720","148000","1720","73"
"1989-05-31","1740","1740","1700","1720","267000","1720","74"
"1989-06-01","1740","1740","1720","1720","189000","1720","75"
"1989-06-02","1720","1740","1710","1710","132000","1710","76"
"1989-06-05","1700","1720","1690","1690","45000","1690","77"
"1989-06-06","1720","1720","1700","1700","243000","1700","78"
"1989-06-07","1710","1740","1690","1720","327000","1720","79"
"1989-06-08","1730","1730","1690","1700","80000","1700","80"
"1989-06-09","1710","1740","1710","1710","291000","1710","81"
"1989-06-12","1700","1720","1700","1710","98000","1710","82"
"1989-06-13","1700","1720","1700","1700","313000","1700","83"
"1989-06-14","1700","1730","1700","1720","115000","1720","84"
"1989-06-15","1700","1730","1700","1720","190000","1720","85"
"1989-06-16","1720","1720","1700","1720","140000","1720","86"
"1989-06-19","1690","1720","1690","1690","84000","1690","87"
"1989-06-20","1700","1720","1690","1700","96000","1700","88"
"1989-06-21","1720","1730","1680","1680","87000","1680","89"
"1989-06-22","1690","1720","1680","1720","155000","1720","90"
"1989-06-23","1700","1720","1690","1720","126000","1720","91"
"1989-06-26","1730","1740","1710","1730","296000","1730","92"
"1989-06-27","1730","1740","1710","1740","216000","1740","93"
"1989-06-28","1740","1740","1710","1740","333000","1740","94"
"1989-06-29","1740","1760","1730","1760","520000","1760","95"
"1989-06-30","1760","1760","1730","1760","363000","1760","96"
"1989-07-03","1760","1800","1740","1800","829000","1800","97"
"1989-07-04","1830","1860","1810","1860","2007000","1860","98"
"1989-07-05","1900","1920","1880","1890","2540000","1890","99"
"1989-07-06","1890","1890","1850","1870","626000","1870","100"
"1989-07-07","1870","1870","1850","1870","431000","1870","101"
"1989-07-10","1880","1880","1850","1880","366000","1880","102"
"1989-07-11","1880","1880","1850","1880","347000","1880","103"
"1989-07-12","1880","1880","1860","1860","331000","1860","104"
"1989-07-13","1850","1870","1850","1850","300000","1850","105"
"1989-07-14","1870","1870","1840","1840","171000","1840","106"
"1989-07-17","1840","1850","1830","1840","380000","1840","107"
"1989-07-18","1840","1850","1810","1840","173000","1840","108"
"1989-07-19","1840","1850","1800","1800","301000","1800","109"
"1989-07-20","1820","1830","1800","1800","137000","1800","110"
"1989-07-21","1800","1850","1800","1820","216000","1820","111"
"1989-07-24","1840","1850","1820","1820","246000","1820","112"
"1989-07-25","1820","1850","1820","1850","797000","1850","113"
"1989-07-26","1870","1900","1860","1880","1168000","1880","114"
"1989-07-27","1860","1890","1860","1860","359000","1860","115"
"1989-07-28","1880","1920","1880","1920","1448000","1920","116"
"1989-07-31","1900","1910","1890","1910","493000","1910","117"
"1989-08-01","1910","1920","1900","1910","434000","1910","118"
"1989-08-02","1920","1990","1920","1990","2862000","1990","119"
"1989-08-03","2020","2070","2010","2020","5017000","2020","120"
"1989-08-04","2020","2060","2020","2030","2224000","2030","121"
"1989-08-07","2010","2020","1980","1990","418000","1990","122"
"1989-08-08","1960","2000","1960","1990","226000","1990","123"
"1989-08-09","1980","2030","1980","2030","515000","2030","124"
"1989-08-10","2020","2040","2000","2010","726000","2010","125"
"1989-08-11","2020","2020","1990","1990","290000","1990","126"
"1989-08-14","2000","2000","1990","1990","67000","1990","127"
"1989-08-15","1980","1980","1970","1980","78000","1980","128"
"1989-08-16","1980","2050","1970","2050","988000","2050","129"
"1989-08-17","2060","2060","1990","2020","707000","2020","130"
"1989-08-18","2020","2060","2000","2050","1307000","2050","131"
"1989-08-21","2050","2050","2020","2040","272000","2040","132"
"1989-08-22","2040","2080","2030","2030","874000","2030","133"
"1989-08-23","2060","2080","2050","2070","786000","2070","134"
"1989-08-24","2080","2080","2020","2050","570000","2050","135"
"1989-08-25","2060","2070","2040","2040","217000","2040","136"
"1989-08-28","2060","2060","2020","2040","160000","2040","137"
"1989-08-29","2000","2010","1980","2010","243000","2010","138"
"1989-08-30","1990","2010","1980","2010","220000","2010","139"
"1989-08-31","1990","2010","1980","1980","179000","1980","140"
"1989-09-01","2050","2050","1980","1980","251000","1980","141"
"1989-09-04","2000","2050","1990","2010","245000","2010","142"
"1989-09-05","2000","2050","1990","2050","309000","2050","143"
"1989-09-06","2010","2010","1990","2000","303000","2000","144"
"1989-09-07","1980","2000","1970","2000","176000","2000","145"
"1989-09-08","1960","2010","1960","1990","321000","1990","146"
