5019 èoåıãªéY,,,,,
"date","open","hight","low","close","power","End","date_position"
"2006-10-25","10910","11240","10800","11160","3486100","11160","4597"
"2006-10-26","11090","11520","11070","11400","1821599","11400","4598"
"2006-10-27","11350","11550","11270","11440","870100","11440","4599"
"2006-10-30","11240","11510","11210","11380","640299","11380","4600"
"2006-10-31","11300","11380","11120","11380","286000","11380","4601"
"2006-11-01","11300","11310","11130","11160","403399","11160","4602"
"2006-11-02","11110","11160","10900","11120","277399","11120","4603"
"2006-11-06","11120","11120","11000","11100","169600","11100","4605"
"2006-11-07","11050","11080","10730","10780","260100","10780","4606"
"2006-11-08","10580","10780","10440","10760","215500","10760","4607"
"2006-11-09","10770","11270","10750","11240","335500","11240","4608"
"2006-11-10","11110","11250","11090","11140","135800","11140","4609"
"2006-11-13","10990","10990","10760","10960","119300","10960","4610"
"2006-11-14","10990","11120","10960","11000","213699","11000","4611"
"2006-11-15","10820","10950","10640","10730","126000","10730","4612"
"2006-11-16","10810","11100","10810","10960","268300","10960","4613"
"2006-11-17","10810","10920","10600","10740","250900","10740","4614"
"2006-11-20","10700","10840","10700","10700","238199","10700","4615"
"2006-11-21","10630","10710","10500","10650","73300","10650","4616"
"2006-11-22","10760","11170","10690","11060","154100","11060","4617"
"2006-11-24","11200","11200","10980","11150","234699","11150","4619"
"2006-11-27","11050","11380","11050","11360","394700","11360","4620"
"2006-11-28","11500","11950","11470","11890","683299","11890","4621"
"2006-11-29","12000","12310","12000","12100","1235400","12100","4622"
"2006-11-30","12150","12370","12120","12300","432600","12300","4623"
"2006-12-01","12500","12730","12450","12680","480700","12680","4624"
"2006-12-04","12690","12750","12610","12720","179699","12720","4625"
"2006-12-05","12600","12620","12180","12260","503800","12260","4626"
"2006-12-06","12240","12520","12100","12350","162000","12350","4627"
"2006-12-07","12500","12600","12370","12500","110200","12500","4628"
"2006-12-08","12600","12660","12510","12520","106200","12520","4629"
"2006-12-11","12500","12620","12450","12570","147100","12570","4630"
"2006-12-12","12570","12570","12100","12230","162000","12230","4631"
"2006-12-13","12150","12430","12150","12430","56000","12430","4632"
