5020 JXTG HD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2010-04-02","486","525","486","523","66975000","523","5490"
"2010-04-05","529","531","508","513","23827099","513","5491"
"2010-04-06","518","520","500","507","15910299","507","5492"
"2010-04-07","500","520","500","514","21116500","514","5493"
"2010-04-08","520","535","517","530","40765402","530","5494"
"2010-04-09","528","537","518","521","17240099","521","5495"
"2010-04-12","534","537","532","535","17450701","535","5496"
"2010-04-13","538","548","532","546","27877000","546","5497"
"2010-04-14","547","553","540","547","19617300","547","5498"
"2010-04-15","555","559","551","555","12447900","555","5499"
"2010-04-16","556","558","539","543","12837500","543","5500"
"2010-04-19","533","545","531","535","11367299","535","5501"
"2010-04-20","541","545","531","531","10657400","531","5502"
"2010-04-21","541","542","533","537","9617500","537","5503"
"2010-04-22","530","536","523","536","10900400","536","5504"
"2010-04-23","536","538","524","529","10288000","529","5505"
"2010-04-26","533","536","531","536","7136899","536","5506"
"2010-04-27","527","531","524","531","6792500","531","5507"
"2010-04-28","520","526","519","523","10433100","523","5508"
"2010-04-30","533","533","521","524","11507500","524","5510"
"2010-05-06","504","513","498","499","14701500","499","5514"
"2010-05-07","485","496","481","488","12621900","488","5515"
"2010-05-10","483","538","483","538","19342400","538","5516"
"2010-05-11","528","533","511","514","14914299","514","5517"
"2010-05-12","516","530","516","526","13797799","526","5518"
"2010-05-13","536","544","532","540","10986900","540","5519"
"2010-05-14","531","537","527","529","8180399","529","5520"
"2010-05-17","519","526","511","515","12740500","515","5521"
"2010-05-18","516","517","491","504","15487700","504","5522"
"2010-05-19","486","497","485","495","11360799","495","5523"
"2010-05-20","503","514","492","493","12826900","493","5524"
"2010-05-21","477","483","463","474","14409100","474","5525"
"2010-05-24","475","503","472","496","13577400","496","5526"
"2010-05-25","490","490","475","477","8456000","477","5527"
"2010-05-26","483","484","461","467","12324799","467","5528"
"2010-05-27","466","484","466","479","10820799","479","5529"
"2010-05-28","488","495","482","488","9293000","488","5530"
"2010-05-31","492","504","491","497","8576400","497","5531"
"2010-06-01","494","499","489","492","6704000","492","5532"
"2010-06-02","490","493","481","484","8179700","484","5533"
"2010-06-03","500","503","496","499","8053700","499","5534"
