5108 ƒuƒŠƒaƒXƒgƒ“,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1390","1400","1380","1380","1039000","1380","1"
"1989-02-20","1390","1390","1360","1360","785000","1360","2"
"1989-02-21","1360","1370","1350","1360","549000","1360","3"
"1989-02-22","1360","1370","1340","1360","438000","1360","4"
"1989-02-23","1370","1400","1370","1380","690000","1380","5"
"1989-02-27","1380","1400","1380","1380","371000","1380","7"
"1989-02-28","1380","1390","1370","1370","568000","1370","8"
"1989-03-01","1380","1390","1380","1380","346000","1380","9"
"1989-03-02","1390","1400","1370","1380","539000","1380","10"
"1989-03-03","1400","1410","1380","1390","467000","1390","11"
"1989-03-06","1390","1390","1380","1390","338000","1390","12"
"1989-03-07","1390","1390","1370","1370","339000","1370","13"
"1989-03-08","1370","1380","1360","1370","488000","1370","14"
"1989-03-09","1370","1370","1330","1340","780000","1340","15"
"1989-03-10","1340","1350","1330","1340","640000","1340","16"
"1989-03-13","1340","1350","1330","1350","206000","1350","17"
"1989-03-14","1350","1360","1340","1350","420000","1350","18"
"1989-03-15","1350","1400","1340","1400","781000","1400","19"
"1989-03-16","1400","1400","1370","1380","273000","1380","20"
"1989-03-17","1380","1380","1360","1380","427000","1380","21"
"1989-03-20","1380","1400","1350","1380","375000","1380","22"
"1989-03-22","1360","1380","1350","1370","329000","1370","24"
"1989-03-23","1370","1380","1330","1340","541000","1340","25"
"1989-03-24","1360","1360","1310","1330","1062000","1330","26"
"1989-03-27","1350","1350","1310","1330","1162000","1330","27"
"1989-03-28","1310","1360","1310","1360","626000","1360","28"
"1989-03-29","1360","1420","1360","1410","793000","1410","29"
"1989-03-30","1410","1480","1380","1450","2329000","1450","30"
"1989-03-31","1470","1490","1440","1490","2992000","1490","31"
"1989-04-03","1480","1490","1460","1480","1275000","1480","32"
"1989-04-04","1490","1570","1480","1530","7099000","1530","33"
"1989-04-05","1550","1560","1510","1520","2215000","1520","34"
"1989-04-06","1500","1520","1480","1500","1055000","1500","35"
"1989-04-07","1480","1520","1480","1500","1173000","1500","36"
"1989-04-10","1510","1510","1480","1480","352000","1480","37"
"1989-04-11","1480","1500","1460","1480","1237000","1480","38"
"1989-04-12","1500","1520","1490","1510","1344000","1510","39"
"1989-04-13","1510","1510","1480","1500","685000","1500","40"
"1989-04-14","1480","1500","1480","1500","606000","1500","41"
"1989-04-17","1490","1500","1480","1500","507000","1500","42"
"1989-04-18","1500","1500","1480","1490","610000","1490","43"
"1989-04-19","1690","1690","1690","1690","8420000","1690","44"
"1989-04-20","1700","1750","1620","1630","20772000","1630","45"
