5201 AGC(àÆè…éq),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1950","1960","1930","1940","1166000","1940","1"
"1989-02-20","1990","1990","1950","1950","734000","1950","2"
"1989-02-21","1960","1960","1930","1950","531000","1950","3"
"1989-02-22","1940","1950","1920","1940","924000","1940","4"
"1989-02-23","1960","1960","1920","1920","675000","1920","5"
"1989-02-27","1950","1960","1930","1950","1058000","1950","7"
"1989-02-28","1950","1950","1930","1940","569000","1940","8"
"1989-03-01","1950","2020","1950","1990","6205000","1990","9"
"1989-03-02","2060","2080","2040","2060","10483000","2060","10"
"1989-03-03","2100","2140","2100","2130","13887000","2130","11"
"1989-03-06","2170","2200","2130","2170","9945000","2170","12"
"1989-03-07","2150","2160","2110","2120","2474000","2120","13"
"1989-03-08","2130","2150","2120","2120","3296000","2120","14"
"1989-03-09","2130","2140","2060","2060","2051000","2060","15"
"1989-03-10","2070","2100","2050","2090","1765000","2090","16"
"1989-03-13","2130","2130","2090","2120","1648000","2120","17"
"1989-03-14","2110","2110","2090","2090","1291000","2090","18"
"1989-03-15","2100","2110","2090","2110","1638000","2110","19"
"1989-03-16","2110","2120","2090","2100","1286000","2100","20"
"1989-03-17","2110","2110","2060","2080","885000","2080","21"
"1989-03-20","2080","2100","2060","2060","703000","2060","22"
"1989-03-22","2050","2090","2020","2030","824000","2030","24"
"1989-03-23","2060","2080","2020","2030","1089000","2030","25"
"1989-03-24","2070","2070","2040","2070","1156000","2070","26"
"1989-03-27","2080","2100","2060","2060","1266000","2060","27"
"1989-03-28","2090","2170","2070","2170","3185000","2170","28"
"1989-03-29","2210","2230","2150","2160","3725000","2160","29"
"1989-03-30","2200","2300","2190","2270","6921000","2270","30"
"1989-03-31","2310","2310","2220","2290","5401000","2290","31"
"1989-04-03","2270","2330","2250","2260","3350000","2260","32"
"1989-04-04","2290","2370","2260","2330","7403000","2330","33"
"1989-04-05","2350","2410","2300","2370","5569000","2370","34"
"1989-04-06","2360","2380","2310","2350","2289000","2350","35"
"1989-04-07","2360","2500","2340","2430","9681000","2430","36"
"1989-04-10","2460","2460","2420","2440","2606000","2440","37"
"1989-04-11","2440","2530","2420","2480","9975000","2480","38"
"1989-04-12","2500","2510","2410","2460","4437000","2460","39"
"1989-04-13","2450","2470","2380","2430","1835000","2430","40"
"1989-04-14","2390","2450","2370","2440","2002000","2440","41"
"1989-04-17","2460","2470","2430","2460","1427000","2460","42"
"1989-04-18","2470","2480","2420","2440","1574000","2440","43"
"1989-04-19","2440","2460","2400","2460","1555000","2460","44"
"1989-04-20","2460","2470","2390","2390","827000","2390","45"
"1989-04-21","2310","2370","2310","2360","573000","2360","46"
"1989-04-24","2340","2340","2300","2320","1135000","2320","47"
"1989-04-25","2300","2380","2300","2330","1680000","2330","48"
"1989-04-26","2370","2370","2330","2370","1632000","2370","49"
"1989-04-27","2390","2420","2380","2410","1387000","2410","50"
"1989-04-28","2450","2450","2410","2440","1382000","2440","51"
"1989-05-01","2420","2440","2380","2400","772000","2400","52"
"1989-05-02","2390","2440","2380","2430","1278000","2430","53"
"1989-05-08","2430","2450","2410","2430","1550000","2430","57"
"1989-05-09","2400","2420","2380","2410","976000","2410","58"
"1989-05-10","2400","2410","2380","2400","1065000","2400","59"
"1989-05-11","2400","2450","2360","2420","3450000","2420","60"
"1989-05-12","2420","2420","2380","2390","825000","2390","61"
