5214 日本電気硝子,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2020","2030","2000","2030","112000","2030","1"
"1989-02-20","2010","2030","2010","2010","130000","2010","2"
"1989-02-21","2030","2120","2030","2120","50000","2120","3"
"1989-02-22","2150","2150","2090","2120","92000","2120","4"
"1989-02-23","2130","2130","2080","2080","102000","2080","5"
"1989-02-27","2110","2110","2040","2040","93000","2040","7"
"1989-02-28","2060","2060","2040","2050","103000","2050","8"
"1989-03-01","2050","2100","2050","2090","74000","2090","9"
"1989-03-02","2110","2140","2090","2090","88000","2090","10"
"1989-03-03","2100","2110","2080","2080","87000","2080","11"
"1989-03-06","2080","2080","2050","2060","44000","2060","12"
"1989-03-07","2040","2070","2040","2060","52000","2060","13"
"1989-03-08","2060","2060","2000","2040","94000","2040","14"
"1989-03-09","2040","2040","2020","2020","17000","2020","15"
"1989-03-10","2020","2070","2020","2040","31000","2040","16"
"1989-03-13","2050","2070","2050","2050","20000","2050","17"
"1989-03-14","2070","2070","2010","2010","81000","2010","18"
"1989-03-15","2050","2060","2030","2060","86000","2060","19"
"1989-03-16","2060","2070","2010","2010","76000","2010","20"
"1989-03-17","2060","2060","2040","2040","102000","2040","21"
"1989-03-20","2060","2060","2020","2040","54000","2040","22"
"1989-03-22","2050","2050","1990","1990","168000","1990","24"
"1989-03-23","2050","2060","2020","2030","97000","2030","25"
"1989-03-24","2030","2050","2010","2020","340000","2020","26"
"1989-03-27","2020","2050","1990","2010","221000","2010","27"
"1989-03-28","2050","2050","2010","2040","46000","2040","28"
"1989-03-29","2110","2120","2070","2080","79000","2080","29"
"1989-03-30","2120","2120","2050","2060","86000","2060","30"
"1989-03-31","2090","2090","2020","2020","135000","2020","31"
"1989-04-03","2020","2080","2020","2080","84000","2080","32"
"1989-04-04","2120","2140","2090","2090","122000","2090","33"
"1989-04-05","2150","2230","2110","2200","474000","2200","34"
"1989-04-06","2200","2260","2180","2210","463000","2210","35"
"1989-04-07","2210","2240","2170","2200","227000","2200","36"
"1989-04-10","2180","2190","2150","2180","36000","2180","37"
"1989-04-11","2200","2380","2190","2350","888000","2350","38"
"1989-04-12","2350","2430","2320","2340","752000","2340","39"
"1989-04-13","2380","2400","2300","2300","207000","2300","40"
"1989-04-14","2300","2430","2300","2390","561000","2390","41"
"1989-04-17","2400","2430","2350","2390","344000","2390","42"
"1989-04-18","2400","2400","2370","2370","179000","2370","43"
"1989-04-19","2390","2390","2340","2350","82000","2350","44"
"1989-04-20","2340","2350","2300","2300","192000","2300","45"
"1989-04-21","2260","2300","2250","2250","94000","2250","46"
"1989-04-24","2190","2250","2190","2250","38000","2250","47"
"1989-04-25","2200","2250","2200","2230","32000","2230","48"
"1989-04-26","2230","2230","2150","2190","46000","2190","49"
"1989-04-27","2190","2200","2160","2200","98000","2200","50"
"1989-04-28","2200","2300","2200","2300","103000","2300","51"
"1989-05-01","2290","2300","2260","2260","19000","2260","52"
"1989-05-02","2260","2260","2230","2260","176000","2260","53"
"1989-05-08","2250","2270","2240","2270","224000","2270","57"
"1989-05-09","2280","2340","2260","2290","80000","2290","58"
"1989-05-10","2330","2330","2280","2300","276000","2300","59"
"1989-05-11","2290","2350","2290","2310","161000","2310","60"
"1989-05-12","2310","2320","2300","2300","105000","2300","61"
"1989-05-15","2310","2310","2290","2290","151000","2290","62"
"1989-05-16","2270","2390","2270","2380","181000","2380","63"
"1989-05-17","2400","2420","2380","2380","336000","2380","64"
"1989-05-18","2390","2470","2390","2450","755000","2450","65"
"1989-05-19","2470","2560","2440","2560","1290000","2560","66"
"1989-05-22","2580","2600","2530","2590","961000","2590","67"
"1989-05-23","2580","2600","2550","2580","949000","2580","68"
"1989-05-24","2560","2570","2500","2560","355000","2560","69"
"1989-05-25","2530","2580","2490","2580","435000","2580","70"
"1989-05-26","2580","2580","2550","2570","264000","2570","71"
"1989-05-29","2550","2580","2510","2530","302000","2530","72"
"1989-05-30","2500","2550","2460","2530","160000","2530","73"
"1989-05-31","2500","2550","2500","2550","234000","2550","74"
"1989-06-01","2550","2710","2550","2660","1589000","2660","75"
"1989-06-02","2690","2810","2690","2710","1224000","2710","76"
"1989-06-05","2740","2790","2700","2700","680000","2700","77"
"1989-06-06","2650","2690","2610","2620","205000","2620","78"
"1989-06-07","2620","2700","2620","2700","422000","2700","79"
"1989-06-08","2690","2720","2680","2700","308000","2700","80"
"1989-06-09","2660","2680","2650","2650","287000","2650","81"
"1989-06-12","2630","2720","2630","2720","288000","2720","82"
"1989-06-13","2700","2740","2660","2660","451000","2660","83"
"1989-06-14","2670","2740","2670","2740","400000","2740","84"
"1989-06-15","2700","2850","2690","2690","908000","2690","85"
"1989-06-16","2720","2770","2690","2700","469000","2700","86"
"1989-06-19","2710","2820","2710","2800","569000","2800","87"
"1989-06-20","2870","2890","2830","2850","1075000","2850","88"
"1989-06-21","2890","2930","2850","2850","1132000","2850","89"
"1989-06-22","2870","2900","2860","2870","508000","2870","90"
"1989-06-23","2850","2860","2810","2840","335000","2840","91"
"1989-06-26","2840","2840","2770","2830","225000","2830","92"
"1989-06-27","2810","2850","2770","2780","366000","2780","93"
"1989-06-28","2750","2770","2710","2770","151000","2770","94"
"1989-06-29","2750","3000","2750","2950","1306000","2950","95"
"1989-06-30","2910","3030","2890","2950","1475000","2950","96"
"1989-07-03","2950","3010","2900","2980","650000","2980","97"
"1989-07-04","2980","3000","2950","2960","315000","2960","98"
"1989-07-05","2970","2980","2900","2960","292000","2960","99"
"1989-07-06","2920","2940","2910","2940","199000","2940","100"
