5232 èZóFëÂç„ÉZÉÅÉìÉg,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","959","959","940","940","983000","940","1"
"1989-02-20","940","947","930","930","744000","930","2"
"1989-02-21","930","930","915","925","871000","925","3"
"1989-02-22","920","948","908","948","940000","948","4"
"1989-02-23","940","940","918","926","949000","926","5"
"1989-02-27","923","929","913","915","710000","915","7"
"1989-02-28","910","913","891","891","718000","891","8"
"1989-03-01","900","900","865","870","1233000","870","9"
"1989-03-02","870","898","866","881","767000","881","10"
"1989-03-03","891","900","883","888","696000","888","11"
"1989-03-06","893","910","880","884","693000","884","12"
"1989-03-07","879","910","870","900","1046000","900","13"
"1989-03-08","900","943","900","930","2310000","930","14"
"1989-03-09","920","930","910","915","509000","915","15"
"1989-03-10","915","920","905","920","499000","920","16"
"1989-03-13","915","916","902","914","451000","914","17"
"1989-03-14","909","920","902","920","848000","920","18"
"1989-03-15","929","930","915","925","774000","925","19"
"1989-03-16","920","943","920","933","1719000","933","20"
"1989-03-17","945","963","942","959","5161000","959","21"
"1989-03-20","949","950","921","921","1397000","921","22"
"1989-03-22","941","994","935","975","7923000","975","24"
"1989-03-23","995","1020","991","991","11569000","991","25"
"1989-03-24","995","998","960","979","2367000","979","26"
"1989-03-27","983","990","975","979","1487000","979","27"
"1989-03-28","984","989","960","970","1271000","970","28"
"1989-03-29","980","1030","975","1030","4530000","1030","29"
"1989-03-30","1030","1040","995","995","3102000","995","30"
"1989-03-31","1000","1020","990","990","1487000","990","31"
"1989-04-03","991","1000","971","985","1258000","985","32"
"1989-04-04","999","999","975","985","1280000","985","33"
"1989-04-05","985","990","971","986","1129000","986","34"
"1989-04-06","970","975","950","952","523000","952","35"
"1989-04-07","955","970","955","955","697000","955","36"
"1989-04-10","953","960","945","950","523000","950","37"
"1989-04-11","940","970","940","970","567000","970","38"
"1989-04-12","960","969","950","950","518000","950","39"
"1989-04-13","959","968","953","962","439000","962","40"
"1989-04-14","970","975","950","975","915000","975","41"
"1989-04-17","970","970","960","970","632000","970","42"
"1989-04-18","965","969","953","953","626000","953","43"
"1989-04-19","951","964","951","952","489000","952","44"
"1989-04-20","951","964","942","947","450000","947","45"
"1989-04-21","945","951","942","945","748000","945","46"
"1989-04-24","950","955","939","941","521000","941","47"
"1989-04-25","950","980","950","960","748000","960","48"
"1989-04-26","960","970","942","963","831000","963","49"
"1989-04-27","953","963","951","960","590000","960","50"
"1989-04-28","959","979","953","969","1041000","969","51"
"1989-05-01","979","980","965","970","933000","970","52"
"1989-05-02","972","1010","972","985","4428000","985","53"
"1989-05-08","981","1030","981","1010","4427000","1010","57"
"1989-05-09","1000","1000","990","997","1408000","997","58"
"1989-05-10","993","1020","992","1020","2313000","1020","59"
"1989-05-11","1020","1030","1000","1010","3002000","1010","60"
"1989-05-12","1010","1020","993","1000","1070000","1000","61"
"1989-05-15","980","1000","980","995","265000","995","62"
"1989-05-16","999","999","970","975","433000","975","63"
"1989-05-17","985","990","976","978","491000","978","64"
"1989-05-18","972","985","971","985","450000","985","65"
