5332 TOTO,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2170","2170","2130","2140","173000","2140","1"
"1989-02-20","2140","2150","2130","2150","392000","2150","2"
"1989-02-21","2150","2150","2110","2130","199000","2130","3"
"1989-02-22","2140","2140","2100","2130","341000","2130","4"
"1989-02-23","2150","2150","2080","2080","492000","2080","5"
"1989-02-27","2080","2110","2080","2080","189000","2080","7"
"1989-02-28","2090","2100","2060","2090","150000","2090","8"
"1989-03-01","2090","2090","2060","2090","157000","2090","9"
"1989-03-02","2100","2120","2090","2110","167000","2110","10"
"1989-03-03","2130","2130","2100","2100","146000","2100","11"
"1989-03-06","2080","2100","2070","2100","140000","2100","12"
"1989-03-07","2100","2110","2050","2050","203000","2050","13"
"1989-03-08","2050","2060","2000","2040","158000","2040","14"
"1989-03-09","2000","2040","2000","2010","125000","2010","15"
"1989-03-10","1970","1990","1970","1970","251000","1970","16"
"1989-03-13","1960","1960","1940","1940","274000","1940","17"
"1989-03-14","1950","1960","1940","1960","272000","1960","18"
"1989-03-15","1960","2080","1950","2080","372000","2080","19"
"1989-03-16","2050","2080","2000","2080","242000","2080","20"
"1989-03-17","2080","2080","2050","2060","207000","2060","21"
"1989-03-20","2070","2070","2010","2060","312000","2060","22"
"1989-03-22","2030","2060","2020","2030","221000","2030","24"
"1989-03-23","2030","2070","2020","2060","213000","2060","25"
"1989-03-24","2050","2060","2010","2050","174000","2050","26"
"1989-03-27","2020","2080","2020","2030","266000","2030","27"
"1989-03-28","2070","2090","2030","2090","117000","2090","28"
"1989-03-29","2100","2100","2070","2090","218000","2090","29"
"1989-03-30","2110","2110","2020","2020","155000","2020","30"
"1989-03-31","2060","2080","2040","2080","184000","2080","31"
"1989-04-03","2060","2060","2020","2030","529000","2030","32"
"1989-04-04","2000","2090","2000","2090","339000","2090","33"
"1989-04-05","2090","2100","2060","2080","367000","2080","34"
"1989-04-06","2100","2100","2060","2100","310000","2100","35"
"1989-04-07","2110","2140","2080","2120","476000","2120","36"
"1989-04-10","2150","2150","2090","2090","193000","2090","37"
"1989-04-11","2080","2090","2060","2060","216000","2060","38"
"1989-04-12","2090","2100","2070","2090","338000","2090","39"
"1989-04-13","2090","2100","2080","2090","270000","2090","40"
"1989-04-14","2090","2120","2080","2090","252000","2090","41"
"1989-04-17","2130","2130","2100","2120","253000","2120","42"
"1989-04-18","2130","2130","2070","2080","350000","2080","43"
"1989-04-19","2090","2100","2090","2100","194000","2100","44"
"1989-04-20","2100","2120","2080","2100","222000","2100","45"
"1989-04-21","2100","2120","2080","2080","208000","2080","46"
"1989-04-24","2060","2080","2020","2080","116000","2080","47"
"1989-04-25","2120","2120","2050","2080","238000","2080","48"
"1989-04-26","2100","2180","2100","2180","1751000","2180","49"
"1989-04-27","2220","2230","2190","2220","2685000","2220","50"
"1989-04-28","2230","2230","2200","2220","1507000","2220","51"
"1989-05-01","2230","2250","2210","2250","1126000","2250","52"
"1989-05-02","2260","2330","2260","2330","2360000","2330","53"
"1989-05-08","2350","2350","2300","2300","761000","2300","57"
"1989-05-09","2290","2300","2250","2270","549000","2270","58"
"1989-05-10","2310","2310","2260","2260","683000","2260","59"
"1989-05-11","2250","2290","2240","2280","1050000","2280","60"
"1989-05-12","2300","2300","2270","2280","617000","2280","61"
"1989-05-15","2300","2320","2260","2260","672000","2260","62"
"1989-05-16","2300","2300","2270","2290","733000","2290","63"
"1989-05-17","2320","2320","2290","2290","1166000","2290","64"
"1989-05-18","2300","2340","2260","2330","1113000","2330","65"
"1989-05-19","2350","2380","2340","2380","4349000","2380","66"
"1989-05-22","2370","2380","2360","2370","1070000","2370","67"
"1989-05-23","2360","2380","2340","2380","1136000","2380","68"
"1989-05-24","2380","2500","2380","2490","5497000","2490","69"
"1989-05-25","2480","2480","2430","2460","2191000","2460","70"
"1989-05-26","2460","2460","2430","2450","860000","2450","71"
"1989-05-29","2470","2470","2420","2450","781000","2450","72"
"1989-05-30","2450","2450","2410","2420","594000","2420","73"
"1989-05-31","2420","2460","2400","2450","997000","2450","74"
"1989-06-01","2460","2470","2430","2440","1016000","2440","75"
"1989-06-02","2400","2430","2380","2410","506000","2410","76"
"1989-06-05","2390","2400","2340","2360","437000","2360","77"
"1989-06-06","2400","2440","2350","2370","1182000","2370","78"
"1989-06-07","2400","2420","2320","2320","552000","2320","79"
"1989-06-08","2360","2360","2330","2350","318000","2350","80"
"1989-06-09","2330","2370","2330","2340","179000","2340","81"
"1989-06-12","2320","2390","2320","2350","143000","2350","82"
"1989-06-13","2370","2380","2350","2350","351000","2350","83"
"1989-06-14","2350","2350","2320","2350","271000","2350","84"
"1989-06-15","2370","2370","2330","2330","419000","2330","85"
"1989-06-16","2370","2370","2230","2350","394000","2350","86"
"1989-06-19","2340","2340","2300","2310","103000","2310","87"
"1989-06-20","2310","2340","2310","2330","220000","2330","88"
"1989-06-21","2290","2330","2290","2330","441000","2330","89"
"1989-06-22","2330","2330","2300","2300","211000","2300","90"
"1989-06-23","2340","2380","2320","2330","416000","2330","91"
"1989-06-26","2350","2370","2340","2340","417000","2340","92"
"1989-06-27","2340","2360","2340","2340","293000","2340","93"
"1989-06-28","2340","2340","2290","2340","330000","2340","94"
"1989-06-29","2300","2380","2300","2380","262000","2380","95"
"1989-06-30","2340","2360","2330","2340","143000","2340","96"
"1989-07-03","2340","2350","2330","2350","160000","2350","97"
"1989-07-04","2350","2370","2330","2360","338000","2360","98"
"1989-07-05","2370","2420","2370","2420","1068000","2420","99"
"1989-07-06","2400","2470","2400","2470","1391000","2470","100"
"1989-07-07","2480","2520","2470","2490","5490000","2490","101"
"1989-07-10","2480","2500","2470","2470","922000","2470","102"
"1989-07-11","2490","2560","2470","2560","6137000","2560","103"
"1989-07-12","2570","2570","2530","2530","2045000","2530","104"
"1989-07-13","2530","2530","2510","2520","650000","2520","105"
"1989-07-14","2520","2520","2500","2500","654000","2500","106"
"1989-07-17","2510","2510","2480","2480","301000","2480","107"
"1989-07-18","2500","2500","2480","2500","445000","2500","108"
"1989-07-19","2510","2600","2510","2580","5005000","2580","109"
"1989-07-20","2610","2630","2590","2610","2446000","2610","110"
"1989-07-21","2590","2610","2570","2610","762000","2610","111"
"1989-07-24","2600","2700","2540","2680","5223000","2680","112"
"1989-07-25","2680","2680","2640","2660","1668000","2660","113"
"1989-07-26","2660","2670","2620","2640","1370000","2640","114"
"1989-07-27","2640","2670","2570","2620","1455000","2620","115"
"1989-07-28","2580","2590","2540","2540","684000","2540","116"
"1989-07-31","2540","2590","2540","2590","979000","2590","117"
"1989-08-01","2560","2580","2560","2560","249000","2560","118"
"1989-08-02","2520","2560","2520","2540","537000","2540","119"
"1989-08-03","2540","2570","2530","2560","377000","2560","120"
"1989-08-04","2540","2560","2530","2550","275000","2550","121"
"1989-08-07","2550","2570","2530","2570","251000","2570","122"
"1989-08-08","2570","2640","2560","2600","684000","2600","123"
"1989-08-09","2620","2680","2600","2650","2514000","2650","124"
"1989-08-10","2630","2660","2620","2650","920000","2650","125"
"1989-08-11","2650","2650","2600","2630","417000","2630","126"
"1989-08-14","2630","2630","2610","2620","106000","2620","127"
"1989-08-15","2610","2660","2610","2640","638000","2640","128"
"1989-08-16","2650","2700","2640","2690","1222000","2690","129"
"1989-08-17","2690","2690","2660","2660","560000","2660","130"
"1989-08-18","2660","2730","2640","2710","2758000","2710","131"
"1989-08-21","2710","2760","2690","2710","2150000","2710","132"
"1989-08-22","2710","2730","2690","2700","861000","2700","133"
