5333 ì˙ñ{ÉKÉCÉV,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1230","1250","1210","1250","480000","1250","1"
"1989-02-20","1230","1240","1210","1230","227000","1230","2"
"1989-02-21","1220","1240","1180","1200","648000","1200","3"
"1989-02-22","1210","1220","1190","1220","531000","1220","4"
"1989-02-23","1190","1210","1180","1180","993000","1180","5"
"1989-02-27","1180","1260","1180","1230","2097000","1230","7"
"1989-02-28","1280","1320","1250","1280","9973000","1280","8"
"1989-03-01","1280","1300","1240","1250","2678000","1250","9"
"1989-03-02","1280","1290","1250","1270","758000","1270","10"
"1989-03-03","1300","1320","1270","1290","4923000","1290","11"
"1989-03-06","1300","1310","1280","1290","1195000","1290","12"
"1989-03-07","1270","1360","1270","1340","6129000","1340","13"
"1989-03-08","1360","1430","1350","1400","12590000","1400","14"
"1989-03-09","1440","1490","1420","1480","13564000","1480","15"
"1989-03-10","1470","1510","1440","1480","7631000","1480","16"
"1989-03-13","1460","1460","1430","1450","1396000","1450","17"
"1989-03-14","1450","1490","1430","1460","3686000","1460","18"
"1989-03-15","1460","1520","1460","1490","8228000","1490","19"
"1989-03-16","1500","1560","1490","1530","8912000","1530","20"
"1989-03-17","1550","1560","1510","1550","3174000","1550","21"
"1989-03-20","1510","1550","1510","1510","1741000","1510","22"
"1989-03-22","1520","1610","1520","1560","7863000","1560","24"
"1989-03-23","1560","1580","1530","1540","2648000","1540","25"
"1989-03-24","1530","1550","1500","1540","2545000","1540","26"
"1989-03-27","1540","1580","1520","1530","3695000","1530","27"
"1989-03-28","1540","1640","1510","1610","7804000","1610","28"
"1989-03-29","1600","1630","1580","1630","3454000","1630","29"
"1989-03-30","1620","1620","1580","1590","1819000","1590","30"
"1989-03-31","1590","1680","1590","1680","3941000","1680","31"
"1989-04-03","1670","1680","1620","1620","1615000","1620","32"
"1989-04-04","1620","1630","1600","1630","2066000","1630","33"
"1989-04-05","1630","1730","1610","1690","8268000","1690","34"
"1989-04-06","1680","1760","1670","1700","9439000","1700","35"
"1989-04-07","1720","1800","1710","1770","10601000","1770","36"
"1989-04-10","1770","1800","1740","1770","2409000","1770","37"
"1989-04-11","1790","1840","1760","1780","5957000","1780","38"
"1989-04-12","1770","1800","1740","1800","3012000","1800","39"
"1989-04-13","1780","1820","1750","1760","2787000","1760","40"
"1989-04-14","1770","1820","1760","1810","3034000","1810","41"
"1989-04-17","1840","1860","1810","1860","10628000","1860","42"
