5406 ê_åÀêªç|èä,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","840","865","835","865","53149000","865","1"
"1989-02-20","875","875","855","856","30617000","856","2"
"1989-02-21","858","864","840","845","13698000","845","3"
"1989-02-22","855","869","850","867","18390000","867","4"
"1989-02-23","867","906","851","900","90530000","900","5"
"1989-02-27","890","918","888","890","36807000","890","7"
"1989-02-28","883","919","883","900","45568000","900","8"
"1989-03-01","910","910","877","880","30065000","880","9"
"1989-03-02","880","896","862","881","18689000","881","10"
"1989-03-03","891","897","877","885","21577000","885","11"
"1989-03-06","880","885","862","880","7623000","880","12"
"1989-03-07","870","897","865","887","14779000","887","13"
"1989-03-08","897","904","870","874","15368000","874","14"
"1989-03-09","875","879","859","861","13756000","861","15"
"1989-03-10","855","885","855","875","21906000","875","16"
"1989-03-13","871","874","862","865","16425000","865","17"
"1989-03-14","863","874","859","860","15555000","860","18"
"1989-03-15","880","887","872","883","20790000","883","19"
"1989-03-16","893","925","888","920","59128000","920","20"
"1989-03-17","929","934","906","910","47652000","910","21"
"1989-03-20","890","900","880","886","13916000","886","22"
"1989-03-22","890","893","856","868","22529000","868","24"
"1989-03-23","868","882","863","868","15058000","868","25"
"1989-03-24","860","865","851","865","13174000","865","26"
"1989-03-27","859","863","840","843","19819000","843","27"
"1989-03-28","836","860","826","841","17210000","841","28"
"1989-03-29","851","885","850","875","14159000","875","29"
"1989-03-30","880","898","862","895","25406000","895","30"
"1989-03-31","895","911","882","895","31202000","895","31"
"1989-04-03","898","900","881","885","9864000","885","32"
"1989-04-04","905","928","896","925","76674000","925","33"
"1989-04-05","935","960","931","940","100588000","940","34"
"1989-04-06","930","940","910","928","19710000","928","35"
"1989-04-07","918","944","916","929","19181000","929","36"
"1989-04-10","919","927","907","910","5461000","910","37"
"1989-04-11","901","926","901","908","7758000","908","38"
"1989-04-12","918","925","909","913","11416000","913","39"
"1989-04-13","909","924","905","910","10625000","910","40"
"1989-04-14","910","928","905","925","13945000","925","41"
"1989-04-17","935","945","928","933","34397000","933","42"
"1989-04-18","931","947","926","935","34416000","935","43"
"1989-04-19","945","950","922","922","43000000","922","44"
"1989-04-20","921","925","907","910","8246000","910","45"
"1989-04-21","895","909","895","900","15790000","900","46"
"1989-04-24","896","904","881","881","8662000","881","47"
"1989-04-25","891","900","888","892","5966000","892","48"
"1989-04-26","895","900","875","875","13115000","875","49"
"1989-04-27","895","915","885","915","12186000","915","50"
"1989-04-28","906","932","906","923","37326000","923","51"
"1989-05-01","920","936","919","934","16318000","934","52"
