5411 JFE HD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2002-09-27","1400","1419","1393","1415","2270199","1415","3537"
"2002-09-30","1375","1380","1338","1364","1899200","1364","3538"
"2002-10-01","1329","1335","1260","1272","1101700","1272","3539"
"2002-10-02","1280","1289","1250","1262","1274599","1262","3540"
"2002-10-03","1263","1322","1259","1282","2317300","1282","3541"
"2002-10-04","1292","1393","1290","1377","2006700","1377","3542"
"2002-10-07","1364","1386","1353","1356","1321599","1356","3543"
"2002-10-08","1360","1363","1326","1359","1213300","1359","3544"
"2002-10-09","1301","1308","1281","1301","1142300","1301","3545"
"2002-10-10","1250","1270","1196","1270","738299","1270","3546"
"2002-10-11","1310","1324","1230","1257","856900","1257","3547"
"2002-10-15","1317","1385","1300","1350","1094200","1350","3549"
"2002-10-16","1390","1399","1310","1370","1068000","1370","3550"
"2002-10-17","1350","1370","1323","1323","806900","1323","3551"
"2002-10-18","1305","1330","1278","1305","1083400","1305","3552"
"2002-10-21","1305","1334","1289","1323","718400","1323","3553"
"2002-10-22","1343","1343","1305","1330","721200","1330","3554"
"2002-10-23","1348","1355","1319","1346","738400","1346","3555"
"2002-10-24","1326","1345","1306","1326","436500","1326","3556"
"2002-10-25","1335","1369","1335","1369","846799","1369","3557"
"2002-10-28","1383","1444","1377","1444","1761700","1444","3558"
"2002-10-29","1430","1455","1428","1438","1420599","1438","3559"
"2002-10-30","1437","1545","1435","1505","1820599","1505","3560"
"2002-10-31","1495","1498","1470","1496","1121000","1496","3561"
"2002-11-01","1469","1469","1402","1418","870000","1418","3562"
"2002-11-05","1424","1499","1423","1499","1595099","1499","3564"
"2002-11-06","1419","1435","1374","1420","2006200","1420","3565"
"2002-11-07","1401","1438","1389","1438","355300","1438","3566"
"2002-11-08","1420","1420","1360","1385","996799","1385","3567"
"2002-11-11","1386","1431","1375","1410","1174599","1410","3568"
"2002-11-12","1390","1414","1376","1380","1015900","1380","3569"
"2002-11-13","1365","1400","1365","1386","1145400","1386","3570"
"2002-11-14","1400","1413","1356","1365","1426800","1365","3571"
"2002-11-15","1380","1419","1368","1404","1817000","1404","3572"
"2002-11-18","1401","1425","1368","1380","1817300","1380","3573"
"2002-11-19","1367","1379","1276","1304","1509900","1304","3574"
"2002-11-20","1265","1300","1260","1285","1039099","1285","3575"
"2002-11-21","1305","1370","1300","1365","1287000","1365","3576"
"2002-11-22","1380","1410","1365","1409","1135099","1409","3577"
"2002-11-25","1425","1450","1416","1440","977500","1440","3578"
"2002-11-26","1450","1465","1425","1428","1206300","1428","3579"
"2002-11-27","1410","1481","1410","1456","1041700","1456","3580"
"2002-11-28","1470","1485","1456","1456","929500","1456","3581"
"2002-11-29","1440","1500","1430","1441","1194400","1441","3582"
"2002-12-02","1442","1450","1380","1380","761299","1380","3583"
"2002-12-03","1399","1440","1394","1408","775799","1408","3584"
"2002-12-04","1428","1436","1410","1413","1096200","1413","3585"
"2002-12-05","1425","1470","1413","1454","1243200","1454","3586"
"2002-12-06","1415","1442","1414","1425","1111099","1425","3587"
"2002-12-09","1420","1425","1398","1398","728799","1398","3588"
"2002-12-10","1365","1395","1360","1371","708000","1371","3589"
"2002-12-11","1361","1398","1361","1390","571600","1390","3590"
"2002-12-12","1376","1410","1376","1410","754500","1410","3591"
"2002-12-13","1420","1427","1402","1425","1800000","1425","3592"
"2002-12-16","1425","1440","1415","1440","1189500","1440","3593"
"2002-12-17","1430","1461","1430","1445","1696099","1445","3594"
"2002-12-18","1445","1462","1430","1435","1614900","1435","3595"
"2002-12-19","1410","1450","1402","1450","1098800","1450","3596"
"2002-12-20","1430","1440","1405","1426","739299","1426","3597"
"2002-12-24","1410","1426","1380","1400","1018600","1400","3599"
"2002-12-25","1380","1410","1375","1394","889000","1394","3600"
"2002-12-26","1395","1407","1390","1407","307000","1407","3601"
"2002-12-27","1400","1440","1400","1440","608000","1440","3602"
"2002-12-30","1420","1441","1418","1441","365200","1441","3603"
"2003-01-06","1436","1464","1436","1464","318300","1464","3607"
"2003-01-07","1450","1463","1432","1463","731500","1463","3608"
"2003-01-08","1443","1457","1425","1425","759400","1425","3609"
"2003-01-09","1405","1425","1404","1425","462300","1425","3610"
"2003-01-10","1421","1439","1402","1412","804100","1412","3611"
"2003-01-14","1420","1425","1403","1416","691600","1416","3613"
"2003-01-15","1436","1457","1424","1453","1593800","1453","3614"
"2003-01-16","1450","1457","1433","1454","947900","1454","3615"
"2003-01-17","1441","1451","1420","1426","649700","1426","3616"
"2003-01-20","1420","1450","1415","1450","756500","1450","3617"
"2003-01-21","1452","1457","1440","1442","1058400","1442","3618"
"2003-01-22","1449","1470","1446","1470","1687599","1470","3619"
"2003-01-23","1473","1507","1466","1499","1515300","1499","3620"
