5713 èZóFã‡ëÆçzéR,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1500","1500","1490","1490","571000","1490","1"
"1989-02-20","1490","1490","1470","1480","554000","1480","2"
"1989-02-21","1470","1500","1460","1460","927000","1460","3"
"1989-02-22","1480","1480","1440","1450","1364000","1450","4"
"1989-02-23","1450","1450","1430","1440","1196000","1440","5"
"1989-02-27","1440","1480","1440","1450","600000","1450","7"
"1989-02-28","1460","1470","1450","1450","316000","1450","8"
"1989-03-01","1460","1470","1440","1470","546000","1470","9"
"1989-03-02","1460","1460","1450","1450","184000","1450","10"
"1989-03-03","1450","1460","1430","1430","675000","1430","11"
"1989-03-06","1440","1450","1430","1440","431000","1440","12"
"1989-03-07","1460","1470","1440","1450","414000","1450","13"
"1989-03-08","1460","1460","1430","1430","569000","1430","14"
"1989-03-09","1440","1440","1420","1420","431000","1420","15"
"1989-03-10","1410","1430","1400","1420","386000","1420","16"
"1989-03-13","1410","1420","1370","1420","341000","1420","17"
"1989-03-14","1420","1420","1380","1400","403000","1400","18"
"1989-03-15","1400","1420","1380","1400","1071000","1400","19"
"1989-03-16","1420","1420","1400","1410","746000","1410","20"
"1989-03-17","1410","1450","1410","1410","1252000","1410","21"
"1989-03-20","1430","1460","1400","1430","1545000","1430","22"
"1989-03-22","1440","1450","1410","1420","733000","1420","24"
"1989-03-23","1440","1440","1400","1420","612000","1420","25"
"1989-03-24","1420","1430","1400","1400","1267000","1400","26"
"1989-03-27","1400","1400","1380","1400","2466000","1400","27"
"1989-03-28","1380","1390","1320","1320","582000","1320","28"
"1989-03-29","1340","1360","1330","1330","713000","1330","29"
"1989-03-30","1350","1430","1350","1420","723000","1420","30"
"1989-03-31","1400","1420","1360","1420","1002000","1420","31"
"1989-04-03","1420","1440","1390","1430","601000","1430","32"
"1989-04-04","1450","1490","1450","1470","2119000","1470","33"
"1989-04-05","1470","1470","1440","1460","2230000","1460","34"
"1989-04-06","1480","1510","1450","1460","2554000","1460","35"
"1989-04-07","1470","1590","1470","1540","6689000","1540","36"
"1989-04-10","1560","1560","1520","1520","943000","1520","37"
"1989-04-11","1500","1520","1490","1490","649000","1490","38"
"1989-04-12","1500","1510","1470","1480","889000","1480","39"
"1989-04-13","1500","1510","1470","1500","886000","1500","40"
"1989-04-14","1490","1500","1470","1500","840000","1500","41"
"1989-04-17","1500","1510","1480","1480","432000","1480","42"
"1989-04-18","1470","1520","1470","1520","1443000","1520","43"
"1989-04-19","1500","1520","1480","1500","2848000","1500","44"
"1989-04-20","1500","1510","1480","1480","734000","1480","45"
"1989-04-21","1480","1500","1460","1490","680000","1490","46"
"1989-04-24","1500","1500","1460","1480","470000","1480","47"
"1989-04-25","1500","1500","1460","1470","797000","1470","48"
"1989-04-26","1460","1470","1460","1460","483000","1460","49"
"1989-04-27","1480","1490","1470","1480","1033000","1480","50"
"1989-04-28","1500","1510","1480","1480","970000","1480","51"
"1989-05-01","1480","1500","1470","1470","597000","1470","52"
"1989-05-02","1490","1490","1470","1490","424000","1490","53"
"1989-05-08","1490","1500","1480","1480","519000","1480","57"
"1989-05-09","1490","1490","1430","1460","1263000","1460","58"
"1989-05-10","1450","1470","1440","1470","628000","1470","59"
"1989-05-11","1470","1470","1440","1440","320000","1440","60"
"1989-05-12","1460","1460","1440","1440","842000","1440","61"
"1989-05-15","1460","1460","1420","1440","428000","1440","62"
"1989-05-16","1450","1450","1440","1440","397000","1440","63"
"1989-05-17","1460","1480","1440","1460","680000","1460","64"
"1989-05-18","1450","1470","1440","1460","414000","1460","65"
"1989-05-19","1440","1460","1440","1460","396000","1460","66"
"1989-05-22","1440","1450","1420","1450","465000","1450","67"
"1989-05-23","1410","1430","1400","1420","537000","1420","68"
"1989-05-24","1400","1420","1390","1400","306000","1400","69"
"1989-05-25","1400","1440","1400","1440","671000","1440","70"
"1989-05-26","1460","1470","1410","1430","954000","1430","71"
"1989-05-29","1450","1450","1420","1430","290000","1430","72"
"1989-05-30","1420","1430","1400","1420","448000","1420","73"
"1989-05-31","1420","1420","1390","1410","981000","1410","74"
"1989-06-01","1390","1400","1360","1380","791000","1380","75"
"1989-06-02","1360","1370","1330","1340","921000","1340","76"
"1989-06-05","1350","1370","1350","1360","463000","1360","77"
"1989-06-06","1380","1400","1360","1360","560000","1360","78"
"1989-06-07","1420","1420","1390","1410","1046000","1410","79"
"1989-06-08","1430","1450","1420","1450","1189000","1450","80"
"1989-06-09","1440","1450","1430","1440","628000","1440","81"
"1989-06-12","1400","1430","1380","1410","300000","1410","82"
"1989-06-13","1420","1430","1410","1410","731000","1410","83"
"1989-06-14","1430","1430","1410","1410","684000","1410","84"
"1989-06-15","1430","1430","1390","1390","948000","1390","85"
"1989-06-16","1420","1420","1380","1410","387000","1410","86"
"1989-06-19","1390","1400","1380","1390","306000","1390","87"
"1989-06-20","1380","1400","1380","1380","226000","1380","88"
"1989-06-21","1390","1410","1380","1400","259000","1400","89"
"1989-06-22","1390","1400","1370","1370","365000","1370","90"
"1989-06-23","1400","1410","1380","1390","456000","1390","91"
"1989-06-26","1390","1420","1380","1420","323000","1420","92"
"1989-06-27","1420","1420","1380","1400","927000","1400","93"
"1989-06-28","1370","1380","1340","1340","1183000","1340","94"
"1989-06-29","1350","1380","1340","1340","391000","1340","95"
"1989-06-30","1350","1380","1340","1380","589000","1380","96"
"1989-07-03","1360","1380","1340","1380","493000","1380","97"
"1989-07-04","1380","1380","1360","1380","165000","1380","98"
"1989-07-05","1370","1380","1350","1350","474000","1350","99"
"1989-07-06","1370","1380","1360","1380","707000","1380","100"
"1989-07-07","1390","1400","1370","1400","604000","1400","101"
"1989-07-10","1400","1400","1380","1380","259000","1380","102"
"1989-07-11","1390","1400","1380","1400","398000","1400","103"
"1989-07-12","1400","1420","1390","1400","350000","1400","104"
"1989-07-13","1410","1420","1400","1410","320000","1410","105"
"1989-07-14","1410","1410","1390","1390","403000","1390","106"
"1989-07-17","1390","1390","1310","1310","2106000","1310","107"
"1989-07-18","1300","1320","1300","1310","3716000","1310","108"
"1989-07-19","1310","1320","1300","1320","864000","1320","109"
"1989-07-20","1320","1350","1310","1320","1365000","1320","110"
"1989-07-21","1330","1350","1330","1330","910000","1330","111"
"1989-07-24","1350","1360","1330","1340","696000","1340","112"
"1989-07-25","1360","1370","1350","1360","1090000","1360","113"
"1989-07-26","1350","1370","1350","1350","1326000","1350","114"
"1989-07-27","1330","1350","1330","1350","1440000","1350","115"
"1989-07-28","1360","1370","1350","1350","1250000","1350","116"
"1989-07-31","1330","1350","1330","1330","2222000","1330","117"
"1989-08-01","1340","1360","1330","1350","2243000","1350","118"
"1989-08-02","1350","1370","1350","1360","2079000","1360","119"
"1989-08-03","1360","1380","1360","1370","1496000","1370","120"
"1989-08-04","1360","1380","1360","1360","1183000","1360","121"
"1989-08-07","1360","1370","1360","1370","878000","1370","122"
"1989-08-08","1360","1380","1360","1370","1242000","1370","123"
"1989-08-09","1360","1380","1360","1370","1119000","1370","124"
"1989-08-10","1370","1370","1360","1370","866000","1370","125"
"1989-08-11","1370","1380","1370","1380","974000","1380","126"
"1989-08-14","1380","1380","1350","1360","615000","1360","127"
"1989-08-15","1350","1360","1340","1350","672000","1350","128"
"1989-08-16","1350","1360","1340","1340","994000","1340","129"
"1989-08-17","1340","1400","1340","1380","3047000","1380","130"
"1989-08-18","1390","1390","1370","1380","2027000","1380","131"
"1989-08-21","1390","1400","1380","1380","1900000","1380","132"
"1989-08-22","1390","1430","1380","1420","4185000","1420","133"
"1989-08-23","1430","1450","1420","1430","4416000","1430","134"
