5801 å√âÕìdãCçHã∆,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","991","995","970","980","3979000","980","1"
"1989-02-20","981","988","965","970","3149000","970","2"
"1989-02-21","980","1010","975","975","11185000","975","3"
"1989-02-22","990","1050","975","1050","21086000","1050","4"
"1989-02-23","1050","1100","1030","1090","48320000","1090","5"
"1989-02-27","1070","1100","1060","1060","9393000","1060","7"
"1989-02-28","1060","1060","1000","1000","3316000","1000","8"
"1989-03-01","1060","1060","1000","1010","5915000","1010","9"
"1989-03-02","1020","1030","1000","1020","3269000","1020","10"
"1989-03-03","1040","1040","1010","1020","2382000","1020","11"
"1989-03-06","1040","1040","1000","1020","1596000","1020","12"
"1989-03-07","1010","1080","1000","1080","7909000","1080","13"
"1989-03-08","1110","1110","1040","1050","12846000","1050","14"
"1989-03-09","1070","1070","1040","1060","3218000","1060","15"
"1989-03-10","1080","1080","1050","1070","3589000","1070","16"
"1989-03-13","1070","1070","1040","1040","1808000","1040","17"
"1989-03-14","1060","1060","1040","1060","2006000","1060","18"
"1989-03-15","1110","1130","1100","1100","20705000","1100","19"
"1989-03-16","1120","1130","1110","1130","12901000","1130","20"
"1989-03-17","1140","1170","1110","1110","16457000","1110","21"
"1989-03-20","1100","1110","1080","1080","3259000","1080","22"
"1989-03-22","1100","1110","1040","1050","4059000","1050","24"
"1989-03-23","1060","1080","1050","1070","3589000","1070","25"
"1989-03-24","1090","1120","1080","1100","5465000","1100","26"
"1989-03-27","1100","1110","1070","1070","4031000","1070","27"
"1989-03-28","1090","1160","1080","1160","12173000","1160","28"
"1989-03-29","1170","1190","1140","1170","15004000","1170","29"
"1989-03-30","1170","1180","1130","1150","7839000","1150","30"
"1989-03-31","1140","1180","1130","1180","5819000","1180","31"
"1989-04-03","1180","1180","1140","1170","5777000","1170","32"
"1989-04-04","1180","1210","1160","1200","17030000","1200","33"
"1989-04-05","1190","1210","1170","1180","10700000","1180","34"
"1989-04-06","1180","1190","1150","1160","5195000","1160","35"
"1989-04-07","1170","1240","1160","1230","17243000","1230","36"
"1989-04-10","1230","1240","1180","1210","4659000","1210","37"
"1989-04-11","1190","1210","1190","1190","3565000","1190","38"
"1989-04-12","1200","1220","1180","1180","3518000","1180","39"
"1989-04-13","1190","1190","1160","1160","2518000","1160","40"
"1989-04-14","1150","1170","1150","1160","1535000","1160","41"
"1989-04-17","1190","1190","1160","1170","1102000","1170","42"
"1989-04-18","1170","1180","1160","1170","1441000","1170","43"
"1989-04-19","1170","1180","1160","1160","2082000","1160","44"
"1989-04-20","1160","1170","1140","1140","1881000","1140","45"
"1989-04-21","1130","1140","1110","1120","1818000","1120","46"
"1989-04-24","1130","1140","1110","1130","673000","1130","47"
"1989-04-25","1130","1160","1130","1160","2045000","1160","48"
"1989-04-26","1170","1200","1150","1170","3640000","1170","49"
"1989-04-27","1190","1200","1180","1180","4245000","1180","50"
"1989-04-28","1190","1200","1180","1190","2516000","1190","51"
"1989-05-01","1190","1200","1170","1180","2432000","1180","52"
"1989-05-02","1200","1200","1180","1190","2027000","1190","53"
"1989-05-08","1200","1230","1190","1230","4809000","1230","57"
"1989-05-09","1220","1230","1210","1230","3678000","1230","58"
"1989-05-10","1230","1230","1210","1210","3216000","1210","59"
"1989-05-11","1220","1230","1210","1230","3626000","1230","60"
"1989-05-12","1210","1220","1200","1210","3286000","1210","61"
"1989-05-15","1220","1220","1190","1200","1278000","1200","62"
"1989-05-16","1190","1230","1190","1220","2827000","1220","63"
"1989-05-17","1230","1260","1230","1260","10999000","1260","64"
"1989-05-18","1260","1270","1240","1250","5923000","1250","65"
"1989-05-19","1250","1260","1240","1250","3697000","1250","66"
"1989-05-22","1260","1270","1240","1260","5318000","1260","67"
"1989-05-23","1250","1260","1210","1220","4886000","1220","68"
"1989-05-24","1220","1230","1210","1220","2728000","1220","69"
"1989-05-25","1240","1260","1240","1240","5466000","1240","70"
"1989-05-26","1250","1260","1240","1250","3012000","1250","71"
"1989-05-29","1270","1280","1250","1270","17753000","1270","72"
"1989-05-30","1290","1300","1250","1250","22735000","1250","73"
"1989-05-31","1270","1360","1260","1340","49973000","1340","74"
"1989-06-01","1360","1380","1320","1330","41952000","1330","75"
"1989-06-02","1350","1370","1320","1350","25306000","1350","76"
"1989-06-05","1350","1360","1290","1300","7355000","1300","77"
"1989-06-06","1280","1310","1270","1300","6244000","1300","78"
"1989-06-07","1310","1330","1280","1300","4776000","1300","79"
"1989-06-08","1310","1310","1270","1300","3015000","1300","80"
"1989-06-09","1300","1300","1280","1300","2602000","1300","81"
"1989-06-12","1270","1280","1240","1250","2921000","1250","82"
"1989-06-13","1240","1260","1180","1200","2525000","1200","83"
"1989-06-14","1200","1210","1180","1200","2859000","1200","84"
