5802 èZóFìdãCçHã∆,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1550","1550","1510","1540","968000","1540","1"
"1989-02-20","1540","1540","1500","1500","751000","1500","2"
"1989-02-21","1520","1520","1480","1490","972000","1490","3"
"1989-02-22","1510","1560","1490","1550","2139000","1550","4"
"1989-02-23","1540","1580","1530","1550","4112000","1550","5"
"1989-02-27","1530","1550","1530","1550","935000","1550","7"
"1989-02-28","1530","1530","1500","1520","987000","1520","8"
"1989-03-01","1540","1540","1470","1500","918000","1500","9"
"1989-03-02","1530","1530","1480","1520","359000","1520","10"
"1989-03-03","1540","1540","1470","1480","875000","1480","11"
"1989-03-06","1500","1500","1470","1480","355000","1480","12"
"1989-03-07","1470","1480","1460","1470","300000","1470","13"
"1989-03-08","1480","1490","1450","1450","791000","1450","14"
"1989-03-09","1450","1450","1420","1420","378000","1420","15"
"1989-03-10","1410","1410","1400","1410","503000","1410","16"
"1989-03-13","1430","1430","1390","1390","812000","1390","17"
"1989-03-14","1390","1390","1380","1380","693000","1380","18"
"1989-03-15","1400","1430","1400","1430","998000","1430","19"
"1989-03-16","1430","1450","1410","1430","571000","1430","20"
"1989-03-17","1430","1440","1390","1390","1142000","1390","21"
"1989-03-20","1380","1400","1380","1380","885000","1380","22"
"1989-03-22","1400","1420","1380","1390","1227000","1390","24"
"1989-03-23","1410","1430","1390","1410","1022000","1410","25"
"1989-03-24","1430","1480","1420","1470","1248000","1470","26"
"1989-03-27","1470","1470","1430","1440","769000","1440","27"
"1989-03-28","1460","1520","1460","1520","1296000","1520","28"
"1989-03-29","1540","1620","1530","1600","8018000","1600","29"
"1989-03-30","1620","1640","1580","1580","3967000","1580","30"
"1989-03-31","1600","1600","1540","1570","1401000","1570","31"
"1989-04-03","1600","1600","1530","1540","1149000","1540","32"
"1989-04-04","1560","1570","1540","1550","1507000","1550","33"
"1989-04-05","1550","1590","1540","1590","1955000","1590","34"
"1989-04-06","1590","1590","1550","1560","1808000","1560","35"
"1989-04-07","1550","1660","1540","1630","8804000","1630","36"
"1989-04-10","1640","1650","1600","1630","2437000","1630","37"
"1989-04-11","1620","1650","1600","1640","3472000","1640","38"
"1989-04-12","1660","1700","1650","1690","6879000","1690","39"
"1989-04-13","1690","1710","1620","1630","6026000","1630","40"
"1989-04-14","1630","1640","1590","1630","2523000","1630","41"
"1989-04-17","1610","1630","1600","1630","1391000","1630","42"
"1989-04-18","1610","1620","1600","1610","851000","1610","43"
"1989-04-19","1610","1620","1580","1600","899000","1600","44"
"1989-04-20","1590","1600","1560","1580","871000","1580","45"
"1989-04-21","1540","1570","1530","1550","995000","1550","46"
"1989-04-24","1530","1550","1520","1520","989000","1520","47"
"1989-04-25","1550","1550","1530","1540","1067000","1540","48"
"1989-04-26","1520","1550","1520","1550","1067000","1550","49"
"1989-04-27","1550","1560","1540","1550","615000","1550","50"
"1989-04-28","1580","1580","1550","1570","1021000","1570","51"
"1989-05-01","1550","1570","1550","1560","383000","1560","52"
"1989-05-02","1570","1580","1560","1580","794000","1580","53"
"1989-05-08","1570","1580","1550","1570","661000","1570","57"
"1989-05-09","1570","1580","1550","1580","1164000","1580","58"
"1989-05-10","1580","1580","1560","1580","1123000","1580","59"
"1989-05-11","1570","1580","1540","1560","1093000","1560","60"
"1989-05-12","1580","1580","1530","1550","944000","1550","61"
"1989-05-15","1560","1560","1530","1530","578000","1530","62"
"1989-05-16","1580","1580","1550","1570","645000","1570","63"
"1989-05-17","1580","1580","1550","1560","844000","1560","64"
