5803 ƒtƒWƒNƒ‰,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1420","1420","1370","1380","1606000","1380","1"
"1989-02-20","1390","1400","1350","1350","1038000","1350","2"
"1989-02-21","1370","1380","1310","1340","1284000","1340","3"
"1989-02-22","1360","1390","1340","1390","1761000","1390","4"
"1989-02-23","1430","1440","1390","1400","5339000","1400","5"
"1989-02-27","1400","1430","1360","1380","1713000","1380","7"
"1989-02-28","1380","1390","1350","1350","954000","1350","8"
"1989-03-01","1370","1370","1280","1290","750000","1290","9"
"1989-03-02","1300","1300","1280","1280","532000","1280","10"
"1989-03-03","1290","1320","1290","1320","737000","1320","11"
"1989-03-06","1310","1330","1280","1290","311000","1290","12"
"1989-03-07","1290","1340","1280","1340","375000","1340","13"
"1989-03-08","1340","1350","1310","1310","674000","1310","14"
"1989-03-09","1300","1310","1270","1300","563000","1300","15"
"1989-03-10","1280","1300","1270","1290","538000","1290","16"
"1989-03-13","1300","1300","1270","1270","381000","1270","17"
"1989-03-14","1290","1290","1260","1270","415000","1270","18"
"1989-03-15","1290","1310","1280","1310","683000","1310","19"
"1989-03-16","1310","1310","1270","1270","324000","1270","20"
"1989-03-17","1300","1300","1270","1270","903000","1270","21"
"1989-03-20","1260","1280","1230","1230","704000","1230","22"
"1989-03-22","1240","1250","1190","1240","865000","1240","24"
"1989-03-23","1230","1240","1210","1210","1546000","1210","25"
"1989-03-24","1220","1220","1190","1200","618000","1200","26"
"1989-03-27","1180","1220","1180","1190","558000","1190","27"
"1989-03-28","1210","1300","1210","1300","2273000","1300","28"
"1989-03-29","1320","1430","1290","1380","7249000","1380","29"
"1989-03-30","1400","1400","1330","1370","4513000","1370","30"
"1989-03-31","1360","1360","1310","1330","1372000","1330","31"
"1989-04-03","1310","1320","1300","1300","533000","1300","32"
"1989-04-04","1320","1370","1310","1350","1878000","1350","33"
"1989-04-05","1350","1350","1270","1320","989000","1320","34"
"1989-04-06","1320","1320","1270","1300","608000","1300","35"
"1989-04-07","1290","1340","1290","1340","1730000","1340","36"
"1989-04-10","1320","1340","1280","1280","459000","1280","37"
"1989-04-11","1300","1320","1270","1280","821000","1280","38"
"1989-04-12","1320","1320","1260","1280","1284000","1280","39"
"1989-04-13","1290","1310","1260","1280","672000","1280","40"
"1989-04-14","1290","1290","1260","1280","406000","1280","41"
"1989-04-17","1280","1280","1260","1270","316000","1270","42"
"1989-04-18","1270","1270","1250","1250","406000","1250","43"
"1989-04-19","1270","1300","1240","1250","783000","1250","44"
"1989-04-20","1250","1260","1230","1250","842000","1250","45"
"1989-04-21","1230","1250","1230","1230","466000","1230","46"
"1989-04-24","1250","1250","1210","1220","789000","1220","47"
"1989-04-25","1240","1260","1230","1240","896000","1240","48"
"1989-04-26","1250","1260","1230","1240","982000","1240","49"
