6098 ÉäÉNÉãÅ[ÉgHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2014-10-17","3450","3600","3395","3545","23105701","3545","6673"
"2014-10-20","3700","3835","3620","3800","17782800","3800","6674"
"2014-10-21","3710","3790","3660","3765","10402799","3765","6675"
"2014-10-22","3800","3820","3710","3795","12777900","3795","6676"
"2014-10-23","3710","3725","3625","3650","7240200","3650","6677"
"2014-10-24","3655","3665","3495","3620","9990200","3620","6678"
"2014-10-27","3640","3700","3570","3690","5426300","3690","6679"
"2014-10-28","3695","3725","3660","3685","5294200","3685","6680"
"2014-10-29","3700","3755","3595","3640","19053800","3640","6681"
"2014-10-30","3660","3670","3630","3655","2707199","3655","6682"
"2014-10-31","3655","3695","3615","3695","2653199","3695","6683"
"2014-11-04","3800","3800","3675","3745","5480700","3745","6685"
"2014-11-05","3705","3790","3700","3785","2875100","3785","6686"
"2014-11-06","3790","3850","3770","3810","6210800","3810","6687"
"2014-11-07","3845","3895","3820","3890","6428200","3890","6688"
"2014-11-10","3880","3925","3800","3875","3462900","3875","6689"
"2014-11-11","3900","3965","3875","3945","3723100","3945","6690"
"2014-11-12","3970","4015","3955","3960","4396200","3960","6691"
"2014-11-13","3960","3995","3905","3925","2487400","3925","6692"
"2014-11-14","3840","3845","3605","3665","9618000","3665","6693"
"2014-11-17","3705","3715","3450","3505","7553899","3505","6694"
"2014-11-18","3575","3705","3560","3675","5588399","3675","6695"
"2014-11-19","3790","3800","3705","3775","3194400","3775","6696"
"2014-11-20","3795","3800","3725","3770","2089100","3770","6697"
"2014-11-21","3770","3795","3700","3785","2842699","3785","6698"
"2014-11-25","3820","3930","3810","3930","5813000","3930","6700"
"2014-11-26","3895","3910","3835","3890","4725300","3890","6701"
"2014-11-27","3905","3935","3860","3935","23336300","3935","6702"
"2014-11-28","3890","3965","3885","3900","3695699","3900","6703"
"2014-12-01","3925","3925","3805","3875","3077600","3875","6704"
"2014-12-02","3850","3860","3790","3805","2825800","3805","6705"
"2014-12-03","3865","3890","3835","3875","2888800","3875","6706"
"2014-12-04","3895","3900","3775","3780","2437800","3780","6707"
"2014-12-05","3760","3765","3700","3720","1871700","3720","6708"
"2014-12-08","3735","3735","3600","3625","2645699","3625","6709"
"2014-12-09","3600","3605","3535","3575","3600300","3575","6710"
"2014-12-10","3555","3660","3555","3625","2944000","3625","6711"
"2014-12-11","3590","3610","3560","3570","2458400","3570","6712"
"2014-12-12","3555","3565","3510","3510","2578900","3510","6713"
"2014-12-15","3500","3550","3385","3400","3334300","3400","6714"
"2014-12-16","3365","3500","3350","3470","3883000","3470","6715"
"2014-12-17","3425","3495","3420","3470","1279599","3470","6716"
"2014-12-18","3505","3525","3430","3445","1650099","3445","6717"
"2014-12-19","3500","3510","3455","3475","1284200","3475","6718"
"2014-12-22","3545","3560","3490","3545","1982900","3545","6719"
"2014-12-24","3580","3580","3510","3515","2330500","3515","6721"
"2014-12-25","3540","3540","3470","3485","2289699","3485","6722"
"2014-12-26","3500","3510","3480","3485","1129200","3485","6723"
"2014-12-29","3465","3495","3435","3440","1317300","3440","6724"
"2014-12-30","3455","3475","3430","3440","1069300","3440","6725"
"2015-01-05","3435","3450","3415","3435","1100200","3435","6728"
"2015-01-06","3415","3450","3410","3430","1424800","3430","6729"
"2015-01-07","3430","3650","3430","3650","3982199","3650","6730"
"2015-01-08","3625","3650","3565","3610","1878300","3610","6731"
"2015-01-09","3620","3650","3570","3585","1316800","3585","6732"
"2015-01-13","3575","3645","3565","3620","1874400","3620","6734"
"2015-01-14","3610","3660","3595","3635","2225500","3635","6735"
"2015-01-15","3590","3640","3580","3610","1900200","3610","6736"
"2015-01-16","3575","3580","3490","3500","1928700","3500","6737"
"2015-01-19","3520","3555","3520","3540","1811599","3540","6738"
"2015-01-20","3540","3540","3490","3500","2468000","3500","6739"
"2015-01-21","3515","3530","3455","3465","1081900","3465","6740"
"2015-01-22","3450","3460","3395","3415","1919200","3415","6741"
"2015-01-23","3470","3470","3395","3410","1740800","3410","6742"
"2015-01-26","3420","3420","3395","3400","2070500","3400","6743"
"2015-01-27","3400","3435","3390","3405","1061000","3405","6744"
"2015-01-28","3400","3420","3385","3390","1151700","3390","6745"
"2015-01-29","3380","3435","3380","3415","1343800","3415","6746"
"2015-01-30","3440","3460","3420","3440","1359500","3440","6747"
"2015-02-02","3400","3410","3385","3400","867600","3400","6748"
"2015-02-03","3430","3440","3390","3400","1057800","3400","6749"
"2015-02-04","3430","3460","3415","3430","984100","3430","6750"
"2015-02-05","3435","3450","3400","3445","937400","3445","6751"
"2015-02-06","3450","3455","3415","3440","526299","3440","6752"
"2015-02-09","3455","3515","3415","3500","2096600","3500","6753"
"2015-02-10","3500","3565","3495","3560","3237900","3560","6754"
"2015-02-12","3585","3600","3565","3590","2015400","3590","6756"
"2015-02-13","3580","3590","3560","3570","1347599","3570","6757"
"2015-02-16","3620","3695","3615","3690","3924900","3690","6758"
"2015-02-17","3690","3690","3610","3645","2349300","3645","6759"
"2015-02-18","3660","3685","3565","3595","2924800","3595","6760"
"2015-02-19","3600","3625","3530","3540","1383400","3540","6761"
"2015-02-20","3545","3610","3535","3600","1268300","3600","6762"
"2015-02-23","3630","3660","3630","3650","2118699","3650","6763"
"2015-02-24","3655","3680","3650","3680","1686800","3680","6764"
"2015-02-25","3685","3740","3655","3710","4397100","3710","6765"
