6113 ÉAÉ}É_,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1220","1220","1200","1210","782000","1210","1"
"1989-02-20","1220","1220","1210","1220","281000","1220","2"
"1989-02-21","1220","1230","1210","1230","446000","1230","3"
"1989-02-22","1230","1240","1230","1240","227000","1240","4"
"1989-02-23","1240","1270","1220","1250","906000","1250","5"
"1989-02-27","1250","1270","1250","1260","338000","1260","7"
"1989-02-28","1250","1250","1240","1240","426000","1240","8"
"1989-03-01","1230","1260","1220","1220","569000","1220","9"
"1989-03-02","1230","1280","1230","1240","455000","1240","10"
"1989-03-03","1250","1260","1240","1240","299000","1240","11"
"1989-03-06","1220","1240","1220","1220","301000","1220","12"
"1989-03-07","1210","1220","1210","1210","256000","1210","13"
"1989-03-08","1220","1250","1220","1240","532000","1240","14"
"1989-03-09","1230","1250","1230","1240","612000","1240","15"
"1989-03-10","1240","1250","1230","1240","300000","1240","16"
"1989-03-13","1240","1240","1220","1240","254000","1240","17"
"1989-03-14","1250","1250","1210","1220","277000","1220","18"
"1989-03-15","1240","1250","1220","1250","269000","1250","19"
"1989-03-16","1280","1280","1250","1260","349000","1260","20"
"1989-03-17","1280","1290","1230","1240","372000","1240","21"
"1989-03-20","1230","1250","1220","1220","220000","1220","22"
"1989-03-22","1240","1240","1210","1230","244000","1230","24"
"1989-03-23","1230","1230","1210","1230","369000","1230","25"
"1989-03-24","1230","1230","1200","1230","407000","1230","26"
"1989-03-27","1250","1250","1190","1230","287000","1230","27"
"1989-03-28","1200","1300","1200","1290","466000","1290","28"
"1989-03-29","1300","1320","1260","1270","1060000","1270","29"
"1989-03-30","1300","1340","1290","1310","1185000","1310","30"
"1989-03-31","1290","1380","1290","1300","2157000","1300","31"
"1989-04-03","1320","1350","1300","1330","1868000","1330","32"
"1989-04-04","1330","1360","1330","1350","1687000","1350","33"
"1989-04-05","1350","1350","1330","1330","867000","1330","34"
"1989-04-06","1310","1330","1300","1320","428000","1320","35"
"1989-04-07","1310","1330","1290","1290","693000","1290","36"
"1989-04-10","1350","1350","1320","1330","604000","1330","37"
"1989-04-11","1350","1380","1340","1370","2979000","1370","38"
"1989-04-12","1450","1520","1440","1510","18353000","1510","39"
"1989-04-13","1570","1590","1520","1520","16633000","1520","40"
"1989-04-14","1540","1570","1500","1520","6117000","1520","41"
"1989-04-17","1530","1560","1530","1540","4356000","1540","42"
"1989-04-18","1560","1580","1530","1550","6226000","1550","43"
"1989-04-19","1550","1560","1520","1520","2209000","1520","44"
"1989-04-20","1520","1590","1520","1550","6729000","1550","45"
"1989-04-21","1520","1600","1520","1540","9362000","1540","46"
"1989-04-24","1570","1570","1530","1540","1950000","1540","47"
"1989-04-25","1560","1630","1540","1630","9286000","1630","48"
"1989-04-26","1660","1700","1620","1690","20105000","1690","49"
"1989-04-27","1690","1700","1650","1680","5772000","1680","50"
"1989-04-28","1680","1680","1640","1670","3683000","1670","51"
"1989-05-01","1640","1660","1630","1640","1424000","1640","52"
"1989-05-02","1640","1650","1630","1640","1180000","1640","53"
"1989-05-08","1650","1660","1630","1630","1858000","1630","57"
"1989-05-09","1640","1680","1610","1650","2719000","1650","58"
"1989-05-10","1680","1720","1670","1670","7475000","1670","59"
"1989-05-11","1690","1690","1660","1660","1024000","1660","60"
"1989-05-12","1660","1660","1640","1650","730000","1650","61"
"1989-05-15","1650","1660","1630","1630","764000","1630","62"
"1989-05-16","1650","1690","1640","1690","2293000","1690","63"
"1989-05-17","1670","1690","1670","1680","1706000","1680","64"
"1989-05-18","1670","1690","1660","1660","716000","1660","65"
"1989-05-19","1670","1750","1670","1730","11880000","1730","66"
"1989-05-22","1730","1740","1700","1710","1573000","1710","67"
"1989-05-23","1690","1710","1660","1680","1840000","1680","68"
"1989-05-24","1690","1690","1670","1680","1236000","1680","69"
"1989-05-25","1730","1770","1710","1740","8449000","1740","70"
"1989-05-26","1760","1790","1740","1780","6292000","1780","71"
"1989-05-29","1800","1820","1770","1780","13966000","1780","72"
"1989-05-30","1780","1790","1760","1760","1646000","1760","73"
"1989-05-31","1770","2060","1770","2060","46127000","2060","74"
