6178 ì˙ñ{óXê≠,,,,,
"date","open","hight","low","close","power","End","date_position"
"2015-11-05","1775","1854","1763","1820","103814703","1820","6946"
"2015-11-06","1780","1809","1746","1755","38087500","1755","6947"
"2015-11-09","1768","1779","1695","1702","32733400","1702","6948"
"2015-11-10","1691","1757","1690","1755","31050300","1755","6949"
"2015-11-11","1758","1878","1750","1851","51162601","1851","6950"
"2015-11-12","1842","1877","1826","1860","28922000","1860","6951"
"2015-11-13","1849","1938","1841","1896","49620101","1896","6952"
"2015-11-16","1877","1909","1858","1899","27451300","1899","6953"
"2015-11-17","1930","1935","1838","1903","71850804","1903","6954"
"2015-11-18","1880","1905","1871","1897","14554100","1897","6955"
"2015-11-19","1906","1913","1871","1876","13053400","1876","6956"
"2015-11-20","1878","1881","1840","1870","9842299","1870","6957"
"2015-11-24","1890","1890","1875","1883","7292200","1883","6959"
"2015-11-25","1898","1923","1887","1916","19151500","1916","6960"
"2015-11-26","1913","1913","1885","1893","10143600","1893","6961"
"2015-11-27","1882","1898","1882","1889","5605500","1889","6962"
"2015-11-30","1890","1907","1888","1907","9541000","1907","6963"
"2015-12-01","1915","1922","1897","1900","7555700","1900","6964"
"2015-12-02","1907","1909","1886","1907","4664600","1907","6965"
"2015-12-03","1915","1946","1911","1938","17857201","1938","6966"
"2015-12-04","1922","1989","1918","1972","27905099","1972","6967"
"2015-12-07","1980","1999","1973","1997","14809700","1997","6968"
"2015-12-08","1989","1994","1952","1985","14899500","1985","6969"
"2015-12-09","1980","1983","1937","1952","10047200","1952","6970"
"2015-12-10","1926","1956","1915","1949","7936300","1949","6971"
"2015-12-11","1970","1972","1951","1955","6127200","1955","6972"
"2015-12-14","1925","1935","1898","1934","8147700","1934","6973"
"2015-12-15","1926","1937","1882","1888","9270100","1888","6974"
"2015-12-16","1915","1918","1892","1899","4904700","1899","6975"
"2015-12-17","1906","1924","1895","1915","5797300","1915","6976"
"2015-12-18","1909","1935","1905","1928","8478799","1928","6977"
"2015-12-21","1922","1940","1907","1924","5875100","1924","6978"
"2015-12-22","1922","1923","1899","1906","4777300","1906","6979"
"2015-12-24","1912","1930","1903","1926","5966700","1926","6981"
"2015-12-25","1932","1953","1930","1939","9345299","1939","6982"
"2015-12-28","1952","1979","1933","1975","12670900","1975","6983"
"2015-12-29","1962","1968","1893","1893","37346300","1893","6984"
"2015-12-30","1912","1921","1859","1865","16354600","1865","6985"
"2016-01-04","1849","1883","1827","1836","8655900","1836","6987"
"2016-01-05","1835","1874","1835","1847","5551200","1847","6988"
"2016-01-06","1857","1857","1795","1822","6296000","1822","6989"
"2016-01-07","1801","1839","1791","1801","6637100","1801","6990"
"2016-01-08","1790","1810","1781","1792","5429399","1792","6991"
"2016-01-12","1776","1779","1697","1697","7284899","1697","6993"
"2016-01-13","1730","1747","1716","1729","4789399","1729","6994"
"2016-01-14","1689","1717","1684","1715","5433399","1715","6995"
"2016-01-15","1732","1745","1693","1705","3539300","1705","6996"
"2016-01-18","1655","1672","1632","1655","4176100","1655","6997"
"2016-01-19","1639","1651","1603","1627","4776899","1627","6998"
"2016-01-20","1628","1630","1543","1546","6599600","1546","6999"
"2016-01-21","1536","1581","1499","1499","7544300","1499","7000"
"2016-01-22","1529","1610","1497","1596","8840600","1596","7001"
"2016-01-25","1660","1663","1600","1624","5996200","1624","7002"
"2016-01-26","1597","1626","1577","1608","2769300","1608","7003"
"2016-01-27","1645","1660","1627","1655","3443300","1655","7004"
"2016-01-28","1655","1655","1630","1630","2428900","1630","7005"
"2016-01-29","1635","1665","1500","1595","9927299","1595","7006"
"2016-02-01","1584","1584","1489","1494","8430700","1494","7007"
"2016-02-02","1475","1529","1437","1517","5721100","1517","7008"
"2016-02-03","1487","1516","1483","1496","3369000","1496","7009"
"2016-02-04","1476","1495","1450","1468","4038400","1468","7010"
"2016-02-05","1450","1456","1402","1419","6290000","1419","7011"
"2016-02-08","1402","1427","1381","1417","4728300","1417","7012"
"2016-02-09","1363","1371","1335","1340","4590600","1340","7013"
"2016-02-10","1356","1372","1255","1291","6301399","1291","7014"
"2016-02-12","1223","1282","1215","1243","6330500","1243","7016"
"2016-02-15","1345","1401","1322","1381","5019500","1381","7017"
"2016-02-16","1390","1428","1364","1400","3880900","1400","7018"
"2016-02-17","1400","1421","1375","1393","3633699","1393","7019"
"2016-02-18","1430","1444","1396","1428","4242000","1428","7020"
"2016-02-19","1445","1445","1380","1394","3473000","1394","7021"
"2016-02-22","1380","1402","1370","1391","2786300","1391","7022"
"2016-02-23","1403","1424","1396","1403","3204000","1403","7023"
"2016-02-24","1376","1424","1367","1408","3155000","1408","7024"
"2016-02-25","1427","1456","1419","1429","4337100","1429","7025"
"2016-02-26","1434","1450","1424","1429","2450500","1429","7026"
"2016-02-29","1445","1460","1416","1437","4849700","1437","7027"
"2016-03-01","1431","1449","1423","1431","2535100","1431","7028"
"2016-03-02","1460","1475","1450","1460","2260500","1460","7029"
"2016-03-03","1472","1519","1466","1510","4367500","1510","7030"
"2016-03-04","1508","1528","1498","1517","2913699","1517","7031"
"2016-03-07","1510","1534","1508","1514","2173300","1514","7032"
"2016-03-08","1510","1544","1509","1536","3756000","1536","7033"
"2016-03-09","1517","1518","1484","1503","3478600","1503","7034"
"2016-03-10","1503","1517","1489","1509","2334300","1509","7035"
"2016-03-11","1485","1515","1485","1504","3032500","1504","7036"
"2016-03-14","1520","1545","1512","1537","2419800","1537","7037"
"2016-03-15","1533","1544","1517","1536","3232199","1536","7038"
"2016-03-16","1525","1535","1515","1524","1940500","1524","7039"
"2016-03-17","1532","1542","1503","1509","2789500","1509","7040"
"2016-03-18","1500","1515","1471","1486","4484700","1486","7041"
"2016-03-22","1500","1525","1500","1525","3468800","1525","7043"
"2016-03-23","1525","1547","1508","1519","2553800","1519","7044"
"2016-03-24","1506","1527","1487","1523","3062699","1523","7045"
"2016-03-25","1536","1546","1523","1544","3181100","1544","7046"
"2016-03-28","1540","1547","1520","1540","2032099","1540","7047"
"2016-03-29","1521","1542","1518","1532","2217100","1532","7048"
"2016-03-30","1531","1531","1511","1515","2255400","1515","7049"
"2016-03-31","1510","1526","1500","1502","4605899","1502","7050"
"2016-04-01","1486","1500","1449","1452","3099900","1452","7051"
"2016-04-04","1450","1505","1447","1483","2963000","1483","7052"
"2016-04-05","1473","1487","1439","1447","2481400","1447","7053"
"2016-04-06","1442","1492","1441","1478","4311200","1478","7054"
"2016-04-07","1474","1485","1441","1452","3431100","1452","7055"
"2016-04-08","1423","1450","1406","1430","5104100","1430","7056"
"2016-04-11","1443","1454","1426","1448","2954300","1448","7057"
"2016-04-12","1442","1480","1440","1475","2510699","1475","7058"
"2016-04-13","1494","1529","1492","1513","3565300","1513","7059"
"2016-04-14","1528","1542","1519","1537","3124500","1537","7060"
"2016-04-15","1513","1537","1508","1532","2288800","1532","7061"
"2016-04-18","1485","1525","1484","1508","3134199","1508","7062"
"2016-04-19","1540","1550","1528","1539","2182800","1539","7063"
"2016-04-20","1539","1547","1529","1537","1980099","1537","7064"
"2016-04-21","1546","1555","1533","1551","3220800","1551","7065"
"2016-04-22","1529","1579","1529","1550","5016100","1550","7066"
"2016-04-25","1565","1592","1553","1591","4383800","1591","7067"
"2016-04-26","1579","1587","1546","1559","3124600","1559","7068"
"2016-04-27","1559","1584","1540","1559","17377701","1559","7069"
"2016-04-28","1568","1596","1474","1485","6747899","1485","7070"
"2016-05-02","1420","1448","1417","1447","2888600","1447","7072"
"2016-05-06","1442","1457","1413","1423","3080800","1423","7076"
"2016-05-09","1425","1437","1416","1421","1612800","1421","7077"
"2016-05-10","1408","1438","1406","1436","2619300","1436","7078"
"2016-05-11","1446","1462","1432","1436","1683000","1436","7079"
"2016-05-12","1418","1443","1413","1441","1745900","1441","7080"
"2016-05-13","1414","1430","1403","1407","2390400","1407","7081"
"2016-05-16","1400","1425","1383","1411","2368600","1411","7082"
"2016-05-17","1404","1413","1395","1409","2566900","1409","7083"
"2016-05-18","1400","1421","1397","1411","2044099","1411","7084"
"2016-05-19","1418","1427","1401","1409","2153699","1409","7085"
"2016-05-20","1400","1419","1398","1419","1544099","1419","7086"
"2016-05-23","1407","1420","1399","1419","1556800","1419","7087"
"2016-05-24","1412","1424","1406","1418","1848200","1418","7088"
"2016-05-25","1426","1430","1415","1421","2549100","1421","7089"
"2016-05-26","1422","1438","1420","1422","1461300","1422","7090"
"2016-05-27","1420","1424","1408","1415","1117200","1415","7091"
"2016-05-30","1418","1424","1411","1421","1169800","1421","7092"
"2016-05-31","1414","1434","1414","1433","2088600","1433","7093"
"2016-06-01","1417","1426","1414","1417","1550000","1417","7094"
"2016-06-02","1409","1415","1385","1389","1875000","1389","7095"
"2016-06-03","1384","1391","1370","1388","1405500","1388","7096"
"2016-06-06","1374","1378","1360","1375","1632800","1375","7097"
"2016-06-07","1375","1389","1375","1384","1865099","1384","7098"
"2016-06-08","1390","1394","1363","1381","1669300","1381","7099"
"2016-06-09","1372","1380","1340","1343","1903200","1343","7100"
"2016-06-10","1339","1340","1319","1336","2272400","1336","7101"
"2016-06-13","1301","1304","1282","1282","1859400","1282","7102"
"2016-06-14","1278","1280","1261","1271","1876000","1271","7103"
"2016-06-15","1273","1303","1271","1290","1941900","1290","7104"
"2016-06-16","1287","1296","1250","1257","2066300","1257","7105"
"2016-06-17","1267","1273","1250","1263","2403000","1263","7106"
"2016-06-20","1283","1299","1280","1290","1541500","1290","7107"
"2016-06-21","1279","1302","1267","1296","1277400","1296","7108"
"2016-06-22","1296","1297","1277","1286","1655000","1286","7109"
"2016-06-23","1261","1295","1259","1290","1959700","1290","7110"
"2016-06-24","1284","1298","1170","1184","4453700","1184","7111"
"2016-06-27","1240","1243","1206","1224","5023899","1224","7112"
"2016-06-28","1201","1226","1186","1218","2905500","1218","7113"
"2016-06-29","1240","1261","1231","1255","2302600","1255","7114"
"2016-06-30","1262","1274","1240","1241","2631500","1241","7115"
"2016-07-01","1298","1299","1256","1261","4081600","1261","7116"
"2016-07-04","1253","1262","1243","1259","925700","1259","7117"
"2016-07-05","1248","1252","1233","1244","1183900","1244","7118"
"2016-07-06","1222","1223","1201","1217","1818200","1217","7119"
"2016-07-07","1217","1239","1209","1213","2007500","1213","7120"
"2016-07-08","1215","1223","1188","1188","1609099","1188","7121"
"2016-07-11","1225","1242","1215","1229","1786500","1229","7122"
"2016-07-12","1250","1278","1247","1268","1731099","1268","7123"
"2016-07-13","1300","1309","1288","1292","2146900","1292","7124"
"2016-07-14","1281","1290","1263","1277","1661500","1277","7125"
"2016-07-15","1267","1295","1263","1280","2520400","1280","7126"
"2016-07-19","1290","1295","1266","1280","2125600","1280","7128"
"2016-07-20","1280","1288","1267","1286","1620400","1286","7129"
"2016-07-21","1299","1305","1284","1294","1814500","1294","7130"
"2016-07-22","1279","1301","1276","1301","2000300","1301","7131"
"2016-07-25","1319","1349","1319","1337","3634699","1337","7132"
"2016-07-26","1340","1346","1317","1343","3099100","1343","7133"
"2016-07-27","1350","1364","1332","1344","3707600","1344","7134"
