6301 ÉRÉ}Éc,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1210","1250","1200","1200","11334000","1200","1"
"1989-02-20","1230","1230","1190","1210","4491000","1210","2"
"1989-02-21","1220","1280","1200","1270","17043000","1270","3"
"1989-02-22","1270","1310","1260","1260","16183000","1260","4"
"1989-02-23","1280","1340","1270","1330","21822000","1330","5"
"1989-02-27","1310","1330","1290","1290","5751000","1290","7"
"1989-02-28","1290","1310","1230","1280","3320000","1280","8"
"1989-03-01","1260","1290","1210","1210","4144000","1210","9"
"1989-03-02","1220","1250","1190","1210","3790000","1210","10"
"1989-03-03","1230","1250","1210","1220","2441000","1220","11"
"1989-03-06","1210","1220","1200","1220","1495000","1220","12"
"1989-03-07","1200","1250","1200","1230","1523000","1230","13"
"1989-03-08","1250","1270","1240","1240","2697000","1240","14"
"1989-03-09","1240","1260","1220","1220","2717000","1220","15"
"1989-03-10","1220","1230","1190","1190","2047000","1190","16"
"1989-03-13","1200","1200","1150","1160","2052000","1160","17"
"1989-03-14","1160","1200","1160","1200","1842000","1200","18"
"1989-03-15","1220","1230","1200","1230","2921000","1230","19"
"1989-03-16","1250","1320","1240","1300","15547000","1300","20"
"1989-03-17","1320","1350","1320","1340","15248000","1340","21"
"1989-03-20","1320","1370","1320","1370","13413000","1370","22"
"1989-03-22","1380","1410","1350","1370","22632000","1370","24"
"1989-03-23","1370","1410","1360","1380","12332000","1380","25"
"1989-03-24","1370","1370","1340","1360","3286000","1360","26"
"1989-03-27","1350","1360","1290","1320","4576000","1320","27"
"1989-03-28","1320","1350","1300","1340","12253000","1340","28"
"1989-03-29","1360","1440","1340","1440","15177000","1440","29"
"1989-03-30","1440","1450","1380","1440","11512000","1440","30"
"1989-03-31","1420","1450","1400","1410","6953000","1410","31"
"1989-04-03","1420","1420","1390","1410","3277000","1410","32"
"1989-04-04","1410","1430","1390","1400","4833000","1400","33"
"1989-04-05","1410","1420","1390","1400","4226000","1400","34"
"1989-04-06","1380","1400","1350","1380","2900000","1380","35"
"1989-04-07","1360","1450","1360","1390","5645000","1390","36"
"1989-04-10","1410","1410","1370","1380","2597000","1380","37"
"1989-04-11","1380","1400","1360","1380","2754000","1380","38"
"1989-04-12","1370","1410","1360","1360","3495000","1360","39"
"1989-04-13","1380","1390","1310","1320","3749000","1320","40"
"1989-04-14","1340","1360","1320","1350","1220000","1350","41"
"1989-04-17","1360","1370","1350","1360","1400000","1360","42"
"1989-04-18","1350","1380","1340","1350","2454000","1350","43"
"1989-04-19","1350","1350","1320","1330","1717000","1330","44"
"1989-04-20","1310","1330","1310","1320","1183000","1320","45"
"1989-04-21","1290","1320","1280","1320","1948000","1320","46"
"1989-04-24","1320","1320","1270","1300","1315000","1300","47"
"1989-04-25","1290","1350","1290","1340","2086000","1340","48"
"1989-04-26","1350","1400","1340","1380","9003000","1380","49"
"1989-04-27","1390","1390","1360","1370","2302000","1370","50"
"1989-04-28","1370","1390","1360","1360","2130000","1360","51"
"1989-05-01","1370","1380","1360","1360","943000","1360","52"
"1989-05-02","1370","1380","1360","1360","1311000","1360","53"
"1989-05-08","1380","1390","1370","1370","2336000","1370","57"
"1989-05-09","1360","1390","1360","1360","2246000","1360","58"
"1989-05-10","1350","1380","1350","1360","2051000","1360","59"
"1989-05-11","1380","1390","1360","1390","3499000","1390","60"
"1989-05-12","1370","1380","1350","1370","2718000","1370","61"
"1989-05-15","1380","1380","1340","1340","653000","1340","62"
"1989-05-16","1340","1370","1340","1350","1909000","1350","63"
"1989-05-17","1350","1360","1340","1360","989000","1360","64"
"1989-05-18","1340","1350","1330","1340","927000","1340","65"
"1989-05-19","1320","1340","1320","1320","1507000","1320","66"
"1989-05-22","1320","1330","1310","1320","1398000","1320","67"
"1989-05-23","1300","1300","1250","1270","2600000","1270","68"
"1989-05-24","1270","1320","1270","1320","2012000","1320","69"
"1989-05-25","1320","1340","1300","1310","2618000","1310","70"
"1989-05-26","1330","1370","1320","1350","4721000","1350","71"
"1989-05-29","1380","1400","1360","1370","6825000","1370","72"
"1989-05-30","1390","1390","1330","1350","4787000","1350","73"
"1989-05-31","1350","1360","1330","1360","2277000","1360","74"
"1989-06-01","1360","1380","1320","1330","3125000","1330","75"
"1989-06-02","1310","1330","1280","1300","2642000","1300","76"
"1989-06-05","1280","1290","1260","1260","1204000","1260","77"
"1989-06-06","1220","1270","1220","1240","3228000","1240","78"
"1989-06-07","1240","1260","1240","1250","1606000","1250","79"
"1989-06-08","1260","1290","1260","1270","1488000","1270","80"
"1989-06-09","1280","1300","1260","1260","1098000","1260","81"
"1989-06-12","1260","1260","1240","1250","629000","1250","82"
"1989-06-13","1260","1260","1220","1220","1673000","1220","83"
"1989-06-14","1240","1260","1230","1260","1578000","1260","84"
"1989-06-15","1290","1290","1220","1230","2280000","1230","85"
"1989-06-16","1250","1270","1230","1250","1066000","1250","86"
"1989-06-19","1230","1250","1230","1250","1141000","1250","87"
"1989-06-20","1250","1250","1230","1250","1170000","1250","88"
