6305 “ú—§Œš‹@,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1700","1720","1660","1670","321000","1670","1"
"1989-02-20","1650","1690","1620","1690","352000","1690","2"
"1989-02-21","1690","1690","1660","1670","156000","1670","3"
"1989-02-22","1670","1690","1670","1690","159000","1690","4"
"1989-02-23","1680","1700","1680","1690","216000","1690","5"
"1989-02-27","1700","1730","1680","1730","192000","1730","7"
"1989-02-28","1730","1730","1670","1670","166000","1670","8"
"1989-03-01","1720","1730","1670","1690","87000","1690","9"
"1989-03-02","1670","1710","1670","1700","101000","1700","10"
"1989-03-03","1700","1700","1680","1700","102000","1700","11"
"1989-03-06","1670","1700","1650","1700","102000","1700","12"
"1989-03-07","1660","1720","1660","1720","108000","1720","13"
"1989-03-08","1720","1750","1700","1750","269000","1750","14"
"1989-03-09","1750","1840","1750","1840","739000","1840","15"
"1989-03-10","1850","1900","1830","1830","1091000","1830","16"
"1989-03-13","1850","1900","1810","1900","708000","1900","17"
"1989-03-14","1890","1890","1830","1830","431000","1830","18"
"1989-03-15","1860","1880","1850","1850","398000","1850","19"
"1989-03-16","1850","1850","1810","1850","171000","1850","20"
"1989-03-17","1850","1870","1830","1840","158000","1840","21"
"1989-03-20","1850","1870","1820","1830","133000","1830","22"
"1989-03-22","1860","1900","1850","1890","371000","1890","24"
"1989-03-23","1890","1920","1870","1920","533000","1920","25"
"1989-03-24","1920","1950","1870","1900","359000","1900","26"
"1989-03-27","1890","1900","1890","1890","152000","1890","27"
"1989-03-28","1920","2000","1890","1990","329000","1990","28"
"1989-03-29","2030","2190","2000","2160","676000","2160","29"
"1989-03-30","2160","2190","2120","2160","604000","2160","30"
"1989-03-31","2160","2170","2100","2150","293000","2150","31"
"1989-04-03","2190","2190","2060","2060","438000","2060","32"
"1989-04-04","2080","2100","2040","2050","193000","2050","33"
"1989-04-05","2050","2050","1970","2000","416000","2000","34"
"1989-04-06","1990","2000","1970","1990","106000","1990","35"
"1989-04-07","1990","1990","1950","1980","118000","1980","36"
"1989-04-10","1950","1950","1870","1880","229000","1880","37"
"1989-04-11","1880","1970","1880","1950","178000","1950","38"
"1989-04-12","1950","1980","1950","1950","165000","1950","39"
"1989-04-13","1950","1970","1910","1910","372000","1910","40"
"1989-04-14","1880","1900","1840","1850","174000","1850","41"
"1989-04-17","1880","1910","1850","1900","389000","1900","42"
"1989-04-18","1870","1890","1860","1890","237000","1890","43"
"1989-04-19","1880","1880","1850","1850","153000","1850","44"
"1989-04-20","1860","1900","1850","1900","260000","1900","45"
"1989-04-21","1850","1890","1840","1860","68000","1860","46"
"1989-04-24","1850","1860","1850","1850","105000","1850","47"
"1989-04-25","1840","1890","1840","1880","125000","1880","48"
"1989-04-26","1900","1920","1870","1920","461000","1920","49"
"1989-04-27","1930","2020","1930","2020","734000","2020","50"
"1989-04-28","2050","2050","2000","2030","790000","2030","51"
"1989-05-01","2040","2080","2030","2070","382000","2070","52"
"1989-05-02","2080","2080","2050","2050","322000","2050","53"
"1989-05-08","2070","2080","2010","2030","99000","2030","57"
"1989-05-09","2020","2030","1960","1970","155000","1970","58"
"1989-05-10","1950","2000","1950","1950","132000","1950","59"
"1989-05-11","1960","1980","1950","1980","68000","1980","60"
"1989-05-12","1960","1980","1940","1980","88000","1980","61"
"1989-05-15","1980","1990","1960","1960","143000","1960","62"
"1989-05-16","1960","2060","1960","2060","470000","2060","63"
"1989-05-17","2060","2070","1990","2040","346000","2040","64"
"1989-05-18","2000","2040","1980","1980","200000","1980","65"
"1989-05-19","1970","2050","1970","1970","252000","1970","66"
"1989-05-22","2000","2040","1980","1980","196000","1980","67"
"1989-05-23","1990","1990","1940","1950","339000","1950","68"
"1989-05-24","1960","2000","1960","1980","129000","1980","69"
"1989-05-25","2030","2050","1980","2000","220000","2000","70"
"1989-05-26","2040","2140","2030","2140","1465000","2140","71"
"1989-05-29","2170","2200","2110","2140","1349000","2140","72"
"1989-05-30","2140","2140","2080","2080","318000","2080","73"
"1989-05-31","2040","2140","2040","2100","198000","2100","74"
"1989-06-01","2130","2140","2060","2060","343000","2060","75"
"1989-06-02","2060","2100","2020","2020","226000","2020","76"
"1989-06-05","2100","2100","2020","2020","78000","2020","77"
"1989-06-06","2010","2080","1980","2010","124000","2010","78"
"1989-06-07","2020","2150","1960","2120","266000","2120","79"
"1989-06-08","2080","2090","2000","2030","139000","2030","80"
"1989-06-09","2050","2080","2030","2050","246000","2050","81"
"1989-06-12","2040","2090","2030","2080","297000","2080","82"
"1989-06-13","2070","2070","2030","2030","273000","2030","83"
"1989-06-14","2030","2080","2020","2050","269000","2050","84"
"1989-06-15","2050","2050","2000","2000","282000","2000","85"
"1989-06-16","2040","2040","1980","2000","447000","2000","86"
"1989-06-19","1990","2020","1990","2020","300000","2020","87"
"1989-06-20","2040","2120","2030","2110","450000","2110","88"
"1989-06-21","2130","2140","2090","2120","723000","2120","89"
"1989-06-22","2100","2130","2080","2100","242000","2100","90"
"1989-06-23","2100","2150","2090","2150","484000","2150","91"
"1989-06-26","2120","2150","2100","2140","202000","2140","92"
"1989-06-27","2120","2140","2070","2140","234000","2140","93"
"1989-06-28","2100","2120","2080","2090","447000","2090","94"
"1989-06-29","2090","2260","2090","2230","2185000","2230","95"
"1989-06-30","2220","2230","2170","2200","921000","2200","96"
"1989-07-03","2120","2250","2120","2250","636000","2250","97"
"1989-07-04","2250","2290","2210","2250","1598000","2250","98"
"1989-07-05","2270","2270","2220","2230","575000","2230","99"
"1989-07-06","2220","2230","2170","2210","267000","2210","100"
"1989-07-07","2210","2220","2190","2190","153000","2190","101"
"1989-07-10","2220","2220","2180","2200","182000","2200","102"
"1989-07-11","2190","2190","2150","2180","100000","2180","103"
"1989-07-12","2150","2190","2150","2190","177000","2190","104"
"1989-07-13","2190","2190","2160","2160","101000","2160","105"
"1989-07-14","2180","2180","2160","2160","97000","2160","106"
"1989-07-17","2160","2180","2130","2130","123000","2130","107"
"1989-07-18","2130","2140","2110","2120","204000","2120","108"
"1989-07-19","2120","2120","2100","2110","263000","2110","109"
"1989-07-20","2130","2220","2120","2210","506000","2210","110"
"1989-07-21","2210","2220","2180","2180","389000","2180","111"
"1989-07-24","2220","2250","2180","2220","105000","2220","112"
"1989-07-25","2200","2220","2180","2200","159000","2200","113"
"1989-07-26","2180","2200","2180","2200","255000","2200","114"
"1989-07-27","2190","2250","2190","2240","469000","2240","115"
"1989-07-28","2270","2270","2230","2250","545000","2250","116"
"1989-07-31","2260","2260","2230","2240","136000","2240","117"
"1989-08-01","2240","2250","2210","2250","175000","2250","118"
"1989-08-02","2250","2280","2240","2280","466000","2280","119"
"1989-08-03","2280","2280","2220","2220","330000","2220","120"
"1989-08-04","2260","2260","2230","2250","149000","2250","121"
"1989-08-07","2240","2240","2230","2230","56000","2230","122"
"1989-08-08","2240","2250","2210","2210","248000","2210","123"
"1989-08-09","2230","2250","2220","2230","153000","2230","124"
"1989-08-10","2250","2270","2220","2230","245000","2230","125"
"1989-08-11","2220","2260","2220","2250","169000","2250","126"
"1989-08-14","2270","2320","2260","2290","501000","2290","127"
"1989-08-15","2290","2320","2280","2320","377000","2320","128"
"1989-08-16","2320","2340","2300","2330","425000","2330","129"
"1989-08-17","2330","2370","2320","2350","773000","2350","130"
"1989-08-18","2340","2350","2320","2330","328000","2330","131"
"1989-08-21","2350","2450","2340","2450","880000","2450","132"
"1989-08-22","2430","2440","2400","2430","723000","2430","133"
"1989-08-23","2470","2480","2420","2430","1120000","2430","134"
"1989-08-24","2450","2450","2380","2450","368000","2450","135"
"1989-08-25","2420","2440","2390","2390","349000","2390","136"
"1989-08-28","2400","2420","2350","2350","230000","2350","137"
"1989-08-29","2380","2380","2310","2350","444000","2350","138"
"1989-08-30","2340","2350","2300","2330","409000","2330","139"
"1989-08-31","2320","2440","2320","2400","499000","2400","140"
"1989-09-01","2390","2400","2350","2390","289000","2390","141"
"1989-09-04","2420","2420","2360","2400","191000","2400","142"
"1989-09-05","2350","2390","2350","2370","125000","2370","143"
"1989-09-06","2410","2410","2310","2370","354000","2370","144"
"1989-09-07","2360","2380","2300","2370","254000","2370","145"
"1989-09-08","2330","2380","2330","2380","330000","2380","146"
"1989-09-11","2360","2360","2330","2360","121000","2360","147"
"1989-09-12","2360","2360","2340","2360","232000","2360","148"
