6367 É_ÉCÉLÉìçHã∆,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1100","1110","1080","1080","677000","1080","1"
"1989-02-20","1110","1110","1060","1070","1756000","1070","2"
"1989-02-21","1050","1050","1030","1050","1693000","1050","3"
"1989-02-22","1040","1070","1030","1030","1130000","1030","4"
"1989-02-23","1050","1090","1040","1070","1273000","1070","5"
"1989-02-27","1090","1130","1080","1110","2491000","1110","7"
"1989-02-28","1120","1140","1110","1130","2801000","1130","8"
"1989-03-01","1150","1160","1130","1150","2884000","1150","9"
"1989-03-02","1210","1220","1170","1170","9247000","1170","10"
"1989-03-03","1220","1240","1190","1210","11199000","1210","11"
"1989-03-06","1230","1240","1200","1220","6707000","1220","12"
"1989-03-07","1200","1210","1180","1200","1764000","1200","13"
"1989-03-08","1200","1260","1190","1260","12931000","1260","14"
"1989-03-09","1280","1290","1240","1240","6951000","1240","15"
"1989-03-10","1250","1260","1210","1240","1231000","1240","16"
"1989-03-13","1220","1260","1220","1240","1364000","1240","17"
"1989-03-14","1220","1250","1210","1220","1243000","1220","18"
"1989-03-15","1220","1250","1220","1230","1477000","1230","19"
"1989-03-16","1240","1250","1220","1230","1212000","1230","20"
"1989-03-17","1230","1240","1190","1190","865000","1190","21"
"1989-03-20","1180","1230","1170","1230","630000","1230","22"
"1989-03-22","1210","1220","1170","1180","948000","1180","24"
"1989-03-23","1190","1200","1180","1190","714000","1190","25"
"1989-03-24","1190","1210","1180","1180","690000","1180","26"
"1989-03-27","1180","1210","1180","1180","1096000","1180","27"
"1989-03-28","1200","1230","1180","1200","902000","1200","28"
"1989-03-29","1220","1270","1220","1250","2181000","1250","29"
"1989-03-30","1260","1290","1240","1260","4057000","1260","30"
"1989-03-31","1270","1270","1230","1250","995000","1250","31"
"1989-04-03","1270","1270","1230","1250","771000","1250","32"
"1989-04-04","1230","1320","1230","1290","5255000","1290","33"
"1989-04-05","1310","1410","1290","1360","10790000","1360","34"
"1989-04-06","1380","1480","1360","1480","14016000","1480","35"
"1989-04-07","1500","1520","1480","1480","11258000","1480","36"
"1989-04-10","1500","1500","1440","1470","1597000","1470","37"
"1989-04-11","1450","1530","1450","1490","5702000","1490","38"
"1989-04-12","1510","1520","1460","1470","2081000","1470","39"
"1989-04-13","1460","1480","1420","1420","1577000","1420","40"
"1989-04-14","1420","1510","1410","1450","4194000","1450","41"
"1989-04-17","1480","1650","1460","1640","12874000","1640","42"
"1989-04-18","1620","1690","1600","1630","19698000","1630","43"
"1989-04-19","1650","1750","1630","1720","15970000","1720","44"
"1989-04-20","1700","1750","1660","1710","7537000","1710","45"
"1989-04-21","1680","1720","1650","1660","5734000","1660","46"
"1989-04-24","1650","1660","1570","1590","2125000","1590","47"
"1989-04-25","1610","1720","1600","1710","5818000","1710","48"
"1989-04-26","1700","1770","1690","1760","13923000","1760","49"
"1989-04-27","1760","1760","1700","1700","1557000","1700","50"
"1989-04-28","1730","1740","1690","1710","2345000","1710","51"
"1989-05-01","1710","1710","1660","1680","1002000","1680","52"
"1989-05-02","1680","1830","1660","1830","7113000","1830","53"
"1989-05-08","1820","1840","1780","1790","9209000","1790","57"
"1989-05-09","1820","1830","1760","1780","6449000","1780","58"
"1989-05-10","1780","1810","1770","1790","4442000","1790","59"
"1989-05-11","1790","1850","1780","1820","5493000","1820","60"
"1989-05-12","1790","1810","1780","1800","1653000","1800","61"
"1989-05-15","1780","1810","1750","1780","1736000","1780","62"
"1989-05-16","1790","1840","1790","1820","5492000","1820","63"
"1989-05-17","1820","1840","1770","1780","5610000","1780","64"
"1989-05-18","1770","1790","1750","1770","1302000","1770","65"
"1989-05-19","1760","1780","1740","1750","1330000","1750","66"
"1989-05-22","1750","1750","1690","1690","1634000","1690","67"
"1989-05-23","1660","1670","1610","1650","2447000","1650","68"
"1989-05-24","1650","1720","1650","1720","1228000","1720","69"
"1989-05-25","1700","1760","1700","1730","1223000","1730","70"
"1989-05-26","1720","1740","1700","1720","834000","1720","71"
"1989-05-29","1780","1780","1740","1770","2543000","1770","72"
"1989-05-30","1770","1780","1740","1750","916000","1750","73"
"1989-05-31","1740","1860","1740","1840","8529000","1840","74"
"1989-06-01","1850","1940","1810","1890","14193000","1890","75"
"1989-06-02","1930","2030","1930","1970","23361000","1970","76"
"1989-06-05","1960","2000","1910","1930","4789000","1930","77"
"1989-06-06","1900","1990","1890","1930","5946000","1930","78"
"1989-06-07","1960","1980","1890","1900","1975000","1900","79"
"1989-06-08","1930","1950","1910","1920","1955000","1920","80"
"1989-06-09","1920","1960","1910","1950","2574000","1950","81"
"1989-06-12","1920","1940","1910","1940","852000","1940","82"
"1989-06-13","1920","1940","1870","1880","2576000","1880","83"
"1989-06-14","1900","2030","1850","2030","9733000","2030","84"
"1989-06-15","2020","2070","1950","1980","10486000","1980","85"
"1989-06-16","2030","2030","1970","2010","3361000","2010","86"
"1989-06-19","2010","2050","1980","2000","2243000","2000","87"
"1989-06-20","2000","2090","1980","2090","10681000","2090","88"
"1989-06-21","2060","2090","2020","2050","6696000","2050","89"
"1989-06-22","2020","2030","2000","2000","1271000","2000","90"
"1989-06-23","1980","2020","1960","2010","2700000","2010","91"
"1989-06-26","2000","2010","1960","1960","1650000","1960","92"
"1989-06-27","1990","2010","1960","1960","1893000","1960","93"
"1989-06-28","1970","1980","1930","1930","1402000","1930","94"
"1989-06-29","1930","1940","1880","1880","941000","1880","95"
"1989-06-30","1850","1880","1840","1880","1007000","1880","96"
"1989-07-03","1850","1900","1840","1890","650000","1890","97"
"1989-07-04","1920","1920","1870","1870","664000","1870","98"
"1989-07-05","1860","2040","1850","2040","11179000","2040","99"
"1989-07-06","2030","2080","2020","2040","14852000","2040","100"
"1989-07-07","2040","2050","1980","2000","2374000","2000","101"
"1989-07-10","2000","2000","1940","1950","1252000","1950","102"
"1989-07-11","1930","1980","1930","1950","674000","1950","103"
"1989-07-12","1950","1980","1950","1950","765000","1950","104"
"1989-07-13","1950","2010","1950","1970","2301000","1970","105"
"1989-07-14","1960","1970","1950","1960","811000","1960","106"
"1989-07-17","1960","1970","1940","1940","312000","1940","107"
"1989-07-18","1940","1950","1910","1930","674000","1930","108"
"1989-07-19","1940","1950","1920","1940","348000","1940","109"
"1989-07-20","1930","2000","1930","1980","1506000","1980","110"
"1989-07-21","1970","2000","1970","1970","2141000","1970","111"
"1989-07-24","1970","1980","1940","1950","625000","1950","112"
"1989-07-25","1940","1970","1930","1940","764000","1940","113"
"1989-07-26","1930","1980","1920","1930","1249000","1930","114"
"1989-07-27","1940","1940","1920","1940","1491000","1940","115"
"1989-07-28","1940","1950","1930","1930","645000","1930","116"
"1989-07-31","1940","1950","1920","1930","711000","1930","117"
"1989-08-01","1930","1950","1910","1930","348000","1930","118"
"1989-08-02","1920","1950","1920","1940","408000","1940","119"
"1989-08-03","1920","1940","1890","1940","1025000","1940","120"
"1989-08-04","1930","1930","1910","1910","214000","1910","121"
"1989-08-07","1900","1910","1900","1900","208000","1900","122"
"1989-08-08","1900","1940","1890","1890","737000","1890","123"
"1989-08-09","1900","1920","1880","1900","555000","1900","124"
"1989-08-10","1890","1910","1890","1890","431000","1890","125"
"1989-08-11","1890","1890","1860","1860","506000","1860","126"
"1989-08-14","1860","1900","1860","1890","630000","1890","127"
"1989-08-15","1920","1940","1860","1870","1189000","1870","128"
"1989-08-16","1890","1930","1870","1920","715000","1920","129"
"1989-08-17","1920","1950","1900","1920","661000","1920","130"
"1989-08-18","1940","1940","1900","1900","529000","1900","131"
"1989-08-21","1960","1960","1910","1910","355000","1910","132"
"1989-08-22","1920","1950","1920","1940","766000","1940","133"
"1989-08-23","1960","1970","1940","1960","1033000","1960","134"
"1989-08-24","1960","1960","1920","1920","244000","1920","135"
"1989-08-25","1920","1940","1890","1930","600000","1930","136"
"1989-08-28","1930","1930","1860","1900","363000","1900","137"
"1989-08-29","1900","1900","1870","1890","409000","1890","138"
"1989-08-30","1890","1890","1850","1850","665000","1850","139"
"1989-08-31","1840","1870","1820","1850","501000","1850","140"
"1989-09-01","1820","1850","1810","1830","342000","1830","141"
"1989-09-04","1820","1860","1820","1860","216000","1860","142"
"1989-09-05","1880","1880","1830","1830","362000","1830","143"
"1989-09-06","1820","1820","1780","1800","969000","1800","144"
"1989-09-07","1790","1800","1770","1770","291000","1770","145"
"1989-09-08","1750","1770","1730","1730","622000","1730","146"
"1989-09-11","1760","1800","1760","1800","314000","1800","147"
"1989-09-12","1820","1830","1790","1800","436000","1800","148"
"1989-09-13","1800","1870","1790","1830","600000","1830","149"
"1989-09-14","1850","1860","1800","1820","1239000","1820","150"
"1989-09-18","1840","1840","1830","1840","145000","1840","152"
"1989-09-19","1840","1860","1820","1860","871000","1860","153"
"1989-09-20","1850","1850","1810","1810","751000","1810","154"
"1989-09-21","1840","1840","1820","1840","235000","1840","155"
"1989-09-22","1830","1840","1800","1800","656000","1800","156"
"1989-09-25","1840","1860","1820","1830","492000","1830","157"
"1989-09-26","1850","1860","1800","1860","254000","1860","158"
"1989-09-27","1860","1860","1820","1830","307000","1830","159"
"1989-09-28","1860","1870","1840","1850","362000","1850","160"
"1989-09-29","1840","1860","1830","1840","338000","1840","161"
"1989-10-02","1850","1870","1850","1870","1304000","1870","162"
"1989-10-03","1890","1910","1870","1890","576000","1890","163"
"1989-10-04","1900","1970","1890","1960","1981000","1960","164"
"1989-10-05","1950","1950","1910","1930","767000","1930","165"
"1989-10-06","1920","1920","1890","1900","412000","1900","166"
"1989-10-09","1900","1920","1880","1920","501000","1920","167"
"1989-10-11","1910","1920","1870","1890","460000","1890","169"
"1989-10-12","1880","1880","1850","1850","224000","1850","170"
"1989-10-13","1850","1930","1850","1930","974000","1930","171"
"1989-10-16","1890","1930","1870","1890","574000","1890","172"
"1989-10-17","1920","1930","1900","1910","353000","1910","173"
"1989-10-18","1940","1940","1910","1910","464000","1910","174"
"1989-10-19","1920","2000","1920","1990","2708000","1990","175"
"1989-10-20","1990","1990","1950","1980","887000","1980","176"
"1989-10-23","1960","1970","1930","1930","434000","1930","177"
"1989-10-24","1950","1950","1910","1910","375000","1910","178"
"1989-10-25","1950","1950","1890","1890","291000","1890","179"
"1989-10-26","1890","1920","1870","1910","595000","1910","180"
"1989-10-27","1890","1890","1830","1850","1559000","1850","181"
"1989-10-30","1860","1860","1820","1820","461000","1820","182"
"1989-10-31","1830","1890","1820","1880","381000","1880","183"
"1989-11-01","1900","1930","1880","1890","550000","1890","184"
"1989-11-02","1910","1920","1890","1910","621000","1910","185"
"1989-11-06","1920","1930","1870","1900","133000","1900","187"
"1989-11-07","1890","1900","1860","1880","374000","1880","188"
"1989-11-08","1870","1910","1860","1900","552000","1900","189"
"1989-11-09","1900","1900","1850","1870","1406000","1870","190"
"1989-11-10","1870","1900","1870","1890","591000","1890","191"
"1989-11-13","1900","1920","1870","1880","633000","1880","192"
"1989-11-14","1890","1930","1890","1920","791000","1920","193"
"1989-11-15","1920","1920","1880","1910","924000","1910","194"
"1989-11-16","1920","1920","1870","1900","735000","1900","195"
"1989-11-17","1880","1900","1870","1880","414000","1880","196"
"1989-11-20","1880","1900","1860","1880","146000","1880","197"
"1989-11-21","1900","1900","1870","1880","506000","1880","198"
"1989-11-22","1910","1920","1890","1900","1032000","1900","199"
"1989-11-24","1930","1960","1910","1950","1532000","1950","200"
"1989-11-27","1950","1950","1900","1900","803000","1900","201"
