6471 ì˙ñ{ê∏çH,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","950","965","945","950","1490000","950","1"
"1989-02-20","952","953","943","951","929000","951","2"
"1989-02-21","941","948","940","945","922000","945","3"
"1989-02-22","940","942","926","938","1864000","938","4"
"1989-02-23","932","979","931","979","3865000","979","5"
"1989-02-27","980","1010","970","979","6524000","979","7"
"1989-02-28","989","994","956","970","1375000","970","8"
"1989-03-01","972","980","951","970","1774000","970","9"
"1989-03-02","969","974","955","965","1661000","965","10"
"1989-03-03","970","1020","970","988","10554000","988","11"
"1989-03-06","999","1000","980","980","2254000","980","12"
"1989-03-07","980","998","975","980","1537000","980","13"
"1989-03-08","999","999","977","977","2364000","977","14"
"1989-03-09","987","990","977","978","1026000","978","15"
"1989-03-10","984","998","978","994","1831000","994","16"
"1989-03-13","997","997","980","990","964000","990","17"
"1989-03-14","984","984","967","973","1096000","973","18"
"1989-03-15","975","990","970","990","2509000","990","19"
"1989-03-16","994","1020","991","1000","5416000","1000","20"
"1989-03-17","1010","1050","1000","1030","11873000","1030","21"
"1989-03-20","1010","1030","985","985","2640000","985","22"
"1989-03-22","1000","1010","985","994","2045000","994","24"
"1989-03-23","994","1000","975","987","1866000","987","25"
"1989-03-24","977","987","961","970","2340000","970","26"
"1989-03-27","970","994","959","960","2070000","960","27"
"1989-03-28","982","990","961","971","1267000","971","28"
"1989-03-29","989","990","976","980","2283000","980","29"
"1989-03-30","1000","1050","993","1050","5005000","1050","30"
"1989-03-31","1050","1060","1030","1050","7989000","1050","31"
"1989-04-03","1070","1090","1050","1090","11259000","1090","32"
"1989-04-04","1130","1140","1090","1090","15784000","1090","33"
"1989-04-05","1100","1110","1070","1090","6150000","1090","34"
"1989-04-06","1070","1070","1050","1060","2295000","1060","35"
"1989-04-07","1060","1080","1060","1070","2712000","1070","36"
"1989-04-10","1060","1080","1040","1040","1459000","1040","37"
"1989-04-11","1050","1070","1030","1060","1989000","1060","38"
"1989-04-12","1070","1090","1060","1060","2757000","1060","39"
"1989-04-13","1060","1080","1050","1050","1672000","1050","40"
"1989-04-14","1050","1070","1040","1070","1997000","1070","41"
"1989-04-17","1070","1070","1050","1060","1045000","1060","42"
"1989-04-18","1050","1070","1040","1040","1387000","1040","43"
"1989-04-19","1050","1070","1040","1050","2637000","1050","44"
"1989-04-20","1070","1080","1030","1040","3360000","1040","45"
"1989-04-21","1050","1070","1040","1050","2919000","1050","46"
"1989-04-24","1060","1070","1040","1050","1861000","1050","47"
"1989-04-25","1050","1090","1050","1090","3352000","1090","48"
"1989-04-26","1090","1110","1070","1070","6162000","1070","49"
"1989-04-27","1130","1150","1110","1130","14676000","1130","50"
"1989-04-28","1140","1140","1110","1130","3977000","1130","51"
"1989-05-01","1120","1130","1110","1110","1779000","1110","52"
"1989-05-02","1120","1130","1110","1130","2974000","1130","53"
"1989-05-08","1110","1130","1110","1120","2182000","1120","57"
"1989-05-09","1100","1120","1100","1100","2920000","1100","58"
"1989-05-10","1090","1110","1080","1090","1606000","1090","59"
"1989-05-11","1100","1120","1090","1120","1497000","1120","60"
"1989-05-12","1100","1110","1080","1080","1808000","1080","61"
"1989-05-15","1080","1100","1070","1090","629000","1090","62"
"1989-05-16","1090","1090","1070","1070","1458000","1070","63"
"1989-05-17","1090","1100","1080","1090","1251000","1090","64"
"1989-05-18","1090","1100","1070","1080","1313000","1080","65"
"1989-05-19","1060","1100","1060","1100","1185000","1100","66"
"1989-05-22","1100","1100","1070","1070","1325000","1070","67"
"1989-05-23","1080","1090","1050","1070","1316000","1070","68"
"1989-05-24","1050","1080","1050","1060","1114000","1060","69"
"1989-05-25","1060","1100","1060","1080","1354000","1080","70"
"1989-05-26","1100","1100","1070","1100","2180000","1100","71"
"1989-05-29","1100","1100","1080","1090","1213000","1090","72"
"1989-05-30","1080","1090","1070","1070","1664000","1070","73"
"1989-05-31","1070","1150","1070","1150","5416000","1150","74"
"1989-06-01","1150","1150","1110","1120","4059000","1120","75"
"1989-06-02","1130","1130","1090","1110","2924000","1110","76"
"1989-06-05","1090","1120","1090","1100","1283000","1100","77"
"1989-06-06","1080","1100","1060","1060","1842000","1060","78"
"1989-06-07","1090","1120","1070","1070","2830000","1070","79"
"1989-06-08","1100","1110","1090","1110","4054000","1110","80"
"1989-06-09","1110","1140","1090","1110","5644000","1110","81"
"1989-06-12","1090","1110","1080","1090","2303000","1090","82"
"1989-06-13","1100","1140","1090","1100","9527000","1100","83"
"1989-06-14","1120","1140","1110","1130","5503000","1130","84"
"1989-06-15","1140","1170","1130","1140","17319000","1140","85"
"1989-06-16","1160","1170","1130","1130","6714000","1130","86"
"1989-06-19","1130","1150","1120","1140","1580000","1140","87"
"1989-06-20","1150","1200","1150","1170","14277000","1170","88"
"1989-06-21","1180","1190","1160","1160","5167000","1160","89"
"1989-06-22","1170","1170","1140","1140","1993000","1140","90"
"1989-06-23","1150","1160","1140","1140","1293000","1140","91"
"1989-06-26","1140","1150","1130","1130","1004000","1130","92"
"1989-06-27","1130","1140","1120","1140","1382000","1140","93"
"1989-06-28","1120","1130","1090","1110","1453000","1110","94"
"1989-06-29","1120","1120","1080","1080","841000","1080","95"
"1989-06-30","1100","1130","1070","1130","1164000","1130","96"
"1989-07-03","1090","1110","1090","1110","691000","1110","97"
"1989-07-04","1110","1110","1090","1110","813000","1110","98"
"1989-07-05","1110","1110","1090","1100","813000","1100","99"
"1989-07-06","1100","1110","1090","1090","802000","1090","100"
"1989-07-07","1100","1110","1090","1110","734000","1110","101"
"1989-07-10","1110","1120","1100","1110","712000","1110","102"
"1989-07-11","1120","1120","1100","1110","882000","1110","103"
"1989-07-12","1110","1120","1090","1090","1051000","1090","104"
"1989-07-13","1100","1100","1090","1090","598000","1090","105"
"1989-07-14","1100","1110","1090","1090","564000","1090","106"
"1989-07-17","1090","1090","1070","1080","802000","1080","107"
"1989-07-18","1080","1090","1070","1080","487000","1080","108"
"1989-07-19","1070","1090","1070","1080","394000","1080","109"
"1989-07-20","1090","1090","1080","1080","1077000","1080","110"
"1989-07-21","1100","1100","1080","1080","1317000","1080","111"
"1989-07-24","1100","1110","1090","1100","957000","1100","112"
"1989-07-25","1110","1110","1080","1090","1473000","1090","113"
"1989-07-26","1100","1100","1080","1080","1229000","1080","114"
"1989-07-27","1100","1110","1090","1090","2145000","1090","115"
"1989-07-28","1110","1110","1090","1090","1465000","1090","116"
"1989-07-31","1100","1120","1100","1120","1363000","1120","117"
"1989-08-01","1110","1120","1100","1110","1338000","1110","118"
"1989-08-02","1110","1120","1090","1090","1068000","1090","119"
"1989-08-03","1110","1110","1090","1100","825000","1100","120"
"1989-08-04","1090","1110","1090","1090","282000","1090","121"
"1989-08-07","1110","1130","1100","1110","1993000","1110","122"
"1989-08-08","1130","1130","1110","1110","1126000","1110","123"
"1989-08-09","1120","1120","1110","1120","456000","1120","124"
"1989-08-10","1110","1120","1090","1090","841000","1090","125"
"1989-08-11","1110","1110","1090","1090","644000","1090","126"
"1989-08-14","1110","1150","1100","1140","3811000","1140","127"
"1989-08-15","1140","1140","1120","1120","609000","1120","128"
"1989-08-16","1120","1140","1120","1140","970000","1140","129"
"1989-08-17","1150","1170","1150","1160","4321000","1160","130"
"1989-08-18","1160","1160","1140","1160","1383000","1160","131"
"1989-08-21","1150","1160","1140","1150","1226000","1150","132"
"1989-08-22","1140","1150","1130","1150","888000","1150","133"
"1989-08-23","1150","1160","1140","1140","1881000","1140","134"
"1989-08-24","1150","1150","1130","1140","1066000","1140","135"
"1989-08-25","1150","1150","1130","1140","954000","1140","136"
"1989-08-28","1150","1150","1110","1110","1569000","1110","137"
"1989-08-29","1110","1130","1110","1130","776000","1130","138"
"1989-08-30","1140","1140","1100","1100","700000","1100","139"
"1989-08-31","1120","1120","1100","1120","579000","1120","140"
"1989-09-01","1140","1140","1090","1090","1002000","1090","141"
"1989-09-04","1110","1120","1090","1100","486000","1100","142"
"1989-09-05","1120","1120","1100","1110","512000","1110","143"
"1989-09-06","1110","1120","1090","1100","600000","1100","144"
"1989-09-07","1100","1120","1080","1080","914000","1080","145"
"1989-09-08","1080","1100","1080","1100","789000","1100","146"
"1989-09-11","1090","1110","1080","1090","268000","1090","147"
"1989-09-12","1100","1120","1090","1120","611000","1120","148"
"1989-09-13","1110","1130","1110","1130","710000","1130","149"
"1989-09-14","1130","1130","1100","1120","868000","1120","150"
"1989-09-18","1100","1130","1100","1130","864000","1130","152"
"1989-09-19","1120","1130","1110","1130","585000","1130","153"
"1989-09-20","1120","1150","1120","1150","1230000","1150","154"
"1989-09-21","1150","1170","1140","1150","4481000","1150","155"
"1989-09-22","1170","1180","1150","1160","3952000","1160","156"
"1989-09-25","1170","1170","1130","1140","1488000","1140","157"
"1989-09-26","1160","1160","1140","1160","1623000","1160","158"
"1989-09-27","1170","1220","1160","1190","7202000","1190","159"
"1989-09-28","1200","1210","1180","1180","3949000","1180","160"
"1989-09-29","1200","1220","1190","1210","4981000","1210","161"
"1989-10-02","1230","1240","1210","1220","4129000","1220","162"
"1989-10-03","1240","1240","1220","1220","4188000","1220","163"
"1989-10-04","1240","1280","1230","1280","13004000","1280","164"
"1989-10-05","1280","1290","1260","1270","4052000","1270","165"
"1989-10-06","1270","1270","1240","1250","2030000","1250","166"
"1989-10-09","1250","1280","1250","1280","1827000","1280","167"
"1989-10-11","1280","1280","1250","1270","1800000","1270","169"
"1989-10-12","1270","1270","1230","1260","1942000","1260","170"
"1989-10-13","1250","1250","1220","1230","2435000","1230","171"
"1989-10-16","1190","1200","1180","1180","1429000","1180","172"
"1989-10-17","1200","1220","1180","1190","2305000","1190","173"
"1989-10-18","1210","1240","1200","1220","1573000","1220","174"
"1989-10-19","1230","1240","1220","1240","1049000","1240","175"
"1989-10-20","1260","1270","1240","1240","2354000","1240","176"
"1989-10-23","1250","1260","1240","1260","2354000","1260","177"
"1989-10-24","1250","1260","1240","1250","1800000","1250","178"
"1989-10-25","1250","1260","1230","1230","1466000","1230","179"
"1989-10-26","1240","1260","1240","1260","2058000","1260","180"
"1989-10-27","1280","1280","1260","1280","2826000","1280","181"
"1989-10-30","1280","1280","1260","1270","1669000","1270","182"
"1989-10-31","1280","1350","1270","1340","11911000","1340","183"
"1989-11-01","1360","1370","1350","1350","8555000","1350","184"
"1989-11-02","1360","1360","1310","1330","3423000","1330","185"
"1989-11-06","1330","1350","1320","1340","3130000","1340","187"
"1989-11-07","1320","1340","1290","1340","3265000","1340","188"
"1989-11-08","1340","1340","1320","1330","2876000","1330","189"
"1989-11-09","1330","1380","1320","1370","7280000","1370","190"
"1989-11-10","1390","1420","1380","1420","13912000","1420","191"
"1989-11-13","1410","1420","1380","1400","3909000","1400","192"
"1989-11-14","1380","1400","1370","1380","2854000","1380","193"
"1989-11-15","1380","1430","1380","1420","8223000","1420","194"
"1989-11-16","1450","1450","1410","1420","5693000","1420","195"
"1989-11-17","1430","1440","1420","1440","5253000","1440","196"
"1989-11-20","1410","1420","1380","1390","2189000","1390","197"
"1989-11-21","1330","1350","1300","1330","6178000","1330","198"
"1989-11-22","1330","1330","1280","1290","2875000","1290","199"
"1989-11-24","1290","1340","1280","1340","3500000","1340","200"
"1989-11-27","1320","1330","1300","1300","1381000","1300","201"
"1989-11-28","1290","1320","1280","1320","2105000","1320","202"
"1989-11-29","1290","1300","1270","1290","1742000","1290","203"
"1989-11-30","1270","1340","1270","1340","3047000","1340","204"
"1989-12-01","1330","1330","1300","1320","2250000","1320","205"
"1989-12-04","1300","1300","1280","1300","2438000","1300","206"
"1989-12-05","1300","1380","1290","1370","8161000","1370","207"
"1989-12-06","1350","1420","1350","1410","11329000","1410","208"
"1989-12-07","1420","1460","1410","1440","16321000","1440","209"
"1989-12-08","1430","1440","1400","1420","3848000","1420","210"
"1989-12-11","1410","1430","1400","1400","2701000","1400","211"
"1989-12-12","1400","1430","1370","1400","1309000","1400","212"
"1989-12-13","1400","1400","1370","1390","1227000","1390","213"
"1989-12-14","1400","1410","1380","1410","3792000","1410","214"
"1989-12-15","1400","1410","1390","1400","3333000","1400","215"
"1989-12-18","1390","1430","1390","1400","3648000","1400","216"
"1989-12-19","1400","1410","1360","1370","2156000","1370","217"
"1989-12-20","1370","1390","1340","1390","1038000","1390","218"
"1989-12-21","1390","1390","1350","1360","990000","1360","219"
"1989-12-22","1380","1380","1340","1360","815000","1360","220"
"1989-12-25","1370","1370","1340","1370","791000","1370","221"
"1989-12-26","1370","1380","1340","1360","818000","1360","222"
"1989-12-27","1380","1380","1340","1360","1321000","1360","223"
"1989-12-28","1370","1400","1360","1390","3440000","1390","224"
"1989-12-29","1390","1390","1360","1380","961000","1380","225"
"1990-01-04","1400","1400","1360","1380","1703000","1380","228"
"1990-01-05","1380","1400","1360","1360","1945000","1360","229"
"1990-01-08","1380","1380","1350","1370","964000","1370","230"
"1990-01-09","1350","1360","1340","1360","806000","1360","231"
"1990-01-10","1350","1350","1320","1320","1000000","1320","232"
"1990-01-11","1330","1340","1310","1340","1020000","1340","233"
"1990-01-12","1310","1320","1280","1290","1032000","1290","234"
"1990-01-16","1250","1260","1230","1250","751000","1250","236"
"1990-01-17","1260","1270","1240","1250","1157000","1250","237"
"1990-01-18","1270","1280","1250","1270","659000","1270","238"
"1990-01-19","1260","1260","1240","1240","858000","1240","239"
"1990-01-22","1260","1290","1250","1280","1122000","1280","240"
"1990-01-23","1300","1320","1280","1300","1497000","1300","241"
"1990-01-24","1300","1300","1270","1280","990000","1280","242"
"1990-01-25","1300","1310","1280","1300","514000","1300","243"
"1990-01-26","1300","1300","1250","1270","999000","1270","244"
"1990-01-29","1290","1300","1250","1270","2331000","1270","245"
"1990-01-30","1270","1270","1230","1230","682000","1230","246"
"1990-01-31","1250","1270","1240","1260","630000","1260","247"
"1990-02-01","1260","1270","1250","1250","409000","1250","248"
