6479 ミネベアミツミ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1250","1260","1210","1210","8419000","1210","1"
"1989-02-20","1230","1240","1210","1230","1235000","1230","2"
"1989-02-21","1230","1230","1200","1200","1084000","1200","3"
"1989-02-22","1200","1220","1200","1220","737000","1220","4"
"1989-02-23","1200","1220","1180","1210","1953000","1210","5"
"1989-02-27","1180","1200","1160","1190","1947000","1190","7"
"1989-02-28","1170","1200","1170","1180","1069000","1180","8"
"1989-03-01","1200","1230","1180","1200","3031000","1200","9"
"1989-03-02","1220","1230","1190","1200","630000","1200","10"
"1989-03-03","1220","1230","1200","1230","3235000","1230","11"
"1989-03-06","1230","1230","1190","1210","344000","1210","12"
"1989-03-07","1190","1210","1190","1190","1539000","1190","13"
"1989-03-08","1190","1220","1190","1210","1900000","1210","14"
"1989-03-09","1220","1220","1190","1190","555000","1190","15"
"1989-03-10","1190","1200","1180","1180","743000","1180","16"
"1989-03-13","1180","1200","1180","1200","394000","1200","17"
"1989-03-14","1190","1200","1190","1200","1042000","1200","18"
"1989-03-15","1190","1200","1180","1200","1579000","1200","19"
"1989-03-16","1190","1200","1180","1190","857000","1190","20"
"1989-03-17","1200","1200","1170","1190","2434000","1190","21"
"1989-03-20","1180","1190","1170","1180","1023000","1180","22"
"1989-03-22","1180","1190","1160","1180","738000","1180","24"
"1989-03-23","1190","1220","1180","1220","1451000","1220","25"
"1989-03-24","1210","1210","1190","1190","403000","1190","26"
"1989-03-27","1190","1200","1160","1190","1666000","1190","27"
"1989-03-28","1190","1190","1160","1180","941000","1180","28"
"1989-03-29","1180","1190","1160","1190","1472000","1190","29"
"1989-03-30","1190","1220","1180","1200","1015000","1200","30"
"1989-03-31","1210","1210","1190","1210","637000","1210","31"
"1989-04-03","1210","1230","1200","1220","1256000","1220","32"
"1989-04-04","1210","1310","1210","1300","10034000","1300","33"
"1989-04-05","1300","1320","1270","1310","5983000","1310","34"
"1989-04-06","1300","1300","1250","1250","1303000","1250","35"
"1989-04-07","1250","1280","1250","1280","1396000","1280","36"
"1989-04-10","1280","1280","1250","1250","659000","1250","37"
"1989-04-11","1250","1270","1230","1250","720000","1250","38"
"1989-04-12","1270","1280","1250","1250","878000","1250","39"
"1989-04-13","1270","1290","1240","1270","2900000","1270","40"
"1989-04-14","1280","1280","1260","1270","1316000","1270","41"
"1989-04-17","1270","1270","1250","1270","421000","1270","42"
"1989-04-18","1250","1260","1240","1260","580000","1260","43"
"1989-04-19","1250","1260","1230","1230","1086000","1230","44"
"1989-04-20","1250","1270","1230","1250","675000","1250","45"
"1989-04-21","1250","1260","1240","1260","635000","1260","46"
"1989-04-24","1250","1260","1230","1240","611000","1240","47"
"1989-04-25","1240","1270","1240","1250","907000","1250","48"
"1989-04-26","1230","1250","1220","1240","756000","1240","49"
"1989-04-27","1240","1270","1240","1250","1698000","1250","50"
"1989-04-28","1260","1260","1230","1230","614000","1230","51"
"1989-05-01","1250","1250","1230","1240","388000","1240","52"
"1989-05-02","1250","1250","1240","1240","381000","1240","53"
"1989-05-08","1260","1260","1230","1230","320000","1230","57"
"1989-05-09","1240","1240","1220","1240","294000","1240","58"
"1989-05-10","1220","1230","1150","1180","3841000","1180","59"
"1989-05-11","1160","1180","1150","1170","1627000","1170","60"
"1989-05-12","1160","1170","1160","1170","765000","1170","61"
"1989-05-15","1160","1180","1160","1160","481000","1160","62"
"1989-05-16","1180","1180","1160","1180","448000","1180","63"
"1989-05-17","1170","1180","1150","1170","456000","1170","64"
"1989-05-18","1160","1180","1150","1150","693000","1150","65"
"1989-05-19","1150","1160","1120","1140","765000","1140","66"
"1989-05-22","1140","1150","1130","1150","527000","1150","67"
"1989-05-23","1150","1150","1130","1150","534000","1150","68"
"1989-05-24","1140","1140","1130","1130","527000","1130","69"
"1989-05-25","1140","1150","1130","1150","216000","1150","70"
"1989-05-26","1150","1150","1130","1130","547000","1130","71"
"1989-05-29","1150","1150","1130","1140","546000","1140","72"
"1989-05-30","1140","1150","1130","1140","477000","1140","73"
"1989-05-31","1130","1180","1130","1180","527000","1180","74"
"1989-06-01","1200","1200","1170","1170","537000","1170","75"
"1989-06-02","1180","1190","1150","1150","217000","1150","76"
"1989-06-05","1140","1180","1130","1130","204000","1130","77"
"1989-06-06","1130","1150","1130","1140","453000","1140","78"
"1989-06-07","1140","1150","1120","1130","496000","1130","79"
"1989-06-08","1140","1170","1140","1170","234000","1170","80"
"1989-06-09","1170","1170","1140","1140","190000","1140","81"
"1989-06-12","1150","1150","1140","1140","261000","1140","82"
"1989-06-13","1150","1150","1130","1130","215000","1130","83"
"1989-06-14","1140","1140","1110","1130","195000","1130","84"
"1989-06-15","1130","1140","1070","1120","825000","1120","85"
"1989-06-16","1140","1140","1090","1120","1028000","1120","86"
"1989-06-19","1110","1140","1100","1120","190000","1120","87"
"1989-06-20","1120","1140","1120","1120","305000","1120","88"
"1989-06-21","1130","1140","1120","1130","184000","1130","89"
"1989-06-22","1120","1130","1120","1130","428000","1130","90"
"1989-06-23","1140","1140","1120","1130","406000","1130","91"
"1989-06-26","1140","1140","1130","1130","262000","1130","92"
"1989-06-27","1130","1140","1120","1140","388000","1140","93"
"1989-06-28","1140","1140","1110","1110","275000","1110","94"
"1989-06-29","1120","1130","1100","1110","110000","1110","95"
"1989-06-30","1130","1130","1100","1110","224000","1110","96"
"1989-07-03","1100","1130","1090","1130","391000","1130","97"
"1989-07-04","1130","1140","1120","1140","166000","1140","98"
"1989-07-05","1130","1130","1110","1110","572000","1110","99"
"1989-07-06","1130","1130","1100","1110","394000","1110","100"
"1989-07-07","1110","1120","1100","1100","483000","1100","101"
"1989-07-10","1120","1120","1100","1120","393000","1120","102"
"1989-07-11","1140","1140","1120","1130","1744000","1130","103"
"1989-07-12","1140","1140","1110","1120","530000","1120","104"
"1989-07-13","1130","1130","1110","1130","405000","1130","105"
"1989-07-14","1120","1130","1110","1110","144000","1110","106"
"1989-07-17","1110","1120","1100","1110","202000","1110","107"
"1989-07-18","1100","1130","1100","1130","390000","1130","108"
"1989-07-19","1120","1130","1110","1120","473000","1120","109"
"1989-07-20","1140","1150","1130","1140","2389000","1140","110"
"1989-07-21","1160","1180","1150","1180","1558000","1180","111"
"1989-07-24","1190","1190","1160","1180","1163000","1180","112"
"1989-07-25","1190","1190","1160","1170","1757000","1170","113"
