6501 ì˙óßêªçÏèä,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1560","1570","1540","1540","7610000","1540","1"
"1989-02-20","1560","1570","1540","1540","4229000","1540","2"
"1989-02-21","1550","1570","1540","1560","5182000","1560","3"
"1989-02-22","1560","1630","1560","1630","8488000","1630","4"
"1989-02-23","1600","1670","1590","1640","13000000","1640","5"
"1989-02-27","1630","1680","1610","1640","9189000","1640","7"
"1989-02-28","1640","1680","1630","1650","15387000","1650","8"
"1989-03-01","1660","1680","1640","1670","11695000","1670","9"
"1989-03-02","1680","1700","1650","1670","13288000","1670","10"
"1989-03-03","1680","1690","1640","1650","7266000","1650","11"
"1989-03-06","1650","1650","1610","1610","2426000","1610","12"
"1989-03-07","1620","1620","1600","1610","3294000","1610","13"
"1989-03-08","1610","1620","1590","1590","3474000","1590","14"
"1989-03-09","1590","1600","1550","1560","3541000","1560","15"
"1989-03-10","1560","1570","1550","1570","3460000","1570","16"
"1989-03-13","1550","1560","1550","1560","2063000","1560","17"
"1989-03-14","1560","1580","1550","1570","4632000","1570","18"
"1989-03-15","1570","1600","1570","1600","10050000","1600","19"
"1989-03-16","1630","1640","1590","1600","7202000","1600","20"
"1989-03-17","1610","1620","1580","1600","3497000","1600","21"
"1989-03-20","1570","1570","1540","1540","4481000","1540","22"
"1989-03-22","1540","1550","1480","1500","7158000","1500","24"
"1989-03-23","1500","1530","1500","1530","4991000","1530","25"
"1989-03-24","1520","1530","1500","1530","6519000","1530","26"
"1989-03-27","1530","1530","1500","1520","6879000","1520","27"
"1989-03-28","1530","1580","1520","1580","7056000","1580","28"
"1989-03-29","1570","1580","1530","1560","6579000","1560","29"
"1989-03-30","1550","1550","1520","1530","5417000","1530","30"
"1989-03-31","1520","1540","1510","1510","6724000","1510","31"
"1989-04-03","1520","1540","1510","1520","6617000","1520","32"
"1989-04-04","1550","1560","1530","1550","6977000","1550","33"
"1989-04-05","1550","1580","1550","1570","7047000","1570","34"
"1989-04-06","1570","1580","1530","1530","6107000","1530","35"
"1989-04-07","1560","1570","1530","1540","10950000","1540","36"
"1989-04-10","1560","1570","1520","1530","5612000","1530","37"
"1989-04-11","1530","1560","1520","1540","5483000","1540","38"
"1989-04-12","1570","1590","1550","1570","7811000","1570","39"
"1989-04-13","1590","1590","1550","1550","5030000","1550","40"
"1989-04-14","1550","1560","1520","1550","4254000","1550","41"
"1989-04-17","1570","1580","1530","1530","2827000","1530","42"
"1989-04-18","1540","1550","1520","1520","4693000","1520","43"
"1989-04-19","1530","1540","1510","1510","3668000","1510","44"
"1989-04-20","1520","1540","1510","1530","2654000","1530","45"
"1989-04-21","1510","1520","1500","1500","2840000","1500","46"
"1989-04-24","1520","1520","1500","1510","2922000","1510","47"
"1989-04-25","1510","1530","1510","1520","3333000","1520","48"
"1989-04-26","1520","1530","1510","1520","2785000","1520","49"
"1989-04-27","1530","1530","1510","1530","4207000","1530","50"
"1989-04-28","1540","1560","1530","1540","4073000","1540","51"
"1989-05-01","1550","1580","1540","1570","3608000","1570","52"
"1989-05-02","1580","1620","1570","1620","9455000","1620","53"
"1989-05-08","1610","1620","1600","1620","5111000","1620","57"
"1989-05-09","1620","1660","1620","1660","20901000","1660","58"
"1989-05-10","1670","1670","1640","1650","9818000","1650","59"
"1989-05-11","1640","1640","1620","1630","3805000","1630","60"
"1989-05-12","1630","1640","1610","1610","5019000","1610","61"
"1989-05-15","1610","1620","1610","1620","1541000","1620","62"
"1989-05-16","1620","1660","1620","1660","8635000","1660","63"
"1989-05-17","1660","1670","1640","1660","7905000","1660","64"
"1989-05-18","1670","1680","1650","1650","7054000","1650","65"
"1989-05-19","1660","1690","1660","1680","10615000","1680","66"
"1989-05-22","1690","1730","1680","1730","25608000","1730","67"
"1989-05-23","1730","1730","1700","1710","16530000","1710","68"
"1989-05-24","1700","1710","1680","1690","6223000","1690","69"
"1989-05-25","1680","1710","1680","1700","4269000","1700","70"
"1989-05-26","1710","1710","1660","1660","4751000","1660","71"
"1989-05-29","1680","1690","1660","1660","12974000","1660","72"
"1989-05-30","1660","1670","1650","1650","3411000","1650","73"
"1989-05-31","1650","1700","1640","1700","9604000","1700","74"
"1989-06-01","1710","1740","1690","1690","29523000","1690","75"
"1989-06-02","1700","1710","1670","1690","11797000","1690","76"
"1989-06-05","1690","1700","1640","1650","4901000","1650","77"
"1989-06-06","1640","1640","1610","1610","5486000","1610","78"
"1989-06-07","1630","1640","1600","1600","3650000","1600","79"
"1989-06-08","1600","1620","1600","1610","2991000","1610","80"
"1989-06-09","1610","1620","1590","1600","2066000","1600","81"
"1989-06-12","1590","1590","1570","1580","2919000","1580","82"
"1989-06-13","1610","1610","1580","1580","2660000","1580","83"
"1989-06-14","1590","1620","1580","1600","3005000","1600","84"
"1989-06-15","1620","1620","1580","1590","2750000","1590","85"
"1989-06-16","1590","1600","1560","1590","3060000","1590","86"
"1989-06-19","1580","1630","1560","1620","1953000","1620","87"
"1989-06-20","1620","1640","1600","1610","6493000","1610","88"
"1989-06-21","1640","1650","1620","1640","7648000","1640","89"
"1989-06-22","1640","1650","1620","1630","2621000","1630","90"
"1989-06-23","1620","1630","1600","1620","3681000","1620","91"
"1989-06-26","1610","1620","1590","1610","1830000","1610","92"
"1989-06-27","1590","1600","1580","1590","4525000","1590","93"
"1989-06-28","1580","1590","1560","1580","7985000","1580","94"
"1989-06-29","1570","1590","1550","1560","2734000","1560","95"
"1989-06-30","1550","1560","1530","1540","3124000","1540","96"
"1989-07-03","1530","1590","1530","1570","1972000","1570","97"
"1989-07-04","1560","1630","1560","1620","5624000","1620","98"
"1989-07-05","1630","1670","1630","1650","12140000","1650","99"
"1989-07-06","1640","1650","1630","1650","4207000","1650","100"
