6503 ŽO•H“d‹@,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1070","1100","1070","1080","12555000","1080","1"
"1989-02-20","1090","1100","1080","1100","7908000","1100","2"
"1989-02-21","1090","1100","1080","1100","5810000","1100","3"
"1989-02-22","1090","1140","1090","1140","26602000","1140","4"
"1989-02-23","1130","1180","1130","1170","62197000","1170","5"
"1989-02-27","1150","1190","1140","1160","32413000","1160","7"
"1989-02-28","1170","1180","1140","1140","10937000","1140","8"
"1989-03-01","1150","1160","1100","1120","9751000","1120","9"
"1989-03-02","1120","1140","1100","1110","6858000","1110","10"
"1989-03-03","1130","1130","1080","1100","6388000","1100","11"
"1989-03-06","1100","1100","1080","1080","1784000","1080","12"
"1989-03-07","1080","1090","1070","1080","2566000","1080","13"
"1989-03-08","1100","1100","1070","1090","3664000","1090","14"
"1989-03-09","1070","1090","1060","1060","4544000","1060","15"
"1989-03-10","1060","1070","1050","1050","3071000","1050","16"
"1989-03-13","1050","1060","1050","1050","2111000","1050","17"
"1989-03-14","1060","1070","1050","1060","3427000","1060","18"
"1989-03-15","1080","1090","1070","1090","5056000","1090","19"
"1989-03-16","1110","1120","1090","1110","6764000","1110","20"
"1989-03-17","1120","1120","1090","1110","4692000","1110","21"
"1989-03-20","1070","1090","1060","1060","3376000","1060","22"
"1989-03-22","1060","1060","1020","1030","6288000","1030","24"
"1989-03-23","1020","1050","1020","1050","4084000","1050","25"
"1989-03-24","1040","1060","1030","1030","5772000","1030","26"
"1989-03-27","1040","1040","1030","1040","4698000","1040","27"
"1989-03-28","1060","1080","1030","1080","3752000","1080","28"
"1989-03-29","1080","1090","1060","1070","4884000","1070","29"
"1989-03-30","1070","1070","1050","1060","4856000","1060","30"
"1989-03-31","1060","1070","1060","1060","4246000","1060","31"
"1989-04-03","1060","1100","1050","1090","4120000","1090","32"
"1989-04-04","1100","1110","1090","1110","5120000","1110","33"
"1989-04-05","1120","1140","1110","1140","7929000","1140","34"
"1989-04-06","1130","1140","1100","1120","6150000","1120","35"
"1989-04-07","1120","1150","1110","1150","11472000","1150","36"
"1989-04-10","1150","1160","1110","1140","7531000","1140","37"
"1989-04-11","1120","1150","1120","1150","5256000","1150","38"
"1989-04-12","1160","1180","1160","1180","18970000","1180","39"
"1989-04-13","1180","1180","1130","1160","8383000","1160","40"
"1989-04-14","1150","1160","1130","1150","5914000","1150","41"
"1989-04-17","1150","1170","1140","1150","2854000","1150","42"
"1989-04-18","1150","1150","1130","1130","5129000","1130","43"
"1989-04-19","1130","1140","1110","1120","4259000","1120","44"
"1989-04-20","1120","1130","1110","1120","2938000","1120","45"
"1989-04-21","1100","1110","1090","1090","4220000","1090","46"
"1989-04-24","1080","1100","1070","1080","1901000","1080","47"
"1989-04-25","1080","1100","1080","1080","3661000","1080","48"
"1989-04-26","1080","1090","1070","1070","3294000","1070","49"
"1989-04-27","1080","1090","1070","1090","2638000","1090","50"
"1989-04-28","1100","1110","1080","1080","4429000","1080","51"
"1989-05-01","1090","1110","1080","1110","3519000","1110","52"
"1989-05-02","1110","1140","1100","1130","5487000","1130","53"
"1989-05-08","1130","1140","1120","1130","5862000","1130","57"
"1989-05-09","1130","1170","1130","1160","16258000","1160","58"
"1989-05-10","1180","1190","1140","1160","19290000","1160","59"
"1989-05-11","1160","1160","1140","1150","2758000","1150","60"
"1989-05-12","1150","1160","1120","1120","4409000","1120","61"
"1989-05-15","1140","1140","1120","1130","2360000","1130","62"
"1989-05-16","1150","1180","1140","1180","13665000","1180","63"
"1989-05-17","1180","1180","1150","1150","7277000","1150","64"
"1989-05-18","1170","1180","1150","1160","6471000","1160","65"
"1989-05-19","1160","1200","1160","1180","29735000","1180","66"
"1989-05-22","1190","1210","1180","1200","28633000","1200","67"
"1989-05-23","1210","1210","1170","1180","18685000","1180","68"
"1989-05-24","1180","1180","1160","1180","3981000","1180","69"
"1989-05-25","1180","1200","1160","1190","7787000","1190","70"
"1989-05-26","1200","1210","1180","1190","11136000","1190","71"
"1989-05-29","1190","1210","1180","1180","11075000","1180","72"
"1989-05-30","1180","1190","1170","1170","3100000","1170","73"
"1989-05-31","1180","1220","1170","1210","22192000","1210","74"
"1989-06-01","1220","1260","1200","1220","68551000","1220","75"
"1989-06-02","1230","1240","1180","1200","10721000","1200","76"
"1989-06-05","1190","1220","1170","1170","6381000","1170","77"
"1989-06-06","1150","1160","1140","1150","5857000","1150","78"
"1989-06-07","1170","1170","1140","1150","4893000","1150","79"
"1989-06-08","1170","1200","1160","1170","12758000","1170","80"
"1989-06-09","1170","1180","1150","1160","3513000","1160","81"
"1989-06-12","1160","1170","1150","1150","3442000","1150","82"
"1989-06-13","1160","1170","1140","1140","4771000","1140","83"
"1989-06-14","1150","1150","1140","1140","2322000","1140","84"
"1989-06-15","1160","1170","1120","1130","2398000","1130","85"
"1989-06-16","1130","1140","1100","1110","3307000","1110","86"
"1989-06-19","1110","1150","1100","1140","1458000","1140","87"
"1989-06-20","1140","1200","1140","1190","7453000","1190","88"
"1989-06-21","1200","1210","1170","1200","11117000","1200","89"
"1989-06-22","1220","1220","1190","1190","14453000","1190","90"
"1989-06-23","1190","1220","1180","1210","14476000","1210","91"
"1989-06-26","1210","1220","1190","1210","6999000","1210","92"
"1989-06-27","1200","1200","1170","1180","5964000","1180","93"
"1989-06-28","1180","1180","1140","1160","7491000","1160","94"
"1989-06-29","1150","1160","1140","1140","3024000","1140","95"
"1989-06-30","1130","1140","1120","1140","3882000","1140","96"
"1989-07-03","1120","1150","1120","1140","2447000","1140","97"
"1989-07-04","1150","1190","1140","1180","8897000","1180","98"
"1989-07-05","1180","1210","1180","1200","10756000","1200","99"
"1989-07-06","1180","1200","1180","1190","4773000","1190","100"
"1989-07-07","1180","1220","1180","1220","14198000","1220","101"
"1989-07-10","1210","1220","1180","1190","6977000","1190","102"
"1989-07-11","1190","1190","1180","1180","3571000","1180","103"
"1989-07-12","1180","1180","1160","1170","3844000","1170","104"
"1989-07-13","1180","1180","1160","1170","2659000","1170","105"
"1989-07-14","1160","1170","1160","1160","1952000","1160","106"
"1989-07-17","1160","1170","1150","1150","2306000","1150","107"
"1989-07-18","1150","1160","1150","1160","2983000","1160","108"
"1989-07-19","1160","1180","1150","1180","2447000","1180","109"
"1989-07-20","1180","1190","1170","1170","4479000","1170","110"
"1989-07-21","1170","1200","1160","1190","5514000","1190","111"
"1989-07-24","1190","1200","1170","1170","5509000","1170","112"
"1989-07-25","1170","1180","1150","1170","6822000","1170","113"
"1989-07-26","1180","1190","1160","1160","7790000","1160","114"
"1989-07-27","1180","1180","1160","1160","5569000","1160","115"
"1989-07-28","1160","1170","1150","1150","5598000","1150","116"
"1989-07-31","1170","1170","1160","1160","1562000","1160","117"
"1989-08-01","1160","1170","1150","1150","4240000","1150","118"
"1989-08-02","1150","1160","1140","1140","4866000","1140","119"
"1989-08-03","1140","1150","1130","1130","4360000","1130","120"
"1989-08-04","1130","1140","1130","1130","2775000","1130","121"
"1989-08-07","1140","1140","1130","1140","1764000","1140","122"
"1989-08-08","1140","1160","1140","1150","2778000","1150","123"
"1989-08-09","1150","1180","1140","1160","5738000","1160","124"
"1989-08-10","1150","1170","1150","1160","4685000","1160","125"
"1989-08-11","1180","1200","1160","1160","11290000","1160","126"
"1989-08-14","1170","1180","1160","1160","3511000","1160","127"
"1989-08-15","1170","1180","1160","1160","1557000","1160","128"
"1989-08-16","1170","1180","1160","1170","2702000","1170","129"
"1989-08-17","1160","1170","1150","1160","1728000","1160","130"
"1989-08-18","1160","1170","1150","1160","2469000","1160","131"
"1989-08-21","1170","1180","1160","1180","2202000","1180","132"
"1989-08-22","1170","1180","1160","1160","3585000","1160","133"
"1989-08-23","1160","1160","1140","1140","5487000","1140","134"
"1989-08-24","1140","1150","1130","1140","3458000","1140","135"
"1989-08-25","1140","1150","1130","1130","2567000","1130","136"
"1989-08-28","1130","1140","1120","1120","3792000","1120","137"
"1989-08-29","1120","1130","1100","1110","4778000","1110","138"
"1989-08-30","1110","1120","1090","1090","3473000","1090","139"
"1989-08-31","1090","1100","1070","1070","3883000","1070","140"
"1989-09-01","1080","1090","1070","1080","3016000","1080","141"
"1989-09-04","1090","1100","1080","1090","2032000","1090","142"
"1989-09-05","1100","1100","1090","1090","1439000","1090","143"
"1989-09-06","1100","1100","1070","1080","3505000","1080","144"
"1989-09-07","1070","1080","1050","1050","4096000","1050","145"
"1989-09-08","1040","1050","1040","1040","4338000","1040","146"
"1989-09-11","1040","1050","1040","1040","3461000","1040","147"
"1989-09-12","1050","1090","1040","1090","3874000","1090","148"
"1989-09-13","1090","1090","1070","1070","2111000","1070","149"
"1989-09-14","1080","1080","1060","1060","2575000","1060","150"
"1989-09-18","1070","1080","1060","1070","2312000","1070","152"
"1989-09-19","1070","1080","1060","1070","3380000","1070","153"
"1989-09-20","1070","1080","1050","1050","5546000","1050","154"
"1989-09-21","1070","1070","1050","1070","2344000","1070","155"
"1989-09-22","1060","1070","1050","1050","3785000","1050","156"
"1989-09-25","1050","1070","1050","1050","3466000","1050","157"
"1989-09-26","1070","1070","1050","1070","5091000","1070","158"
"1989-09-27","1070","1080","1050","1050","8228000","1050","159"
"1989-09-28","1060","1060","1050","1060","4307000","1060","160"
"1989-09-29","1080","1090","1060","1060","7721000","1060","161"
"1989-10-02","1080","1080","1070","1070","3239000","1070","162"
"1989-10-03","1080","1080","1050","1050","5839000","1050","163"
"1989-10-04","1050","1050","1020","1020","7119000","1020","164"
"1989-10-05","1020","1030","1020","1020","4585000","1020","165"
"1989-10-06","1030","1030","1010","1010","5282000","1010","166"
"1989-10-09","1030","1040","1020","1030","2940000","1030","167"
"1989-10-11","1050","1060","1030","1050","5600000","1050","169"
"1989-10-12","1050","1060","1030","1030","4001000","1030","170"
"1989-10-13","1040","1050","1030","1050","2401000","1050","171"
"1989-10-16","1020","1040","1020","1040","2545000","1040","172"
"1989-10-17","1050","1060","1050","1060","2908000","1060","173"
"1989-10-18","1060","1060","1050","1050","1537000","1050","174"
"1989-10-19","1060","1070","1050","1050","2015000","1050","175"
"1989-10-20","1070","1070","1040","1040","2984000","1040","176"
"1989-10-23","1050","1060","1050","1060","1742000","1060","177"
"1989-10-24","1060","1060","1030","1030","2255000","1030","178"
"1989-10-25","1040","1050","1030","1030","3255000","1030","179"
"1989-10-26","1040","1050","1030","1040","3602000","1040","180"
"1989-10-27","1050","1070","1040","1070","4317000","1070","181"
"1989-10-30","1070","1080","1050","1060","1130000","1060","182"
"1989-10-31","1060","1060","1050","1060","1438000","1060","183"
"1989-11-01","1060","1070","1050","1050","2237000","1050","184"
"1989-11-02","1060","1070","1050","1050","2884000","1050","185"
"1989-11-06","1050","1060","1050","1050","1506000","1050","187"
"1989-11-07","1050","1060","1030","1030","2695000","1030","188"
"1989-11-08","1030","1050","1030","1040","1562000","1040","189"
"1989-11-09","1040","1050","1030","1030","1385000","1030","190"
"1989-11-10","1040","1050","1030","1040","1927000","1040","191"
"1989-11-13","1040","1050","1030","1050","1317000","1050","192"
"1989-11-14","1050","1090","1040","1090","5181000","1090","193"
"1989-11-15","1080","1080","1060","1060","1777000","1060","194"
"1989-11-16","1060","1060","1040","1050","2643000","1050","195"
"1989-11-17","1050","1050","1030","1030","3101000","1030","196"
"1989-11-20","1050","1050","1040","1050","1910000","1050","197"
"1989-11-21","1050","1060","1030","1050","4001000","1050","198"
"1989-11-22","1050","1060","1040","1040","2127000","1040","199"
"1989-11-24","1060","1070","1050","1070","2662000","1070","200"
"1989-11-27","1070","1090","1060","1090","3602000","1090","201"
"1989-11-28","1090","1100","1060","1060","8349000","1060","202"
"1989-11-29","1080","1130","1060","1100","13640000","1100","203"
"1989-11-30","1110","1130","1100","1130","11969000","1130","204"
"1989-12-01","1130","1130","1100","1100","5997000","1100","205"
"1989-12-04","1120","1140","1110","1130","7311000","1130","206"
"1989-12-05","1140","1140","1120","1140","3540000","1140","207"
"1989-12-06","1130","1150","1120","1130","7493000","1130","208"
"1989-12-07","1130","1140","1110","1110","3929000","1110","209"
"1989-12-08","1120","1130","1110","1120","2776000","1120","210"
"1989-12-11","1110","1130","1110","1110","2305000","1110","211"
"1989-12-12","1110","1120","1100","1100","4319000","1100","212"
"1989-12-13","1110","1120","1100","1120","4062000","1120","213"
"1989-12-14","1120","1130","1110","1110","2688000","1110","214"
"1989-12-15","1120","1130","1100","1130","4371000","1130","215"
"1989-12-18","1120","1120","1110","1110","2687000","1110","216"
"1989-12-19","1110","1110","1090","1090","3638000","1090","217"
"1989-12-20","1110","1110","1090","1110","2261000","1110","218"
"1989-12-21","1110","1110","1080","1100","2232000","1100","219"
"1989-12-22","1100","1100","1070","1070","2160000","1070","220"
"1989-12-25","1080","1120","1070","1120","3794000","1120","221"
"1989-12-26","1130","1130","1120","1130","3610000","1130","222"
"1989-12-27","1130","1140","1110","1120","3889000","1120","223"
"1989-12-28","1120","1120","1110","1110","997000","1110","224"
"1989-12-29","1120","1120","1100","1100","1559000","1100","225"
"1990-01-04","1110","1150","1100","1150","5749000","1150","228"
"1990-01-05","1150","1150","1110","1130","6631000","1130","229"
"1990-01-08","1140","1140","1120","1130","1643000","1130","230"
"1990-01-09","1130","1140","1110","1110","1818000","1110","231"
"1990-01-10","1110","1120","1100","1100","1905000","1100","232"
"1990-01-11","1110","1120","1100","1100","1977000","1100","233"
"1990-01-12","1100","1110","1070","1070","3470000","1070","234"
"1990-01-16","1050","1060","1040","1060","2091000","1060","236"
"1990-01-17","1060","1070","1050","1060","2523000","1060","237"
"1990-01-18","1060","1080","1050","1060","1833000","1060","238"
"1990-01-19","1050","1060","1040","1050","2858000","1050","239"
"1990-01-22","1060","1090","1050","1090","1521000","1090","240"
"1990-01-23","1060","1100","1060","1080","2881000","1080","241"
"1990-01-24","1090","1110","1050","1050","3996000","1050","242"
"1990-01-25","1080","1110","1060","1090","4747000","1090","243"
"1990-01-26","1100","1140","1090","1100","9007000","1100","244"
"1990-01-29","1110","1120","1100","1120","1971000","1120","245"
"1990-01-30","1110","1120","1080","1090","2723000","1090","246"
"1990-01-31","1080","1100","1080","1100","1214000","1100","247"
"1990-02-01","1090","1110","1080","1110","1626000","1110","248"
"1990-02-02","1090","1100","1080","1080","1239000","1080","249"
"1990-02-05","1090","1100","1070","1070","1632000","1070","250"
"1990-02-06","1070","1080","1070","1070","1282000","1070","251"
"1990-02-07","1070","1090","1070","1070","2900000","1070","252"
"1990-02-08","1080","1080","1060","1060","1863000","1060","253"
"1990-02-09","1060","1070","1050","1050","1551000","1050","254"
"1990-02-13","1050","1070","1050","1050","1789000","1050","256"
"1990-02-14","1060","1070","1050","1060","1484000","1060","257"
"1990-02-15","1070","1110","1070","1090","1825000","1090","258"
"1990-02-16","1110","1110","1070","1100","1991000","1100","259"
"1990-02-19","1100","1100","1060","1080","1452000","1080","260"
"1990-02-20","1080","1100","1060","1080","1679000","1080","261"
"1990-02-21","1060","1070","1030","1030","2359000","1030","262"
"1990-02-22","1040","1050","1010","1030","2509000","1030","263"
"1990-02-23","1030","1040","1010","1030","2042000","1030","264"
"1990-02-26","990","999","951","994","3140000","994","265"
"1990-02-27","999","1030","990","1020","3574000","1020","266"
"1990-02-28","1030","1050","1020","1050","3174000","1050","267"
"1990-03-01","1030","1050","1020","1050","2576000","1050","268"
"1990-03-02","1030","1050","1020","1030","1776000","1030","269"
"1990-03-05","1030","1030","1010","1010","1406000","1010","270"
"1990-03-06","1010","1020","1010","1010","1218000","1010","271"
"1990-03-07","1020","1020","1000","1020","2087000","1020","272"
"1990-03-08","1000","1020","1000","1010","1760000","1010","273"
"1990-03-09","1010","1020","1000","1000","1825000","1000","274"
"1990-03-12","1000","1010","989","989","1889000","989","275"
"1990-03-13","980","980","965","965","1798000","965","276"
"1990-03-14","952","960","943","949","3117000","949","277"
"1990-03-15","939","955","939","949","3556000","949","278"
"1990-03-16","949","960","935","935","2099000","935","279"
"1990-03-19","931","935","890","900","2711000","900","280"
"1990-03-20","899","900","871","895","3668000","895","281"
"1990-03-22","825","863","825","840","3315000","840","283"
"1990-03-23","850","865","826","850","9595000","850","284"
"1990-03-26","860","905","855","905","6043000","905","285"
"1990-03-27","921","955","910","945","5551000","945","286"
"1990-03-28","935","953","930","950","7415000","950","287"
"1990-03-29","960","1030","960","1000","17882000","1000","288"
"1990-03-30","990","999","935","970","7878000","970","289"
"1990-04-02","930","948","880","890","5158000","890","290"
"1990-04-03","910","990","895","990","7808000","990","291"
"1990-04-04","1000","1020","948","960","12623000","960","292"
"1990-04-05","950","1000","931","1000","8407000","1000","293"
"1990-04-06","1020","1050","1000","1030","27891000","1030","294"
"1990-04-09","1040","1070","1020","1060","16033000","1060","295"
"1990-04-10","1030","1050","1020","1020","6613000","1020","296"
"1990-04-11","1040","1050","1000","1030","7564000","1030","297"
"1990-04-12","1030","1040","1000","1020","4420000","1020","298"
"1990-04-13","1000","1020","990","1000","4068000","1000","299"
"1990-04-16","980","1010","980","983","2458000","983","300"
"1990-04-17","975","983","964","980","4117000","980","301"
"1990-04-18","970","1010","970","1000","3441000","1000","302"
"1990-04-19","1000","1020","981","1000","6610000","1000","303"
"1990-04-20","981","998","980","990","2326000","990","304"
"1990-04-23","980","990","966","970","2088000","970","305"
"1990-04-24","969","989","966","989","2445000","989","306"
"1990-04-25","988","988","966","970","2302000","970","307"
"1990-04-26","971","994","970","971","3406000","971","308"
"1990-04-27","975","980","969","970","2652000","970","309"
