6506 à¿êÏìdã@,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","831","840","830","832","668000","832","1"
"1989-02-20","835","835","830","835","549000","835","2"
"1989-02-21","828","851","828","850","708000","850","3"
"1989-02-22","850","874","845","874","2240000","874","4"
"1989-02-23","872","917","865","904","8389000","904","5"
"1989-02-27","907","932","897","913","5861000","913","7"
"1989-02-28","918","925","901","904","3503000","904","8"
"1989-03-01","920","937","914","923","5685000","923","9"
"1989-03-02","940","970","930","970","9747000","970","10"
"1989-03-03","980","997","952","958","14662000","958","11"
"1989-03-06","958","958","932","938","1306000","938","12"
"1989-03-07","935","954","931","944","1822000","944","13"
"1989-03-08","954","965","944","944","1799000","944","14"
"1989-03-09","934","958","934","944","862000","944","15"
"1989-03-10","942","954","933","953","967000","953","16"
"1989-03-13","945","945","930","940","437000","940","17"
"1989-03-14","945","950","932","949","1013000","949","18"
"1989-03-15","958","958","945","955","802000","955","19"
"1989-03-16","960","960","937","945","891000","945","20"
"1989-03-17","945","950","936","945","666000","945","21"
"1989-03-20","930","932","919","921","589000","921","22"
"1989-03-22","920","920","869","903","744000","903","24"
"1989-03-23","911","916","901","916","429000","916","25"
"1989-03-24","915","918","906","915","493000","915","26"
"1989-03-27","915","925","905","910","1364000","910","27"
"1989-03-28","949","974","945","969","4622000","969","28"
"1989-03-29","1070","1070","1070","1070","11353000","1070","29"
"1989-03-30","1110","1140","1070","1100","21441000","1100","30"
"1989-03-31","1080","1260","1060","1190","26112000","1190","31"
"1989-04-03","1210","1240","1180","1190","13067000","1190","32"
"1989-04-04","1190","1210","1160","1160","5381000","1160","33"
"1989-04-05","1180","1230","1150","1200","7455000","1200","34"
"1989-04-06","1190","1270","1180","1250","20495000","1250","35"
"1989-04-07","1270","1280","1210","1210","8268000","1210","36"
"1989-04-10","1210","1230","1200","1210","1461000","1210","37"
"1989-04-11","1190","1220","1180","1190","1696000","1190","38"
"1989-04-12","1210","1230","1180","1190","1531000","1190","39"
"1989-04-13","1210","1220","1140","1160","2481000","1160","40"
"1989-04-14","1160","1210","1150","1200","5176000","1200","41"
"1989-04-17","1220","1220","1160","1180","1876000","1180","42"
"1989-04-18","1190","1200","1160","1180","1103000","1180","43"
"1989-04-19","1170","1190","1140","1150","1934000","1150","44"
"1989-04-20","1160","1180","1120","1120","1001000","1120","45"
"1989-04-21","1110","1160","1110","1140","898000","1140","46"
"1989-04-24","1150","1150","1110","1110","599000","1110","47"
"1989-04-25","1110","1140","1110","1110","1199000","1110","48"
"1989-04-26","1130","1210","1130","1180","3565000","1180","49"
"1989-04-27","1190","1190","1140","1140","1130000","1140","50"
"1989-04-28","1150","1170","1140","1150","724000","1150","51"
"1989-05-01","1150","1190","1150","1180","902000","1180","52"
"1989-05-02","1190","1210","1180","1200","2535000","1200","53"
"1989-05-08","1210","1220","1170","1180","1203000","1180","57"
"1989-05-09","1180","1210","1160","1210","1870000","1210","58"
"1989-05-10","1200","1210","1160","1170","1249000","1170","59"
"1989-05-11","1160","1190","1160","1170","385000","1170","60"
"1989-05-12","1170","1180","1150","1170","1001000","1170","61"
"1989-05-15","1180","1190","1150","1160","998000","1160","62"
"1989-05-16","1170","1190","1170","1190","1663000","1190","63"
"1989-05-17","1190","1210","1170","1190","2320000","1190","64"
"1989-05-18","1190","1200","1170","1180","378000","1180","65"
"1989-05-19","1190","1200","1160","1180","936000","1180","66"
"1989-05-22","1180","1200","1180","1180","411000","1180","67"
"1989-05-23","1170","1180","1140","1150","647000","1150","68"
"1989-05-24","1150","1170","1140","1170","418000","1170","69"
"1989-05-25","1150","1160","1140","1150","980000","1150","70"
"1989-05-26","1150","1180","1140","1150","590000","1150","71"
"1989-05-29","1190","1220","1180","1180","3972000","1180","72"
"1989-05-30","1220","1230","1200","1230","4821000","1230","73"
"1989-05-31","1230","1340","1210","1310","31933000","1310","74"
"1989-06-01","1310","1330","1270","1290","17383000","1290","75"
"1989-06-02","1300","1310","1230","1260","2628000","1260","76"
"1989-06-05","1250","1270","1200","1220","1113000","1220","77"
"1989-06-06","1200","1240","1180","1220","1360000","1220","78"
"1989-06-07","1250","1250","1180","1180","823000","1180","79"
"1989-06-08","1210","1230","1200","1230","586000","1230","80"
"1989-06-09","1230","1230","1200","1200","343000","1200","81"
"1989-06-12","1220","1220","1200","1200","251000","1200","82"
"1989-06-13","1210","1220","1180","1180","395000","1180","83"
